日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,36,15,9,33,5,14,0.53,55
2015-01-06,良,59,124,41,31,7,13,0.49,68
2015-01-07,优,37,17,10,19,5,8,0.33,72
2015-01-08,优,42,17,14,20,5,7,0.33,76
2015-01-09,优,42,24,15,23,6,8,0.35,70
2015-01-10,良,61,53,11,63,5,4,0.31,90
2015-01-11,优,44,34,0,25,9,9,0.49,78
2015-01-12,优,35,19,0,32,7,12,0.69,51
2015-01-13,优,41,54,6,43,5,10,0.55,41
2015-01-14,优,34,22,9,33,7,8,0.45,45
2015-01-15,优,38,13,9,34,6,7,0.39,56
2015-01-16,优,30,2,8,20,8,6,0.08,58
2015-01-17,优,33,9,9,21,10,7,0.12,59
2015-01-18,优,31,7,9,22,7,7,0.14,53
2015-01-19,优,29,2,10,23,5,8,0.19,47
2015-01-20,优,33,5,9,30,5,8,0.25,49
2015-01-21,优,34,7,12,31,5,12,0.35,53
2015-01-22,优,40,9,10,39,3,8,0.37,60
2015-01-23,优,49,15,10,51,3,4,0.37,64
2015-01-24,优,40,8,9,23,3,2,0.36,74
2015-01-25,优,45,11,10,43,3,2,0.41,64
2015-01-26,优,39,7,11,28,3,3,0.41,61
2015-01-27,优,40,39,7,23,4,3,0.43,77
2015-01-28,优,47,136,7,22,4,5,0.49,91
2015-01-29,良,54,139,9,41,4,5,0.54,96
2015-01-30,优,47,75,7,20,4,7,0.55,91
2015-01-31,优,47,53,8,23,5,7,0.58,94
2015-02-01,优,44,34,8,16,4,8,0.63,86
2015-02-02,优,40,16,9,19,3,9,0.59,79
2015-02-03,优,40,18,13,26,4,12,0.45,69
2015-02-04,优,33,10,10,25,4,9,0.39,67
2015-02-05,优,44,23,16,25,5,8,0.42,76
2015-02-06,优,42,12,12,31,4,7,0.28,72
2015-02-07,优,42,24,13,35,5,8,0.14,70
2015-02-08,优,47,45,11,32,4,6,0.17,89
2015-02-09,优,48,30,12,28,5,7,0.24,96
2015-02-10,优,50,36,13,43,5,7,0.27,83
2015-02-11,优,42,13,7,30,3,7,0.22,75
2015-02-12,优,39,10,7,23,3,7,0.25,71
2015-02-13,优,44,16,5,10,3,5,0.27,87
2015-02-14,优,39,14,7,0,4,7,0.22,76
2015-02-15,优,38,6,7,5,4,7,0.36,75
2015-02-16,优,35,2,7,15,4,7,0.46,70
2015-02-17,优,42,20,16,17,3,7,0.42,71
2015-02-18,优,40,16,13,18,4,6,0.47,75
2015-02-19,优,50,25,20,24,8,6,0.52,89
2015-02-20,优,45,78,10,10,4,5,0.51,86
2015-02-21,优,38,31,9,19,3,6,0.54,73
2015-02-22,优,44,58,11,10,4,6,0.56,84
2015-02-23,优,38,45,15,22,4,8,0.61,69
2015-02-24,优,41,52,14,38,4,7,0.61,65
2015-02-25,优,47,104,14,43,4,6,0.68,70
2015-02-26,良,51,132,16,31,4,6,0.76,86
2015-02-27,优,46,148,8,16,4,6,0.83,88
2015-02-28,优,49,181,12,17,4,7,0.57,89
2015-03-01,优,50,113,11,18,4,7,0.34,97
2015-03-02,良,57,99,12,18,4,7,0.37,108
2015-03-03,良,61,120,9,29,4,6,0.35,103
2015-03-04,优,47,102,5,17,3,7,0.26,88
2015-03-05,优,47,113,7,12,4,6,0.23,94
2015-03-06,良,51,104,6,16,3,6,0.23,101
2015-03-07,良,61,124,17,12,3,7,0.26,109
2015-03-08,良,53,107,14,21,4,7,0.31,95
2015-03-09,良,52,95,14,32,4,8,0.34,99
2015-03-10,良,59,163,15,45,5,8,0.31,104
2015-03-11,优,49,71,7,18,5,8,0.21,94
2015-03-12,优,48,74,15,40,6,9,0.21,96
2015-03-13,优,44,48,16,37,6,10,0.14,28
2015-03-14,良,57,61,28,67,5,10,0.00,0
2015-03-15,优,46,29,21,51,6,10,0.00,0
2015-03-16,优,43,27,11,31,6,9,0.21,53
2015-03-17,优,48,45,8,15,5,9,0.44,88
2015-03-18,良,55,121,11,42,5,9,0.42,91
2015-03-19,良,61,113,13,30,4,9,0.39,110
2015-03-20,良,56,102,10,24,5,11,0.38,102
2015-03-21,优,48,29,12,48,5,13,0.41,81
2015-03-22,良,57,58,18,44,6,9,0.41,105
2015-03-23,良,60,110,21,56,7,11,0.47,99
2015-03-24,良,53,106,20,40,6,11,0.45,90
2015-03-25,优,45,46,17,40,6,11,0.30,79
2015-03-26,良,58,133,25,55,6,11,0.36,80
2015-03-27,良,56,116,20,53,6,9,0.34,87
2015-03-28,良,52,49,20,48,7,9,0.39,88
2015-03-29,良,56,61,21,61,6,11,0.43,71
2015-03-30,良,62,113,18,58,6,11,0.48,79
2015-03-31,优,49,67,10,30,5,10,0.50,90
2015-04-01,良,57,143,9,12,5,11,0.51,103
2015-04-02,优,38,43,11,8,4,10,0.46,74
2015-04-03,优,37,30,13,0,6,10,0.38,71
2015-04-04,优,45,54,10,18,4,11,0.41,76
2015-04-05,优,40,45,10,9,5,11,0.46,78
2015-04-06,优,36,43,10,8,4,11,0.50,75
2015-04-07,优,38,59,10,8,4,8,0.48,77
2015-04-08,优,46,98,7,9,3,6,0.42,89
2015-04-09,优,43,56,8,9,3,6,0.39,85
2015-04-10,良,59,131,8,39,3,9,0.23,100
2015-04-11,优,50,67,6,25,4,8,0.28,92
2015-04-12,优,47,49,10,25,4,8,0.22,87
2015-04-13,优,44,16,8,24,4,11,0.29,79
2015-04-14,优,49,17,8,18,5,7,0.31,96
2015-04-15,优,46,8,8,29,6,7,0.25,88
2015-04-16,良,55,23,10,55,5,9,0.22,79
2015-04-17,良,58,44,7,49,5,6,0.24,93
2015-04-18,良,52,53,4,10,5,6,0.29,102
2015-04-19,良,76,257,16,49,6,9,0.32,123
2015-04-20,良,53,122,13,46,4,7,0.29,87
2015-04-21,优,45,65,6,20,4,5,0.30,84
2015-04-22,优,36,11,7,17,4,7,0.42,58
2015-04-23,优,49,31,7,14,4,6,0.39,101
2015-04-24,优,44,25,7,10,4,6,0.43,85
2015-04-25,优,49,23,7,12,4,7,0.50,91
2015-04-26,优,45,11,8,18,4,6,0.51,89
2015-04-27,优,46,24,6,20,4,7,0.39,88
2015-04-28,良,51,49,7,37,4,6,0.19,90
2015-04-29,良,55,75,6,36,3,4,0.19,97
2015-04-30,良,53,44,5,17,3,2,0.23,98
2015-05-01,优,43,42,7,17,3,2,0.26,84
2015-05-02,优,44,74,6,28,3,2,0.22,84
2015-05-03,优,44,38,5,17,3,2,0.25,86
2015-05-04,优,49,61,5,18,3,3,0.28,94
2015-05-05,优,50,57,11,27,3,3,0.32,93
2015-05-06,良,52,63,19,34,3,4,0.33,76
2015-05-07,优,50,54,23,48,2,2,0.26,74
2015-05-08,良,56,120,29,63,3,2,0.21,87
2015-05-09,良,51,108,16,49,3,2,0.19,84
2015-05-10,良,53,110,19,50,3,2,0.20,81
2015-05-11,良,54,178,15,51,2,2,0.24,94
2015-05-12,良,55,136,26,44,2,2,0.34,86
2015-05-13,优,40,21,15,23,2,2,0.35,74
2015-05-14,优,49,74,19,36,2,2,0.33,76
2015-05-15,优,39,51,12,24,2,4,0.39,70
2015-05-16,优,28,12,8,16,2,4,0.48,52
2015-05-17,优,34,20,7,8,2,4,0.51,73
2015-05-18,良,57,112,4,6,2,3,0.44,102
2015-05-19,优,48,95,6,6,4,5,0.30,90
2015-05-20,良,54,139,12,33,4,5,0.20,85
