日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,212,89,162,224,98,60,1.35,112
2013-10-29,重度污染,207,89,158,199,52,46,1.34,99
2013-10-30,中度污染,179,102,137,152,33,39,1.17,64
2013-10-31,中度污染,177,99,134,159,53,40,1.20,109
2013-11-01,重度污染,203,98,157,171,24,29,1.34,111
2013-11-02,良,92,37,68,69,29,26,1.10,63
2013-11-03,良,63,16,45,63,30,26,0.96,61
2013-11-04,良,83,47,61,85,37,31,0.93,99
2013-11-05,轻度污染,115,76,87,126,37,38,1.12,76
2013-11-06,轻度污染,137,68,104,151,44,39,1.24,67
2013-11-07,轻度污染,139,84,108,148,48,46,0.80,99
2013-11-08,轻度污染,134,77,85,117,26,40,0.97,90
2013-11-09,轻度污染,103,53,71,106,28,44,1.00,58
2013-11-10,良,99,72,81,105,28,33,1.14,55
2013-11-11,良,70,73,19,26,8,21,1.33,44
2013-11-12,优,27,8,15,26,21,27,1.19,53
2013-11-13,优,33,16,24,34,22,25,1.17,63
2013-11-14,优,44,21,35,46,32,24,1.08,57
2013-11-15,良,64,28,56,85,35,38,1.01,64
2013-11-16,良,91,30,73,114,49,40,0.84,66
2013-11-17,轻度污染,104,62,80,132,44,42,0.93,69
2013-11-18,轻度污染,115,95,90,145,67,47,1.05,60
2013-11-19,轻度污染,121,88,98,160,61,48,1.05,71
2013-11-20,轻度污染,149,81,123,173,56,52,1.23,51
2013-11-21,中度污染,154,72,120,165,66,51,1.38,58
2013-11-22,轻度污染,141,63,94,121,35,40,0.95,73
2013-11-23,轻度污染,124,53,104,127,34,44,1.04,44
2013-11-24,轻度污染,127,55,69,92,31,38,1.19,49
2013-11-25,良,63,23,37,73,41,35,0.99,65
2013-11-26,良,71,37,56,106,46,42,0.76,62
2013-11-27,良,85,54,58,66,33,31,0.84,54
2013-11-28,良,66,56,39,77,42,29,0.80,69
2013-11-29,良,67,46,46,92,31,33,0.79,77
2013-11-30,良,83,53,72,112,49,45,0.91,62
2013-12-01,轻度污染,125,80,89,101,48,37,0.88,73
2013-12-02,轻度污染,129,54,107,166,85,72,1.48,52
2013-12-03,轻度污染,145,53,112,184,55,78,1.47,49
2013-12-04,轻度污染,150,51,109,192,72,67,1.22,75
2013-12-05,轻度污染,140,55,117,179,106,88,1.32,58
2013-12-06,轻度污染,141,65,107,151,62,55,1.05,96
2013-12-07,中度污染,164,52,136,199,64,70,1.22,67
2013-12-08,重度污染,212,58,151,201,43,67,1.28,48
2013-12-09,重度污染,221,76,167,215,77,51,1.55,92
2013-12-10,中度污染,160,93,98,131,55,46,1.17,78
2013-12-11,轻度污染,137,84,97,125,66,43,1.05,52
2013-12-12,轻度污染,126,69,107,133,60,41,1.08,50
