日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,66,113,41,78,44,32,1.25,53
2015-01-02,良,70,179,45,86,43,34,1.29,40
2015-01-03,良,82,95,53,108,36,41,1.51,26
2015-01-04,良,74,46,42,97,32,39,1.68,40
2015-01-05,良,90,101,58,122,39,46,2.09,9
2015-01-06,良,75,192,48,94,27,33,1.82,27
2015-01-07,优,45,36,30,42,13,18,1.85,32
2015-01-08,优,44,19,26,42,19,18,1.59,55
2015-01-09,良,65,64,40,73,35,31,1.33,41
2015-01-10,良,73,76,50,89,38,35,1.25,34
2015-01-11,良,71,99,51,79,28,29,1.23,48
2015-01-12,优,50,68,33,47,18,18,1.04,59
2015-01-13,优,26,15,9,11,9,14,1.08,46
2015-01-14,优,25,9,10,17,8,12,1.07,42
2015-01-15,良,52,44,29,50,18,23,1.33,28
2015-01-16,良,67,85,44,71,26,26,1.45,20
2015-01-17,良,60,53,41,61,27,24,1.34,48
2015-01-18,良,70,70,49,69,21,20,1.30,58
2015-01-19,良,75,101,51,91,27,32,1.48,50
2015-01-20,良,88,131,61,116,22,44,1.52,37
2015-01-21,良,80,119,56,100,24,45,1.13,37
2015-01-22,良,76,80,47,99,22,41,0.88,36
2015-01-23,良,82,72,54,106,22,50,1.02,34
2015-01-24,良,88,93,62,109,24,55,1.09,26
2015-01-25,良,94,115,69,66,12,47,1.13,14
2015-01-26,良,66,47,45,45,12,31,0.97,20
2015-01-27,良,59,103,38,56,8,29,1.08,26
2015-01-28,良,57,193,39,50,12,34,1.12,21
2015-01-29,良,53,131,31,56,16,30,1.06,41
2015-01-30,优,40,45,21,39,16,24,1.12,15
2015-01-31,优,45,42,30,43,18,26,1.16,13
2015-02-01,优,37,12,25,35,12,24,1.12,11
2015-02-02,优,49,32,31,53,14,29,1.10,15
2015-02-03,良,63,70,42,69,33,26,1.22,23
2015-02-04,优,40,25,27,36,13,21,1.33,12
2015-02-05,优,38,11,25,35,9,16,1.22,28
2015-02-06,良,62,57,42,67,21,29,1.24,44
2015-02-07,良,91,148,67,99,34,47,1.45,18
2015-02-08,良,68,141,47,69,17,22,1.11,74
2015-02-09,良,93,225,69,99,18,34,1.07,62
2015-02-10,良,92,162,68,108,27,40,0.96,51
2015-02-11,良,93,146,68,106,23,38,1.05,49
2015-02-12,良,81,131,52,87,14,37,1.00,42
2015-02-13,良,61,48,33,70,13,36,0.82,46
2015-02-14,良,73,73,49,89,21,42,1.01,49
2015-02-15,良,84,141,61,71,16,47,1.34,11
2015-02-16,良,53,32,35,36,8,27,1.12,28
2015-02-17,良,51,50,34,42,5,19,1.09,34
2015-02-18,良,71,114,50,57,11,19,1.18,49
2015-02-19,轻度污染,104,182,77,93,25,18,1.17,49
2015-02-20,良,57,156,38,61,6,18,0.98,61
2015-02-21,优,31,14,18,24,4,13,0.88,47
2015-02-22,优,24,5,12,17,12,13,0.83,38
2015-02-23,优,28,14,18,24,5,16,1.04,23
2015-02-24,优,26,8,15,22,4,14,1.08,26
2015-02-25,优,22,3,12,18,3,10,1.04,33
2015-02-26,优,33,34,19,26,4,10,0.93,56
2015-02-27,优,25,20,10,15,3,16,0.92,42
2015-02-28,优,25,28,14,21,4,13,0.93,42
2015-03-01,优,22,11,7,13,8,10,0.99,42
2015-03-02,优,40,26,26,37,16,24,1.21,15
2015-03-03,优,48,68,33,40,7,26,1.42,14
2015-03-04,优,15,1,6,10,6,18,1.23,16
2015-03-05,优,35,47,24,31,15,21,1.24,17
2015-03-06,优,21,14,13,17,9,19,1.29,16
2015-03-07,优,26,9,15,25,12,20,1.42,10
2015-03-08,优,42,45,25,37,7,20,1.29,27
2015-03-09,优,42,45,25,37,8,16,1.29,55
2015-03-10,优,34,15,20,25,9,15,1.08,60
2015-03-11,优,21,8,8,14,10,20,1.03,33
2015-03-12,优,23,8,8,19,15,16,0.83,45
2015-03-13,优,34,11,18,31,14,18,0.83,40
2015-03-14,优,45,22,28,41,8,18,0.90,38
2015-03-15,良,65,76,45,61,11,24,1.01,40
2015-03-16,良,52,55,33,54,11,22,1.21,19
2015-03-17,优,49,46,30,49,10,14,0.89,43
2015-03-18,优,46,76,29,46,8,16,0.83,46
2015-03-19,良,59,103,39,63,11,17,0.94,62
2015-03-20,良,75,174,54,82,15,22,1.06,49
2015-03-21,良,63,106,44,66,14,17,1.09,51
2015-03-22,良,60,69,42,54,21,19,1.23,32
2015-03-23,良,53,66,35,46,14,15,0.85,63
2015-03-24,优,35,16,19,33,6,10,0.62,65
2015-03-25,优,37,16,14,35,13,12,0.57,65
2015-03-26,优,31,4,20,27,9,16,0.72,36
2015-03-27,优,31,4,16,23,12,14,0.89,37
2015-03-28,优,40,16,18,37,13,15,1.05,43
2015-03-29,良,65,94,44,65,13,20,1.13,55
2015-03-30,良,64,122,43,67,13,24,1.18,58
2015-03-31,优,49,68,29,55,12,19,1.15,20
2015-04-01,良,55,124,32,60,15,21,1.05,30
2015-04-02,优,42,65,24,42,8,15,0.68,46
2015-04-03,优,38,31,23,38,6,11,0.60,54
2015-04-04,优,45,55,25,47,8,18,0.61,53
2015-04-05,良,62,155,41,61,9,24,0.69,62
2015-04-06,良,68,239,46,64,10,22,0.75,47
2015-04-07,优,36,51,17,33,8,18,0.75,33
2015-04-08,优,20,4,12,16,6,13,0.89,26
2015-04-09,优,23,3,15,21,14,19,0.96,13
2015-04-10,优,19,7,11,17,10,15,1.03,15
2015-04-11,优,23,8,15,20,5,14,0.91,17
2015-04-12,优,37,9,22,37,15,19,0.90,37
2015-04-13,良,66,197,33,74,11,20,0.74,59
2015-04-14,良,64,96,32,69,15,30,0.70,68
2015-04-15,良,69,85,38,71,18,36,0.84,77
2015-04-16,良,78,114,44,84,22,36,0.88,97
2015-04-17,良,97,192,58,96,21,41,0.89,87
2015-04-18,良,55,61,33,58,13,26,0.69,41
2015-04-19,良,53,112,31,55,6,19,0.91,55
2015-04-20,优,42,49,26,30,5,18,0.96,53
2015-04-21,优,25,2,16,21,6,15,1.06,40
2015-04-22,优,37,12,22,36,11,20,1.00,52
2015-04-23,良,68,134,42,72,29,33,1.01,72
2015-04-24,良,61,100,37,64,17,31,1.15,63
2015-04-25,良,69,111,49,70,26,32,1.16,73
2015-04-26,良,78,143,54,83,25,31,1.11,69
2015-04-27,良,69,112,45,76,13,34,1.16,73
2015-04-28,良,56,68,37,58,10,19,1.14,77
2015-04-29,优,44,29,21,42,11,24,1.03,55
2015-04-30,良,63,78,37,66,15,31,1.12,57
2015-05-01,优,46,50,30,44,7,23,1.22,34
2015-05-02,优,35,28,21,34,6,11,1.13,40
2015-05-03,优,38,18,19,38,7,19,1.15,40
2015-05-04,优,47,54,28,50,8,23,1.42,24
2015-05-05,优,36,26,15,22,5,20,1.16,69
2015-05-06,优,31,11,16,29,6,33,1.21,24
2015-05-07,优,47,45,24,47,6,16,1.09,39
2015-05-08,优,32,23,17,29,7,21,1.00,36
2015-05-09,优,31,21,19,29,5,25,1.03,19
2015-05-10,优,38,20,21,36,6,21,0.90,36
2015-05-11,优,39,44,22,38,6,14,0.81,34
2015-05-12,优,46,75,9,32,7,18,0.56,85
2015-05-13,良,59,101,30,64,11,36,0.85,52
2015-05-14,良,60,124,39,57,12,28,1.00,33
2015-05-15,优,41,66,20,40,11,20,0.96,37
2015-05-16,优,31,24,15,29,10,16,0.95,38
2015-05-17,优,35,26,15,29,10,22,1.06,26
2015-05-18,优,23,3,10,21,7,23,1.12,22
2015-05-19,优,27,6,12,24,8,17,1.12,28
2015-05-20,优,24,2,12,19,6,22,1.09,29
2015-05-21,优,41,56,10,14,4,10,0.52,86
2015-05-22,优,41,51,12,23,6,18,0.63,68
2015-05-23,优,24,3,14,22,6,31,0.97,21
2015-05-24,优,22,1,10,18,6,29,1.14,24
2015-05-25,优,39,20,24,21,7,27,0.97,25
2015-05-26,优,28,5,14,17,6,25,1.01,34
2015-05-27,优,25,1,11,24,6,21,0.95,21
2015-05-28,优,30,4,12,28,4,18,0.82,33
2015-05-29,优,35,12,15,34,5,19,0.86,34
2015-05-30,优,35,23,16,31,4,15,0.76,43
2015-05-31,优,29,5,13,21,4,16,0.80,46
2015-06-01,优,26,3,10,21,5,19,0.83,33
2015-06-02,优,27,10,11,25,5,16,0.76,26
2015-06-03,优,31,30,12,30,6,17,0.69,32
2015-06-04,优,44,106,19,42,10,22,0.73,41
2015-06-05,优,34,30,18,33,7,20,0.76,41
2015-06-06,优,34,24,15,30,7,21,0.94,27
2015-06-07,优,32,32,14,30,6,16,0.73,36
2015-06-08,优,26,14,13,23,7,9,0.57,48
2015-06-09,优,29,20,13,26,7,11,0.58,47
2015-06-10,优,30,13,12,24,6,16,0.68,41
2015-06-11,优,31,21,12,26,6,14,0.69,45
2015-06-12,优,34,22,12,25,7,12,0.69,56
2015-06-13,优,32,27,12,25,8,14,0.69,49
2015-06-14,优,34,47,13,31,9,14,0.72,26
2015-06-15,优,34,37,13,30,8,14,0.72,29
2015-06-16,优,36,47,14,33,11,17,0.73,37
2015-06-17,优,42,90,17,39,11,19,0.74,48
2015-06-18,优,43,96,18,39,9,21,0.73,52
2015-06-19,优,48,122,23,44,11,19,0.73,62
2015-06-20,优,45,83,22,36,10,15,0.68,61
2015-06-21,优,37,56,14,23,6,10,0.58,65
2015-06-22,优,25,16,9,22,6,15,0.61,25
2015-06-23,优,26,24,10,24,5,16,0.71,25
2015-06-24,优,29,49,13,27,6,14,0.75,27
2015-06-25,优,25,8,11,24,6,11,0.69,28
2015-06-26,优,27,20,10,25,5,10,0.68,30
2015-06-27,优,31,49,12,30,5,11,0.70,36
2015-06-28,优,34,57,14,32,6,12,0.70,42
2015-06-29,优,39,90,16,36,7,16,0.78,39
2015-06-30,优,43,122,18,41,7,15,0.79,54
2015-07-01,优,42,109,20,41,6,11,0.75,68
2015-07-02,优,41,86,19,40,6,18,0.72,45
2015-07-03,优,43,107,19,43,5,23,0.84,24
2015-07-04,优,49,140,27,52,5,17,0.70,38
2015-07-05,优,38,69,21,35,5,16,0.70,47
2015-07-06,优,28,12,15,25,7,12,0.77,39
2015-07-07,优,22,4,10,19,7,11,0.82,38
2015-07-08,优,22,4,9,14,6,9,0.70,43
2015-07-09,优,17,1,7,15,4,10,0.64,25
2015-07-10,优,28,16,12,24,5,11,0.65,31
2015-07-11,优,39,79,20,38,7,15,0.81,35
2015-07-12,优,44,90,20,41,10,18,0.76,40
2015-07-13,优,47,44,22,47,10,18,0.78,54
2015-07-14,良,58,97,33,60,10,26,0.90,72
2015-07-15,良,60,167,36,66,10,31,0.89,54
2015-07-16,良,53,136,30,52,8,22,0.73,62
2015-07-17,优,48,108,27,47,6,19,0.67,64
2015-07-18,良,59,187,37,56,6,17,0.66,89
2015-07-19,良,57,177,36,56,7,19,0.64,69
2015-07-20,优,25,18,13,22,6,22,0.69,28
2015-07-21,优,20,5,7,15,3,16,0.73,37
2015-07-22,优,24,7,4,8,3,13,0.73,41
2015-07-23,优,18,2,7,15,4,13,0.72,27
2015-07-24,优,23,10,8,20,4,14,0.74,22
2015-07-25,优,28,17,9,27,6,14,0.74,27
2015-07-26,优,27,20,11,25,6,13,0.70,32
2015-07-27,优,29,22,12,26,5,11,0.69,33
2015-07-28,优,35,58,14,33,8,13,0.69,32
2015-07-29,优,33,51,12,32,8,18,0.67,26
2015-07-30,优,35,63,15,34,9,15,0.69,29
2015-07-31,优,35,67,15,34,8,15,0.61,35
2015-08-01,优,43,99,17,40,9,19,0.60,41
2015-08-02,优,47,120,19,46,10,21,0.62,42
2015-08-03,良,51,160,25,52,12,23,0.71,51
2015-08-04,优,49,146,24,45,9,20,0.72,60
2015-08-05,优,48,126,24,43,9,27,0.75,53
2015-08-06,良,61,233,36,65,12,28,0.84,58
2015-08-07,优,45,111,27,50,9,20,0.62,31
2015-08-08,优,22,8,8,18,5,10,0.47,28
2015-08-09,优,17,2,5,10,3,9,0.56,34
2015-08-10,优,32,80,19,23,5,12,0.75,47
2015-08-11,优,30,38,16,28,5,15,0.80,31
2015-08-12,优,33,34,15,31,5,15,0.74,43
2015-08-13,优,34,29,13,28,6,14,0.66,44
2015-08-14,优,25,7,9,20,5,12,0.58,37
2015-08-15,优,23,6,8,18,5,12,0.58,37
2015-08-16,优,21,4,7,17,4,12,0.61,34
2015-08-17,优,33,41,14,30,5,18,0.80,28
2015-08-18,优,34,49,16,29,5,17,0.76,37
2015-08-19,优,34,37,17,32,6,17,0.71,34
2015-08-20,优,42,87,19,39,6,17,0.64,45
2015-08-21,优,44,86,21,42,7,15,0.68,36
2015-08-22,优,37,33,16,36,7,14,0.54,28
2015-08-23,优,34,32,14,32,8,13,0.55,33
2015-08-24,优,37,55,18,34,8,13,0.62,44
2015-08-25,良,53,142,30,52,8,20,0.70,66
2015-08-26,良,66,188,37,58,9,19,0.81,86
2015-08-27,良,58,159,36,56,8,19,0.80,62
2015-08-28,优,40,75,21,31,5,13,0.68,61
2015-08-29,优,33,54,15,28,6,17,0.66,52
2015-08-30,优,26,19,12,21,4,15,0.77,44
2015-08-31,优,25,16,11,19,4,18,0.81,45
2015-09-01,优,23,12,10,17,4,19,0.88,31
2015-09-02,优,24,24,10,22,5,19,0.72,20
2015-09-03,优,30,48,14,29,6,17,0.70,18
2015-09-04,优,38,84,18,38,7,19,0.86,21
2015-09-05,优,42,115,20,40,7,17,0.84,40
2015-09-06,优,41,102,21,39,7,20,0.83,44
2015-09-07,优,32,23,15,30,5,14,0.73,48
2015-09-08,良,59,192,37,64,7,22,0.85,52
2015-09-09,良,57,203,35,59,9,19,0.79,67
2015-09-10,良,64,249,43,70,9,26,0.86,72
2015-09-11,良,61,241,41,66,8,23,0.76,80
2015-09-12,良,67,289,46,70,8,23,0.76,72
2015-09-13,良,59,209,40,55,8,21,0.80,71
2015-09-14,良,54,112,34,49,8,17,0.80,67
2015-09-15,良,52,119,29,50,9,23,0.72,61
2015-09-16,良,56,129,35,57,12,22,0.85,57
2015-09-17,良,56,115,32,57,16,22,0.85,56
2015-09-18,良,62,153,37,66,13,27,0.87,66
2015-09-19,良,69,225,47,78,16,31,1.00,29
2015-09-20,优,34,44,20,29,7,25,1.14,48
2015-09-21,优,25,14,13,20,7,20,1.04,36
2015-09-22,优,29,27,12,26,6,21,0.88,31
2015-09-23,优,34,57,15,30,7,17,0.85,37
2015-09-24,优,49,156,24,50,11,19,0.88,35
2015-09-25,优,50,166,27,48,10,17,0.86,48
2015-09-26,优,39,78,19,35,10,15,0.90,40
2015-09-27,优,35,48,14,23,6,12,0.73,68
2015-09-28,优,39,68,20,33,8,15,0.65,60
2015-09-29,优,34,58,11,19,5,10,0.70,66
2015-09-30,优,44,134,22,39,7,20,1.13,66
2015-10-01,优,49,149,29,45,9,16,1.01,48
2015-10-02,优,27,10,15,24,7,15,0.86,43
2015-10-03,优,37,33,19,34,8,17,0.89,47
2015-10-04,优,36,61,16,34,9,17,0.76,34
2015-10-05,优,40,78,19,38,9,19,0.76,30
2015-10-06,优,42,87,22,41,10,17,0.76,42
2015-10-07,优,41,100,23,40,13,16,0.80,35
2015-10-08,优,28,16,10,18,9,11,0.91,56
2015-10-09,优,25,15,8,15,7,14,0.87,47
2015-10-10,优,28,25,13,23,7,16,0.71,44
2015-10-11,优,43,116,15,35,10,18,0.51,69
2015-10-12,良,58,150,29,53,12,24,0.70,61
2015-10-13,良,66,134,38,63,14,28,0.78,78
2015-10-14,良,80,148,51,79,13,32,0.87,74
2015-10-15,良,80,137,54,83,13,33,0.89,63
2015-10-16,良,66,64,37,68,13,31,0.80,71
2015-10-17,良,65,84,34,65,16,30,0.76,83
2015-10-18,良,63,124,32,55,13,24,0.67,95
2015-10-19,优,50,54,28,46,11,17,0.67,82
2015-10-20,优,44,43,23,37,11,15,0.64,66
2015-10-21,优,41,27,18,32,10,17,0.60,64
2015-10-22,优,48,57,24,43,12,23,0.61,57
2015-10-23,良,54,58,28,52,12,26,0.64,53
2015-10-24,良,54,81,30,53,13,29,0.73,60
2015-10-25,良,56,121,31,58,17,32,0.79,57
2015-10-26,良,63,160,38,67,16,33,0.84,64
2015-10-27,良,68,247,46,80,17,33,0.91,50
2015-10-28,良,78,242,56,81,16,29,1.02,39
2015-10-29,良,56,179,35,56,11,23,0.90,52
2015-10-30,良,54,160,32,58,15,26,0.92,39
2015-10-31,优,32,41,19,28,10,20,0.75,36
2015-11-01,优,22,14,11,19,7,16,0.74,29
2015-11-02,优,29,11,14,25,9,15,0.73,51
2015-11-03,优,42,38,28,40,11,18,0.75,51
2015-11-04,优,47,43,31,43,10,20,0.77,50
2015-11-05,良,53,95,30,56,14,27,0.82,34
2015-11-06,良,55,197,28,59,15,32,0.85,33
2015-11-07,良,57,230,31,63,15,30,0.95,26
2015-11-08,良,51,118,26,55,16,23,0.87,18
2015-11-09,优,36,39,17,34,13,20,0.75,20
2015-11-10,优,37,36,24,36,9,23,1.10,26
2015-11-11,优,35,39,24,29,8,22,1.11,37
2015-11-12,优,25,32,14,23,9,25,0.94,26
2015-11-13,优,43,105,25,42,13,30,1.10,14
2015-11-14,优,35,43,18,32,10,23,0.75,28
2015-11-15,良,55,122,35,57,14,26,0.97,34
2015-11-16,良,61,179,39,66,16,31,1.13,31
2015-11-17,优,49,123,24,52,16,27,1.02,20
2015-11-18,良,56,212,28,62,24,38,1.09,15
2015-11-19,良,58,181,34,65,22,28,0.91,28
2015-11-20,良,66,193,46,72,16,37,0.93,48
2015-11-21,良,62,193,44,64,12,30,0.87,32
2015-11-22,优,40,99,22,33,9,20,0.75,44
2015-11-23,优,41,139,20,32,10,19,0.73,44
2015-11-24,优,47,215,27,48,17,26,0.83,49
2015-11-25,优,33,55,18,31,11,20,0.89,27
2015-11-26,优,34,46,8,25,9,13,0.55,65
2015-11-27,优,39,33,16,35,15,23,0.53,55
2015-11-28,良,61,101,36,69,26,40,0.76,46
2015-11-29,良,82,167,58,81,28,48,1.08,22
2015-11-30,良,65,126,44,56,13,30,1.02,26
2015-12-01,良,64,114,42,68,22,34,1.09,29
2015-12-02,良,57,121,38,63,21,31,1.02,34
2015-12-03,优,20,7,8,17,7,19,0.81,30
2015-12-04,优,37,67,18,36,11,25,0.75,26
2015-12-05,优,39,82,24,37,10,31,0.78,19
2015-12-06,优,18,4,6,11,4,15,0.70,35
2015-12-07,优,28,14,14,23,7,19,0.70,37
2015-12-08,优,39,38,23,38,9,24,0.78,44
2015-12-09,优,21,12,12,15,4,26,0.75,32
2015-12-10,优,22,7,7,13,9,20,0.74,43
2015-12-11,优,29,15,16,28,9,23,0.73,28
2015-12-12,优,41,46,26,38,12,29,0.86,24
2015-12-13,良,59,124,39,58,15,35,1.05,24
2015-12-14,优,26,13,12,23,9,23,1.13,16
2015-12-15,优,28,12,17,27,8,18,0.99,22
2015-12-16,良,62,235,42,61,11,13,0.86,75
2015-12-17,优,45,71,19,42,15,14,0.51,79
2015-12-18,良,51,65,28,53,16,29,0.55,54
2015-12-19,良,58,82,38,62,17,32,0.67,34
2015-12-20,良,92,161,65,113,20,49,1.43,9
2015-12-21,良,72,86,51,57,12,37,1.22,10
2015-12-22,良,73,77,53,75,14,35,1.95,5
2015-12-23,优,50,43,32,46,12,33,2.14,9
2015-12-24,优,37,28,21,35,11,27,1.14,13
2015-12-25,优,21,2,10,19,7,20,1.24,31
2015-12-26,优,40,41,27,34,10,30,1.29,22
2015-12-27,优,33,32,21,29,9,31,1.39,9
2015-12-28,优,28,9,13,27,9,21,1.05,36
2015-12-29,优,50,46,31,49,14,27,0.86,36
2015-12-30,优,50,58,34,45,9,20,0.74,43
2015-12-31,优,41,18,26,37,8,16,0.64,54
2016-01-01,良,57,43,36,60,14,30,0.69,50
2016-01-02,良,80,83,56,99,18,44,1.16,19
2016-01-03,良,84,101,59,99,23,44,1.38,10
2016-01-04,良,58,72,34,64,13,24,1.12,19
2016-01-05,优,38,27,20,34,11,34,1.14,3
2016-01-06,优,29,16,12,19,9,20,0.88,47
2016-01-07,优,40,51,24,39,13,19,1.01,32
2016-01-08,优,33,21,20,30,14,13,0.85,45
2016-01-09,优,47,54,31,48,12,22,0.97,28
2016-01-10,良,74,157,54,70,16,29,1.13,10
2016-01-11,优,24,8,16,21,7,25,0.98,27
2016-01-12,优,25,7,15,23,9,24,0.99,28
2016-01-13,优,33,14,18,31,11,26,0.95,41
2016-01-14,优,49,53,32,47,12,33,0.92,33
2016-01-15,良,67,106,47,46,10,43,1.08,11
2016-01-16,优,43,48,27,39,12,31,1.02,18
2016-01-17,优,30,16,17,24,7,23,0.93,31
2016-01-18,优,37,31,17,33,10,18,0.94,59
2016-01-19,良,52,58,34,52,12,26,0.92,46
2016-01-20,良,61,106,44,45,9,30,1.05,32
2016-01-21,优,17,3,9,14,6,27,0.90,22
2016-01-22,优,15,3,8,12,7,22,0.93,5
2016-01-23,优,18,2,8,14,6,11,0.68,38
2016-01-24,优,43,61,18,38,9,6,0.53,80
2016-01-25,优,46,42,12,46,11,17,0.54,69
2016-01-26,良,61,118,35,67,18,45,0.97,24
2016-01-27,优,41,52,28,26,7,35,1.00,15
2016-01-28,优,44,69,30,34,11,40,2.12,1
2016-01-29,优,32,31,22,26,10,39,1.71,12
2016-01-30,优,34,25,20,32,11,24,1.33,21
2016-01-31,优,32,26,21,29,9,23,0.79,30
2016-02-01,优,15,9,3,5,4,15,0.84,26
2016-02-02,优,18,2,7,11,4,12,0.95,37
2016-02-03,优,30,2,19,27,6,15,0.95,36
2016-02-04,优,41,29,27,36,9,16,0.91,30
2016-02-05,优,21,1,12,16,4,10,0.77,33
2016-02-06,良,53,80,33,49,10,10,0.66,86
2016-02-07,良,86,198,57,90,22,14,0.72,88
2016-02-08,轻度污染,135,150,102,114,43,14,0.53,56
2016-02-09,良,54,42,33,42,7,13,0.54,61
2016-02-10,良,52,51,35,38,7,18,0.65,48
2016-02-11,优,45,51,26,14,4,14,0.74,38
2016-02-12,优,29,4,14,23,5,10,0.69,36
