日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,141,125,136,167,33,56,0.89,25
2014-01-01,中度污染,159,152,130,164,46,51,0.76,20
2014-01-02,中度污染,195,165,152,187,58,49,0.78,25
2014-01-03,中度污染,178,117,136,203,64,64,1.09,24
2014-01-04,中度污染,178,152,136,190,53,65,1.12,31
2014-01-05,严重污染,261,176,210,260,68,63,1.35,12
2014-01-06,严重污染,297,180,247,311,73,76,1.64,7
2014-01-07,重度污染,221,153,174,216,63,48,1.27,9
2014-01-08,轻度污染,139,164,105,139,49,47,0.98,21
2014-01-09,轻度污染,145,167,110,138,51,45,0.85,13
2014-01-10,轻度污染,141,131,107,125,37,46,1.11,3
2014-01-11,中度污染,162,136,122,147,73,40,1.18,5
2014-01-12,中度污染,167,155,126,153,71,43,1.24,11
2014-01-13,轻度污染,118,126,89,107,29,44,0.93,33
2014-01-14,轻度污染,132,112,99,125,61,55,1.02,11
2014-01-15,重度污染,218,133,169,196,74,49,1.32,5
2014-01-16,重度污染,219,139,169,194,60,52,1.21,10
2014-01-17,中度污染,162,88,123,152,50,49,1.27,22
2014-01-18,中度污染,200,115,155,188,57,54,1.34,20
2014-01-19,重度污染,236,135,185,208,50,52,1.26,18
2014-01-20,轻度污染,106,69,78,104,25,47,1.01,40
2014-01-21,轻度污染,138,171,104,146,51,60,1.17,40
2014-01-22,中度污染,192,182,147,200,60,71,1.66,32
2014-01-24,严重污染,265,173,214,267,85,71,1.89,26
2014-01-25,重度污染,240,175,189,240,41,70,1.83,36
2014-01-26,严重污染,327,189,276,331,63,66,2.02,12
2014-01-27,严重污染,289,176,230,290,43,64,1.92,3
2014-01-28,严重污染,301,177,251,316,59,58,2.05,7
2014-01-29,严重污染,293,182,244,305,20,59,2.26,11
2014-01-30,严重污染,311,179,261,323,16,41,1.74,19
2014-01-31,严重污染,353,169,309,372,30,38,1.55,34
2014-02-01,严重污染,268,170,217,256,25,41,1.51,33
2014-02-02,重度污染,236,140,186,222,23,41,1.50,40
2014-02-03,重度污染,244,187,195,236,22,53,1.77,11
2014-02-04,严重污染,261,189,211,241,26,44,1.74,14
2014-02-05,轻度污染,135,187,102,119,11,30,0.78,23
2014-02-06,良,59,118,42,52,7,25,0.69,11
2014-02-07,优,33,34,23,26,6,20,0.52,18
2014-02-08,优,46,46,31,39,10,24,0.73,10
2014-02-09,优,32,37,22,27,6,20,0.62,20
2014-02-10,优,32,9,22,27,12,19,0.64,30
2014-02-11,优,49,10,34,43,23,24,0.82,30
2014-02-12,良,87,75,64,77,28,34,0.74,25
2014-02-13,良,91,92,68,87,30,35,0.92,35
2014-02-14,轻度污染,104,85,78,102,36,40,1.06,27
2014-02-15,轻度污染,122,86,92,123,56,47,1.12,14
2014-02-16,轻度污染,123,129,93,128,67,46,1.05,16
2014-02-17,中度污染,159,160,121,151,41,40,1.11,17
2014-02-18,良,76,115,56,67,23,33,0.66,38
2014-02-19,良,76,73,55,72,31,39,0.63,42
2014-02-20,良,93,86,69,92,44,49,0.62,21
2014-02-21,中度污染,177,142,134,173,54,45,0.94,50
2014-02-22,中度污染,175,139,132,166,60,48,0.91,41
2014-02-23,中度污染,199,146,150,184,61,51,1.01,24
2014-02-24,中度污染,194,143,148,182,66,46,0.99,42
2014-02-25,重度污染,208,150,159,195,59,52,1.19,47
2014-02-26,中度污染,195,162,148,184,61,55,1.18,6
2014-02-27,良,86,87,63,81,34,38,0.82,15
2014-02-28,良,67,100,48,63,33,33,0.67,15
2014-03-01,优,45,29,29,43,23,32,0.76,15
2014-03-02,优,40,16,27,35,24,28,0.69,31
2014-03-03,良,56,37,39,48,40,36,0.77,24
2014-03-04,良,66,67,46,64,37,37,0.84,44
2014-03-05,良,88,126,65,99,51,50,1.10,26
2014-03-06,轻度污染,120,169,90,114,42,44,0.94,15
2014-03-07,良,59,76,41,52,27,31,0.82,27
2014-03-08,良,69,85,49,73,34,40,0.95,33
2014-03-09,轻度污染,104,122,77,116,54,47,1.14,28
2014-03-10,轻度污染,104,105,77,114,42,41,1.03,73
2014-03-11,轻度污染,131,133,99,143,57,36,1.08,77
2014-03-12,轻度污染,123,149,92,134,45,36,0.97,84
2014-03-13,良,89,131,54,127,37,36,0.77,44
2014-03-14,良,73,37,41,94,31,32,0.58,63
2014-03-15,良,75,24,43,99,45,43,0.81,49
2014-03-16,良,83,35,42,108,39,43,1.00,72
2014-03-17,轻度污染,120,101,86,145,65,47,1.31,83
2014-03-18,轻度污染,145,110,109,159,63,53,1.16,91
2014-03-19,中度污染,170,181,128,187,66,57,1.20,73
2014-03-20,良,52,15,33,55,15,18,0.65,70
2014-03-21,优,50,9,23,54,35,31,0.70,45
2014-03-22,良,72,55,48,87,54,36,0.92,22
2014-03-23,良,93,96,69,98,71,42,0.98,25
2014-03-25,良,82,50,60,85,44,49,1.40,48
2014-03-26,轻度污染,111,98,82,117,55,54,1.41,64
2014-03-27,轻度污染,128,124,97,129,59,48,1.48,49
2014-03-28,轻度污染,103,120,77,102,43,39,1.30,66
2014-03-29,良,82,92,60,87,41,33,1.35,59
2014-03-30,良,93,92,68,92,35,26,1.25,58
2014-03-31,良,51,28,34,49,30,24,0.95,50
2014-04-01,良,51,20,35,50,36,34,0.93,49
2014-04-02,良,62,42,41,64,32,31,0.99,62
2014-04-03,良,94,143,70,100,47,43,1.16,33
2014-04-04,良,75,65,54,75,23,29,0.96,52
2014-04-05,良,72,60,52,65,13,22,0.75,73
2014-04-06,良,68,74,45,58,15,23,0.74,77
2014-04-07,良,91,113,67,87,17,30,1.15,64
2014-04-08,良,79,50,58,81,18,37,1.39,36
2014-04-09,良,72,39,51,82,21,38,1.43,37
2014-04-10,良,81,64,59,84,19,28,1.28,49
2014-04-11,良,98,128,73,103,18,30,1.25,44
2014-04-12,良,84,118,54,84,21,40,1.24,55
2014-04-13,良,72,81,50,81,21,34,1.05,62
2014-04-14,良,56,23,31,63,17,27,0.90,80
2014-04-15,良,69,47,49,79,28,27,1.10,66
2014-04-16,良,81,117,59,91,23,30,1.13,73
2014-04-17,轻度污染,104,131,78,119,21,34,1.19,77
2014-04-18,良,77,98,56,81,16,19,0.96,75
2014-04-19,良,53,65,24,38,9,15,0.69,87
2014-04-20,优,48,25,31,47,12,28,0.86,46
2014-04-21,良,51,34,35,50,13,23,0.94,33
2014-04-22,良,51,28,26,45,16,19,0.81,68
2014-04-23,良,56,27,36,61,20,26,0.85,51
2014-04-24,良,89,112,65,91,23,26,0.84,78
2014-04-25,良,91,135,65,95,22,28,0.83,39
2014-04-26,良,71,119,46,92,19,27,0.56,43
2014-04-27,良,71,105,46,86,16,24,0.62,59
