日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,90,237,62,74,211,24,3.06,21
2015-01-02,轻度污染,130,541,99,126,298,28,4.44,20
2015-01-03,中度污染,179,311,137,190,305,34,4.85,22
2015-01-04,重度污染,212,279,170,182,337,42,4.96,21
2015-01-05,轻度污染,146,206,109,134,190,29,3.51,25
2015-01-06,良,95,259,69,88,202,31,3.23,21
2015-01-07,轻度污染,127,323,95,105,199,29,3.32,24
2015-01-08,轻度污染,111,226,83,101,131,28,3.58,22
2015-01-09,轻度污染,139,244,104,123,130,34,3.87,22
2015-01-10,轻度污染,133,226,101,110,138,36,3.74,23
2015-01-11,轻度污染,148,264,112,129,173,40,4.00,22
2015-01-12,中度污染,171,332,130,154,145,40,4.34,27
2015-01-13,中度污染,177,326,133,184,157,56,5.17,26
2015-01-14,中度污染,172,303,130,160,144,43,4.62,26
2015-01-15,轻度污染,132,239,100,114,125,35,4.54,25
2015-01-16,良,88,150,61,93,113,23,4.51,28
2015-01-17,良,55,42,34,55,82,30,4.02,26
2015-01-18,优,45,24,23,43,64,18,3.70,36
2015-01-19,良,65,73,44,67,123,33,4.92,23
2015-01-20,良,85,127,58,87,107,25,5.09,29
2015-01-21,优,46,29,24,41,70,23,3.88,28
2015-01-22,良,58,39,38,61,114,28,4.25,24
2015-01-23,良,81,63,58,93,163,33,5.01,23
2015-01-24,良,94,114,70,106,138,39,5.06,22
2015-01-25,良,98,120,73,102,138,35,5.08,24
2015-01-26,良,73,66,51,76,98,29,4.31,25
2015-01-27,良,57,98,34,61,102,27,3.85,23
2015-01-28,良,68,237,48,78,121,35,4.29,23
2015-01-29,良,54,134,34,57,85,23,3.73,31
2015-01-30,良,59,130,39,65,98,28,3.90,27
2015-01-31,良,64,155,45,73,131,33,4.14,23
2015-02-01,良,78,180,56,89,125,32,4.34,27
2015-02-02,良,94,186,69,103,143,38,4.47,25
2015-02-03,良,82,128,60,94,116,31,4.30,25
2015-02-04,良,66,109,37,77,102,26,3.87,27
2015-02-05,良,75,160,53,92,126,29,4.12,23
2015-02-06,良,75,97,52,94,129,28,3.91,24
2015-02-07,良,89,143,63,108,131,27,3.75,25
2015-02-08,良,71,153,48,84,125,28,3.57,26
2015-02-09,良,80,168,58,95,145,31,3.70,25
2015-02-10,良,79,116,56,94,146,33,3.64,25
2015-02-11,良,85,122,58,107,119,29,3.39,27
2015-02-12,良,73,104,47,93,115,27,3.37,27
2015-02-13,良,69,82,43,77,143,29,3.53,27
2015-02-14,良,70,65,50,79,119,34,4.16,27
2015-02-15,良,79,122,52,96,111,29,3.75,30
2015-02-16,良,62,48,36,73,95,26,3.40,31
2015-02-17,良,58,68,37,62,109,26,3.59,30
2015-02-18,良,73,122,52,85,102,26,3.70,37
2015-02-19,良,75,95,53,91,90,22,3.39,39
2015-02-20,良,83,257,60,87,101,28,3.84,28
2015-02-21,良,78,215,46,94,94,19,3.39,32
2015-02-22,良,59,116,35,66,80,19,3.39,34
2015-02-23,良,60,125,40,63,128,26,3.74,31
2015-02-24,良,67,154,45,79,137,29,4.12,26
2015-02-25,良,63,180,34,74,86,21,3.44,26
2015-02-26,优,48,107,28,49,75,21,3.42,26
2015-02-27,良,62,241,43,65,84,22,3.70,26
2015-02-28,良,56,207,36,56,83,21,3.61,26
2015-03-01,良,59,162,36,65,94,26,3.89,24
2015-03-02,良,60,107,34,68,85,23,3.84,27
2015-03-03,良,55,94,26,60,68,17,3.40,31
2015-03-04,优,50,116,27,49,98,24,3.62,27
2015-03-05,良,58,171,38,62,100,27,3.81,24
2015-03-06,良,74,191,52,84,112,29,4.20,23
2015-03-07,良,63,129,42,73,115,32,4.10,22
2015-03-08,良,63,139,39,74,108,26,4.06,25
2015-03-09,优,45,59,23,45,85,22,3.54,26
2015-03-10,优,50,95,28,51,107,25,3.69,24
2015-03-11,良,55,101,33,61,111,25,3.99,23
2015-03-12,良,58,106,35,65,109,28,3.99,30
2015-03-13,良,56,90,33,60,103,29,3.95,23
2015-03-14,良,61,83,36,71,107,27,4.17,24
2015-03-15,良,65,78,37,77,107,31,4.14,25
2015-03-16,良,69,118,46,84,101,34,4.29,29
2015-03-17,良,69,153,43,86,92,29,4.14,33
2015-03-18,良,77,233,55,93,113,35,4.51,27
2015-03-19,良,66,142,43,75,98,28,4.30,26
2015-03-20,良,58,115,32,62,90,27,3.44,28
2015-03-21,良,62,98,38,68,69,27,2.91,27
2015-03-22,良,57,56,31,62,74,25,2.89,30
2015-03-23,良,58,91,31,64,71,26,3.05,28
2015-03-24,良,52,98,27,52,64,25,2.85,28
2015-03-25,良,60,144,38,67,70,27,3.08,28
2015-03-26,良,55,106,34,58,74,26,2.95,29
2015-03-27,良,55,104,32,58,62,30,2.93,25
2015-03-28,良,59,79,33,67,68,29,3.11,23
2015-03-29,良,64,90,33,76,74,27,3.24,25
2015-03-30,良,61,111,38,67,81,33,3.42,31
2015-03-31,良,68,160,48,79,67,29,3.47,32
2015-04-01,优,49,80,23,49,54,19,3.17,36
2015-04-02,良,59,166,36,66,65,28,3.50,22
2015-04-03,良,66,183,46,73,70,23,3.39,31
2015-04-04,良,69,195,48,72,69,26,3.43,26
2015-04-05,良,63,161,26,73,63,17,2.91,40
2015-04-06,良,60,208,32,69,64,24,3.05,30
2015-04-07,良,62,251,36,72,77,23,3.13,32
2015-04-08,良,59,187,39,63,70,24,3.23,35
2015-04-09,良,54,122,30,57,63,26,3.16,31
2015-04-10,良,57,118,30,62,82,26,3.24,30
2015-04-11,良,66,147,32,79,66,23,3.17,29
2015-04-12,良,70,187,25,89,57,15,3.03,37
2015-04-13,优,49,36,16,51,28,15,2.51,36
2015-04-14,良,56,44,27,61,38,23,2.73,34
2015-04-15,轻度污染,126,304,44,168,65,22,2.80,31
2015-04-16,轻度污染,106,236,32,160,25,13,2.49,38
2015-04-17,良,89,156,45,127,54,28,3.48,31
2015-04-18,轻度污染,102,265,56,153,49,37,3.46,24
2015-04-19,良,55,130,26,60,45,20,2.81,38
2015-04-20,良,69,240,32,87,48,23,2.98,29
2015-04-21,良,64,172,23,77,39,24,3.11,27
2015-04-22,良,59,109,15,68,54,25,2.94,25
2015-04-23,良,60,84,25,71,42,23,3.26,37
2015-04-24,良,63,107,29,73,54,28,3.08,35
2015-04-25,良,60,64,27,68,49,23,3.10,43
2015-04-26,良,53,34,25,54,52,17,2.98,44
2015-04-27,优,46,25,21,46,53,25,3.07,40
2015-04-28,良,61,93,19,71,36,21,2.67,32
2015-04-29,良,74,178,34,96,66,22,3.05,45
2015-04-30,良,75,148,39,98,68,21,3.05,48
2015-05-01,良,55,99,32,61,52,10,2.68,37
2015-05-02,良,56,156,26,62,52,17,2.62,30
2015-05-03,良,65,170,22,79,42,19,2.66,35
2015-05-04,良,62,157,15,73,58,19,2.59,38
2015-05-05,良,61,111,22,72,46,23,2.86,36
2015-05-06,良,57,85,26,65,45,18,2.85,38
2015-05-07,良,53,60,22,58,51,21,2.99,31
2015-05-08,良,91,315,47,82,64,17,3.61,45
2015-05-09,轻度污染,104,333,75,96,14,21,3.37,43
2015-05-10,良,81,273,49,83,16,17,2.31,44
2015-05-11,良,61,240,25,73,19,18,2.08,40
2015-05-12,良,88,334,43,111,18,25,2.13,36
2015-05-13,良,80,236,51,90,26,29,2.23,40
2015-05-14,良,83,234,54,114,36,33,2.23,27
2015-05-15,良,70,235,39,87,37,27,2.22,35
2015-05-16,良,58,129,29,64,64,30,2.23,43
2015-05-17,良,73,183,45,88,58,22,2.21,51
2015-05-18,良,69,167,33,86,35,20,2.16,51
2015-05-19,良,70,190,32,89,20,23,2.21,44
2015-05-20,良,58,159,29,67,24,23,2.23,45
2015-05-21,良,62,176,40,59,35,27,2.43,52
2015-05-22,良,79,234,56,81,26,28,2.48,43
2015-05-23,良,69,204,47,69,54,32,2.41,53
2015-05-24,良,76,202,54,80,52,33,2.50,57
2015-05-25,轻度污染,101,249,75,94,49,26,2.62,76
2015-05-26,轻度污染,112,270,84,99,57,29,2.70,77
2015-05-27,轻度污染,110,269,83,93,43,32,2.99,73
2015-05-28,轻度污染,138,327,105,110,41,38,3.12,60
2015-05-29,良,65,233,45,68,37,27,2.89,43
2015-05-30,良,56,160,34,57,46,23,2.63,44
2015-05-31,良,65,159,38,78,31,29,2.78,40
2015-06-01,良,55,117,36,55,34,23,2.62,44
2015-06-02,良,59,192,38,61,36,21,2.49,45
2015-06-03,良,76,308,51,94,29,37,2.27,29
2015-06-04,良,80,296,47,100,11,25,1.95,38
2015-06-05,良,94,323,48,136,55,23,1.92,27
2015-06-06,良,85,260,47,116,25,35,2.02,23
2015-06-07,良,64,217,30,78,12,30,1.76,20
2015-06-08,良,57,212,30,61,36,31,1.85,21
2015-06-09,良,71,216,43,86,50,29,2.02,46
2015-06-10,轻度污染,101,297,56,138,128,19,1.84,55
2015-06-11,优,47,115,21,50,16,20,1.19,47
2015-06-12,良,84,285,36,116,28,19,1.37,50
2015-06-13,优,50,134,22,51,24,24,1.25,51
2015-06-14,良,62,190,41,62,50,23,1.58,70
2015-06-15,良,92,288,68,87,43,25,1.68,84
2015-06-16,良,77,245,56,68,40,23,1.82,76
2015-06-17,良,72,239,51,65,53,30,2.46,61
2015-06-18,良,69,258,49,62,39,30,2.13,64
2015-06-19,良,77,282,52,74,46,26,2.17,66
2015-06-20,良,78,294,55,78,40,14,2.33,96
2015-06-21,轻度污染,113,347,85,107,44,22,2.69,80
2015-06-22,中度污染,176,363,133,150,97,25,2.91,110
2015-06-23,中度污染,160,358,121,142,61,24,2.64,88
2015-06-24,良,59,245,38,57,35,29,1.98,57
2015-06-25,良,80,328,57,64,39,22,2.27,70
2015-06-26,良,87,321,59,71,66,17,2.47,97
2015-06-27,轻度污染,116,340,86,92,60,15,2.26,112
2015-06-28,轻度污染,113,338,84,100,40,21,2.24,94
2015-06-29,良,76,306,54,78,38,30,2.08,44
2015-06-30,良,82,337,59,71,30,39,2.35,61
2015-07-01,良,58,231,30,58,31,30,2.26,58
2015-07-02,良,57,211,28,54,34,33,2.19,59
2015-07-03,良,53,184,29,52,25,37,1.93,67
2015-07-04,良,55,180,34,53,19,43,1.81,74
2015-07-05,良,69,259,49,68,15,44,1.95,80
2015-07-06,良,99,332,73,94,34,44,2.38,83
2015-07-07,良,86,305,63,79,33,31,2.01,89
2015-07-08,轻度污染,101,314,75,95,24,46,2.10,90
2015-07-09,轻度污染,122,339,92,112,41,51,2.29,97
2015-07-10,轻度污染,139,362,106,121,115,50,2.38,77
2015-07-11,轻度污染,145,365,109,128,12,36,2.35,85
2015-07-12,轻度污染,132,354,100,117,25,43,2.28,83
2015-07-13,良,97,288,71,98,14,44,1.83,56
2015-07-14,良,68,152,45,73,20,31,2.08,77
2015-07-15,良,52,120,32,50,19,21,2.14,69
2015-07-16,良,51,116,35,46,25,17,2.06,88
2015-07-17,良,51,145,31,45,16,25,2.28,61
2015-07-18,良,56,171,39,54,23,27,2.28,68
2015-07-19,良,65,238,46,58,39,36,2.58,52
2015-07-20,良,71,238,49,61,17,24,2.35,71
2015-07-21,良,64,207,39,51,15,25,2.09,104
2015-07-22,良,51,153,25,42,27,23,1.69,81
2015-07-23,良,55,214,34,52,44,27,1.55,65
2015-07-24,良,51,179,31,44,50,24,1.55,69
2015-07-25,良,58,187,34,52,65,24,1.57,85
2015-07-26,良,83,279,60,80,83,28,1.76,91
2015-07-27,良,98,324,72,98,55,30,2.01,90
2015-07-28,轻度污染,104,348,77,95,66,27,2.08,84
2015-07-29,良,65,260,42,60,45,18,1.70,81
2015-07-30,良,69,305,43,60,49,21,1.70,80
2015-07-31,轻度污染,109,362,81,109,55,29,2.21,71
2015-08-01,轻度污染,118,360,88,101,53,16,1.98,71
2015-08-02,优,43,88,22,31,33,17,1.63,62
2015-08-03,优,45,100,27,43,35,27,2.08,30
2015-08-04,优,49,147,27,48,32,28,1.68,41
2015-08-05,良,52,158,26,49,56,21,1.55,61
2015-08-06,良,79,325,55,78,34,25,1.64,69
2015-08-07,良,82,326,58,82,54,22,1.68,74
2015-08-08,良,76,313,53,77,39,21,1.59,66
2015-08-09,良,74,318,51,76,40,18,1.52,62
2015-08-10,良,74,325,52,61,34,17,1.47,71
2015-08-11,良,70,300,50,69,44,34,1.81,41
2015-08-12,良,83,305,61,85,54,29,1.73,67
2015-08-13,良,83,266,60,75,44,14,1.65,74
2015-08-14,优,41,80,17,37,36,24,1.58,49
2015-08-15,良,56,190,38,55,54,16,1.83,76
2015-08-16,良,74,243,53,69,53,21,1.83,78
2015-08-17,良,68,194,46,81,39,22,1.63,61
2015-08-18,良,71,213,49,79,56,28,2.13,48
2015-08-19,良,66,262,43,63,31,25,1.81,45
2015-08-20,优,39,71,18,37,18,17,1.63,42
2015-08-21,良,54,158,28,54,38,23,1.72,46
2015-08-22,优,45,84,21,44,13,17,1.75,49
2015-08-23,优,50,113,29,50,26,20,1.82,54
2015-08-24,良,55,165,36,52,30,17,1.82,64
2015-08-25,良,55,151,37,51,25,22,2.00,52
2015-08-26,良,51,109,32,51,16,22,1.92,39
2015-08-27,优,38,50,21,34,14,13,1.74,44
2015-08-28,优,39,69,24,37,16,19,1.81,40
2015-08-29,优,47,122,28,44,42,19,1.96,55
2015-08-30,良,62,184,40,62,20,20,1.90,57
2015-08-31,优,50,141,25,49,23,14,1.81,55
2015-09-01,优,50,151,32,39,20,16,1.94,50
2015-09-02,优,46,134,27,42,28,17,1.93,47
2015-09-03,优,50,168,31,47,28,19,1.96,50
2015-09-04,优,48,172,33,40,19,23,2.14,38
2015-09-05,良,51,219,30,48,19,19,2.11,40
2015-09-06,优,46,156,21,45,30,21,2.03,37
2015-09-07,良,62,245,43,60,52,27,2.29,42
2015-09-08,轻度污染,101,360,75,92,42,32,2.54,37
2015-09-09,良,58,210,41,52,25,24,2.34,33
2015-09-10,优,42,123,27,33,29,43,2.67,11
2015-09-11,优,40,106,23,35,20,20,1.97,33
2015-09-12,优,47,165,20,48,11,23,2.05,28
2015-09-13,良,54,160,32,52,75,30,2.24,23
2015-09-14,良,68,235,47,66,45,32,2.61,35
2015-09-15,轻度污染,110,350,82,102,24,34,2.82,46
2015-09-16,轻度污染,113,351,84,100,26,38,2.87,39
2015-09-17,轻度污染,102,332,76,105,29,31,2.89,34
2015-09-18,良,85,276,62,66,14,25,2.58,30
2015-09-19,良,60,184,41,61,16,28,2.59,9
2015-09-20,轻度污染,114,354,85,99,36,56,2.90,28
2015-09-21,轻度污染,105,314,78,99,29,32,2.90,39
2015-09-22,良,71,272,50,59,18,36,2.53,23
2015-09-23,优,40,85,23,38,48,31,2.50,19
2015-09-24,优,46,136,25,46,48,29,2.74,30
2015-09-25,优,41,98,18,41,40,28,2.21,29
2015-09-26,优,45,118,26,44,27,31,2.37,31
2015-09-27,良,72,246,51,69,51,31,2.71,44
2015-09-28,良,87,319,63,81,34,31,2.58,38
2015-09-29,良,62,246,44,49,38,16,2.37,59
2015-09-30,良,58,228,37,55,35,32,2.49,23
2015-10-01,良,66,237,21,83,30,13,1.97,38
2015-10-02,良,58,138,25,65,36,28,2.22,23
2015-10-03,良,56,130,27,63,45,32,2.45,19
2015-10-04,良,56,141,27,63,43,31,2.46,22
2015-10-05,良,57,163,30,64,40,34,2.51,25
2015-10-06,良,66,209,45,69,43,38,2.64,24
2015-10-07,良,59,216,41,51,35,34,2.59,21
2015-10-08,良,57,244,20,62,24,13,2.14,27
2015-10-09,良,54,170,20,58,27,11,2.31,24
