日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,严重污染,500,189,117,215,44,44,3.01,56
2014-01-01,严重污染,300,189,134,224,55,50,2.95,47
2014-01-02,中度污染,187,152,149,265,49,56,3.64,43
2014-01-03,重度污染,231,160,183,300,56,61,3.84,40
2014-01-04,重度污染,249,181,199,307,54,51,4.31,35
2014-01-05,严重污染,253,172,202,295,36,44,4.28,38
2014-01-06,中度污染,183,110,143,203,38,45,3.17,48
2014-01-07,轻度污染,105,83,79,106,29,36,3.07,32
2014-01-08,良,92,127,68,75,30,31,3.32,29
2014-01-09,良,60,37,39,68,26,30,2.36,31
2014-01-10,轻度污染,105,90,78,123,30,39,1.73,32
2014-01-11,轻度污染,117,96,88,115,28,39,1.50,21
2014-01-12,轻度污染,126,118,95,137,29,38,1.54,27
2014-01-13,中度污染,166,165,129,180,33,35,1.54,34
2014-01-14,轻度污染,117,95,89,132,31,43,1.48,30
2014-01-15,轻度污染,124,75,94,135,33,44,1.53,30
2014-01-16,轻度污染,121,63,91,142,36,48,1.76,30
2014-01-17,中度污染,200,128,154,242,40,46,2.61,32
2014-01-18,严重污染,388,187,332,467,61,50,3.96,28
2014-01-19,严重污染,303,168,251,341,37,52,3.23,35
2014-01-20,中度污染,172,133,112,245,38,41,1.98,32
2014-01-21,良,91,104,54,130,33,40,1.27,28
2014-01-22,中度污染,154,169,375,110,27,43,1.29,31
2014-01-24,轻度污染,108,76,80,140,31,47,1.71,30
2014-01-25,严重污染,281,185,231,322,48,51,2.80,32
2014-01-26,良,95,104,66,101,20,25,0.94,37
2014-01-27,良,75,64,50,89,24,39,1.35,32
2014-01-28,轻度污染,144,138,109,159,29,38,1.53,34
2014-01-29,轻度污染,124,126,93,121,25,32,1.54,41
2014-01-30,重度污染,233,140,180,258,40,51,2.87,45
2014-01-31,严重污染,257,129,207,261,32,50,2.39,40
2014-02-01,重度污染,243,161,193,267,34,33,2.67,47
2014-02-02,重度污染,206,125,158,257,30,34,3.36,32
2014-02-03,轻度污染,143,163,94,171,23,24,2.10,38
2014-02-04,优,50,67,24,52,20,23,1.00,42
2014-02-05,优,38,56,22,32,29,33,1.12,50
2014-02-06,优,23,11,13,17,17,19,0.87,33
2014-02-07,优,42,62,29,37,23,27,1.25,36
2014-02-08,良,99,149,73,93,31,22,1.49,41
2014-02-09,良,85,153,62,81,22,22,1.32,39
2014-02-10,良,61,114,41,58,28,20,1.22,50
2014-02-11,良,72,81,52,74,29,26,1.31,36
2014-02-12,良,76,59,55,75,20,28,0.88,34
2014-02-13,良,84,79,62,79,22,28,1.08,37
2014-02-14,轻度污染,134,122,101,144,36,33,1.63,29
2014-02-15,轻度污染,124,91,93,122,23,29,1.24,30
2014-02-16,良,72,63,52,62,16,26,0.99,23
2014-02-17,良,63,72,44,50,25,25,1.52,31
2014-02-18,良,57,69,41,48,23,25,1.03,41
2014-02-19,良,95,110,70,102,27,29,1.30,36
2014-02-20,轻度污染,113,109,85,140,43,35,1.68,17
2014-02-21,中度污染,166,129,126,169,32,28,1.33,55
2014-02-22,中度污染,159,122,119,156,31,30,1.27,44
2014-02-23,良,100,58,75,106,31,28,1.14,45
2014-02-24,轻度污染,121,62,92,125,30,27,1.43,55
2014-02-25,优,49,26,34,35,22,26,1.33,41
2014-02-26,优,49,12,33,51,20,23,1.22,41
2014-02-27,良,90,93,66,106,29,34,1.75,34
2014-02-28,优,48,35,33,39,20,26,1.32,33
2014-03-01,良,58,77,41,54,28,31,1.09,32
2014-03-02,轻度污染,103,118,77,104,37,35,1.04,40
2014-03-03,良,92,105,61,93,29,30,0.98,55
2014-03-04,良,67,68,44,78,24,29,0.89,40
2014-03-05,良,76,97,55,77,19,24,0.70,49
2014-03-06,良,60,87,41,59,19,28,0.64,40
2014-03-07,良,71,107,48,67,24,32,1.09,39
2014-03-08,良,63,74,44,57,17,36,0.76,40
2014-03-09,良,91,101,67,101,32,41,1.27,43
2014-03-10,轻度污染,113,116,84,127,24,39,1.08,59
2014-03-11,轻度污染,133,137,101,135,27,43,0.98,65
2014-03-12,中度污染,153,174,116,89,23,32,1.41,54
2014-03-13,良,80,109,53,85,27,28,1.18,42
2014-03-14,良,96,126,70,125,23,34,1.18,42
2014-03-15,良,99,91,71,126,43,54,1.55,50
2014-03-16,轻度污染,105,91,79,131,43,47,1.65,55
2014-03-17,轻度污染,102,62,75,134,27,44,1.28,50
2014-03-18,中度污染,155,118,103,224,39,50,2.01,53
2014-03-19,重度污染,201,182,1033,171,15,25,1.14,43
2014-03-20,良,93,144,68,112,30,27,1.43,51
2014-03-21,良,78,115,52,100,19,31,0.95,47
2014-03-22,良,83,95,58,109,24,33,1.01,53
2014-03-23,良,90,93,64,115,28,37,0.90,51
2014-03-25,良,83,52,58,83,16,24,1.43,39
2014-03-26,良,94,68,70,111,29,34,1.52,49
2014-03-27,轻度污染,111,89,83,121,23,31,1.18,59
2014-03-28,良,99,114,74,103,19,22,1.19,49
2014-03-29,轻度污染,116,129,87,118,22,26,1.52,33
2014-03-30,良,98,107,72,100,19,26,1.00,52
2014-03-31,良,77,69,53,84,21,24,0.93,50
2014-04-01,轻度污染,118,154,89,137,20,27,1.08,55
2014-04-02,良,76,74,50,91,19,22,0.75,54
2014-04-03,良,81,111,58,100,20,21,0.86,49
2014-04-04,良,83,101,49,115,20,25,0.90,49
2014-04-05,轻度污染,106,152,66,158,23,31,1.36,40
2014-04-06,良,62,45,23,73,17,21,0.60,47
2014-04-07,良,83,94,51,108,19,27,0.98,39
2014-04-08,轻度污染,102,89,76,123,24,28,1.43,38
2014-04-09,轻度污染,101,84,73,121,18,25,1.23,53
2014-04-10,轻度污染,105,114,76,131,19,26,0.96,65
2014-04-11,轻度污染,114,156,85,128,24,38,1.24,35
2014-04-12,良,56,37,39,50,18,26,1.11,33
2014-04-13,优,41,8,26,39,19,17,0.78,51
2014-04-14,良,79,68,57,84,19,21,0.81,72
2014-04-15,良,90,104,65,92,20,25,0.81,57
2014-04-16,良,87,135,63,93,18,26,0.94,47
2014-04-17,良,84,99,61,89,22,28,1.43,40
2014-04-18,良,75,92,54,76,16,28,0.98,36
2014-04-19,优,44,23,30,39,14,22,0.89,45
2014-04-20,良,54,42,36,55,16,16,0.78,49
2014-04-21,良,81,122,60,73,18,22,1.09,35
2014-04-22,良,69,73,48,70,19,20,0.99,55
2014-04-23,良,76,65,52,87,20,25,0.93,57
2014-04-24,良,73,61,49,90,24,26,0.90,55
2014-04-25,优,47,24,31,45,15,17,0.79,44
2014-04-26,良,56,73,38,63,16,16,1.16,28
2014-04-27,良,73,108,52,83,17,16,1.34,28
2014-04-28,良,69,92,44,81,29,24,1.28,37
2014-04-29,良,87,102,54,118,25,26,1.24,44
2014-04-30,轻度污染,102,116,65,152,25,27,1.18,53
