日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,重度污染,210,181,190,251,13,55,1.45,8
2014-01-01,重度污染,212,183,163,213,20,51,1.40,12
2014-01-02,重度污染,216,176,171,216,44,66,1.47,17
2014-01-03,重度污染,236,162,189,246,32,80,1.68,21
2014-01-04,重度污染,202,168,154,206,28,65,1.51,29
2014-01-05,重度污染,220,151,172,206,23,62,1.32,28
2014-01-06,轻度污染,119,53,89,94,13,45,0.99,31
2014-01-07,良,93,67,69,92,17,51,1.10,20
2014-01-08,良,64,73,43,73,16,46,0.65,45
2014-01-09,轻度污染,116,148,87,125,27,47,0.90,31
2014-01-10,轻度污染,106,96,79,92,16,40,0.96,30
2014-01-11,轻度污染,126,108,95,122,21,57,1.36,15
2014-01-12,轻度污染,120,109,88,123,22,58,1.14,27
2014-01-13,轻度污染,132,143,100,155,26,68,1.32,18
2014-01-14,轻度污染,149,123,114,155,24,70,1.29,22
2014-01-15,中度污染,176,116,133,189,55,83,1.55,10
2014-01-16,中度污染,194,128,149,196,31,70,1.53,21
2014-01-17,中度污染,190,113,144,183,19,57,1.51,15
2014-01-18,中度污染,188,106,142,168,11,46,1.37,19
2014-01-19,轻度污染,118,51,82,122,19,57,1.11,32
2014-01-20,轻度污染,122,79,92,168,28,74,1.31,25
2014-01-21,轻度污染,119,150,89,147,22,69,1.20,38
2014-01-22,中度污染,158,172,120,180,25,76,1.36,39
2014-01-24,中度污染,194,146,147,205,32,95,1.63,27
2014-01-25,中度污染,188,150,144,206,29,76,1.52,34
2014-01-26,中度污染,179,163,137,185,30,61,1.24,40
2014-01-27,重度污染,224,165,173,199,35,57,1.37,39
2014-01-28,重度污染,239,167,188,219,25,61,1.48,16
2014-01-29,重度污染,215,165,164,189,17,41,1.39,25
2014-01-30,中度污染,192,108,145,164,16,27,1.10,74
2014-01-31,重度污染,218,99,167,214,16,34,1.25,42
2014-02-01,中度污染,164,123,123,156,20,37,1.36,32
2014-02-02,中度污染,165,105,125,145,16,38,1.33,39
2014-02-03,中度污染,161,169,122,140,21,43,1.22,44
2014-02-04,中度污染,174,182,131,147,18,34,1.20,41
2014-02-05,优,41,63,27,34,14,21,1.06,47
2014-02-06,优,24,13,16,21,13,21,0.74,39
2014-02-07,良,54,94,39,48,20,31,0.84,34
2014-02-08,良,84,127,62,83,13,32,0.86,33
2014-02-09,良,73,126,53,69,20,24,0.72,72
2014-02-10,良,99,162,74,84,24,32,0.96,71
2014-02-11,轻度污染,110,139,83,92,22,36,1.09,41
2014-02-12,良,100,104,74,80,17,33,1.01,57
2014-02-13,轻度污染,129,136,97,111,17,43,1.14,36
2014-02-14,轻度污染,121,104,91,104,20,48,1.09,33
2014-02-15,轻度污染,143,114,109,127,23,50,1.12,41
2014-02-16,中度污染,158,144,120,149,24,56,1.37,27
2014-02-17,轻度污染,109,133,81,93,15,44,1.08,33
2014-02-18,轻度污染,110,164,83,99,21,50,1.17,39
2014-02-19,轻度污染,137,160,104,133,28,67,1.41,22
2014-02-20,中度污染,167,149,126,154,26,63,1.45,17
2014-02-21,轻度污染,137,94,104,138,35,89,1.50,23
2014-02-22,中度污染,166,132,126,172,37,73,1.64,16
2014-02-23,中度污染,155,123,117,160,32,63,1.32,28
2014-02-24,轻度污染,136,79,103,136,25,49,1.03,28
2014-02-25,轻度污染,135,97,102,134,16,51,1.19,13
2014-02-26,良,86,74,64,80,13,41,1.04,34
2014-02-27,良,51,25,29,54,11,42,0.76,45
2014-02-28,优,40,14,24,40,11,44,0.85,29
2014-03-01,良,71,108,51,81,17,57,0.88,35
2014-03-02,优,43,20,24,38,10,23,0.69,67
2014-03-03,优,34,6,23,29,9,32,0.88,35
2014-03-04,良,60,48,39,63,16,46,1.03,40
2014-03-05,良,71,84,51,64,17,42,1.03,37
2014-03-06,优,47,38,33,43,14,43,0.93,44
2014-03-07,良,53,60,37,46,9,43,1.01,30
2014-03-08,良,63,75,45,61,24,54,1.05,51
2014-03-09,良,70,69,50,69,19,42,0.99,41
2014-03-10,良,100,97,74,111,21,61,1.18,13
2014-03-11,轻度污染,104,92,77,105,31,52,1.11,47
2014-03-12,轻度污染,122,148,75,164,29,63,0.98,36
2014-03-13,轻度污染,108,172,64,165,20,52,0.73,41
2014-03-14,良,89,97,57,128,23,52,0.79,47
2014-03-15,良,89,61,66,119,23,54,0.94,42
2014-03-16,轻度污染,110,98,83,133,24,55,1.02,56
2014-03-17,轻度污染,134,113,102,153,28,72,1.14,62
2014-03-18,轻度污染,141,102,106,174,29,84,1.31,41
2014-03-19,轻度污染,124,141,89,161,31,56,0.87,50
2014-03-20,良,87,123,33,122,23,24,0.41,81
2014-03-21,良,53,16,26,60,13,29,0.57,58
2014-03-22,优,44,3,30,40,13,26,0.73,35
2014-03-23,良,61,25,43,64,21,40,0.85,39
2014-03-25,中度污染,157,142,119,160,21,53,1.10,39
2014-03-26,中度污染,152,140,115,154,25,56,1.06,43
2014-03-27,轻度污染,141,131,107,147,22,55,1.06,55
2014-03-28,轻度污染,141,165,107,164,31,63,1.06,50
2014-03-29,轻度污染,114,127,86,147,25,50,0.90,47
2014-03-30,良,61,34,42,71,11,25,0.59,64
2014-03-31,优,46,22,29,46,18,41,0.69,54
2014-04-01,良,72,63,52,84,25,46,0.84,48
2014-04-02,良,64,48,45,66,17,29,0.68,68
2014-04-03,良,61,44,40,62,16,33,0.57,73
2014-04-04,优,46,5,29,43,13,33,0.56,64
2014-04-05,良,64,35,45,70,22,44,0.81,43
2014-04-06,良,83,103,61,93,18,43,0.93,53
2014-04-07,良,56,22,37,51,17,30,0.78,85
2014-04-08,轻度污染,107,98,80,125,23,58,1.04,61
2014-04-09,轻度污染,124,126,94,147,20,57,1.02,40
2014-04-10,良,75,54,55,73,13,30,0.84,58
2014-04-11,优,47,8,31,45,13,34,0.83,55
2014-04-12,良,72,80,41,72,27,54,0.77,77
2014-04-13,良,78,102,52,89,26,46,0.89,63
2014-04-14,良,52,14,34,53,17,30,0.91,49
2014-04-15,优,47,8,31,46,13,28,0.89,45
2014-04-16,优,45,9,24,37,19,30,0.81,71
2014-04-17,优,44,13,27,44,21,27,0.78,64
2014-04-18,优,47,14,22,35,15,22,0.74,74
2014-04-19,良,52,54,11,21,20,30,0.55,95
2014-04-20,优,41,13,21,33,14,25,0.96,74
2014-04-21,优,38,12,18,29,15,26,0.75,72
2014-04-22,良,59,51,37,60,17,45,0.74,62
2014-04-23,良,82,76,59,87,18,51,0.91,68
2014-04-24,良,76,68,54,70,14,37,0.92,62
2014-04-25,良,97,146,72,112,12,24,0.56,64
2014-04-26,轻度污染,114,173,76,169,15,32,0.51,61
2014-04-27,良,86,136,49,120,16,43,0.60,44
2014-04-28,良,91,153,59,129,25,42,0.76,66
2014-04-29,良,87,105,55,95,19,30,0.66,95
2014-04-30,良,72,38,42,68,21,32,0.60,102
2014-05-01,良,82,46,56,98,16,40,0.59,80
2014-05-02,良,80,82,39,108,11,41,0.41,67
2014-05-03,良,96,139,62,140,13,46,0.61,48
2014-05-04,良,86,157,51,111,18,48,0.53,82
2014-05-05,良,75,119,41,87,14,41,0.49,96
2014-05-06,良,81,106,50,95,18,54,0.63,84
2014-05-07,轻度污染,107,165,75,127,25,62,0.81,115
2014-05-08,轻度污染,137,181,104,153,23,61,0.85,91
2014-05-09,轻度污染,128,170,96,130,23,58,1.06,45
2014-05-10,良,55,76,38,60,8,27,0.46,72
2014-05-11,良,66,145,42,81,13,44,0.58,50
2014-05-12,良,80,118,51,89,13,42,0.69,69
2014-05-13,良,57,33,34,58,15,41,0.70,72
2014-05-14,轻度污染,130,184,95,120,12,43,1.07,54
2014-05-15,良,53,37,30,54,10,36,0.58,69
2014-05-16,轻度污染,105,128,77,97,14,39,0.87,99
2014-05-17,轻度污染,118,153,89,104,10,37,0.97,91
2014-05-18,轻度污染,130,171,98,127,17,61,1.11,78
2014-05-19,良,98,120,72,99,13,40,0.87,93
2014-05-20,良,99,107,73,121,17,48,0.85,63
2014-05-21,良,79,68,56,80,14,31,0.70,85
2014-05-22,良,83,73,61,79,11,30,0.80,43
2014-05-23,良,52,51,37,44,8,24,0.83,36
2014-05-24,优,46,41,28,46,13,31,0.86,49
2014-05-25,轻度污染,119,137,79,187,10,25,0.50,58
2014-05-26,轻度污染,122,128,86,194,15,38,0.68,57
2014-05-27,轻度污染,114,101,81,173,16,32,0.71,74
2014-05-28,轻度污染,105,116,77,152,11,37,0.74,71
2014-05-29,轻度污染,110,95,83,131,16,51,0.88,86
2014-05-30,轻度污染,119,109,89,140,14,47,0.85,95
2014-05-31,轻度污染,109,121,82,128,15,35,0.81,108
2014-06-01,轻度污染,135,184,102,148,13,40,0.89,105
2014-06-02,轻度污染,147,185,111,159,12,44,0.98,82
2014-06-03,良,54,54,38,53,8,27,0.70,41
2014-06-04,优,41,13,26,37,9,28,0.81,40
2014-06-05,良,62,61,40,71,13,35,0.91,31
2014-06-06,良,69,83,49,73,13,33,0.80,57
2014-06-07,良,76,109,54,89,12,30,0.72,71
2014-06-08,良,69,68,49,71,9,26,0.67,88
2014-06-09,良,56,70,39,50,8,36,0.79,38
2014-06-10,良,76,121,55,84,19,49,0.95,40
2014-06-11,良,77,112,56,90,18,57,0.94,36
2014-06-12,良,75,72,53,86,11,43,0.83,49
2014-06-13,优,50,25,32,39,5,22,0.57,90
2014-06-14,良,51,13,28,44,11,27,0.67,78
2014-06-15,良,52,20,34,45,10,27,0.80,84
2014-06-16,良,87,94,63,85,12,35,0.99,67
2014-06-17,良,89,136,61,82,13,30,0.88,107
2014-06-18,良,80,115,53,73,12,36,0.74,87
2014-06-19,良,60,87,39,62,8,34,0.58,66
2014-06-20,良,55,92,31,59,12,46,0.63,26
2014-06-21,良,56,89,33,53,15,39,0.54,61
2014-06-22,良,56,82,38,56,10,28,0.53,68
2014-06-23,优,50,45,30,43,8,25,0.55,57
2014-06-24,优,26,6,13,17,4,19,0.50,46
2014-06-25,优,33,14,16,29,10,27,0.65,51
2014-06-26,优,44,44,30,39,6,26,0.68,52
2014-06-27,良,77,144,55,75,13,37,0.93,43
2014-06-28,良,65,85,46,62,7,37,0.86,34
2014-06-29,优,50,46,33,49,9,29,0.63,56
2014-06-30,良,58,51,40,53,13,29,0.67,39
2014-07-01,优,50,41,32,44,8,24,0.53,63
2014-07-02,优,49,42,34,47,11,26,0.61,54
2014-07-03,良,70,89,46,71,13,32,0.68,63
2014-07-04,优,47,38,20,33,7,27,0.57,78
2014-07-05,良,85,146,62,95,13,47,0.97,56
2014-07-06,轻度污染,110,168,82,120,17,54,1.14,31
2014-07-07,良,98,158,72,102,13,44,1.10,33
2014-07-08,良,58,52,41,54,8,32,0.85,43
2014-07-09,优,46,38,28,41,6,22,0.70,39
2014-07-10,优,28,8,5,8,7,20,0.53,50
2014-07-11,优,45,40,27,39,17,35,0.92,47
2014-07-12,良,51,63,27,44,11,33,0.74,63
2014-07-13,良,58,84,32,50,12,30,0.65,87
2014-07-14,良,68,90,39,59,12,29,0.67,90
