日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,146,60,110,173,32,56,1.27,88
2013-10-29,轻度污染,144,65,109,163,34,44,1.21,103
2013-10-30,轻度污染,105,65,78,115,30,44,1.44,76
2013-10-31,良,64,27,43,74,12,32,0.80,76
2013-11-01,良,94,51,67,133,24,60,1.08,62
2013-11-02,轻度污染,132,73,99,148,22,39,1.24,75
2013-11-03,良,76,30,53,94,24,34,1.14,57
2013-11-04,良,72,26,50,91,24,37,1.01,62
2013-11-05,良,100,59,74,123,32,42,1.15,65
2013-11-06,轻度污染,138,70,101,162,50,55,1.89,65
2013-11-07,轻度污染,134,77,95,170,31,57,0.88,59
2013-11-08,良,97,47,52,82,13,29,0.93,85
2013-11-09,良,66,22,46,92,14,44,1.08,46
2013-11-10,良,80,60,54,94,19,42,1.14,36
2013-11-11,优,50,22,16,24,6,23,1.42,25
2013-11-12,优,20,2,13,22,10,25,1.21,27
2013-11-13,优,38,22,22,40,26,32,1.50,65
2013-11-14,优,48,24,36,59,20,31,1.08,44
2013-11-15,良,59,24,46,79,25,40,1.01,49
2013-11-16,良,85,26,70,123,34,52,1.23,49
2013-11-17,良,95,54,70,121,30,55,1.13,39
2013-11-18,轻度污染,112,93,93,146,37,61,1.28,45
2013-11-19,轻度污染,111,77,78,120,31,50,1.08,50
2013-11-20,轻度污染,118,54,100,142,39,70,1.74,27
2013-11-21,轻度污染,140,67,115,146,29,57,1.30,23
2013-11-22,中度污染,156,71,119,154,26,52,1.40,40
2013-11-23,中度污染,160,68,128,144,16,71,1.54,20
2013-11-24,中度污染,158,69,87,101,16,50,1.56,19
2013-11-25,良,77,47,51,98,27,57,1.36,41
2013-11-26,良,84,63,67,135,29,70,1.26,35
2013-11-27,良,89,63,52,83,31,40,1.65,42
2013-11-28,良,57,27,37,65,19,29,0.92,58
2013-11-29,良,66,45,49,95,32,51,1.02,51
2013-11-30,良,86,54,75,141,47,71,1.28,31
2013-12-01,轻度污染,106,60,80,136,38,61,1.25,43
2013-12-02,轻度污染,121,50,102,177,42,80,1.55,39
2013-12-03,轻度污染,137,48,106,174,31,78,1.46,44
2013-12-04,中度污染,152,52,127,208,59,83,2.09,62
2013-12-05,中度污染,174,62,138,235,36,91,1.64,41
2013-12-06,中度污染,186,80,137,220,39,78,1.58,59
2013-12-07,中度污染,183,58,148,228,46,86,1.72,49
2013-12-08,重度污染,211,57,135,190,29,63,1.51,51
2013-12-09,中度污染,191,58,149,208,35,73,1.68,54
2013-12-10,中度污染,189,106,134,177,36,50,1.62,72
2013-12-11,中度污染,169,100,114,175,68,54,2.01,51
2013-12-12,轻度污染,146,94,130,170,30,48,1.57,31
2013-12-13,中度污染,175,94,126,156,22,49,1.55,33
2013-12-14,轻度污染,144,69,69,69,12,45,1.55,35
2013-12-15,优,48,7,20,18,10,29,1.32,42
2013-12-16,优,32,14,18,23,12,29,1.08,64
2013-12-17,优,41,32,37,49,23,30,0.86,59
2013-12-18,良,67,55,51,74,45,40,1.47,73
2013-12-19,良,77,39,59,82,26,36,0.94,73
2013-12-20,良,97,40,81,121,34,53,1.23,54
2013-12-21,轻度污染,123,54,108,150,39,57,1.42,62
2013-12-22,中度污染,178,80,151,205,41,67,1.65,44
2013-12-23,重度污染,202,76,151,205,45,74,1.76,48
2013-12-24,重度污染,205,65,153,220,45,74,1.76,53
2013-12-25,重度污染,201,56,149,217,69,84,2.29,52
2013-12-26,重度污染,201,61,147,206,51,72,1.82,51
2013-12-27,中度污染,179,104,124,173,55,57,1.49,58
2013-12-28,轻度污染,146,88,92,143,57,58,1.43,55
2013-12-29,轻度污染,122,76,91,139,53,64,1.44,67
2013-12-30,轻度污染,143,88,125,206,50,83,1.92,36
2013-12-31,中度污染,191,177,155,243,58,85,1.83,32
2014-01-01,重度污染,209,180,154,223,61,85,2.09,61
2014-01-02,中度污染,194,164,138,187,40,71,1.59,82
2014-01-03,中度污染,184,123,139,186,33,75,1.53,61
2014-01-04,重度污染,206,171,157,215,48,80,1.69,56
2014-01-05,重度污染,202,141,152,216,43,75,1.59,74
2014-01-06,中度污染,169,97,128,171,24,48,1.47,92
2014-01-07,轻度污染,118,94,89,119,17,38,1.21,67
2014-01-08,良,86,117,64,89,41,39,1.62,57
2014-01-09,轻度污染,111,146,84,105,32,36,1.25,56
2014-01-10,中度污染,162,142,123,179,41,57,1.58,36
2014-01-11,中度污染,168,137,127,163,29,54,1.84,23
2014-01-12,良,65,40,47,63,23,32,1.51,35
2014-01-13,良,70,48,50,75,27,37,1.15,49
2014-01-14,良,94,68,70,115,34,58,1.23,40
2014-01-15,轻度污染,132,83,100,161,51,70,2.03,61
2014-01-16,中度污染,159,106,120,185,37,83,1.81,42
2014-01-17,中度污染,170,94,128,195,36,77,1.84,43
2014-01-18,中度污染,172,94,130,203,39,73,1.86,40
2014-01-19,中度污染,186,111,141,226,37,84,1.86,45
2014-01-20,中度污染,190,152,144,220,44,77,1.88,50
2014-01-21,轻度污染,136,169,102,173,44,58,1.34,51
2014-01-22,轻度污染,145,161,109,203,76,79,1.84,47
2014-01-24,良,87,57,64,99,21,40,1.02,76
2014-01-25,轻度污染,119,88,89,125,17,56,1.30,27
2014-01-26,重度污染,228,172,177,217,24,62,1.90,32
2014-01-27,中度污染,179,155,137,170,20,48,1.61,43
2014-01-28,良,76,75,55,72,10,23,0.98,72
2014-01-29,良,78,59,56,75,27,26,1.34,79
