日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,63,96,41,69,20,10,1.16,51
2015-01-02,良,61,114,40,68,28,11,1.25,52
2015-01-03,良,60,33,37,68,26,11,1.21,52
2015-01-04,良,69,37,45,75,24,14,1.41,65
2015-01-05,良,90,100,66,86,27,13,1.41,35
2015-01-06,良,97,262,71,96,31,13,1.62,48
2015-01-07,优,41,25,24,35,19,14,1.99,20
2015-01-08,良,58,60,38,53,24,9,1.40,58
2015-01-09,良,79,103,57,75,26,10,1.45,52
2015-01-10,良,79,95,57,76,32,11,1.45,45
2015-01-11,良,79,111,56,79,27,10,1.46,57
2015-01-12,良,57,97,34,53,23,9,1.22,60
2015-01-13,优,34,35,18,26,14,7,1.21,55
2015-01-14,优,37,34,13,38,15,8,1.32,37
2015-01-15,优,38,14,19,37,18,8,1.28,47
2015-01-16,优,50,27,31,47,19,9,1.36,41
2015-01-17,良,74,97,52,65,20,9,1.46,61
2015-01-18,轻度污染,112,211,83,105,23,10,1.67,76
2015-01-19,良,87,148,64,87,24,11,1.60,60
2015-01-20,良,83,118,54,95,27,13,1.64,73
2015-01-21,良,78,109,56,84,23,14,1.59,65
2015-01-22,良,83,115,58,91,26,21,1.62,70
2015-01-23,良,83,74,60,87,26,23,1.72,61
2015-01-24,良,93,112,69,93,30,24,1.88,63
2015-01-25,良,72,65,48,76,25,19,1.63,53
2015-01-26,良,71,59,51,68,22,17,1.70,45
2015-01-27,良,86,206,62,68,24,17,1.80,65
2015-01-28,优,33,40,16,29,15,10,1.58,56
2015-01-29,优,38,50,18,38,17,10,1.41,58
2015-01-30,优,29,9,12,29,15,13,1.52,13
2015-01-31,优,26,4,13,25,14,13,1.57,15
2015-02-01,优,49,57,31,43,18,13,1.63,29
2015-02-02,良,67,85,46,57,14,13,1.70,30
2015-02-03,良,55,44,36,50,16,12,1.75,23
2015-02-04,优,29,4,15,28,14,13,1.77,19
2015-02-05,良,58,84,33,62,18,12,1.58,59
2015-02-06,良,88,163,64,79,21,16,1.64,71
2015-02-07,轻度污染,101,194,75,97,21,18,1.76,65
2015-02-08,良,77,189,55,73,21,15,1.58,86
2015-02-09,轻度污染,114,296,85,99,18,15,1.71,92
2015-02-10,良,95,171,70,98,20,18,1.74,79
2015-02-11,轻度污染,117,214,87,108,21,22,1.90,59
2015-02-12,良,99,178,71,108,18,21,1.96,70
2015-02-13,良,80,129,55,89,15,19,1.72,68
2015-02-14,良,72,69,51,74,20,18,1.59,58
2015-02-15,良,64,64,45,65,12,16,1.51,41
2015-02-16,良,54,33,36,52,14,15,1.58,46
2015-02-17,优,46,34,28,42,16,12,1.43,47
2015-02-18,良,70,109,50,68,15,9,1.54,66
2015-02-19,良,81,117,55,85,18,8,1.34,102
2015-02-20,良,53,131,33,51,13,9,1.20,76
2015-02-21,优,50,112,32,50,14,12,1.31,32
2015-02-22,优,44,59,22,43,14,12,1.49,34
2015-02-23,优,32,26,15,28,15,10,1.52,40
2015-02-24,优,36,31,14,34,16,10,1.60,43
2015-02-25,优,38,54,22,32,15,12,1.54,43
2015-02-26,优,40,64,19,36,17,10,1.43,48
2015-02-27,优,37,73,4,17,13,6,1.01,70
2015-02-28,优,37,105,5,28,13,6,1.00,58
2015-03-01,优,34,46,5,25,12,6,1.09,51
2015-03-02,优,33,13,17,32,16,10,1.20,37
2015-03-03,优,32,5,16,28,12,10,1.26,39
2015-03-04,优,32,22,7,20,12,8,1.31,59
2015-03-05,优,39,69,8,29,12,7,1.30,64
2015-03-06,优,25,23,6,16,16,9,1.26,41
2015-03-07,优,22,4,7,15,13,8,1.17,35
2015-03-08,优,36,20,16,36,23,13,1.22,32
2015-03-09,优,31,10,11,27,14,9,1.15,56
2015-03-10,优,47,72,21,41,13,7,1.07,77
2015-03-11,优,35,29,12,26,13,7,1.20,58
2015-03-12,优,31,21,14,28,17,10,1.23,55
2015-03-13,优,40,29,18,41,17,12,1.34,46
2015-03-14,优,50,34,33,44,19,16,1.44,29
2015-03-15,良,64,72,44,44,20,18,1.60,31
2015-03-16,良,57,74,35,51,18,16,1.66,41
2015-03-17,良,58,103,37,58,18,14,1.56,45
2015-03-18,良,63,167,41,71,19,13,1.32,65
2015-03-19,良,71,170,51,66,21,17,1.42,66
2015-03-20,良,74,170,53,72,21,12,1.43,105
2015-03-21,良,66,121,39,71,18,12,1.53,61
2015-03-22,优,43,10,26,41,18,9,1.51,65
2015-03-23,良,72,203,31,52,17,8,1.21,121
2015-03-24,优,46,52,24,43,17,8,1.15,76
2015-03-25,优,46,50,14,38,19,9,1.07,79
2015-03-26,优,44,47,25,42,26,12,1.20,59
2015-03-27,优,40,29,18,36,14,10,1.24,52
2015-03-28,优,48,38,23,48,22,14,1.41,52
2015-03-29,良,56,64,33,53,21,14,1.38,73
2015-03-30,良,74,173,51,49,21,14,1.38,80
2015-03-31,良,56,106,36,56,21,13,1.45,55
2015-04-01,良,53,108,30,54,21,14,1.25,50
2015-04-02,良,53,128,33,55,21,16,1.13,52
2015-04-03,良,58,133,38,60,26,14,1.22,58
2015-04-04,良,60,133,38,60,24,15,1.18,65
2015-04-05,良,59,145,36,56,21,14,1.10,71
2015-04-06,良,88,292,58,79,24,14,1.21,96
2015-04-07,优,46,154,15,49,19,9,1.17,54
2015-04-08,优,32,28,6,21,15,8,1.13,56
2015-04-09,优,31,13,9,21,15,8,1.18,49
2015-04-10,优,27,19,10,25,14,10,1.20,29
2015-04-11,优,27,14,14,24,15,9,1.19,42
2015-04-12,优,47,47,27,44,17,10,1.22,75
2015-04-13,良,64,173,30,55,16,13,1.14,84
2015-04-14,良,60,65,23,49,16,13,1.11,98
2015-04-15,良,57,27,32,51,17,15,1.31,93
2015-04-16,良,77,101,46,80,20,19,1.43,104
2015-04-17,良,82,121,50,79,21,16,1.20,111
2015-04-18,良,70,133,49,75,31,22,1.14,55
2015-04-19,良,93,310,69,89,27,23,1.48,37
2015-04-20,优,40,41,20,40,18,13,1.23,49
2015-04-21,优,32,6,20,23,16,9,1.18,46
2015-04-22,良,51,56,33,47,18,12,1.17,65
2015-04-23,良,58,69,27,49,21,12,0.96,98
2015-04-24,良,52,45,29,51,18,12,0.97,67
2015-04-25,良,56,49,29,61,18,11,0.99,63
2015-04-26,良,55,40,29,50,27,13,0.96,80
2015-04-27,良,64,85,42,68,28,14,1.10,78
2015-04-28,优,42,25,17,40,17,11,1.13,55
2015-04-29,优,48,47,23,51,17,11,1.19,62
2015-04-30,良,62,74,37,68,21,13,1.14,74
2015-05-01,良,76,207,44,82,20,12,1.16,80
2015-05-02,良,55,142,23,59,19,12,1.15,56
2015-05-03,良,63,159,24,75,19,16,1.17,48
2015-05-04,良,61,151,34,67,24,21,1.31,40
2015-05-05,良,59,100,26,50,16,13,1.12,98
2015-05-06,良,53,67,31,56,18,12,1.31,46
2015-05-07,良,54,68,21,57,19,13,1.23,41
2015-05-08,良,62,157,27,72,18,20,0.83,58
2015-05-09,良,59,164,19,72,14,14,0.79,53
2015-05-10,优,44,49,20,24,11,10,0.71,89
2015-05-11,优,35,30,17,25,11,13,0.72,56
2015-05-12,优,47,84,8,21,11,13,0.52,90
2015-05-13,优,47,44,21,38,17,19,0.70,83
2015-05-14,优,50,81,33,40,17,23,0.88,60
2015-05-15,优,48,100,27,42,15,19,0.80,55
2015-05-16,优,42,64,10,35,9,9,0.63,64
2015-05-17,良,51,88,13,58,7,9,0.75,55
2015-05-18,优,44,56,15,48,6,12,0.80,31
2015-05-19,优,40,58,9,41,6,13,0.81,33
2015-05-20,优,39,54,14,38,8,11,0.93,44
