日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,81,21,58,91,23,38,0.54,61
2013-10-29,轻度污染,101,51,75,112,27,50,0.67,53
2013-10-30,良,87,49,64,90,8,20,0.61,85
2013-10-31,良,63,25,43,65,14,20,0.54,68
2013-11-01,良,61,20,40,63,15,21,0.53,66
2013-11-02,良,95,42,70,96,13,31,0.74,57
2013-11-03,轻度污染,124,65,93,110,4,22,0.93,61
2013-11-04,轻度污染,119,80,87,118,11,26,0.96,52
2013-11-05,轻度污染,102,60,74,109,18,42,0.81,54
2013-11-06,中度污染,164,88,136,189,41,70,1.21,51
2013-11-07,重度污染,228,113,200,265,68,88,1.36,60
2013-11-08,重度污染,249,114,150,203,27,48,1.04,73
2013-11-09,轻度污染,134,78,70,100,28,59,1.10,40
2013-11-10,良,83,63,28,72,8,22,0.75,56
2013-11-11,良,57,39,40,69,13,25,0.66,61
2013-11-12,良,62,42,45,81,11,28,0.64,48
2013-11-13,良,75,55,56,87,20,34,0.65,55
2013-11-14,良,96,60,100,124,29,52,0.99,18
2013-11-15,中度污染,191,100,175,260,63,72,1.75,25
2013-11-16,重度污染,208,102,126,278,82,70,1.65,38
2013-11-17,中度污染,153,107,78,191,31,32,0.86,45
2013-11-18,良,95,66,67,112,35,36,0.88,39
2013-11-19,轻度污染,110,75,101,158,53,53,1.18,33
2013-11-20,中度污染,187,103,172,254,97,83,1.91,32
2013-11-21,重度污染,217,100,150,211,51,55,1.20,50
2013-11-22,轻度污染,121,52,57,94,24,30,0.72,60
2013-11-23,良,88,25,78,124,26,41,0.80,61
2013-11-24,轻度污染,108,41,74,99,25,43,1.10,30
2013-11-25,良,95,68,68,201,37,33,0.89,29
2013-11-26,中度污染,157,106,99,277,65,60,1.35,18
2013-11-27,轻度污染,149,112,84,180,66,46,1.03,31
2013-11-28,良,84,95,48,103,33,28,0.63,38
2013-11-29,良,84,82,63,128,67,46,0.93,24
2013-11-30,轻度污染,104,74,90,151,108,74,1.32,20
2013-12-01,中度污染,163,96,192,275,61,68,1.53,29
2013-12-02,严重污染,297,109,252,350,89,92,2.30,17
2013-12-03,严重污染,256,87,208,305,96,111,1.70,27
2013-12-04,重度污染,205,71,163,214,35,53,1.31,66
2013-12-05,重度污染,232,77,223,296,58,106,2.14,18
2013-12-06,严重污染,374,112,307,380,34,67,2.12,28
2013-12-07,重度污染,212,68,123,169,42,58,1.20,40
2013-12-08,中度污染,195,50,148,185,37,65,1.23,41
2013-12-09,严重污染,262,92,200,274,33,54,1.92,28
2013-12-10,中度污染,159,92,80,123,38,39,1.05,37
2013-12-11,轻度污染,113,62,80,135,40,48,0.86,31
2013-12-12,轻度污染,115,59,114,184,80,81,1.26,18
2013-12-13,中度污染,172,92,101,165,43,51,1.00,33
2013-12-14,良,94,30,85,138,47,53,0.86,27
2013-12-15,轻度污染,149,70,113,162,35,39,0.92,56
2013-12-16,良,82,39,29,43,10,22,0.46,49
2013-12-17,优,44,33,29,42,8,21,0.44,47
2013-12-18,良,51,36,59,86,18,17,0.65,59
2013-12-19,轻度污染,106,55,115,148,40,36,0.92,47
2013-12-20,重度污染,215,87,181,231,88,58,1.63,33
2013-12-21,中度污染,155,66,72,100,28,30,0.84,48
2013-12-22,轻度污染,103,21,81,106,23,34,0.82,43
2013-12-23,轻度污染,110,26,93,120,22,39,0.87,43
2013-12-24,中度污染,177,51,182,226,78,59,1.68,36
2013-12-25,重度污染,231,70,192,238,61,66,1.72,32
2013-12-26,严重污染,313,94,244,327,85,70,1.90,24
2013-12-27,轻度污染,147,85,45,86,27,27,0.66,45
2013-12-28,良,84,30,80,130,48,53,0.87,35
2013-12-29,轻度污染,146,97,127,188,79,68,1.30,24
2013-12-30,中度污染,160,102,127,204,112,88,1.64,20
2013-12-31,中度污染,183,171,141,233,135,95,2.05,19
2014-01-01,中度污染,193,174,156,237,124,103,2.14,19
2014-01-02,中度污染,200,170,158,234,76,88,1.43,38
2014-01-03,重度污染,219,155,170,227,49,68,1.40,35
2014-01-04,轻度污染,106,67,77,122,18,26,0.90,43
2014-01-05,轻度污染,102,31,75,118,47,52,0.83,24
2014-01-06,良,67,18,42,75,27,33,0.63,44
2014-01-07,良,72,32,51,74,19,30,0.70,50
2014-01-08,优,45,17,29,37,4,9,0.59,74
2014-01-09,良,60,36,41,68,15,19,0.68,51
2014-01-10,良,85,54,60,102,36,35,0.80,49
2014-01-11,良,95,67,71,98,23,27,0.77,63
2014-01-12,中度污染,175,161,135,168,30,31,1.05,59
2014-01-13,良,77,58,51,80,13,18,0.59,60
2014-01-14,良,52,17,34,54,9,29,0.55,48
2014-01-15,良,70,25,50,70,17,27,0.65,59
2014-01-16,轻度污染,150,97,113,154,38,57,1.04,48
2014-01-17,中度污染,199,126,154,202,56,70,1.28,30
