日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,94,250,64,134,32,29,1.89,26
2015-01-02,轻度污染,129,540,97,174,46,33,2.02,20
2015-01-03,中度污染,162,282,123,205,62,35,2.44,20
2015-01-04,重度污染,204,269,153,238,53,35,2.13,44
2015-01-05,重度污染,231,313,182,242,33,35,2.39,19
2015-01-06,轻度污染,142,345,103,184,33,26,2.34,28
2015-01-07,轻度污染,118,307,88,145,19,28,2.38,26
2015-01-08,中度污染,163,316,123,186,20,40,2.71,24
2015-01-09,中度污染,170,288,130,215,27,44,2.88,18
2015-01-10,中度污染,173,278,131,222,25,44,2.16,25
2015-01-11,中度污染,192,321,145,216,46,32,1.67,35
2015-01-12,重度污染,230,356,183,266,54,33,2.00,30
2015-01-13,轻度污染,113,241,85,122,15,20,1.15,37
2015-01-14,中度污染,175,308,132,184,17,28,1.47,27
2015-01-15,重度污染,206,310,157,220,22,31,1.79,20
2015-01-16,重度污染,216,329,166,239,29,38,2.16,17
2015-01-17,轻度污染,137,273,103,172,35,28,1.67,35
2015-01-18,轻度污染,105,186,65,143,38,22,1.41,52
2015-01-19,中度污染,153,329,114,218,51,33,2.04,31
2015-01-20,中度污染,193,348,147,254,49,40,2.19,31
2015-01-21,轻度污染,118,214,65,161,28,24,1.36,47
2015-01-22,轻度污染,101,177,73,144,44,27,1.43,39
2015-01-23,轻度污染,150,247,112,221,51,41,1.73,24
2015-01-24,中度污染,163,242,123,201,40,38,1.55,23
2015-01-25,中度污染,194,279,148,191,45,38,1.94,19
2015-01-26,重度污染,243,315,192,254,34,42,2.31,10
2015-01-27,中度污染,170,351,126,220,39,25,1.66,29
2015-01-28,良,91,319,44,127,34,14,0.98,37
2015-01-29,轻度污染,107,304,79,101,56,20,1.43,32
2015-01-30,中度污染,182,353,139,185,54,30,1.89,28
2015-01-31,中度污染,175,356,134,180,48,19,1.39,41
2015-02-01,轻度污染,117,276,88,136,41,22,1.45,30
2015-02-02,中度污染,163,312,123,189,32,27,1.66,21
2015-02-03,中度污染,197,311,148,232,37,32,2.19,24
2015-02-04,中度污染,195,328,149,250,47,33,2.41,32
2015-02-05,轻度污染,101,235,66,147,42,35,1.67,24
2015-02-06,轻度污染,118,274,86,171,46,41,1.77,31
2015-02-07,轻度污染,149,312,111,211,44,44,1.92,27
2015-02-08,良,89,244,48,127,26,18,1.27,51
2015-02-09,良,85,194,51,117,24,24,1.40,46
2015-02-10,轻度污染,132,272,96,203,41,39,1.97,33
2015-02-11,中度污染,169,305,121,228,44,38,1.83,37
2015-02-12,中度污染,152,270,101,242,33,31,1.70,49
2015-02-13,中度污染,180,326,136,256,48,31,1.78,59
2015-02-14,中度污染,183,297,139,234,42,27,1.76,58
2015-02-15,重度污染,208,329,160,221,35,31,2.01,41
2015-02-16,重度污染,213,350,166,273,18,35,2.23,38
2015-02-17,轻度污染,138,282,104,193,18,23,1.40,55
2015-02-18,中度污染,161,348,122,211,26,12,1.25,79
2015-02-19,轻度污染,145,252,109,144,22,7,0.97,69
2015-02-20,良,100,296,74,104,9,9,1.16,47
2015-02-21,轻度污染,123,305,92,120,6,12,1.53,20
2015-02-22,轻度污染,123,243,88,177,12,12,1.67,35
2015-02-23,中度污染,168,351,126,221,15,12,1.75,41
2015-02-24,中度污染,159,342,121,195,18,17,1.69,36
2015-02-25,轻度污染,125,309,79,190,21,17,1.49,45
2015-02-26,轻度污染,147,347,111,224,21,13,1.53,74
2015-02-27,良,88,322,58,122,16,9,1.33,63
2015-02-28,良,83,307,61,86,19,13,1.43,45
2015-03-01,轻度污染,103,317,76,118,16,22,1.80,35
2015-03-02,良,77,197,54,96,19,15,1.44,49
2015-03-03,轻度污染,140,337,60,206,9,14,1.34,58
2015-03-04,良,77,292,33,102,10,12,1.38,58
2015-03-05,良,69,226,38,80,17,12,1.58,66
2015-03-06,良,98,271,72,113,17,19,1.73,55
2015-03-07,轻度污染,102,276,75,130,14,24,1.68,51
2015-03-08,轻度污染,130,322,97,174,15,35,1.85,48
2015-03-09,中度污染,177,356,131,232,11,29,1.74,44
2015-03-10,良,90,278,59,127,15,19,1.70,48
2015-03-11,轻度污染,128,343,96,165,25,26,2.04,48
2015-03-12,轻度污染,135,326,102,158,33,22,1.64,70
2015-03-13,轻度污染,142,321,107,171,31,32,1.64,73
2015-03-14,中度污染,179,343,136,227,52,37,1.84,80
2015-03-15,中度污染,193,334,145,231,19,46,1.99,46
2015-03-16,中度污染,185,334,141,212,16,35,1.93,49
2015-03-17,轻度污染,136,318,103,146,14,38,1.78,26
2015-03-18,轻度污染,111,326,83,120,9,24,1.72,59
2015-03-19,良,90,242,66,104,9,37,1.88,21
2015-03-20,良,78,186,53,94,17,43,2.14,21
2015-03-21,良,92,237,62,122,21,47,2.09,33
2015-03-22,轻度污染,120,293,82,187,33,48,1.96,52
2015-03-23,轻度污染,137,351,67,213,28,32,1.47,38
2015-03-24,轻度污染,101,305,72,148,32,29,1.19,58
2015-03-25,良,86,274,57,119,27,28,1.27,62
2015-03-26,轻度污染,102,304,76,116,34,31,1.12,64
2015-03-27,轻度污染,138,335,104,171,40,42,1.47,56
2015-03-28,轻度污染,123,292,92,152,34,37,1.25,63
2015-03-29,轻度污染,120,259,90,169,46,45,1.25,59
2015-03-30,良,98,249,65,113,45,36,1.14,38
2015-03-31,良,79,200,46,105,39,36,0.93,30
2015-04-01,优,48,73,23,51,42,22,0.85,43
2015-04-02,良,51,115,30,56,50,23,1.07,37
2015-04-03,良,87,288,58,118,27,25,1.13,57
2015-04-04,轻度污染,133,326,100,142,20,23,1.03,78
2015-04-05,轻度污染,127,307,95,144,29,34,1.03,42
2015-04-06,轻度污染,104,313,70,133,36,30,0.91,40
2015-04-07,良,98,339,67,135,39,22,1.09,59
2015-04-08,轻度污染,111,335,81,158,20,24,0.52,49
2015-04-09,良,96,314,69,134,26,25,0.48,60
2015-04-10,轻度污染,105,314,74,149,28,28,0.59,57
2015-04-11,良,92,280,59,133,27,27,0.74,78
2015-04-12,良,75,223,23,98,13,16,0.69,79
2015-04-13,良,75,272,29,97,31,16,0.94,74
2015-04-14,良,96,301,52,140,43,23,1.03,71
2015-04-15,良,81,155,39,110,37,18,0.55,78
2015-04-16,重度污染,202,356,68,288,26,16,0.75,63
2015-04-17,中度污染,184,361,73,315,35,25,1.18,62
2015-04-18,轻度污染,145,343,97,231,28,29,1.20,45
2015-04-19,良,71,237,47,89,23,20,1.27,75
2015-04-20,良,75,267,41,98,26,19,1.40,69
2015-04-21,轻度污染,102,331,57,151,38,33,1.45,46
2015-04-22,轻度污染,105,331,53,158,39,34,1.40,51
2015-04-23,轻度污染,111,325,76,171,40,34,1.30,71
2015-04-24,良,100,288,65,147,40,34,0.85,75
2015-04-25,轻度污染,105,263,66,154,32,36,0.85,64
2015-04-26,轻度污染,113,309,76,173,40,33,0.89,80
2015-04-27,良,84,205,49,117,32,25,0.80,84
2015-04-28,轻度污染,104,308,62,156,37,24,0.75,96
2015-04-29,良,100,288,62,146,23,20,0.94,113
2015-04-30,良,99,262,57,146,23,24,1.02,106
2015-05-01,良,78,218,45,104,15,21,0.98,81
2015-05-02,良,58,168,18,66,20,18,1.12,62
2015-05-03,良,90,289,50,127,31,26,1.30,63
2015-05-04,轻度污染,137,356,92,202,37,30,1.36,64
2015-05-05,轻度污染,137,350,103,176,32,25,1.13,76
2015-05-06,轻度污染,116,316,86,149,25,22,0.92,86
2015-05-07,轻度污染,103,284,70,144,21,18,0.93,88
2015-05-08,良,62,156,28,72,21,18,0.96,82
2015-05-09,良,78,282,41,104,27,25,1.07,75
2015-05-10,良,96,308,69,134,17,17,1.11,59
2015-05-11,良,69,305,37,86,19,12,0.91,76
2015-05-12,良,80,305,35,109,24,16,1.00,76
2015-05-13,轻度污染,103,333,65,153,32,17,0.97,86
2015-05-14,轻度污染,132,351,90,197,30,18,1.10,102
2015-05-15,轻度污染,111,341,58,169,34,20,0.90,108
2015-05-16,轻度污染,112,343,61,171,36,19,1.08,127
2015-05-17,良,99,280,63,147,22,27,0.97,69
2015-05-18,良,97,288,66,135,24,21,0.97,76
2015-05-19,轻度污染,107,299,63,162,34,27,1.02,93
2015-05-20,轻度污染,103,333,52,154,35,17,1.19,120
2015-05-21,良,85,313,42,118,26,16,0.99,112
2015-05-22,良,90,283,56,126,36,23,0.89,90
2015-05-23,轻度污染,102,290,72,143,20,34,0.90,73
2015-05-24,轻度污染,102,271,63,139,15,19,0.80,123
2015-05-25,轻度污染,104,254,67,148,20,21,0.83,124
2015-05-26,中度污染,196,360,154,251,17,28,0.96,80
2015-05-27,轻度污染,111,270,80,154,20,23,0.78,86
2015-05-28,中度污染,151,340,114,201,15,18,0.96,95
2015-05-29,轻度污染,110,337,79,145,18,19,0.97,68
2015-05-30,良,90,320,55,121,26,26,1.12,75
2015-05-31,轻度污染,118,327,78,177,30,27,1.08,94
2015-06-01,轻度污染,142,341,107,192,25,22,1.10,84
2015-06-02,轻度污染,103,320,73,141,34,14,1.07,96
2015-06-03,良,78,315,43,104,30,15,1.10,83
2015-06-04,良,63,231,33,74,21,14,0.91,74
2015-06-05,良,82,283,42,111,19,16,0.67,73
2015-06-06,良,91,274,55,129,21,21,0.62,66
2015-06-07,良,92,313,55,133,23,22,0.63,69
2015-06-08,良,94,331,48,124,26,18,0.71,110
2015-06-09,轻度污染,149,353,110,227,30,25,0.81,111
2015-06-10,良,93,282,50,133,19,18,0.49,86
2015-06-11,良,98,332,39,144,21,16,0.43,76
2015-06-12,良,89,298,41,126,14,21,0.50,61
2015-06-13,良,77,277,30,95,14,15,0.34,92
2015-06-14,轻度污染,101,328,53,147,15,20,0.51,111
2015-06-15,良,81,253,52,110,15,20,0.56,102
2015-06-16,良,98,308,72,126,10,18,0.55,79
2015-06-17,良,88,284,64,113,15,14,0.58,86
2015-06-18,轻度污染,106,335,78,145,16,27,0.75,81
2015-06-19,轻度污染,143,354,108,202,19,32,0.69,80
2015-06-20,轻度污染,121,360,88,161,13,17,0.56,73
2015-06-21,良,89,298,54,123,18,18,0.64,84
2015-06-22,轻度污染,128,348,96,168,13,17,0.66,89
2015-06-23,良,87,292,60,116,11,21,0.56,49
2015-06-24,良,54,211,26,55,12,8,0.41,53
2015-06-25,优,46,180,14,45,13,9,0.47,48
2015-06-26,良,61,243,27,70,13,14,0.48,48
2015-06-27,优,42,137,15,41,11,8,0.35,64
2015-06-28,良,59,229,26,66,17,8,0.37,55
2015-06-29,良,55,227,22,58,15,9,0.49,40
2015-06-30,良,60,262,27,68,20,9,0.43,67
2015-07-01,良,78,319,45,103,21,13,0.56,75
2015-07-02,良,93,340,49,134,22,17,0.59,107
2015-07-03,良,96,322,52,141,24,16,0.55,117
2015-07-04,良,84,298,53,116,16,23,0.46,77
2015-07-05,良,84,306,51,117,14,26,0.49,73
2015-07-06,良,81,306,47,109,14,26,0.59,66
2015-07-07,良,95,319,63,137,22,30,0.72,84
2015-07-08,良,99,309,67,145,21,34,0.64,77
2015-07-09,轻度污染,114,332,84,155,19,20,0.63,100
2015-07-10,良,86,306,56,119,13,17,0.43,87
2015-07-11,良,76,278,44,100,15,19,0.47,72
2015-07-12,良,87,284,61,93,19,20,0.37,80
2015-07-13,良,85,236,47,108,31,26,0.36,92
2015-07-14,良,76,190,46,98,35,19,0.56,77
2015-07-15,良,63,186,39,69,17,11,0.54,95
2015-07-16,轻度污染,104,347,77,114,16,9,0.74,110
2015-07-17,轻度污染,143,361,108,160,18,16,0.87,81
2015-07-18,轻度污染,106,347,79,128,16,22,0.73,79
2015-07-19,轻度污染,104,353,77,126,16,19,0.64,71
2015-07-20,良,83,304,56,107,20,17,0.57,86
2015-07-21,良,77,281,48,100,21,14,0.65,99
2015-07-22,良,80,297,51,107,25,22,0.69,60
2015-07-23,良,66,268,38,79,21,20,0.58,65
2015-07-24,良,79,307,42,89,37,22,0.70,92
2015-07-25,良,74,274,49,92,30,13,0.56,97
2015-07-26,良,85,288,58,101,39,14,0.65,103
2015-07-27,良,70,237,47,88,34,11,0.51,82
2015-07-28,良,62,227,33,72,37,11,0.46,64
2015-07-29,良,57,198,26,62,37,14,0.42,64
2015-07-30,良,59,247,28,65,34,14,0.20,69
2015-07-31,良,64,286,36,73,32,15,0.32,85
2015-08-01,良,67,267,43,82,26,13,0.33,114
2015-08-02,良,62,244,33,72,27,13,0.31,82
2015-08-03,良,59,240,28,64,33,13,0.34,85
2015-08-04,良,65,283,36,77,31,14,0.57,92
2015-08-05,优,48,122,22,48,15,13,0.60,67
2015-08-06,良,79,328,51,101,20,19,0.78,84
2015-08-07,良,93,345,68,118,17,12,0.63,116
2015-08-08,轻度污染,112,358,84,137,17,11,0.92,114
2015-08-09,良,67,297,40,77,18,8,0.81,71
2015-08-10,良,71,313,48,89,22,10,0.51,82
2015-08-11,良,77,318,52,98,27,14,0.81,96
2015-08-12,良,73,272,45,92,25,14,0.51,93
2015-08-13,良,69,214,39,84,27,20,0.64,77
2015-08-14,良,77,258,47,103,29,25,0.77,57
2015-08-15,良,77,289,54,95,21,21,0.85,72
2015-08-16,轻度污染,111,324,82,140,17,19,1.14,94
2015-08-17,良,99,287,74,136,10,23,1.22,69
