日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,89,235,64,113,16,6,0.81,53
2015-01-02,良,59,101,37,66,11,5,0.63,54
2015-01-03,良,52,19,30,54,10,6,0.67,52
2015-01-04,良,61,29,33,71,11,10,1.09,46
2015-01-05,良,85,93,59,109,11,13,1.51,17
2015-01-06,轻度污染,117,295,88,122,12,6,1.47,45
2015-01-07,良,58,78,41,49,6,4,0.91,32
2015-01-08,优,50,34,30,49,10,5,0.92,45
2015-01-09,良,65,66,44,70,12,7,0.87,60
2015-01-10,良,79,96,56,92,20,15,1.04,44
2015-01-11,良,61,77,39,66,14,9,0.85,52
2015-01-12,良,62,115,40,68,16,10,0.89,50
2015-01-13,优,35,39,24,28,7,13,1.03,31
2015-01-14,优,26,10,14,17,6,7,0.87,33
2015-01-15,优,29,3,16,23,6,4,0.71,44
2015-01-16,优,41,13,23,40,8,12,0.90,44
2015-01-17,良,92,166,68,101,15,17,1.12,67
2015-01-18,轻度污染,132,272,98,135,13,24,1.32,58
2015-01-19,良,81,119,56,94,13,19,1.12,66
2015-01-20,良,72,87,40,92,14,28,1.14,49
2015-01-21,良,63,65,37,73,10,32,1.20,39
2015-01-22,良,71,70,47,85,13,32,1.15,60
2015-01-23,轻度污染,105,128,78,114,12,22,1.54,65
2015-01-24,良,84,83,61,87,9,21,1.49,50
2015-01-25,良,62,34,41,66,7,20,1.46,26
2015-01-26,轻度污染,102,137,75,101,10,16,1.62,51
2015-01-27,轻度污染,116,291,86,95,7,15,1.45,65
2015-01-28,良,51,156,34,46,7,18,1.17,44
2015-01-29,优,50,115,29,47,8,17,1.14,33
2015-01-30,优,28,8,19,22,6,12,1.10,20
2015-01-31,优,46,44,30,42,9,14,1.28,21
2015-02-01,良,70,150,49,72,10,18,1.35,33
2015-02-02,良,60,57,42,63,8,16,1.42,18
2015-02-03,优,46,26,31,42,6,13,1.39,25
2015-02-04,优,37,20,25,27,5,17,1.14,26
2015-02-05,良,58,83,39,54,11,17,1.19,49
2015-02-06,良,95,198,70,97,17,12,1.15,66
2015-02-07,良,67,81,47,64,10,13,0.88,53
2015-02-08,良,74,176,52,77,13,14,0.72,75
2015-02-09,良,56,68,33,59,12,11,0.56,71
2015-02-10,优,43,21,22,41,9,8,0.64,61
2015-02-11,良,67,66,46,79,12,13,1.13,41
2015-02-12,良,80,128,54,90,13,14,1.04,60
2015-02-13,良,73,94,47,91,12,18,1.01,75
2015-02-14,良,79,89,54,102,8,27,1.29,46
2015-02-15,良,75,102,54,76,8,22,1.26,20
2015-02-16,优,48,20,31,42,5,13,0.99,43
2015-02-17,轻度污染,108,226,80,109,7,11,1.12,85
2015-02-18,良,99,231,72,109,9,9,1.06,81
2015-02-19,良,82,120,55,106,19,8,0.66,92
2015-02-20,优,45,79,30,43,5,11,0.65,38
2015-02-21,良,54,136,36,49,6,14,1.18,17
2015-02-22,优,34,18,23,27,4,10,1.02,35
2015-02-23,优,28,15,17,18,4,10,1.07,45
2015-02-24,优,28,14,16,22,5,10,1.10,50
2015-02-25,优,31,21,18,27,4,11,1.01,46
2015-02-26,优,30,25,14,14,4,8,0.78,57
2015-02-27,优,33,55,13,11,4,11,0.78,64
2015-02-28,优,30,58,15,17,4,12,0.73,51
2015-03-01,优,22,12,12,11,3,10,0.65,46
2015-03-02,优,42,36,24,39,5,12,0.78,55
2015-03-03,良,55,95,37,53,7,17,1.28,21
2015-03-04,良,52,133,35,47,5,11,0.81,55
2015-03-05,优,38,62,25,27,6,15,0.81,37
2015-03-06,优,22,15,14,13,6,17,0.82,32
2015-03-07,优,27,13,18,19,5,13,0.71,46
2015-03-08,优,37,24,23,34,6,19,0.99,31
2015-03-09,优,41,36,23,36,9,10,1.02,49
2015-03-10,良,52,109,31,52,6,9,0.59,69
2015-03-11,优,49,72,30,47,8,15,0.68,60
2015-03-12,良,53,91,26,57,7,13,0.73,61
2015-03-13,良,54,83,33,56,6,14,0.96,48
2015-03-14,良,54,47,34,54,7,17,1.06,38
2015-03-15,良,54,51,37,40,5,18,1.04,26
2015-03-16,优,41,21,25,37,5,14,1.12,58
2015-03-17,良,52,59,35,51,6,14,1.11,47
2015-03-18,良,68,193,43,82,8,17,1.52,29
2015-03-19,良,63,129,44,65,7,12,1.24,57
2015-03-20,良,53,88,33,48,7,12,0.96,79
2015-03-21,良,63,107,44,67,6,10,0.84,68
2015-03-22,良,59,66,40,63,9,13,0.94,71
2015-03-23,良,58,92,31,66,8,11,0.76,73
2015-03-24,优,41,30,16,40,8,9,0.60,59
2015-03-25,优,39,22,16,36,10,11,0.61,56
2015-03-26,优,41,34,25,39,9,16,0.91,26
2015-03-27,优,33,7,19,26,7,12,0.89,41
2015-03-28,优,38,12,21,35,4,10,0.77,60
2015-03-29,良,52,42,32,55,6,12,1.13,43
2015-03-30,良,52,66,31,54,6,15,1.06,51
2015-03-31,良,68,158,45,80,3,27,1.41,39
2015-04-01,良,68,207,43,80,3,18,1.17,44
2015-04-02,良,68,245,36,82,5,19,1.00,42
2015-04-03,良,65,173,37,76,5,17,0.93,42
2015-04-04,良,67,185,46,76,1,11,0.89,48
2015-04-05,良,71,208,49,74,2,14,0.94,56
2015-04-06,良,60,207,42,52,2,10,0.86,48
2015-04-07,优,35,43,14,20,3,9,0.64,66
2015-04-08,优,30,20,14,20,4,11,0.60,54
2015-04-09,优,40,44,26,36,5,19,0.81,49
2015-04-10,优,28,24,18,21,3,18,0.75,43
2015-04-11,良,51,71,34,48,5,17,0.83,45
2015-04-12,良,54,74,32,57,5,15,0.84,59
2015-04-13,良,57,95,30,60,5,15,0.73,65
2015-04-14,优,50,20,19,51,5,15,0.62,81
2015-04-15,良,58,30,31,68,7,22,0.92,78
2015-04-16,良,76,94,47,98,8,22,1.15,95
2015-04-17,良,78,107,55,84,7,19,1.01,85
2015-04-18,良,96,244,71,96,10,25,1.28,43
2015-04-19,轻度污染,140,354,106,150,11,49,2.21,11
2015-04-20,良,95,333,70,82,5,21,1.83,20
2015-04-21,优,40,34,16,25,3,14,0.65,83
2015-04-22,良,55,81,26,47,6,23,0.63,80
2015-04-23,优,50,39,27,50,7,36,0.70,79
2015-04-24,优,49,39,28,50,8,31,0.79,56
2015-04-25,良,53,37,30,51,9,22,0.82,54
2015-04-26,良,52,29,26,49,8,19,0.76,75
2015-04-27,良,61,67,38,61,8,21,0.86,83
2015-04-28,良,66,141,43,40,4,26,1.19,47
2015-04-29,优,46,34,19,43,5,32,0.97,67
2015-04-30,良,87,205,57,73,5,23,0.98,127
2015-05-01,良,82,234,56,81,5,21,1.23,114
2015-05-02,良,76,297,52,84,9,21,1.34,68
2015-05-03,良,56,100,35,47,4,12,0.98,69
2015-05-04,良,68,195,44,48,3,17,0.97,109
2015-05-05,良,60,102,16,47,3,21,0.78,103
2015-05-06,优,50,57,32,47,5,29,1.06,56
2015-05-07,良,58,79,33,55,7,21,1.38,54
2015-05-08,良,67,195,37,72,10,24,1.07,94
2015-05-09,良,62,183,35,60,4,16,1.25,73
2015-05-10,优,45,53,15,27,3,16,0.63,80
2015-05-11,优,49,126,28,49,6,23,0.92,57
2015-05-12,优,40,35,9,26,4,19,0.67,80
2015-05-13,良,54,73,22,48,13,23,1.01,82
2015-05-14,良,77,214,41,76,8,31,1.22,95
2015-05-15,良,81,269,53,84,10,25,1.37,73
2015-05-16,优,47,78,19,36,4,17,0.80,67
2015-05-17,优,43,58,14,21,1,14,0.83,80
2015-05-18,良,53,100,30,51,4,17,1.08,50
2015-05-19,优,28,10,10,21,1,16,0.77,45
2015-05-20,优,34,25,16,30,2,16,0.82,52
2015-05-21,优,50,97,10,32,3,14,0.65,95
2015-05-22,优,40,49,22,28,3,34,0.90,41
2015-05-23,优,29,11,17,27,3,30,1.06,22
2015-05-24,优,27,7,13,21,2,14,0.82,52
2015-05-25,良,54,88,31,51,5,13,0.80,61
2015-05-26,优,41,33,23,38,5,16,0.86,48
2015-05-27,良,59,131,41,57,4,24,1.13,31
2015-05-28,良,55,118,29,57,6,20,1.55,34
2015-05-29,良,60,193,40,62,2,16,1.06,66
2015-05-30,良,58,181,34,55,2,23,1.10,19
2015-05-31,优,42,49,24,30,2,8,0.75,58
2015-06-01,优,36,27,15,28,3,15,1.06,59
2015-06-02,良,58,180,31,53,3,27,1.22,29
2015-06-03,良,51,170,22,47,2,18,0.90,41
2015-06-04,优,34,28,11,19,2,16,0.58,62
2015-06-05,优,28,11,16,27,3,32,1.14,19
2015-06-06,优,36,35,19,28,2,15,0.75,76
2015-06-07,良,54,149,29,47,3,19,1.12,76
2015-06-08,良,60,232,36,59,4,24,1.23,41
2015-06-09,优,47,118,26,45,3,17,0.82,45
2015-06-10,优,46,90,27,39,2,15,0.97,55
2015-06-11,优,32,24,13,27,4,18,0.86,33
2015-06-12,优,31,16,14,28,4,15,0.84,41
2015-06-13,优,38,55,22,33,4,17,0.90,50
2015-06-14,优,37,62,18,33,5,19,0.85,35
2015-06-15,优,48,113,25,50,5,16,1.09,51
2015-06-16,良,58,165,32,64,4,20,1.22,62
2015-06-17,良,53,156,29,58,4,18,0.89,60
2015-06-18,良,60,212,32,57,5,17,0.89,67
2015-06-19,优,43,96,9,13,2,8,0.64,82
2015-06-20,优,42,63,20,30,3,8,0.86,73
2015-06-21,优,34,44,12,20,3,11,0.70,62
2015-06-22,优,41,80,21,34,4,13,0.94,62
2015-06-23,优,40,79,21,36,5,15,0.90,36
2015-06-24,优,37,106,15,32,5,12,0.81,41
2015-06-25,优,27,17,11,25,3,9,0.63,35
2015-06-26,优,31,43,15,29,3,8,0.60,47
2015-06-27,优,34,77,16,33,4,8,0.59,48
2015-06-28,优,42,126,22,41,4,11,0.65,58
2015-06-29,良,52,198,28,57,5,15,0.91,74
2015-06-30,良,51,199,29,52,4,12,0.86,63
2015-07-01,良,51,174,30,52,4,13,0.75,66
2015-07-02,良,54,188,30,53,5,13,0.93,70
2015-07-03,优,29,11,12,19,3,10,0.84,60
2015-07-04,优,39,64,4,9,3,10,0.76,77
2015-07-05,优,34,48,10,23,4,18,0.79,57
2015-07-06,优,25,7,9,19,3,19,0.81,44
2015-07-07,优,21,3,7,16,3,19,0.79,37
2015-07-08,优,24,6,11,22,4,23,1.10,16
2015-07-09,优,24,7,10,23,6,12,0.93,26
2015-07-10,优,23,2,6,16,4,5,0.62,38
2015-07-11,优,28,29,5,15,3,3,0.54,55
2015-07-12,优,27,8,10,19,4,7,0.64,45
2015-07-13,优,37,21,17,33,6,12,0.77,60
2015-07-14,优,44,49,25,38,5,13,0.83,69
2015-07-15,良,58,156,39,55,5,16,0.87,55
2015-07-16,优,48,100,28,43,5,8,0.68,78
2015-07-17,优,43,68,23,38,6,9,0.66,64
2015-07-18,优,34,23,17,30,3,8,0.52,50
2015-07-19,优,31,13,15,28,3,7,0.54,42
2015-07-20,优,23,12,14,20,3,14,0.87,22
2015-07-21,优,24,18,12,22,3,17,1.23,18
2015-07-22,优,25,12,11,22,2,14,0.87,31
2015-07-23,优,30,41,12,27,4,13,0.63,33
2015-07-24,优,40,101,12,39,5,14,0.58,40
2015-07-25,优,33,45,12,32,2,12,0.51,40
2015-07-26,优,41,76,17,40,2,12,0.52,48
2015-07-27,良,51,133,25,54,2,16,0.71,63
2015-07-28,优,44,105,23,44,2,16,0.54,39
2015-07-29,优,32,47,13,31,4,16,0.49,26
2015-07-30,优,37,76,15,37,2,16,0.51,53
2015-07-31,良,56,239,33,58,2,19,0.90,61
2015-08-01,良,57,210,35,59,2,18,0.84,56
2015-08-02,良,55,190,31,52,3,13,0.65,71
2015-08-03,良,55,204,31,51,3,13,0.66,75
2015-08-04,良,55,205,33,52,3,11,0.57,80
2015-08-05,良,53,161,30,47,3,11,0.49,75
2015-08-06,优,34,31,19,31,3,10,0.37,47
2015-08-07,优,33,37,17,31,5,10,0.41,16
2015-08-08,优,19,4,7,18,2,3,0.27,24
2015-08-09,优,23,14,8,10,2,4,0.40,48
2015-08-10,优,32,81,17,29,2,12,1.08,37
2015-08-11,优,41,125,22,40,3,15,0.91,23
2015-08-12,优,42,81,19,35,2,16,0.79,44
2015-08-13,优,32,24,17,26,2,22,0.83,34
2015-08-14,优,30,21,16,25,2,21,0.75,27
2015-08-15,优,32,31,13,28,2,17,0.73,35
2015-08-16,优,29,23,12,27,1,12,0.66,31
2015-08-17,优,36,58,17,32,2,12,0.72,42
2015-08-18,优,31,34,19,29,2,10,0.69,47
2015-08-19,良,51,153,34,49,2,17,0.69,41
2015-08-20,优,38,54,18,37,3,12,0.55,29
2015-08-21,优,26,6,10,25,3,8,0.37,19
2015-08-22,优,25,8,10,24,3,9,0.34,13
2015-08-23,优,23,7,10,22,3,10,0.41,17
2015-08-24,优,28,15,12,24,3,11,0.47,31
2015-08-25,优,44,93,22,37,5,12,0.53,66
2015-08-26,优,45,77,23,41,4,14,0.76,72
2015-08-27,优,40,58,23,36,3,15,0.58,56
2015-08-28,优,47,104,30,43,3,16,0.65,53
2015-08-29,优,31,39,17,29,2,16,0.57,46
2015-08-30,优,34,48,19,32,2,18,0.69,36
2015-08-31,优,35,54,19,32,4,19,0.82,51
2015-09-01,优,37,64,22,35,1,15,0.85,55
2015-09-02,优,30,55,14,28,2,18,0.82,23
2015-09-03,优,23,9,7,20,2,12,0.53,30
2015-09-04,优,27,15,11,21,2,13,0.66,38
2015-09-05,优,29,27,14,28,2,14,0.59,29
2015-09-06,优,36,70,19,32,3,15,0.66,33
2015-09-07,优,44,102,20,36,3,12,0.68,74
2015-09-08,优,48,107,19,31,3,14,0.66,87
2015-09-09,优,37,70,14,27,4,15,0.57,73
2015-09-10,良,51,175,17,32,4,15,0.56,97
2015-09-11,良,64,256,22,38,7,14,0.52,110
2015-09-12,良,57,226,29,40,5,17,0.49,97
2015-09-13,良,55,180,36,51,4,22,0.72,53
2015-09-14,良,54,113,34,51,6,28,0.71,47
2015-09-15,优,42,47,25,42,4,23,0.61,41
2015-09-16,优,30,10,19,23,2,22,0.66,27
2015-09-17,优,36,28,18,31,3,14,0.60,54
2015-09-18,优,45,69,23,39,3,14,0.55,82
2015-09-19,良,52,144,34,43,3,12,0.58,88
2015-09-20,优,38,59,26,35,2,31,0.73,33
2015-09-21,优,17,2,8,14,1,24,0.70,28
2015-09-22,优,25,11,13,23,2,25,0.79,22
2015-09-23,优,47,125,23,48,3,22,1.04,25
2015-09-24,优,36,71,23,32,2,13,0.80,42
2015-09-25,优,37,66,21,35,3,15,0.84,36
2015-09-26,优,38,74,21,36,4,17,0.79,37
2015-09-27,优,45,96,26,44,3,13,0.69,57
2015-09-28,优,37,60,22,35,3,17,0.76,35
2015-09-29,优,25,9,10,20,2,7,0.81,38
2015-09-30,优,29,19,16,26,3,19,1.22,20
