日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,156,66,118,146,38,27,2.95,57
2013-10-29,优,49,10,31,45,21,25,2.00,37
2013-10-30,良,81,42,57,83,57,46,1.71,30
2013-10-31,中度污染,200,105,156,240,67,86,2.72,25
2013-11-01,中度污染,162,86,124,185,87,78,1.89,21
2013-11-02,中度污染,190,91,146,189,47,56,2.76,45
2013-11-03,轻度污染,136,79,101,157,36,55,2.36,25
2013-11-04,优,46,7,22,50,34,40,0.89,35
2013-11-05,良,64,20,42,69,24,40,1.47,45
2013-11-06,中度污染,153,83,123,170,50,62,2.48,40
2013-11-07,良,90,43,11,31,26,26,0.39,46
2013-11-08,良,51,7,30,65,23,34,1.28,44
2013-11-09,良,52,7,24,48,22,25,0.99,38
2013-11-10,优,47,11,18,54,33,27,0.93,43
2013-11-11,良,54,31,19,50,39,23,0.94,45
2013-11-12,良,55,37,39,70,33,36,1.31,28
2013-11-13,良,70,48,47,75,44,36,1.55,31
2013-11-14,良,86,52,86,125,53,50,1.90,30
2013-11-15,良,96,48,61,120,34,49,1.84,24
2013-11-16,良,100,32,66,132,51,47,1.70,18
2013-11-17,良,55,8,13,31,30,21,0.99,31
2013-11-18,优,36,7,9,45,27,16,0.98,34
2013-11-19,优,47,9,20,51,18,18,1.16,34
2013-11-20,良,58,14,36,67,38,35,1.32,24
2013-11-21,良,75,22,63,99,56,47,1.67,22
2013-11-22,良,86,23,82,109,37,53,2.24,18
2013-11-23,重度污染,209,75,247,316,55,107,4.41,8
2013-11-24,严重污染,300,103,191,327,46,62,3.44,11
2013-11-25,轻度污染,113,93,16,49,41,21,1.19,41
2013-11-26,良,55,13,26,56,47,28,1.37,31
2013-11-27,优,50,10,12,93,16,17,1.18,40
2013-11-28,良,77,80,25,76,34,24,1.37,31
2013-11-29,良,68,50,53,89,72,40,1.85,28
2013-11-30,良,65,25,53,72,35,37,1.85,33
2013-12-01,良,99,51,68,106,67,44,1.87,26
2013-12-02,良,85,30,94,136,37,69,2.58,11
2013-12-03,轻度污染,134,44,85,102,48,64,2.03,24
2013-12-04,良,85,16,42,67,35,42,1.14,31
2013-12-05,优,47,2,21,43,36,27,0.83,32
2013-12-06,良,55,4,54,85,45,44,1.12,21
2013-12-07,轻度污染,134,37,142,189,106,67,2.33,14
2013-12-08,重度污染,205,54,125,170,57,50,1.91,8
2013-12-09,轻度污染,105,32,41,69,47,26,0.97,31
2013-12-10,轻度污染,111,58,115,157,81,54,2.19,10
2013-12-11,良,99,43,34,54,57,26,1.01,30
2013-12-12,良,67,19,39,100,40,26,1.36,27
2013-12-13,良,60,16,29,59,34,31,1.16,27
2013-12-14,良,68,15,45,83,47,37,1.43,25
2013-12-15,良,56,13,35,60,47,31,1.23,31
2013-12-16,轻度污染,116,64,127,191,132,63,2.66,11
2013-12-17,轻度污染,143,81,73,96,46,27,1.32,32
2013-12-18,良,60,43,39,57,54,27,1.21,27
2013-12-19,良,63,29,37,56,56,22,1.21,37
2013-12-20,优,40,5,21,33,43,21,1.11,39
2013-12-21,良,55,8,52,72,57,38,1.47,27
2013-12-22,轻度污染,106,24,116,145,119,58,1.92,20
2013-12-23,中度污染,197,73,138,198,109,58,2.64,21
2013-12-24,良,98,20,75,94,94,48,1.64,30
2013-12-25,中度污染,198,53,180,243,117,71,3.38,14
2013-12-26,轻度污染,119,32,27,50,57,25,1.24,31
2013-12-27,良,60,16,47,70,51,36,1.64,24
2013-12-28,良,66,16,38,60,45,31,1.45,33
2013-12-29,良,57,6,42,74,61,37,1.69,29
2013-12-30,良,82,16,73,117,60,49,2.18,24
2013-12-31,良,80,13,38,102,34,30,1.74,32
2014-01-01,良,75,13,37,81,50,34,1.70,25
2014-01-02,良,73,19,46,101,52,38,1.87,25
2014-01-03,良,60,9,38,62,38,29,1.54,35
2014-01-04,轻度污染,110,70,83,114,84,53,1.87,16
2014-01-05,轻度污染,128,60,97,93,94,56,1.61,19
2014-01-06,中度污染,170,98,133,157,50,46,2.07,25
2014-01-07,良,69,26,50,63,39,29,1.26,32
2014-01-08,良,59,61,41,20,35,25,1.10,44
2014-01-09,良,72,81,44,69,73,37,1.42,30
2014-01-10,良,83,50,59,83,56,44,1.59,24
2014-01-11,中度污染,197,146,152,199,86,62,2.96,21
2014-01-12,优,46,12,23,45,42,18,0.99,47
2014-01-13,轻度污染,105,99,77,115,87,44,2.01,19
2014-01-14,中度污染,174,136,134,175,99,56,2.48,19
2014-01-15,轻度污染,104,61,77,95,56,41,1.92,26
2014-01-16,中度污染,166,114,126,165,66,43,2.27,21
2014-01-17,良,96,36,71,91,70,34,1.52,28
2014-01-18,良,74,9,51,75,64,29,1.41,31
2014-01-19,轻度污染,109,38,80,109,74,39,2.00,19
2014-01-20,良,81,46,57,79,77,28,1.45,29
2014-01-21,良,69,37,49,65,58,27,1.47,31
2014-01-22,良,90,63,66,93,49,41,2.16,23
2014-01-24,轻度污染,108,77,80,99,43,33,1.75,34
2014-01-25,良,83,55,40,91,46,20,1.42,45
2014-01-26,良,62,40,27,75,43,19,1.50,40
2014-01-27,良,73,59,31,94,32,18,1.50,40
2014-01-28,优,38,3,15,38,28,9,1.28,57
2014-01-29,良,57,28,27,67,25,12,1.48,53
2014-01-30,良,84,32,58,90,52,17,1.61,43
2014-01-31,中度污染,184,72,144,165,71,26,1.97,32
2014-02-01,中度污染,180,137,136,173,93,31,2.24,28
2014-02-02,轻度污染,114,75,53,136,36,16,2.07,43
2014-02-03,优,44,21,16,45,39,8,1.37,54
2014-02-04,良,55,87,33,60,43,16,1.62,43
2014-02-05,良,99,173,71,100,78,35,2.29,29
2014-02-06,良,95,151,70,97,87,31,1.95,34
2014-02-07,良,66,116,47,62,47,20,1.69,40
2014-02-08,良,70,97,47,65,47,18,1.70,41
2014-02-09,优,45,69,27,40,56,14,1.57,48
2014-02-10,良,69,130,48,66,53,25,1.81,44
2014-02-11,重度污染,223,190,177,194,114,62,2.76,30
2014-02-12,中度污染,178,165,141,135,82,45,2.40,36
2014-02-13,中度污染,162,158,124,149,74,37,2.23,50
2014-02-14,轻度污染,112,94,79,122,33,19,2.23,56
2014-02-15,重度污染,221,160,172,192,47,34,2.76,33
2014-02-16,轻度污染,108,118,82,97,46,29,1.73,50
2014-02-17,良,82,107,58,85,47,29,1.38,42
2014-02-18,良,83,125,61,80,55,28,1.26,45
2014-02-19,良,72,67,51,71,37,23,1.20,48
2014-02-20,良,97,90,72,93,66,37,1.35,38
2014-02-21,中度污染,169,132,130,150,55,51,2.06,49
2014-02-22,重度污染,231,169,191,241,80,52,2.46,28
2014-02-23,中度污染,179,132,137,180,132,45,1.75,38
2014-02-24,中度污染,151,105,113,184,58,39,2.24,25
2014-02-25,中度污染,163,118,123,169,35,24,2.23,53
2014-02-26,中度污染,152,131,115,160,34,20,2.09,72
2014-02-27,良,62,47,31,66,31,19,1.57,47
2014-02-28,良,72,114,38,91,49,34,1.75,29
2014-03-01,良,55,62,36,54,41,22,1.71,53
2014-03-02,良,95,110,70,92,61,33,2.28,43
2014-03-03,中度污染,161,165,123,152,83,45,2.70,36
2014-03-04,良,99,141,73,85,39,27,2.30,58
2014-03-05,良,52,33,31,49,39,25,2.05,44
2014-03-06,优,43,17,22,41,31,17,1.94,50
2014-03-07,优,47,42,29,47,32,17,2.02,50
2014-03-08,良,55,49,35,56,33,20,2.15,49
2014-03-09,优,47,32,27,48,38,26,2.07,39
2014-03-10,良,58,33,37,65,38,28,2.23,36
2014-03-11,轻度污染,121,119,87,122,37,23,2.49,45
2014-03-12,良,51,18,20,57,38,18,2.11,45
2014-03-13,良,70,76,42,74,47,29,2.36,41
2014-03-14,良,97,128,72,96,44,38,2.58,43
2014-03-15,良,85,40,60,96,36,32,2.89,40
2014-03-16,良,96,78,62,118,58,40,2.81,41
2014-03-17,中度污染,167,141,102,192,34,33,2.95,46
2014-03-18,良,68,26,36,82,28,21,2.36,60
2014-03-19,良,70,32,36,88,39,29,2.40,47
2014-03-20,良,62,47,23,68,35,22,2.32,42
2014-03-21,良,72,92,47,88,41,34,2.71,42
2014-03-22,轻度污染,122,166,91,130,37,36,3.07,50
2014-03-23,轻度污染,133,150,100,135,40,47,3.13,57
2014-03-25,中度污染,155,141,117,136,30,24,3.07,69
2014-03-26,轻度污染,128,118,97,112,19,22,2.99,51
2014-03-27,良,92,60,67,97,26,27,3.15,51
2014-03-28,轻度污染,111,132,79,109,22,21,3.04,66
2014-03-29,良,74,78,50,62,25,26,2.88,53
2014-03-30,良,87,79,61,92,34,40,3.06,43
2014-03-31,良,59,39,31,64,35,26,2.71,53
2014-04-01,轻度污染,121,159,91,107,32,18,3.17,98
2014-04-02,良,95,121,42,122,22,21,2.76,58
2014-04-03,良,57,37,27,63,22,27,2.67,47
2014-04-04,良,97,132,29,138,20,19,2.88,49
2014-04-05,优,48,9,18,50,16,13,2.63,52
2014-04-06,良,73,83,40,94,22,21,3.12,59
2014-04-07,轻度污染,107,149,66,141,22,27,3.31,60
2014-04-08,轻度污染,134,136,102,156,44,29,3.47,86
2014-04-09,轻度污染,122,124,75,138,27,25,2.71,71
2014-04-10,良,67,41,32,81,22,28,1.88,63
2014-04-11,良,86,98,63,98,40,48,1.21,49
2014-04-12,轻度污染,102,136,75,108,31,49,0.99,53
2014-04-13,良,95,132,70,98,16,28,0.67,79
2014-04-14,中度污染,187,180,144,179,42,24,1.24,133
2014-04-15,轻度污染,124,153,56,161,19,28,0.57,77
2014-04-16,良,76,99,47,100,35,54,0.63,62
2014-04-17,良,80,86,44,109,26,39,0.61,44
2014-04-18,良,56,33,25,62,14,23,0.48,58
2014-04-19,良,61,89,31,68,22,27,0.56,64
2014-04-20,良,69,91,48,66,17,23,1.07,72
2014-04-21,良,70,92,49,66,18,23,0.92,66
2014-04-22,轻度污染,112,151,81,102,26,25,1.22,97
2014-04-23,中度污染,159,178,120,149,34,20,1.32,116
2014-04-24,良,86,101,45,102,19,19,0.80,110
2014-04-25,良,63,69,39,67,16,19,0.72,96
2014-04-26,良,68,109,38,79,17,18,0.73,78
2014-04-27,良,66,85,32,66,20,26,0.69,66
2014-04-28,良,78,119,31,105,27,36,0.70,58
2014-04-29,轻度污染,101,143,73,117,27,39,0.88,84
2014-04-30,良,95,92,69,113,31,28,1.42,109
2014-05-01,轻度污染,130,153,97,148,47,22,1.42,147
2014-05-02,良,98,124,44,128,16,22,0.86,65
2014-05-03,优,49,15,24,52,18,20,0.85,71
2014-05-04,优,42,14,21,38,11,16,0.70,57
2014-05-05,优,50,47,26,51,16,26,0.78,47
2014-05-06,良,54,30,26,60,18,24,0.97,60
2014-05-07,良,76,75,55,62,14,28,1.23,65
2014-05-08,良,51,29,33,44,15,36,0.95,65
2014-05-09,良,80,107,56,97,24,61,1.16,37
2014-05-10,良,90,172,61,99,23,52,1.44,55
2014-05-11,良,71,163,48,68,17,44,1.17,58
2014-05-12,良,53,40,25,24,12,16,1.25,88
2014-05-13,良,91,120,67,104,17,36,1.70,82
2014-05-14,良,54,44,22,60,14,26,0.89,56
2014-05-15,优,50,31,24,53,12,34,0.89,50
2014-05-16,良,64,37,38,75,18,40,0.95,53
2014-05-17,优,50,27,26,50,11,27,0.79,67
2014-05-18,良,56,46,22,47,10,17,0.76,101
2014-05-19,良,76,87,53,79,12,25,0.94,83
2014-05-20,良,91,86,67,79,10,18,0.96,90
2014-05-21,轻度污染,117,124,87,114,12,26,1.13,100
2014-05-22,中度污染,152,171,115,172,16,36,1.38,118
2014-05-23,轻度污染,105,155,75,102,14,21,1.19,122
2014-05-24,良,68,121,46,58,9,17,1.01,89
2014-05-25,良,60,54,36,46,9,21,1.52,67
2014-05-26,良,56,39,23,62,19,29,1.16,82
2014-05-27,良,95,72,63,136,32,62,1.58,64
2014-05-28,优,47,19,12,38,10,14,0.81,84
2014-05-29,良,90,63,54,103,18,29,1.36,126
2014-05-30,轻度污染,113,100,65,133,26,38,1.46,137
2014-05-31,轻度污染,101,100,65,101,12,14,1.23,144
2014-06-01,轻度污染,129,179,93,136,12,14,1.33,139
2014-06-02,良,68,118,39,69,23,21,1.26,103
2014-06-03,轻度污染,105,179,60,97,19,28,1.44,114
2014-06-04,良,74,102,44,54,10,11,1.15,116
2014-06-05,良,59,51,27,39,9,8,1.04,101
2014-06-06,优,40,25,15,27,12,15,0.99,69
2014-06-07,优,28,6,14,13,8,19,1.05,48
2014-06-08,优,43,21,18,27,13,14,1.10,86
2014-06-09,良,66,96,31,42,12,16,1.20,104
2014-06-10,良,95,149,66,101,16,33,1.52,81
2014-06-11,良,64,75,42,50,14,22,1.19,84
2014-06-12,优,46,13,22,32,11,18,1.08,72
2014-06-13,优,38,3,11,26,12,21,0.99,65
2014-06-14,良,69,46,33,67,17,34,1.27,79
2014-06-15,良,74,52,47,58,16,11,1.28,119
2014-06-16,中度污染,159,165,120,125,14,17,1.42,131
2014-06-17,中度污染,184,185,141,154,13,9,1.29,140
2014-06-18,良,97,147,62,58,10,10,0.91,119
2014-06-19,优,48,57,24,33,11,17,0.61,76
2014-06-20,良,71,151,47,61,15,30,0.78,65
2014-06-21,良,81,155,58,78,10,14,1.03,97
2014-06-22,良,64,103,42,53,10,19,0.81,79
2014-06-23,良,81,130,44,74,13,28,0.79,82
2014-06-24,轻度污染,101,140,64,88,13,11,1.13,135
2014-06-25,良,84,147,36,56,13,10,0.58,123
2014-06-26,轻度污染,109,164,80,93,12,11,0.76,105
2014-06-27,优,46,48,22,32,13,15,0.55,70
2014-06-28,优,37,22,18,33,14,24,0.52,57
2014-06-29,良,60,73,32,43,14,29,0.62,72
2014-06-30,良,90,124,54,65,13,21,0.73,96
2014-07-01,良,73,87,42,59,12,10,0.71,107
2014-07-02,良,80,138,56,76,13,14,0.98,89
2014-07-03,良,99,156,73,91,11,7,0.80,111
2014-07-04,轻度污染,103,159,77,102,12,9,0.85,112
2014-07-05,良,68,114,38,48,10,7,0.62,100
2014-07-06,良,52,60,22,27,10,5,0.58,94
2014-07-07,良,57,45,21,28,11,5,0.56,112
2014-07-08,良,70,95,34,42,15,8,0.66,113
2014-07-09,良,64,93,35,48,14,12,0.69,96
2014-07-10,优,46,41,19,37,18,19,0.61,75
2014-07-11,优,46,42,17,37,18,23,0.65,70
2014-07-12,良,51,62,17,35,17,19,0.64,83
2014-07-13,良,52,70,21,38,16,20,0.67,75
2014-07-14,轻度污染,125,173,84,117,17,9,1.54,159
2014-07-15,轻度污染,110,180,66,87,15,9,0.98,154
2014-07-16,良,68,110,42,50,12,9,0.84,110
2014-07-17,良,79,138,47,59,11,9,0.91,112
2014-07-18,良,92,148,68,92,11,9,0.85,108
2014-07-19,轻度污染,133,184,101,128,12,8,0.91,118
2014-07-20,轻度污染,107,178,80,91,11,7,0.72,113
2014-07-21,良,51,61,33,37,13,13,0.53,65
2014-07-22,良,63,101,41,32,17,26,0.71,41
2014-07-23,良,56,89,35,61,16,26,2.01,70
2014-07-24,良,51,76,29,56,19,27,1.14,44
2014-07-25,良,72,128,50,79,21,33,0.95,53
2014-07-26,中度污染,156,181,118,149,14,23,1.28,108
2014-07-27,中度污染,157,181,116,141,19,23,1.29,135
2014-07-28,轻度污染,133,164,96,118,16,11,1.23,176
