日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,104,56,51,124,54,69,1.74,30
2014-01-01,轻度污染,112,71,92,194,96,69,2.27,19
2014-01-02,轻度污染,136,84,110,211,126,71,2.03,12
2014-01-03,良,93,50,47,135,59,39,0.85,44
2014-01-04,轻度污染,133,105,98,191,100,70,1.38,23
2014-01-05,中度污染,198,138,153,260,131,86,1.90,12
2014-01-06,严重污染,341,186,290,405,113,100,2.32,10
2014-01-07,严重污染,266,170,218,301,104,91,2.33,13
2014-01-08,重度污染,216,186,170,224,114,88,2.35,8
2014-01-09,中度污染,174,178,132,189,105,67,1.62,16
2014-01-10,严重污染,269,184,219,295,86,73,1.98,12
2014-01-11,严重污染,258,164,208,280,99,78,1.83,15
2014-01-12,中度污染,162,149,122,193,91,71,1.38,18
2014-01-13,重度污染,217,183,167,249,97,75,1.73,16
2014-01-14,严重污染,308,184,258,347,59,61,1.67,14
2014-01-15,严重污染,284,160,233,320,102,55,1.38,16
2014-01-16,严重污染,299,170,248,351,99,77,1.94,14
2014-01-17,严重污染,311,175,264,375,117,91,2.57,16
2014-01-18,严重污染,358,184,310,415,94,81,2.58,27
2014-01-19,重度污染,227,132,174,268,81,58,1.49,29
2014-01-20,良,78,40,34,105,75,34,0.80,62
2014-01-21,良,87,91,61,112,105,58,1.18,42
2014-01-22,轻度污染,147,163,111,182,84,70,1.57,50
2014-01-24,严重污染,282,180,232,333,153,108,2.42,21
2014-01-25,重度污染,212,165,172,257,115,86,2.28,32
2014-01-26,轻度污染,132,144,100,149,69,54,1.23,38
2014-01-27,中度污染,200,162,154,214,67,65,1.82,35
2014-01-28,重度污染,229,166,180,253,102,68,2.07,49
2014-01-29,严重污染,266,176,216,285,55,48,2.08,72
2014-01-30,严重污染,305,177,257,307,70,53,1.99,54
2014-01-31,严重污染,394,178,348,455,36,39,2.58,7
2014-02-01,严重污染,332,182,282,356,84,71,3.28,10
2014-02-02,严重污染,353,184,303,385,67,55,3.20,28
2014-02-03,中度污染,168,170,127,191,46,34,1.85,47
2014-02-04,良,85,147,62,96,37,30,0.96,34
2014-02-05,良,78,144,57,82,31,25,1.02,44
2014-02-06,良,84,139,61,75,46,26,1.14,46
2014-02-07,轻度污染,132,169,100,112,89,39,1.29,54
2014-02-08,重度污染,224,187,174,200,78,35,1.73,69
2014-02-09,轻度污染,122,185,92,104,52,25,1.47,73
2014-02-10,良,55,95,38,54,31,27,0.87,67
2014-02-11,良,96,118,71,95,36,35,0.85,65
2014-02-12,中度污染,166,159,126,157,73,43,1.15,77
2014-02-13,重度污染,232,182,181,227,138,61,1.46,62
2014-02-14,严重污染,262,180,212,270,82,57,1.75,55
2014-02-15,中度污染,199,147,155,191,50,44,1.13,60
2014-02-16,中度污染,196,159,149,186,47,48,1.25,41
2014-02-17,严重污染,272,188,222,256,47,57,2.06,29
2014-02-18,良,88,138,65,79,38,34,0.72,53
2014-02-19,轻度污染,124,149,93,121,37,44,1.19,41
2014-02-20,重度污染,218,178,172,228,81,59,1.81,28
2014-02-21,轻度污染,129,85,97,147,99,49,0.92,61
2014-02-22,中度污染,195,162,148,214,81,60,1.29,39
2014-02-23,重度污染,238,164,187,252,75,55,1.26,45
2014-02-24,重度污染,228,151,177,234,62,53,1.19,50
2014-02-25,严重污染,252,163,202,257,41,46,1.32,52
2014-02-26,中度污染,169,142,128,162,63,38,1.02,38
2014-02-27,轻度污染,115,136,83,142,58,36,0.97,46
2014-02-28,轻度污染,102,162,76,104,59,42,0.91,26
2014-03-01,重度污染,223,189,173,222,87,66,1.52,16
2014-03-02,严重污染,254,188,204,263,75,48,1.40,37
2014-03-03,中度污染,187,176,141,190,49,46,1.18,60
2014-03-04,重度污染,238,188,187,264,84,66,1.60,45
2014-03-05,中度污染,153,180,116,166,66,48,1.14,31
2014-03-06,轻度污染,116,167,86,127,44,45,0.92,43
2014-03-07,轻度污染,128,167,97,141,66,51,1.10,44
2014-03-08,中度污染,162,168,123,174,78,55,1.30,60
2014-03-09,轻度污染,137,155,103,157,60,54,1.25,61
2014-03-10,轻度污染,103,104,77,120,48,46,0.90,83
2014-03-11,轻度污染,106,96,79,129,49,53,1.01,63
2014-03-12,中度污染,177,181,103,222,53,48,1.20,32
2014-03-13,轻度污染,105,165,76,117,65,47,1.12,29
2014-03-14,良,89,98,59,116,49,52,0.93,49
2014-03-15,良,88,50,60,120,18,31,0.76,82
2014-03-16,良,91,56,67,110,23,34,0.85,75
2014-03-17,轻度污染,132,109,99,142,31,41,1.10,64
2014-03-18,重度污染,228,154,134,340,49,50,1.50,46
2014-03-19,轻度污染,126,143,93,196,42,44,1.07,43
2014-03-20,良,92,140,65,119,34,43,0.81,53
2014-03-21,轻度污染,103,170,76,129,35,51,0.83,67
2014-03-22,良,87,101,64,102,22,44,0.59,81
2014-03-23,良,99,105,73,127,33,63,0.73,46
2014-03-25,中度污染,164,147,124,163,46,57,0.77,62
2014-03-26,中度污染,182,153,142,194,62,64,0.92,49
2014-03-27,轻度污染,130,126,96,131,46,48,0.72,70
2014-03-28,轻度污染,116,139,77,150,27,36,0.53,75
2014-03-29,轻度污染,148,147,96,236,47,46,0.74,81
2014-03-30,中度污染,152,175,114,214,48,46,0.81,73
2014-03-31,轻度污染,102,135,75,124,36,47,0.64,71
2014-04-01,轻度污染,123,161,92,146,74,52,0.79,79
2014-04-02,轻度污染,128,172,96,150,50,60,0.76,73
2014-04-03,轻度污染,134,182,97,185,48,56,0.89,74
2014-04-04,轻度污染,118,164,87,154,46,51,0.97,70
2014-04-05,中度污染,165,184,75,244,51,53,0.85,64
2014-04-06,轻度污染,126,182,64,202,65,51,0.76,60
2014-04-07,轻度污染,106,148,72,149,55,40,0.84,91
2014-04-08,中度污染,190,183,147,205,74,56,1.35,76
2014-04-09,轻度污染,133,137,98,143,41,42,1.13,99
2014-04-10,中度污染,162,173,120,224,70,54,1.30,72
2014-04-11,轻度污染,117,161,80,138,33,41,1.07,51
2014-04-12,重度污染,220,189,172,207,32,51,1.78,41
2014-04-13,中度污染,198,177,157,212,43,41,1.58,51
2014-04-14,良,85,84,62,86,28,27,0.95,88
2014-04-15,中度污染,152,175,115,136,26,37,1.25,65
2014-04-16,轻度污染,121,178,91,124,23,39,1.37,69
2014-04-17,良,79,83,55,87,42,44,1.41,65
2014-04-18,轻度污染,115,154,84,133,40,48,1.27,41
2014-04-19,优,45,26,21,38,17,27,0.73,80
2014-04-20,良,66,83,47,77,45,43,1.01,49
2014-04-21,良,78,113,57,87,31,42,1.07,51
2014-04-22,良,69,74,48,77,28,32,0.88,62
2014-04-23,良,59,33,36,67,27,31,0.81,66
2014-04-24,良,92,120,68,105,36,39,1.04,57
2014-04-25,良,79,109,57,87,28,33,0.88,62
2014-04-26,良,76,133,32,103,31,27,0.68,58
2014-04-27,轻度污染,103,162,51,154,50,48,1.08,48
2014-04-28,良,84,142,48,116,55,53,1.34,57
2014-04-29,良,88,107,57,125,78,53,1.27,63
2014-04-30,良,83,61,53,109,41,35,1.17,92
2014-05-01,轻度污染,107,98,50,146,45,29,0.96,87
2014-05-02,良,72,63,26,93,33,31,0.61,61
2014-05-03,良,78,96,41,106,55,39,0.90,46
2014-05-04,良,81,136,31,111,34,27,0.56,70
2014-05-05,良,70,104,30,84,49,30,0.73,90
2014-05-06,良,68,66,33,72,23,22,0.75,115
2014-05-07,良,79,88,46,91,37,29,0.59,116
2014-05-08,良,89,90,64,118,45,37,0.76,94
2014-05-09,轻度污染,105,147,70,130,51,37,1.02,122
2014-05-10,良,62,109,27,72,31,33,0.87,69
2014-05-11,优,46,55,20,49,34,24,0.56,64
2014-05-12,良,65,71,40,79,34,37,0.73,61
2014-05-13,良,79,76,56,96,45,43,0.95,64
2014-05-14,良,62,61,31,74,38,30,0.69,53
2014-05-15,良,53,36,21,53,40,27,0.50,74
2014-05-16,良,65,40,36,78,42,44,0.77,37
2014-05-17,良,78,73,56,98,80,51,0.89,41
2014-05-18,良,85,112,56,111,79,54,1.22,79
2014-05-19,良,79,93,51,104,40,44,0.92,75
2014-05-20,良,80,72,39,108,50,42,0.69,76
2014-05-21,良,98,90,66,142,32,33,0.90,101
2014-05-22,良,100,98,73,116,41,37,1.05,115
2014-05-23,良,96,140,70,106,37,32,0.89,113
2014-05-24,轻度污染,132,174,85,117,15,27,0.96,110
2014-05-25,重度污染,222,181,86,315,39,29,0.63,91
2014-05-26,重度污染,226,187,90,312,43,32,0.53,94
2014-05-27,轻度污染,135,140,75,216,84,56,0.75,73
2014-05-28,轻度污染,128,144,77,204,93,61,0.84,87
2014-05-29,中度污染,176,177,126,251,41,47,0.96,122
2014-05-30,重度污染,208,181,166,251,38,52,1.18,107
2014-05-31,轻度污染,132,138,99,156,34,56,1.08,60
2014-06-01,轻度污染,118,172,75,99,17,26,0.87,142
2014-06-02,轻度污染,103,167,69,113,32,29,0.79,105
2014-06-03,良,67,106,38,82,35,32,0.65,81
2014-06-04,良,95,150,65,119,60,47,0.96,87
2014-06-05,轻度污染,117,165,84,146,80,49,1.13,113
2014-06-06,轻度污染,138,161,101,186,78,51,1.27,95
2014-06-07,良,65,93,35,76,51,33,0.78,79
2014-06-08,良,85,104,55,96,38,34,0.91,91
2014-06-09,良,81,126,54,109,60,52,1.05,96
2014-06-10,轻度污染,127,173,96,166,54,52,1.34,107
2014-06-11,中度污染,193,188,148,214,49,44,1.56,89
2014-06-12,良,75,71,53,83,63,32,0.90,95
2014-06-13,轻度污染,115,131,85,145,51,48,1.08,65
