日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,91,240,55,129,27,28,0.74,34
2015-01-02,良,89,333,63,123,52,38,1.28,20
2015-01-03,轻度污染,147,258,110,194,71,54,1.82,18
2015-01-04,中度污染,183,237,140,250,71,64,2.45,36
2015-01-05,中度污染,181,259,137,232,74,64,2.02,22
2015-01-06,中度污染,156,369,118,146,19,44,1.77,6
2015-01-07,轻度污染,143,340,107,142,17,40,1.96,4
2015-01-08,轻度污染,125,266,94,132,30,27,1.47,20
2015-01-09,中度污染,164,282,125,182,50,41,1.75,13
2015-01-10,重度污染,205,310,156,206,54,41,2.04,18
2015-01-11,重度污染,208,340,159,215,54,47,1.90,15
2015-01-12,中度污染,164,325,124,154,29,38,1.39,15
2015-01-13,良,96,205,71,94,18,24,0.95,20
2015-01-14,轻度污染,117,237,88,124,32,28,1.22,22
2015-01-15,轻度污染,107,194,79,118,36,29,1.37,24
2015-01-16,中度污染,156,272,118,170,57,35,1.56,19
2015-01-17,中度污染,153,303,115,169,34,31,1.24,42
2015-01-18,中度污染,172,346,129,188,63,46,1.54,27
2015-01-19,轻度污染,137,306,102,159,35,34,1.38,40
2015-01-20,中度污染,153,316,116,188,64,52,1.70,27
2015-01-21,中度污染,158,314,119,178,52,40,1.74,32
2015-01-22,轻度污染,127,250,95,162,41,36,1.27,41
2015-01-23,轻度污染,141,222,107,175,72,51,1.77,39
2015-01-24,中度污染,186,275,141,222,80,60,2.28,18
2015-01-25,重度污染,235,327,184,264,41,47,2.28,4
2015-01-26,严重污染,260,330,209,321,30,50,2.78,1
2015-01-27,轻度污染,123,298,90,155,20,41,2.34,2
2015-01-28,优,35,53,22,34,10,22,1.20,4
2015-01-29,优,36,41,23,30,9,21,0.98,4
2015-01-30,良,98,264,73,93,13,24,1.21,4
2015-01-31,良,67,171,47,63,10,20,0.86,13
2015-02-01,轻度污染,136,315,103,133,17,25,1.10,13
2015-02-02,轻度污染,105,213,78,100,10,31,1.22,4
2015-02-03,良,68,82,48,65,14,28,1.41,3
2015-02-04,轻度污染,144,257,109,152,26,27,1.33,15
2015-02-05,轻度污染,136,320,101,151,28,32,1.69,21
2015-02-06,中度污染,163,348,123,181,38,37,1.63,34
2015-02-07,轻度污染,149,313,113,176,46,51,2.05,20
2015-02-08,轻度污染,136,325,102,160,35,31,1.45,41
2015-02-09,良,97,247,71,121,27,25,0.91,57
