日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,156,67,59,262,30,28,0.83,68
2013-10-29,中度污染,172,81,67,288,23,43,1.04,45
2013-10-30,轻度污染,143,87,33,235,24,42,1.04,35
2013-10-31,中度污染,163,94,44,275,22,54,1.11,36
2013-11-01,中度污染,153,85,72,255,35,45,1.25,43
2013-11-02,轻度污染,115,64,86,136,36,45,1.29,25
2013-11-03,轻度污染,138,82,103,165,43,41,1.30,32
2013-11-04,良,76,31,42,101,33,45,0.99,32
2013-11-05,良,69,27,34,88,29,39,0.94,40
2013-11-06,良,76,23,70,122,36,42,0.96,46
2013-11-07,良,93,47,38,86,31,36,0.36,29
2013-11-08,良,67,18,26,77,21,30,0.79,45
2013-11-09,良,57,12,33,55,16,25,0.76,51
2013-11-10,良,52,17,23,58,29,21,0.66,34
2013-11-11,良,70,74,42,109,53,40,0.92,31
2013-11-12,良,88,80,60,155,50,58,1.18,28
2013-11-13,轻度污染,104,75,50,119,37,44,1.04,34
2013-11-14,轻度污染,103,62,110,213,86,63,1.51,33
2013-11-15,轻度污染,141,70,87,221,72,59,1.25,36
2013-11-16,中度污染,166,82,101,315,70,53,1.14,31
2013-11-17,轻度污染,115,72,23,88,40,22,0.70,36
2013-11-18,良,69,28,23,90,40,23,0.67,35
2013-11-19,良,70,26,31,92,66,34,0.96,31
2013-11-20,良,87,30,45,148,55,51,1.43,27
2013-11-21,轻度污染,111,40,65,192,49,60,1.43,25
2013-11-22,轻度污染,108,41,76,176,38,60,1.29,27
2013-11-23,轻度污染,105,35,74,151,33,48,0.96,40
2013-11-24,良,86,30,35,90,24,30,0.76,41
2013-11-25,良,76,45,59,126,57,32,1.12,23
2013-11-26,良,90,68,65,161,77,43,1.44,24
2013-11-27,良,96,69,26,110,31,15,0.49,42
2013-11-28,良,80,87,30,90,58,26,0.66,31
2013-11-29,良,79,70,53,118,84,49,1.05,24
2013-11-30,良,100,67,90,186,100,67,1.39,21
2013-12-01,轻度污染,107,63,55,130,49,45,0.95,31
2013-12-02,轻度污染,106,38,106,197,79,69,1.44,25
2013-12-03,重度污染,221,77,235,368,113,96,2.19,23
2013-12-04,严重污染,307,95,240,388,224,121,2.53,22
2013-12-05,严重污染,284,91,201,315,105,83,2.09,21
2013-12-06,中度污染,155,72,44,110,62,45,0.94,26
2013-12-07,轻度污染,134,35,155,265,67,49,1.63,41
2013-12-08,重度污染,219,59,156,256,38,51,2.38,29
2013-12-09,重度污染,249,86,118,228,50,34,1.19,23
2013-12-10,良,86,26,48,126,101,46,0.81,21
2013-12-11,良,87,35,27,111,38,27,0.53,27
2013-12-12,良,91,34,55,151,75,44,0.84,23
2013-12-13,良,88,37,33,106,54,36,0.70,25
2013-12-14,轻度污染,101,37,109,220,118,72,1.46,17
2013-12-15,中度污染,190,80,118,240,93,72,1.66,18
2013-12-16,轻度污染,142,80,90,238,66,59,1.63,16
2013-12-17,轻度污染,115,70,51,141,50,48,0.95,20
2013-12-18,良,90,68,42,92,41,23,0.78,31
2013-12-19,良,74,36,60,113,69,37,1.11,24
2013-12-20,良,83,35,53,114,69,37,1.22,17
