日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,212,90,163,262,98,85,3.50,23
2013-10-29,良,80,39,54,83,20,37,1.11,22
2013-10-30,轻度污染,117,74,75,175,66,60,2.55,20
2013-10-31,中度污染,166,95,126,244,68,78,2.52,25
2013-11-01,轻度污染,128,73,91,182,56,65,1.65,28
2013-11-02,重度污染,230,101,180,273,136,90,3.22,13
2013-11-03,中度污染,170,103,127,200,65,59,2.15,21
2013-11-04,良,78,34,37,106,49,49,1.35,17
2013-11-05,轻度污染,132,91,96,203,180,81,4.04,11
2013-11-06,重度污染,231,110,179,329,163,95,4.73,17
2013-11-07,轻度污染,137,81,33,85,56,39,0.52,23
2013-11-08,轻度污染,105,56,68,185,97,57,2.50,23
2013-11-09,良,98,51,54,110,51,44,1.23,12
2013-11-10,良,63,43,27,74,38,35,0.73,25
2013-11-11,良,72,80,30,102,42,38,0.88,22
2013-11-12,良,91,83,45,130,70,44,1.48,23
2013-11-13,良,96,69,70,166,107,56,1.92,17
2013-11-14,轻度污染,143,83,104,200,121,65,2.61,23
2013-11-15,轻度污染,137,66,113,301,142,81,3.28,13
2013-11-16,重度污染,204,100,86,269,84,49,2.10,27
2013-11-17,良,85,45,19,58,24,27,0.46,32
2013-11-18,良,52,17,16,50,24,24,0.46,36
2013-11-19,良,52,17,23,69,36,26,0.74,30
2013-11-20,良,89,31,43,134,69,42,1.18,19
2013-11-21,良,99,31,82,198,112,64,2.43,11
2013-11-22,轻度污染,149,67,136,304,162,92,3.79,13
2013-11-23,严重污染,294,95,325,526,294,151,5.88,13
2013-11-24,严重污染,395,109,163,311,161,83,3.52,10
2013-11-25,良,94,67,17,56,44,28,0.70,36
2013-11-26,良,74,46,39,115,89,44,1.59,22
2013-11-27,良,64,22,15,67,29,18,0.51,43
2013-11-28,良,62,43,20,80,50,37,0.83,25
2013-11-29,良,84,81,46,155,90,57,1.83,22
2013-11-30,轻度污染,103,71,58,140,88,55,1.62,23
2013-12-01,良,98,48,60,165,111,59,2.38,18
2013-12-02,轻度污染,135,56,149,314,193,98,4.69,13
2013-12-03,中度污染,200,70,93,207,130,70,2.73,17
2013-12-04,轻度污染,115,36,86,191,131,72,2.93,15
2013-12-05,良,83,18,25,64,51,32,0.63,31
2013-12-06,良,92,30,90,195,148,68,2.94,12
2013-12-07,轻度污染,120,29,98,201,99,60,2.15,9
2013-12-08,中度污染,187,46,164,299,128,69,2.92,6
2013-12-09,中度污染,158,45,22,66,44,29,0.81,35
2013-12-10,良,81,21,54,146,104,55,2.08,16
2013-12-11,良,73,21,26,67,62,45,1.15,28
2013-12-12,良,82,28,34,104,52,31,1.21,33
2013-12-13,良,57,12,22,64,48,34,1.18,28
2013-12-14,良,67,13,35,88,77,43,1.44,27
2013-12-15,良,67,21,32,79,64,37,1.20,28
2013-12-16,良,93,48,75,166,103,53,2.42,10
2013-12-17,良,98,64,60,102,64,36,1.16,25
2013-12-18,良,57,40,26,49,38,31,1.02,31
2013-12-19,优,49,23,26,57,36,34,1.16,28
2013-12-20,良,61,22,28,66,49,37,1.19,28
2013-12-21,良,65,17,44,96,80,46,1.63,22
2013-12-22,良,80,10,72,146,104,51,2.09,18
2013-12-23,中度污染,156,52,127,233,129,62,3.67,17
2013-12-24,轻度污染,104,24,56,126,100,47,1.88,20
2013-12-25,中度污染,169,43,223,361,222,95,5.52,10
2013-12-26,中度污染,175,54,27,82,42,29,1.24,36
2013-12-27,良,69,26,34,86,85,42,1.74,21
2013-12-28,良,81,26,37,112,97,41,1.64,23
2013-12-29,良,90,37,54,171,134,53,2.54,16
2013-12-30,轻度污染,118,56,64,168,128,55,2.62,20
2013-12-31,轻度污染,115,76,69,214,136,51,2.87,20
2014-01-01,轻度污染,129,101,63,190,137,50,2.88,22
2014-01-02,轻度污染,102,45,45,113,97,44,1.66,19
2014-01-03,良,84,35,51,112,86,43,1.70,29
2014-01-04,良,87,42,52,124,87,46,1.85,16
2014-01-05,轻度污染,108,35,76,131,84,47,1.70,19
2014-01-06,轻度污染,147,78,111,182,118,54,2.77,15
2014-01-07,轻度污染,133,107,98,152,119,47,2.53,17
2014-01-08,优,48,27,24,51,51,34,1.01,31
2014-01-09,良,73,87,34,97,92,41,1.68,25
2014-01-10,轻度污染,121,117,80,184,117,61,2.94,12
2014-01-11,重度污染,223,158,177,313,172,84,4.57,10
2014-01-12,良,75,55,50,85,61,41,1.26,35
2014-01-13,轻度污染,102,93,73,129,116,52,2.41,13
2014-01-14,良,95,70,68,116,83,46,1.46,20
2014-01-15,中度污染,161,112,119,225,150,68,3.51,14
2014-01-16,重度污染,237,146,191,275,154,71,3.56,9
2014-01-17,轻度污染,106,42,79,112,96,49,1.60,18
2014-01-18,轻度污染,107,50,78,129,106,50,2.17,22
2014-01-19,轻度污染,130,63,97,157,133,58,1.95,8
2014-01-20,良,79,42,46,95,72,34,1.01,37
2014-01-21,良,79,64,54,99,91,44,1.47,20
2014-01-22,轻度污染,132,145,98,187,130,66,2.47,14
2014-01-24,中度污染,198,150,152,240,132,74,2.53,10
2014-01-25,良,68,36,36,82,39,31,0.72,33
2014-01-26,良,65,53,32,79,63,33,1.14,33
2014-01-27,轻度污染,133,135,100,175,113,53,2.31,16
2014-01-28,良,55,32,23,64,35,23,0.49,47
2014-01-29,轻度污染,103,95,74,139,110,48,2.48,21
2014-01-30,轻度污染,122,70,86,151,79,37,1.60,37
2014-01-31,轻度污染,114,30,83,137,74,34,1.03,29
2014-02-01,良,75,50,55,74,37,25,0.84,31
2014-02-02,轻度污染,135,92,76,181,58,30,1.89,33
2014-02-03,良,55,54,27,61,29,18,0.57,49
2014-02-04,优,47,53,24,49,56,26,0.81,48
2014-02-05,良,66,128,44,76,100,36,1.86,30
2014-02-06,良,81,138,58,92,71,32,1.10,43
2014-02-07,良,57,101,37,57,47,23,0.68,43
2014-02-08,优,48,48,27,49,43,26,0.71,40
2014-02-09,优,34,38,13,31,27,20,0.34,53
2014-02-10,优,43,52,22,43,45,34,0.77,40
2014-02-11,轻度污染,119,153,86,157,128,58,2.46,20
2014-02-12,轻度污染,146,148,110,158,106,50,1.95,38
2014-02-13,轻度污染,105,110,78,108,56,42,0.86,55
2014-02-14,中度污染,176,151,138,199,116,58,2.21,36
2014-02-15,严重污染,283,178,233,306,168,74,3.14,27
2014-02-16,轻度污染,140,137,106,156,72,44,1.20,47
2014-02-17,良,71,91,43,86,36,28,0.58,60
2014-02-18,良,63,87,41,70,45,36,0.68,47
2014-02-19,轻度污染,106,126,79,123,71,50,1.11,39
2014-02-20,中度污染,169,150,128,197,128,63,2.63,21
2014-02-21,中度污染,165,128,125,201,111,66,2.13,35
2014-02-22,重度污染,216,164,167,230,95,55,1.75,37
2014-02-23,中度污染,185,136,140,181,79,49,1.32,54
2014-02-24,重度污染,232,153,182,268,126,79,2.81,23
2014-02-25,严重污染,374,183,299,449,203,90,6.37,15
2014-02-26,严重污染,255,178,205,287,92,66,2.33,19
2014-02-27,良,93,104,57,116,37,37,1.82,36
2014-02-28,良,74,117,33,98,47,38,0.87,28
2014-03-01,良,78,120,53,101,79,38,0.80,42
2014-03-02,良,100,115,74,121,70,46,1.04,27
2014-03-03,轻度污染,107,124,79,134,72,50,0.99,32
2014-03-04,轻度污染,119,165,89,121,47,36,0.73,56
2014-03-05,良,79,103,51,89,43,34,0.90,51
2014-03-06,良,55,68,34,60,33,26,0.54,54
2014-03-07,良,79,124,53,100,68,42,1.29,42
2014-03-08,轻度污染,137,156,98,182,75,49,1.17,29
2014-03-09,良,70,71,40,89,50,30,0.56,54
2014-03-10,良,79,62,46,107,74,45,1.00,36
2014-03-11,中度污染,183,172,140,228,65,50,1.61,40
2014-03-12,良,54,28,26,59,33,24,0.51,62
2014-03-13,良,77,102,42,103,73,38,0.94,38
2014-03-14,良,83,70,55,111,46,41,1.11,39
2014-03-15,轻度污染,120,143,77,187,92,56,1.80,38
2014-03-16,良,87,46,48,123,46,33,0.65,71
2014-03-17,严重污染,286,183,126,388,74,56,1.80,44
2014-03-18,中度污染,154,117,56,226,35,36,0.63,72
2014-03-19,良,99,105,56,145,53,49,0.90,50
2014-03-20,良,85,114,22,114,21,20,1.21,69
2014-03-21,轻度污染,115,177,64,174,71,58,1.56,31
2014-03-22,中度污染,171,188,120,255,91,65,2.31,40
2014-03-23,中度污染,153,169,113,216,72,60,1.40,66
2014-03-25,重度污染,232,178,183,302,78,73,2.42,55
2014-03-26,中度污染,160,145,122,213,46,60,1.14,38
2014-03-27,中度污染,183,157,140,228,61,67,1.24,45
2014-03-28,轻度污染,138,163,101,168,41,77,0.89,33
2014-03-29,良,99,113,71,117,34,53,0.71,63
2014-03-30,轻度污染,116,136,82,171,49,75,1.31,60
2014-03-31,轻度污染,107,142,60,162,42,71,0.80,43
2014-04-01,中度污染,168,189,127,194,61,73,1.67,80
2014-04-02,中度污染,164,185,111,210,33,62,0.87,54
2014-04-03,良,73,77,22,95,13,36,0.32,64
2014-04-04,良,97,134,28,143,28,40,0.82,59
2014-04-05,轻度污染,111,159,23,172,24,32,0.42,58
2014-04-06,轻度污染,130,183,42,209,47,49,1.40,55
2014-04-07,轻度污染,138,183,79,224,63,66,1.89,60
2014-04-08,中度污染,180,177,123,266,76,64,2.05,86
2014-04-09,中度污染,165,173,110,210,45,50,1.10,71
2014-04-10,轻度污染,120,137,25,167,23,34,0.29,74
2014-04-11,良,80,81,41,110,37,60,0.61,49
2014-04-12,轻度污染,111,144,66,171,51,60,1.06,50
2014-04-13,良,82,106,56,110,40,45,0.94,56
2014-04-14,中度污染,161,169,122,202,59,52,2.09,111
2014-04-15,轻度污染,114,142,46,175,37,43,0.95,63
2014-04-16,轻度污染,104,158,43,157,52,61,0.89,55
2014-04-17,良,99,123,63,143,45,63,0.95,40
2014-04-18,良,95,134,48,139,36,47,0.91,57
2014-04-19,良,68,111,27,84,28,40,0.59,68
2014-04-20,良,81,124,54,107,43,57,1.55,56
2014-04-21,轻度污染,107,155,64,147,46,57,1.43,63
2014-04-22,轻度污染,117,152,77,173,54,59,1.73,78
2014-04-23,轻度污染,122,153,90,164,46,44,1.46,106
2014-04-24,良,91,118,55,106,35,41,0.71,109
2014-04-25,良,70,86,41,81,28,36,0.51,95
2014-04-26,良,62,94,36,73,27,42,0.43,47
2014-04-27,良,75,113,37,95,28,42,0.42,47
2014-04-28,良,83,136,25,114,39,47,0.48,50
2014-04-29,良,98,138,40,144,61,60,0.94,52
2014-04-30,轻度污染,117,156,72,179,58,62,1.18,41
2014-05-01,轻度污染,128,151,95,183,85,53,2.04,29
2014-05-02,优,47,12,29,46,26,33,0.39,19
2014-05-03,良,71,71,33,92,39,47,0.79,14
2014-05-04,良,58,53,19,70,22,25,0.20,19
2014-05-05,优,42,32,20,42,20,34,0.34,18
2014-05-06,良,63,51,28,75,28,50,0.71,13
2014-05-07,良,59,46,36,62,17,46,0.58,17
2014-05-08,优,49,23,24,52,20,43,0.61,18
2014-05-09,良,62,59,36,73,22,50,0.73,41
2014-05-10,优,47,49,16,49,18,43,0.39,51
2014-05-11,优,33,11,15,23,9,34,0.44,59
2014-05-12,优,49,30,22,53,25,38,1.06,47
2014-05-13,良,88,110,35,125,48,57,1.83,50
2014-05-14,良,72,79,28,93,21,30,0.42,59
2014-05-15,良,82,108,37,113,41,52,1.03,52
2014-05-16,良,84,80,45,117,32,54,0.82,65
2014-05-17,良,72,59,33,93,41,64,0.68,40
2014-05-18,良,78,97,43,101,47,49,0.99,83
