日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,81,16,105,136,46,34,1.09,17
2014-01-01,良,91,40,46,59,42,25,0.84,17
2014-01-02,良,63,7,40,58,47,30,0.97,16
2014-01-03,良,53,4,36,52,37,28,0.89,17
2014-01-04,良,67,23,46,76,54,36,1.24,13
2014-01-05,轻度污染,126,58,95,140,61,43,1.52,11
2014-01-06,轻度污染,104,41,77,106,40,30,1.20,14
2014-01-07,轻度污染,109,86,77,97,36,27,1.06,19
2014-01-08,优,31,2,11,31,27,19,0.69,32
2014-01-09,优,46,11,27,46,38,22,1.03,23
2014-01-10,良,59,16,38,61,38,28,1.10,18
2014-01-11,良,63,21,42,67,52,29,1.05,16
2014-01-12,优,39,4,23,38,33,17,0.87,25
2014-01-13,优,43,10,26,39,36,23,0.91,22
2014-01-14,轻度污染,116,93,87,111,47,40,1.52,12
2014-01-15,中度污染,193,121,150,181,69,39,1.57,14
2014-01-16,良,69,17,48,66,68,29,1.08,14
2014-01-17,良,83,23,61,85,43,28,1.16,13
2014-01-18,良,79,14,56,78,60,29,1.14,16
2014-01-19,良,87,14,64,91,67,26,1.20,10
2014-01-20,轻度污染,101,63,73,97,73,30,1.38,17
2014-01-21,良,71,45,48,70,51,29,1.14,17
2014-01-22,良,85,45,63,85,55,39,1.21,15
2014-01-24,轻度污染,145,109,110,140,61,47,1.32,19
2014-01-25,良,61,25,37,63,62,44,1.03,23
2014-01-26,优,50,13,28,51,48,40,1.03,26
2014-01-27,良,79,73,49,81,52,38,0.95,26
2014-01-28,优,36,1,15,36,38,25,0.91,31
2014-01-29,良,56,25,36,62,52,27,1.10,23
2014-01-30,优,40,1,22,39,52,21,1.03,32
2014-01-31,轻度污染,101,25,74,104,59,26,1.14,25
2014-02-01,良,61,26,40,62,67,31,1.10,26
2014-02-02,良,86,50,47,92,45,21,0.97,35
2014-02-03,优,31,2,10,30,29,16,0.94,35
2014-02-04,优,37,16,19,36,41,19,1.11,30
2014-02-05,良,63,124,41,62,45,24,1.33,24
2014-02-06,优,50,99,29,52,52,27,1.17,26
2014-02-07,良,75,129,51,77,62,32,1.49,21
2014-02-08,良,61,76,42,62,70,30,1.08,28
2014-02-09,良,54,90,36,51,44,27,1.18,25
2014-02-10,良,72,134,52,74,70,33,1.27,23
2014-02-11,轻度污染,112,143,85,113,108,40,1.33,20
2014-02-12,良,68,39,46,65,82,32,1.25,23
2014-02-13,良,69,58,48,78,42,24,1.28,28
2014-02-14,良,89,58,64,94,47,32,1.24,27
2014-02-15,良,97,51,72,88,59,34,1.13,30
2014-02-16,轻度污染,101,107,75,102,70,38,1.31,27
2014-02-17,良,70,86,47,67,33,30,1.28,30
2014-02-18,良,69,98,46,71,62,41,1.36,21
2014-02-19,轻度污染,115,139,86,113,96,49,1.57,18
2014-02-20,良,68,49,48,71,40,26,1.48,32
2014-02-21,轻度污染,109,64,81,114,90,52,1.58,29
2014-02-22,轻度污染,149,109,113,161,64,46,1.98,23
2014-02-23,中度污染,200,147,153,210,52,33,2.03,39
2014-02-24,轻度污染,150,102,114,149,56,36,1.48,36
2014-02-25,中度污染,172,123,130,173,64,47,1.57,31
2014-02-26,严重污染,253,177,203,275,25,36,2.04,14
2014-02-27,良,52,27,25,50,40,20,0.69,35
2014-02-28,优,43,20,17,44,35,16,0.89,31
2014-03-01,优,48,39,28,49,35,19,0.82,29
2014-03-02,良,55,43,32,56,34,21,0.88,25
2014-03-03,良,56,36,36,58,33,21,1.09,23
2014-03-04,良,51,28,28,54,30,21,0.92,28
2014-03-05,优,43,17,22,44,31,17,0.83,34
2014-03-06,优,36,3,18,38,34,17,0.85,35
2014-03-07,优,38,22,16,37,35,16,0.75,42
2014-03-08,优,40,15,17,39,39,19,0.68,54
2014-03-09,优,40,24,15,40,35,17,0.75,57
2014-03-10,良,71,53,47,77,50,26,1.00,51
2014-03-11,轻度污染,103,90,77,109,61,28,1.11,33
2014-03-12,良,64,53,42,65,38,23,0.73,44
2014-03-13,良,76,95,54,80,27,25,1.05,38
2014-03-14,良,91,107,66,98,35,29,0.99,43
2014-03-15,良,87,49,63,98,41,27,1.11,34
2014-03-16,良,91,57,62,99,30,20,0.97,42
2014-03-17,良,77,23,56,81,36,24,0.88,48
2014-03-18,优,50,4,27,48,29,17,0.74,49
2014-03-19,良,61,15,40,66,35,29,0.98,28
2014-03-20,优,38,4,16,38,37,15,0.75,38
2014-03-21,良,63,41,42,69,31,16,0.84,51
2014-03-22,良,71,50,44,74,33,14,0.87,49
2014-03-23,良,61,23,39,67,34,14,0.74,62
2014-03-25,良,66,26,43,77,31,26,0.81,52
2014-03-26,良,82,40,57,94,27,29,0.91,43
2014-03-27,良,60,24,28,69,31,43,0.88,47
2014-03-28,良,53,25,20,55,34,55,0.64,54
2014-03-29,良,57,35,28,64,34,58,0.81,57
2014-03-30,良,59,28,21,68,16,17,0.58,71
2014-03-31,优,46,21,17,48,24,23,0.60,65
2014-04-01,优,43,9,18,43,14,11,0.56,63
2014-04-02,优,37,3,13,34,23,11,0.61,62
2014-04-03,优,41,14,17,40,23,8,0.56,60
2014-04-04,优,36,2,13,34,17,6,0.56,58
2014-04-05,优,38,2,12,37,25,10,0.63,60
2014-04-06,良,57,30,23,68,39,20,0.75,54
2014-04-07,良,71,56,44,82,35,22,0.86,67
2014-04-08,良,71,35,36,90,28,15,0.88,66
2014-04-09,良,64,27,20,76,16,10,0.55,71
2014-04-10,良,63,32,22,76,22,13,0.61,73
2014-04-11,良,56,19,27,61,26,15,0.73,71
2014-04-12,良,63,52,26,76,30,23,0.97,72
2014-04-13,良,65,64,31,80,30,22,0.86,91
2014-04-14,良,96,111,26,140,15,6,0.51,79
2014-04-15,优,46,7,11,46,14,7,0.49,71
2014-04-16,优,44,8,13,45,10,14,0.56,63
2014-04-17,良,58,43,27,67,9,24,0.81,53
2014-04-18,优,49,21,21,50,14,23,0.74,55
2014-04-19,良,58,78,31,62,12,24,0.82,72
2014-04-20,良,54,41,33,56,12,16,0.65,74
2014-04-21,良,56,48,32,58,29,17,0.61,67
2014-04-22,良,57,44,24,62,17,19,0.74,73
2014-04-23,良,57,29,21,64,17,18,0.71,80
2014-04-24,轻度污染,108,150,56,165,28,16,1.03,80
2014-04-25,轻度污染,115,161,56,173,30,15,0.93,75
2014-04-26,良,77,134,24,103,14,8,0.57,56
2014-04-27,良,91,147,12,39,7,205,0.68,50
2014-04-28,良,71,99,38,77,15,27,0.76,57
2014-04-29,良,61,18,27,72,20,13,0.78,75
2014-04-30,良,65,23,29,79,15,13,0.67,70
2014-05-01,良,60,22,23,67,4,6,0.55,61
2014-05-02,优,47,13,17,47,5,12,0.56,47
2014-05-03,优,45,7,24,44,6,16,0.65,50
2014-05-04,优,48,26,15,50,7,8,0.55,46
2014-05-05,优,31,8,6,30,4,4,0.53,47
2014-05-06,优,29,3,6,27,6,9,0.58,45
2014-05-07,优,33,6,8,31,8,8,0.58,55
2014-05-08,优,36,8,10,32,13,14,0.72,63
2014-05-09,良,67,73,22,83,14,24,0.77,59
2014-05-10,良,62,108,23,73,26,26,0.86,64
2014-05-11,良,58,109,31,66,22,17,0.86,66
2014-05-12,优,41,15,18,37,3,8,0.76,74
2014-05-13,优,39,12,6,23,6,8,0.70,75
2014-05-14,优,29,8,5,21,5,6,0.76,54
2014-05-15,优,31,6,5,30,4,9,0.74,46
2014-05-16,优,30,5,7,28,4,11,0.77,51
