日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,65,111,41,71,23,8,0.89,70
2015-01-02,良,76,223,53,73,21,20,0.71,112
2015-01-03,轻度污染,108,169,77,112,29,26,1.30,92
2015-01-04,重度污染,245,317,196,259,37,36,2.51,51
2015-01-05,重度污染,214,299,168,227,36,28,4.48,37
2015-01-06,良,55,97,32,54,13,26,0.52,95
2015-01-07,良,59,84,32,40,19,13,0.45,81
2015-01-08,良,62,71,42,53,16,11,0.52,56
2015-01-09,轻度污染,122,213,91,125,29,33,0.86,46
2015-01-10,中度污染,154,258,117,143,27,33,0.99,51
2015-01-11,轻度污染,129,236,97,96,19,24,0.84,52
2015-01-12,轻度污染,102,215,75,41,20,22,0.43,50
2015-01-13,轻度污染,150,296,98,183,31,52,1.48,45
2015-01-14,轻度污染,114,229,85,106,25,32,1.17,22
2015-01-15,轻度污染,121,220,90,123,19,29,0.91,27
2015-01-16,轻度污染,132,227,99,138,22,29,1.08,51
2015-01-17,良,68,71,44,65,18,16,0.44,48
2015-01-18,良,91,141,66,91,20,35,0.54,57
2015-01-19,良,62,63,43,50,10,34,0.48,52
2015-01-20,良,92,158,60,120,16,46,0.72,52
2015-01-21,轻度污染,113,201,81,121,24,48,0.94,45
2015-01-22,中度污染,167,327,127,131,18,55,1.08,45
2015-01-23,中度污染,179,310,138,146,23,59,1.48,49
2015-01-24,中度污染,166,246,126,137,21,57,1.31,51
2015-01-25,重度污染,237,328,186,211,30,52,1.90,35
2015-01-26,中度污染,174,244,133,144,26,40,1.32,47
2015-01-27,良,61,111,41,44,15,20,0.39,58
2015-01-28,良,68,238,46,60,18,22,0.82,57
2015-01-29,轻度污染,109,311,82,88,30,39,1.28,48
2015-01-30,轻度污染,123,314,92,93,23,30,1.31,62
2015-01-31,良,89,251,65,75,18,24,0.58,67
2015-02-01,轻度污染,119,282,89,100,24,20,0.80,69
2015-02-02,轻度污染,136,274,102,106,29,24,1.57,66
2015-02-03,中度污染,159,272,123,122,19,38,2.21,57
2015-02-04,轻度污染,130,236,97,109,25,35,1.64,58
2015-02-05,重度污染,233,361,183,188,21,40,1.98,58
