日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,63,10,35,75,9,22,0.62,70
2013-10-29,良,56,17,24,62,9,24,0.56,75
2013-10-30,优,49,11,20,51,6,18,0.51,66
2013-10-31,优,46,7,18,46,4,13,0.46,73
2013-11-01,优,50,8,23,52,4,16,0.60,78
2013-11-02,优,42,3,14,38,5,20,0.65,52
2013-11-03,优,36,3,17,34,6,26,0.75,27
2013-11-04,优,49,8,32,48,4,18,0.88,55
2013-11-05,良,57,13,28,61,7,18,0.66,79
2013-11-06,良,64,8,40,90,11,37,0.89,52
2013-11-07,良,72,16,48,82,11,24,0.54,86
2013-11-08,良,74,25,48,87,7,22,0.88,93
2013-11-09,良,58,13,20,54,6,19,0.74,43
2013-11-10,良,54,21,37,57,10,22,1.00,36
2013-11-11,优,45,14,14,24,3,13,0.78,62
2013-11-12,优,30,11,19,34,4,19,0.79,48
2013-11-13,优,31,12,6,17,3,16,0.73,41
2013-11-14,优,29,5,16,42,5,23,0.82,45
2013-11-15,优,50,14,28,53,7,24,0.94,32
2013-11-16,良,59,13,49,94,12,25,1.15,73
2013-11-17,良,79,37,47,117,12,26,1.06,81
2013-11-18,良,94,65,44,145,16,22,0.89,101
2013-11-19,良,87,46,39,104,17,21,0.72,102
2013-11-20,良,73,24,39,83,16,22,0.74,96
2013-11-21,良,61,10,31,63,9,16,0.69,80
2013-11-22,良,53,4,25,58,7,19,0.66,81
2013-11-23,良,57,10,28,68,7,19,0.70,80
2013-11-24,良,67,15,46,95,12,31,0.99,47
2013-11-25,良,63,24,22,62,7,17,0.87,59
2013-11-26,良,71,40,33,126,9,18,0.57,77
2013-11-27,良,95,68,41,113,9,23,0.66,54
2013-11-28,良,61,42,32,68,10,19,0.61,55
2013-11-29,良,56,25,24,57,11,19,0.55,64
2013-11-30,良,54,8,26,62,10,20,0.64,64
2013-12-01,良,60,12,30,65,12,23,0.69,68
2013-12-02,良,62,7,44,85,17,24,0.79,92
2013-12-03,良,76,7,58,107,17,33,0.87,87
2013-12-04,良,87,17,63,109,18,31,0.89,75
2013-12-05,良,69,7,36,71,10,24,0.69,75
2013-12-06,良,65,10,43,81,12,24,0.73,88
2013-12-07,良,67,8,62,104,12,20,0.81,96
2013-12-08,轻度污染,107,14,66,110,11,21,0.91,73
2013-12-09,良,77,17,49,79,9,24,1.01,63
2013-12-10,轻度污染,105,54,91,144,36,23,1.29,51
2013-12-11,良,98,42,57,94,18,20,1.02,57
2013-12-12,良,73,22,48,110,25,27,0.89,56
2013-12-13,良,87,36,57,107,26,30,1.06,50
2013-12-14,良,75,19,58,72,9,22,1.04,63
2013-12-15,良,52,11,14,20,3,14,0.88,55
2013-12-16,优,27,7,11,12,3,12,0.87,52
2013-12-17,优,19,6,8,11,3,16,0.70,38
2013-12-18,优,18,1,7,19,3,14,0.59,29
2013-12-19,优,32,8,22,44,7,18,0.53,55
2013-12-20,良,61,21,45,72,14,24,0.68,64
2013-12-21,良,65,16,60,93,18,25,0.80,72
