日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,124,47,92,139,29,58,0.89,54
2013-10-29,轻度污染,146,67,109,160,31,59,0.84,55
2013-10-30,轻度污染,128,84,94,132,30,44,0.74,59
2013-10-31,良,72,40,47,76,14,20,0.37,57
2013-11-01,良,100,58,73,92,19,26,0.40,60
2013-11-02,轻度污染,102,54,76,84,21,34,0.38,49
2013-11-03,中度污染,158,96,119,130,24,39,0.62,22
2013-11-04,轻度污染,123,86,92,121,22,33,0.74,81
2013-11-05,轻度污染,117,80,88,128,28,43,0.71,77
2013-11-06,轻度污染,140,72,112,130,40,67,1.10,50
2013-11-07,中度污染,157,92,114,127,30,47,0.48,59
2013-11-08,轻度污染,143,82,118,140,39,48,1.07,68
2013-11-09,轻度污染,146,81,111,143,49,58,1.32,54
2013-11-10,轻度污染,132,86,106,127,30,44,0.96,27
2013-11-11,良,86,96,52,49,18,35,0.64,21
2013-11-12,良,99,89,65,81,17,34,0.60,26
2013-11-13,良,58,37,42,17,15,40,0.48,14
2013-11-14,良,68,37,47,19,23,36,0.71,10
2013-11-15,良,84,36,80,61,38,36,1.08,33
2013-11-16,轻度污染,110,40,80,96,35,36,0.78,36
2013-11-17,轻度污染,101,60,84,155,45,54,0.94,35
2013-11-18,良,98,71,65,121,36,49,0.62,28
2013-11-19,良,94,56,75,115,38,54,0.82,31
2013-11-20,轻度污染,113,47,97,135,41,60,1.00,29
2013-11-21,轻度污染,126,51,95,133,38,64,0.86,33
2013-11-22,轻度污染,121,51,92,126,36,54,0.79,46
2013-11-23,轻度污染,141,59,132,168,40,56,0.98,48
2013-11-24,轻度污染,132,56,86,104,27,46,1.03,23
2013-11-25,良,69,34,43,52,30,30,0.68,34
2013-11-26,良,72,42,62,114,31,47,0.74,23
2013-11-27,轻度污染,108,81,90,124,58,58,0.98,14
2013-11-28,轻度污染,106,111,60,89,44,38,0.75,34
2013-11-29,良,69,51,53,74,46,47,0.78,31
2013-11-30,良,83,52,69,88,59,52,0.82,26
2013-12-01,良,97,47,78,96,72,57,0.91,38
2013-12-02,轻度污染,107,39,90,123,67,65,1.39,32
2013-12-03,轻度污染,133,43,115,142,68,69,1.42,28
2013-12-04,轻度污染,150,50,145,173,85,77,1.22,32
2013-12-05,重度污染,242,80,240,123,67,87,1.76,24
2013-12-06,严重污染,254,95,169,106,83,79,1.51,36
2013-12-07,严重污染,328,96,265,0,72,86,2.23,33
2013-12-08,严重污染,411,107,278,29,40,63,1.76,23
2013-12-09,严重污染,312,104,193,217,64,54,1.45,31
2013-12-10,中度污染,153,84,103,137,46,52,1.05,33
2013-12-11,轻度污染,136,82,112,133,54,56,1.09,26
2013-12-12,轻度污染,144,90,138,176,81,73,1.18,20
2013-12-13,中度污染,189,99,138,152,47,53,1.21,27
2013-12-14,中度污染,187,95,201,241,93,93,1.62,20
2013-12-15,重度污染,245,94,159,208,52,73,1.20,17
2013-12-16,轻度污染,101,52,28,38,8,28,0.64,36
2013-12-17,优,25,20,15,12,12,40,0.51,14
2013-12-18,优,28,11,30,39,20,37,0.61,23
2013-12-19,良,69,33,74,81,27,40,0.75,21
2013-12-20,轻度污染,137,60,144,150,42,45,1.07,31
2013-12-21,重度污染,202,90,153,169,61,54,1.17,29
2013-12-22,轻度污染,149,72,115,131,75,67,1.01,24
2013-12-23,中度污染,160,56,149,150,62,65,1.03,24
2013-12-24,中度污染,183,54,150,144,75,67,1.02,31
2013-12-25,中度污染,182,48,176,175,77,70,1.31,33
2013-12-26,重度污染,240,71,217,233,148,77,2.49,26
2013-12-27,重度污染,209,111,113,147,48,46,0.87,28
2013-12-28,轻度污染,105,61,87,122,70,55,1.09,25
2013-12-29,轻度污染,120,73,95,122,75,58,1.17,22
2013-12-30,轻度污染,120,60,83,103,66,54,0.97,31
2013-12-31,轻度污染,112,66,90,89,76,53,0.77,43
2014-01-01,轻度污染,130,102,111,138,90,72,1.36,35
2014-01-02,中度污染,152,108,118,165,65,74,1.21,26
2014-01-03,中度污染,171,111,130,160,91,71,1.18,40
2014-01-04,中度污染,195,164,150,180,88,77,1.33,31
2014-01-05,严重污染,286,181,236,262,84,80,1.67,37
2014-01-06,重度污染,208,142,160,191,71,65,1.21,49
2014-01-07,中度污染,182,137,139,165,40,71,1.16,16
2014-01-08,良,80,101,56,72,22,47,1.09,17
2014-01-09,良,73,86,51,58,19,34,0.69,25
2014-01-10,良,94,71,70,97,24,38,0.65,32
2014-01-11,良,87,56,62,92,13,44,0.61,27
2014-01-12,良,60,29,42,44,26,46,0.72,20
2014-01-13,中度污染,159,160,121,26,35,45,0.85,32
2014-01-14,中度污染,179,141,136,85,35,47,0.89,38
2014-01-15,轻度污染,126,76,91,157,34,56,0.72,37
2014-01-16,轻度污染,138,87,104,153,41,71,0.86,35
2014-01-17,中度污染,180,103,137,89,44,78,1.23,32
2014-01-18,重度污染,222,127,175,7,46,57,1.13,50
2014-01-19,严重污染,260,148,210,20,45,70,1.37,42
2014-01-20,中度污染,186,147,140,112,37,79,1.34,43
2014-01-21,良,93,113,65,100,31,54,0.71,35
2014-01-22,良,90,62,65,57,27,53,0.72,34
2014-01-24,轻度污染,128,96,97,44,37,63,1.17,34
2014-01-25,轻度污染,140,111,108,43,29,64,1.12,28
2014-01-26,重度污染,238,175,194,65,28,52,1.14,45
2014-01-27,轻度污染,103,107,71,85,24,52,0.71,30
2014-01-28,中度污染,154,146,117,132,25,54,0.93,25
2014-01-29,重度污染,201,162,151,82,31,51,1.15,52
2014-01-30,重度污染,245,154,195,0,36,49,1.27,65
2014-01-31,严重污染,400,180,404,0,30,45,1.20,52
2014-02-01,轻度污染,145,113,109,102,24,44,0.72,62
2014-02-02,轻度污染,126,84,94,84,25,45,0.87,56
2014-02-03,轻度污染,114,147,78,68,24,43,1.04,42
2014-02-04,良,62,112,38,70,20,36,0.32,53
2014-02-05,良,51,102,31,50,19,49,0.36,59
2014-02-06,良,57,114,40,49,21,43,0.43,31
2014-02-07,优,24,10,14,22,17,35,0.49,12
2014-02-08,优,42,36,29,14,22,37,0.51,31
2014-02-09,良,86,159,63,64,24,38,0.75,44
2014-02-10,良,56,99,39,53,24,46,0.43,47
2014-02-11,良,59,42,41,50,24,40,0.33,52
2014-02-12,轻度污染,108,119,81,74,27,45,0.56,32
2014-02-13,良,70,59,49,52,23,43,0.63,31
2014-02-14,良,96,70,71,74,25,44,0.63,28
2014-02-15,轻度污染,123,89,92,84,26,43,0.58,49
2014-02-16,良,68,60,48,58,23,46,0.51,34
2014-02-17,优,44,29,30,16,24,52,0.75,5
2014-02-18,优,27,12,15,15,22,44,0.59,26
2014-02-19,优,46,38,32,31,25,39,0.70,10
2014-02-20,良,63,42,42,48,29,28,0.66,28
2014-02-21,良,87,45,65,96,30,38,0.62,54
2014-02-22,轻度污染,108,67,80,107,33,45,0.72,38
