日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,131,50,99,167,50,67,1.27,75
2013-10-29,中度污染,152,71,116,165,30,46,1.36,47
2013-10-30,良,56,16,33,60,15,36,0.67,56
2013-10-31,良,62,21,41,72,19,49,0.76,47
2013-11-01,良,68,33,45,62,16,32,0.59,61
2013-11-02,轻度污染,129,71,94,106,18,35,0.83,44
2013-11-03,轻度污染,104,56,78,105,25,44,0.87,47
2013-11-04,良,77,32,44,102,37,61,0.76,35
2013-11-05,良,77,34,46,102,26,57,0.87,39
2013-11-06,良,96,38,93,153,45,61,1.10,47
2013-11-07,轻度污染,111,67,43,114,35,48,0.25,37
2013-11-08,良,83,30,44,98,19,32,0.64,64
2013-11-09,良,72,26,52,77,15,29,0.68,72
2013-11-10,良,57,28,29,57,26,30,0.51,46
2013-11-11,良,61,56,38,81,71,52,0.68,40
2013-11-12,良,87,79,65,133,45,59,0.96,24
2013-11-13,轻度污染,115,83,87,155,58,75,1.13,31
2013-11-14,轻度污染,127,77,106,175,88,79,1.37,25
2013-11-15,轻度污染,129,62,85,181,67,71,1.23,22
2013-11-16,轻度污染,133,60,73,209,66,54,1.02,36
2013-11-17,良,78,35,10,37,25,26,0.42,37
2013-11-18,良,51,16,20,49,33,36,0.51,26
2013-11-19,良,54,19,32,65,61,52,0.69,24
2013-11-20,良,58,13,42,72,54,53,0.82,29
2013-11-21,良,66,18,49,78,41,59,0.91,29
2013-11-22,良,80,20,65,107,36,58,1.08,24
2013-11-23,轻度污染,105,36,99,147,37,64,1.46,10
2013-11-24,轻度污染,102,39,38,89,25,44,0.94,31
2013-11-25,良,60,20,49,82,44,41,0.77,24
2013-11-26,良,76,53,72,145,58,55,1.05,16
2013-11-27,良,87,60,21,79,31,26,0.53,44
2013-11-28,良,68,60,40,99,59,49,0.98,21
2013-11-29,良,78,68,60,119,89,61,1.14,25
2013-11-30,轻度污染,117,90,114,193,115,71,1.90,18
2013-12-01,轻度污染,110,66,39,80,37,45,0.93,31
2013-12-02,轻度污染,114,46,128,199,78,78,2.18,20
2013-12-03,重度污染,219,75,185,250,145,95,2.99,18
2013-12-04,严重污染,251,79,212,300,137,94,2.71,13
2013-12-05,严重污染,363,105,295,382,78,86,2.58,18
2013-12-06,中度污染,174,75,63,116,54,55,1.37,23
2013-12-07,中度污染,190,61,210,280,63,69,2.43,22
2013-12-08,重度污染,223,62,118,150,30,50,1.76,23
2013-12-09,重度污染,203,64,106,160,69,44,1.32,29
2013-12-10,良,74,19,57,105,80,55,1.15,24
2013-12-11,良,78,29,37,93,46,38,0.87,36
2013-12-12,良,94,39,69,147,73,46,1.29,28
2013-12-13,良,72,26,29,74,48,37,1.04,36
2013-12-14,良,95,31,97,156,90,64,1.87,22
2013-12-15,轻度污染,122,57,68,103,107,68,1.43,29
2013-12-16,良,79,37,65,97,69,66,1.49,16
2013-12-17,良,74,49,41,62,43,46,0.80,28
