日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,良,87,25,28,104,43,58,1.93,24
2014-01-01,良,85,28,60,126,135,66,2.54,12
2014-01-02,良,95,38,81,127,121,70,2.34,21
2014-01-03,良,86,38,50,106,68,55,1.66,25
2014-01-04,良,100,56,72,132,126,61,2.11,12
2014-01-05,轻度污染,111,43,77,145,123,61,1.87,15
2014-01-06,中度污染,195,126,150,179,167,79,2.22,21
2014-01-07,中度污染,190,141,145,172,95,66,1.87,13
2014-01-08,良,58,55,19,65,89,32,1.15,43
2014-01-09,良,80,112,53,96,101,49,1.31,20
2014-01-10,轻度污染,150,135,113,153,157,75,2.07,11
2014-01-11,中度污染,190,143,145,195,133,76,2.81,10
2014-01-12,良,99,92,61,114,66,54,1.83,26
2014-01-13,良,95,88,67,112,126,58,1.90,18
2014-01-14,重度污染,219,164,174,200,159,80,2.55,16
2014-01-15,严重污染,304,168,253,264,137,80,2.64,13
2014-01-16,严重污染,295,168,244,304,127,87,3.10,11
2014-01-17,轻度污染,133,60,89,150,76,54,2.30,22
2014-01-18,轻度污染,104,47,69,129,93,48,1.87,31
2014-01-19,轻度污染,105,30,56,143,92,57,2.05,25
2014-01-20,良,59,16,23,71,67,30,1.54,52
2014-01-21,良,75,55,50,88,96,41,2.00,26
2014-01-22,良,88,60,62,110,120,50,1.99,30
2014-01-24,严重污染,280,179,230,310,194,94,4.07,9
2014-01-25,中度污染,199,156,152,258,160,77,3.52,19
2014-01-26,轻度污染,121,135,85,150,117,54,2.37,35
2014-01-27,重度污染,220,163,170,208,121,68,3.12,24
2014-01-28,中度污染,197,157,158,226,129,61,3.43,31
2014-01-29,中度污染,200,161,152,201,126,66,3.25,47
2014-01-30,重度污染,248,157,199,253,151,65,3.80,56
2014-01-31,严重污染,358,172,314,365,137,73,4.42,22
2014-02-01,严重污染,279,173,229,262,107,66,4.17,26
2014-02-02,严重污染,370,185,323,378,124,72,4.45,46
2014-02-03,中度污染,172,173,118,216,92,46,3.22,43
2014-02-04,良,83,146,51,110,70,40,2.28,30
2014-02-05,良,78,147,57,73,66,33,2.51,38
2014-02-06,良,95,150,71,82,143,53,2.87,18
2014-02-07,轻度污染,142,175,107,119,140,56,3.42,20
2014-02-08,重度污染,212,185,162,187,151,52,3.27,24
2014-02-09,轻度污染,135,188,102,112,97,39,3.01,46
2014-02-10,良,98,161,73,99,177,53,2.55,34
2014-02-11,中度污染,186,184,141,164,138,55,1.98,28
2014-02-12,重度污染,209,177,160,191,216,68,2.02,27
2014-02-13,中度污染,173,166,132,157,157,45,1.91,59
2014-02-14,重度污染,220,169,171,202,130,56,2.25,39
2014-02-15,重度污染,240,165,189,224,143,60,2.33,25
2014-02-16,严重污染,263,175,214,231,87,48,2.43,28
2014-02-17,重度污染,212,180,162,160,87,38,2.32,43
2014-02-18,轻度污染,109,163,81,86,60,34,1.37,42
2014-02-19,轻度污染,149,168,110,146,61,43,1.88,32
2014-02-20,中度污染,187,161,141,180,99,46,1.61,31
2014-02-21,中度污染,192,156,147,194,117,63,1.63,41
2014-02-22,中度污染,186,152,140,183,110,53,1.58,31
2014-02-23,重度污染,231,159,180,206,131,59,1.56,35
2014-02-24,重度污染,244,163,194,233,86,57,1.74,21
2014-02-25,重度污染,240,161,194,235,91,55,2.00,42
2014-02-26,重度污染,218,172,168,219,87,51,1.88,36
2014-02-27,良,97,109,66,136,64,42,1.47,17
2014-02-28,良,69,108,44,69,56,39,1.12,35
2014-03-01,轻度污染,104,149,78,103,45,40,1.46,29
2014-03-02,轻度污染,107,126,80,119,50,35,1.48,44
2014-03-03,中度污染,190,177,143,188,114,58,1.74,31
