日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,72,149,49,83,36,35,1.71,32
2015-01-02,良,64,136,41,73,34,33,1.53,30
2015-01-03,良,67,51,41,80,43,46,1.80,21
2015-01-04,良,84,62,54,116,58,65,3.20,25
2015-01-05,轻度污染,111,151,83,151,76,70,4.32,3
2015-01-06,轻度污染,102,276,73,122,69,60,4.20,11
2015-01-07,优,49,46,34,37,21,31,2.30,9
2015-01-08,优,50,32,33,47,28,22,1.35,38
2015-01-09,良,67,72,47,69,29,32,1.02,25
2015-01-10,良,99,146,73,96,59,42,1.04,20
2015-01-11,良,86,130,63,87,50,38,0.99,32
2015-01-12,优,43,44,27,40,33,26,0.62,51
2015-01-13,优,23,5,12,12,16,20,0.68,39
2015-01-14,优,26,12,15,23,18,28,0.87,18
2015-01-15,优,33,8,18,32,21,24,0.78,21
2015-01-16,良,71,95,49,73,30,32,1.94,9
2015-01-17,良,60,56,42,60,29,29,1.04,28
2015-01-18,良,86,124,63,86,43,37,1.23,35
2015-01-19,良,83,129,60,87,36,36,1.10,38
2015-01-20,良,78,105,53,89,50,43,1.18,39
2015-01-21,良,79,115,57,85,39,46,1.47,30
2015-01-22,良,77,85,54,87,33,43,1.38,31
2015-01-23,良,81,65,55,97,49,54,2.12,19
2015-01-24,良,80,71,57,93,44,49,1.84,28
2015-01-25,良,70,59,50,63,40,44,1.56,19
2015-01-26,良,69,53,48,61,38,35,1.45,15
2015-01-27,良,71,146,51,65,49,28,1.45,17
2015-01-28,优,37,66,24,35,35,21,1.31,35
2015-01-29,优,40,57,24,39,49,27,1.67,34
2015-01-30,优,30,10,15,28,27,25,1.62,5
2015-01-31,优,26,5,15,25,32,21,1.18,5
2015-02-01,优,36,10,24,34,44,25,1.25,6
2015-02-02,良,71,101,50,64,54,32,1.42,7
2015-02-03,良,72,94,52,71,47,29,1.48,8
2015-02-04,优,32,9,21,28,16,19,1.52,6
2015-02-05,良,58,85,41,48,18,18,1.27,38
2015-02-06,良,85,148,62,80,31,29,1.46,32
2015-02-07,轻度污染,103,201,76,100,36,36,1.92,19
2015-02-08,良,80,207,57,78,27,26,1.30,46
2015-02-09,轻度污染,102,269,75,95,31,28,1.38,52
2015-02-10,轻度污染,104,199,77,107,39,38,1.90,27
2015-02-11,轻度污染,108,191,81,109,28,39,1.88,23
2015-02-12,良,90,151,61,95,25,34,1.83,31
2015-02-13,良,73,92,50,85,31,34,2.04,33
2015-02-14,良,67,58,47,74,26,33,1.51,26
2015-02-15,良,65,71,46,55,14,23,1.76,17
2015-02-16,良,68,73,48,65,19,20,2.69,20
2015-02-17,优,45,26,30,39,12,13,1.54,25
2015-02-18,良,63,83,44,56,13,12,1.60,36
2015-02-19,良,78,109,54,75,18,9,1.42,53
2015-02-20,良,59,164,41,55,12,11,1.38,55
2015-02-21,良,59,159,41,48,12,18,2.63,5
2015-02-22,优,46,69,32,45,12,15,2.12,12
2015-02-23,良,55,102,38,58,14,12,2.39,10
2015-02-24,优,26,9,16,25,13,12,1.58,24
2015-02-25,优,39,64,24,38,14,13,1.91,16
2015-02-26,优,36,45,21,35,17,14,1.76,30
2015-02-27,优,23,12,12,19,11,10,1.24,40
2015-02-28,优,24,18,13,21,18,13,1.55,29
2015-03-01,优,18,2,7,9,10,10,1.48,31
2015-03-02,优,28,3,18,24,16,12,1.21,16
2015-03-03,优,33,10,20,27,17,14,1.56,10
2015-03-04,优,22,7,6,9,9,9,1.13,43
2015-03-05,优,22,8,8,11,10,9,1.11,42
2015-03-06,优,17,4,8,12,12,13,1.19,21
2015-03-07,优,20,1,11,17,15,12,1.26,11
2015-03-08,优,43,52,30,42,19,16,2.04,4
2015-03-09,优,27,4,12,24,13,14,1.39,33
2015-03-10,优,32,12,21,27,11,13,0.90,55
2015-03-11,优,20,7,12,16,11,12,0.71,33
2015-03-12,优,37,32,17,27,16,41,0.71,42
2015-03-13,优,43,43,26,46,23,23,1.43,15
2015-03-14,良,57,63,39,53,22,25,1.58,6
2015-03-15,良,71,103,51,63,20,26,1.78,3
2015-03-16,良,78,149,56,78,24,28,2.81,5
2015-03-17,良,63,126,39,70,21,22,2.47,15
2015-03-18,良,59,142,39,63,19,26,1.51,25
2015-03-19,良,61,114,40,69,17,27,1.17,30
2015-03-20,良,82,202,59,86,18,31,1.39,29
2015-03-21,良,55,59,34,52,10,17,1.24,36
2015-03-22,优,46,20,30,46,9,16,1.11,34
2015-03-23,良,52,60,33,48,8,14,0.75,81
2015-03-24,优,48,70,26,48,12,16,0.65,50
2015-03-25,优,38,19,13,37,12,18,0.56,63
2015-03-26,优,41,31,26,37,15,22,0.60,37
2015-03-27,优,46,51,27,41,12,23,1.06,17
2015-03-28,良,60,82,36,63,16,26,1.64,19
2015-03-29,良,61,79,37,70,25,34,1.82,19
2015-03-30,良,62,114,37,62,15,25,1.75,22
2015-03-31,良,63,143,38,66,17,21,1.77,19
2015-04-01,良,54,115,29,59,18,22,1.63,25
2015-04-02,良,61,182,34,68,24,25,1.93,24
2015-04-03,良,63,163,33,73,22,25,1.79,34
2015-04-04,良,67,180,38,80,20,26,1.48,35
2015-04-05,良,67,183,41,76,21,28,1.49,37
2015-04-06,轻度污染,104,310,78,108,26,30,1.61,51
2015-04-07,优,44,127,28,43,12,16,1.40,21
