日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,98,261,72,131,64,51,0.87,20
2015-01-02,轻度污染,114,475,86,140,64,52,0.89,22
2015-01-03,轻度污染,123,195,92,151,53,53,0.97,32
2015-01-04,中度污染,187,241,141,208,57,68,1.09,34
2015-01-05,严重污染,277,335,226,293,77,81,1.90,4
2015-01-06,轻度污染,123,305,93,137,60,53,1.16,15
2015-01-07,良,97,267,71,110,53,54,0.74,19
2015-01-08,中度污染,165,318,124,175,62,70,1.38,16
2015-01-09,中度污染,170,287,128,192,90,75,1.75,19
2015-01-10,中度污染,193,297,152,211,89,73,1.69,34
2015-01-11,中度污染,190,320,146,201,66,68,1.58,30
2015-01-12,轻度污染,108,231,80,113,36,46,1.18,19
2015-01-13,良,80,172,58,86,32,40,0.83,21
2015-01-14,良,88,173,65,96,29,38,0.78,28
2015-01-15,轻度污染,148,259,111,148,40,42,0.91,31
2015-01-16,重度污染,209,325,164,220,57,58,1.52,25
2015-01-17,轻度污染,148,295,112,156,60,53,1.19,43
2015-01-18,轻度污染,131,268,68,175,50,31,0.61,54
2015-01-19,良,85,142,51,116,39,40,1.01,42
2015-01-20,良,96,176,70,122,42,45,0.68,43
2015-01-21,轻度污染,146,286,108,170,67,58,1.67,30
2015-01-22,轻度污染,105,193,78,107,52,41,0.81,36
2015-01-23,轻度污染,134,205,101,139,40,52,1.00,40
2015-01-24,重度污染,232,327,184,229,60,76,2.06,8
2015-01-25,中度污染,182,260,140,167,36,51,1.67,24
2015-01-26,中度污染,194,275,148,197,50,51,1.50,19
2015-01-27,轻度污染,108,281,80,103,41,39,0.87,24
2015-01-28,良,66,227,47,69,44,34,0.57,29
2015-01-29,轻度污染,104,297,77,104,41,33,0.65,33
2015-01-30,中度污染,154,342,116,151,43,46,1.16,30
2015-01-31,良,90,255,66,91,73,52,0.77,27
2015-02-01,良,97,229,72,97,40,44,0.81,32
