日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,75,162,51,93,57,24,0.80,47
2015-01-02,良,82,275,58,93,109,31,1.06,38
2015-01-03,良,71,68,48,82,113,42,1.23,48
2015-01-04,良,78,52,57,92,102,43,0.98,68
2015-01-05,轻度污染,105,141,78,118,182,68,1.09,22
2015-01-06,良,83,228,61,88,101,55,1.20,14
2015-01-07,优,34,6,23,29,31,30,0.99,11
2015-01-08,优,50,33,34,48,49,23,0.84,34
2015-01-09,良,78,100,56,85,96,37,1.05,36
2015-01-10,良,90,120,66,105,128,51,1.19,30
2015-01-11,良,99,163,73,106,127,44,1.12,47
2015-01-12,良,85,180,62,89,70,36,0.97,60
2015-01-13,良,52,84,36,45,24,27,0.71,30
2015-01-14,优,38,39,26,34,42,25,0.81,22
2015-01-15,良,54,47,37,53,54,30,0.77,22
2015-01-16,良,66,79,47,66,96,33,0.75,31
2015-01-17,良,93,168,69,94,66,35,0.79,58
2015-01-18,中度污染,155,335,117,157,77,48,1.10,54
2015-01-19,良,99,205,72,108,94,38,0.91,52
2015-01-20,良,70,80,49,80,84,43,0.92,53
2015-01-21,良,70,82,50,69,74,46,0.80,51
2015-01-22,良,76,81,54,87,60,44,0.95,50
2015-01-23,良,80,58,58,92,111,53,1.03,44
2015-01-24,良,88,94,64,98,121,55,0.88,52
2015-01-25,良,82,89,60,92,140,58,0.81,32
2015-01-26,良,89,108,65,92,117,41,0.85,32
2015-01-27,良,95,240,70,93,41,44,1.01,21
2015-01-28,优,33,42,22,28,20,30,0.69,21
2015-01-29,优,39,52,26,34,29,29,0.74,12
2015-01-30,优,35,27,23,29,29,28,0.67,10
2015-01-31,良,86,245,63,79,32,30,0.89,34
2015-02-01,良,91,216,67,91,51,38,0.92,20
2015-02-02,良,76,120,55,70,42,34,0.81,11
2015-02-03,良,53,39,36,45,38,33,0.72,10
2015-02-04,良,80,141,58,81,28,34,0.78,11
2015-02-05,良,75,159,54,75,33,34,0.90,41
2015-02-06,良,90,172,66,97,43,35,0.82,57
2015-02-07,良,92,150,68,101,57,40,0.91,42
2015-02-08,轻度污染,106,283,79,113,64,33,0.92,69
2015-02-09,良,62,97,41,65,29,23,0.96,67
2015-02-10,良,63,63,44,65,45,37,0.87,53
2015-02-11,良,67,67,47,69,46,35,0.79,74
2015-02-12,良,79,123,56,85,32,38,0.80,67
2015-02-13,良,68,76,47,77,40,40,0.85,54
2015-02-14,良,81,92,59,92,53,48,0.83,52
2015-02-15,良,62,60,42,63,20,31,0.83,41
2015-02-16,良,63,50,45,59,16,24,0.79,53
2015-02-17,轻度污染,101,205,75,102,24,22,0.95,80
2015-02-18,轻度污染,102,240,76,106,21,17,0.94,88
