日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,77,17,52,77,16,22,0.79,85
2013-10-29,良,55,15,32,57,12,21,0.62,73
2013-10-30,良,60,19,38,62,14,24,0.69,74
2013-10-31,良,82,52,51,81,22,27,0.90,59
2013-11-01,良,69,36,45,76,17,30,0.87,56
2013-11-02,优,50,11,30,50,15,26,0.83,52
2013-11-03,优,33,1,20,30,13,22,0.92,33
2013-11-04,优,39,3,26,30,8,20,0.85,45
2013-11-05,良,54,11,36,52,12,20,0.79,73
2013-11-06,良,67,13,48,71,17,29,0.94,67
2013-11-07,良,73,18,56,77,13,23,0.35,81
2013-11-08,良,84,31,65,88,10,23,0.73,91
2013-11-09,良,98,50,62,84,18,30,0.90,57
2013-11-10,良,62,38,50,77,22,33,0.84,46
2013-11-11,良,62,57,26,44,10,17,0.69,60
2013-11-12,优,37,18,27,42,11,20,0.69,52
2013-11-13,优,49,33,28,46,12,22,0.74,36
2013-11-14,优,38,14,21,41,14,21,0.68,46
2013-11-15,优,46,9,27,49,15,21,0.88,46
2013-11-16,良,56,9,48,74,16,22,0.97,69
2013-11-17,良,76,31,47,90,19,26,0.95,73
2013-11-18,良,74,32,43,102,18,24,0.77,90
2013-11-19,良,71,27,35,78,18,24,0.66,89
2013-11-20,良,57,12,31,55,19,29,0.77,84
2013-11-21,良,53,6,28,54,20,27,0.72,74
2013-11-22,良,52,3,29,57,17,22,0.62,68
2013-11-23,良,59,11,45,73,17,25,0.66,74
2013-11-24,良,75,23,66,86,17,28,0.92,60
2013-11-25,良,66,30,21,54,13,22,1.07,69
2013-11-26,良,64,24,38,100,15,23,0.67,74
2013-11-27,良,89,62,64,128,21,30,0.79,66
2013-11-28,良,69,63,33,58,16,26,0.71,48
2013-11-29,良,55,19,29,54,18,28,0.83,60
2013-11-30,良,61,22,47,82,26,37,1.16,60
2013-12-01,良,72,26,51,87,33,39,1.37,63
2013-12-02,良,69,15,55,91,24,37,1.14,77
2013-12-03,良,91,25,81,119,26,40,1.01,81
2013-12-04,轻度污染,127,42,106,145,35,53,1.19,66
2013-12-05,良,91,27,58,92,32,37,0.87,69
2013-12-06,良,91,29,71,105,33,36,0.99,79
2013-12-07,良,86,14,66,98,22,28,1.03,83
2013-12-08,轻度污染,110,17,80,105,22,32,0.93,61
2013-12-09,轻度污染,144,42,110,140,25,36,1.06,63
2013-12-10,中度污染,151,83,130,161,21,27,1.14,74
2013-12-11,中度污染,152,95,108,136,24,30,1.07,53
2013-12-12,轻度污染,110,54,63,99,22,34,0.95,56
2013-12-13,轻度污染,119,59,95,129,28,41,1.10,52
2013-12-14,轻度污染,101,36,71,73,13,27,0.93,51
2013-12-15,良,80,30,34,25,9,23,0.88,42
2013-12-16,优,25,2,11,13,11,26,1.18,28
2013-12-17,优,22,13,19,22,12,29,0.90,22
2013-12-18,优,23,7,11,25,10,21,0.78,30
2013-12-19,优,34,10,27,41,15,25,0.79,49
2013-12-20,良,60,20,53,72,19,30,0.72,54
2013-12-21,良,73,20,65,82,17,27,0.72,69
2013-12-22,轻度污染,107,27,80,101,20,28,0.85,70
2013-12-23,良,90,13,70,90,21,35,0.82,55
2013-12-24,良,80,9,52,80,17,33,0.72,57
2013-12-25,良,73,6,58,86,23,33,0.81,66
2013-12-26,良,82,16,69,101,21,27,0.86,71
2013-12-27,轻度污染,123,66,115,144,35,34,0.95,71
2013-12-28,中度污染,173,106,121,161,30,41,1.09,64
2013-12-29,轻度污染,137,88,79,114,27,40,0.93,57
2013-12-30,良,99,30,86,122,29,49,1.11,56
2013-12-31,轻度污染,130,103,104,145,35,63,1.27,57
2014-01-01,轻度污染,137,112,101,141,27,59,1.19,58
2014-01-02,轻度污染,113,61,85,107,24,47,0.90,56
2014-01-03,重度污染,211,149,166,202,38,70,1.79,61
2014-01-04,轻度污染,150,124,114,149,29,42,1.13,89
2014-01-05,中度污染,170,117,129,165,29,41,0.99,87
2014-01-06,轻度污染,118,52,87,127,22,30,0.86,87
2014-01-07,良,68,25,45,76,18,34,0.64,53
2014-01-08,轻度污染,109,140,81,117,27,47,1.27,43
2014-01-09,良,76,102,55,70,9,29,1.16,31
2014-01-10,良,58,15,40,63,15,27,0.89,51
2014-01-11,良,68,28,46,70,18,30,0.87,49
2014-01-12,良,79,64,57,81,18,29,0.97,55
2014-01-13,良,55,24,38,55,16,26,1.16,25
2014-01-14,良,61,31,43,58,16,28,1.60,39
2014-01-15,良,70,24,48,75,17,29,0.82,55
2014-01-16,良,70,18,46,73,17,30,0.81,60
2014-01-17,良,92,33,65,89,18,37,0.97,50
2014-01-18,良,92,29,67,93,21,37,1.01,69
2014-01-19,轻度污染,129,62,97,126,18,28,1.20,96
2014-01-20,轻度污染,120,76,91,125,23,41,1.30,73
2014-01-21,轻度污染,132,163,100,145,25,37,1.12,84
2014-01-22,良,83,44,57,112,19,27,0.89,83
2014-01-24,良,69,32,46,68,15,29,0.96,63
2014-01-25,良,78,46,54,75,17,33,1.10,60
2014-01-26,轻度污染,144,150,109,142,16,35,1.34,78
2014-01-27,良,73,60,46,75,9,18,0.73,88
2014-01-28,良,65,53,40,65,11,24,0.75,68
2014-01-29,良,79,62,52,71,11,27,0.94,60
2014-01-30,良,100,57,74,100,14,31,1.22,68
2014-01-31,中度污染,157,52,120,145,17,28,1.01,80
2014-02-01,中度污染,152,116,119,110,11,25,0.89,68
2014-02-02,良,83,45,60,76,12,22,1.00,60
2014-02-03,良,98,124,73,89,11,25,0.95,69
2014-02-04,良,61,111,39,62,6,12,0.73,80
2014-02-05,优,29,4,16,17,5,12,0.74,52
2014-02-06,优,31,37,18,21,5,15,0.77,47
2014-02-07,优,41,58,29,33,4,21,0.82,40
2014-02-08,优,36,24,24,33,7,17,0.94,27
2014-02-09,优,21,11,12,16,4,15,0.83,39
2014-02-10,优,28,5,17,22,10,15,1.14,24
2014-02-11,良,56,33,39,45,10,17,0.80,32
2014-02-12,良,74,55,54,62,10,23,0.76,27
2014-02-13,优,36,15,25,29,9,24,0.84,22
2014-02-14,优,50,12,35,42,12,18,0.92,32
2014-02-15,良,62,25,44,53,13,19,0.84,43
2014-02-16,良,61,44,43,56,18,31,0.80,44
2014-02-17,轻度污染,117,138,87,113,24,50,1.53,36
2014-02-18,良,93,147,67,89,19,45,1.44,21
2014-02-19,优,19,6,12,16,9,22,0.76,28
2014-02-20,优,45,23,27,36,14,19,0.78,41
2014-02-21,良,60,17,42,62,7,18,0.63,94
2014-02-22,良,58,10,40,56,15,22,0.73,70
2014-02-23,良,60,13,39,55,13,23,0.75,64
2014-02-24,良,54,16,35,51,16,22,0.86,68
2014-02-25,良,100,81,74,66,19,29,0.81,62
2014-02-26,轻度污染,116,100,86,108,26,42,1.11,51
2014-02-27,良,80,76,53,63,21,25,0.95,64
2014-02-28,优,46,31,28,43,19,22,0.91,71
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2014-04-01,良,61,37,39,54,9,18,1.11,68
2014-04-02,优,38,4,23,33,11,19,1.01,71
2014-04-03,优,48,20,33,46,15,36,1.29,43
2014-04-04,良,72,58,51,75,17,27,1.16,76
2014-04-05,良,91,116,66,100,20,22,1.01,102
2014-04-06,良,66,62,47,69,13,18,0.86,92
2014-04-07,优,48,3,32,41,11,19,0.93,70
2014-04-08,良,85,63,61,96,22,42,1.45,42
2014-04-09,良,78,48,55,86,18,31,1.29,61
2014-04-10,良,55,19,35,53,15,17,0.89,83
2014-04-11,良,61,31,40,63,19,19,0.80,82
2014-04-12,良,68,68,46,78,24,23,0.95,72
2014-04-13,良,69,69,45,83,23,22,0.84,49
2014-04-14,优,46,6,24,46,6,12,0.67,88
2014-04-15,良,60,31,38,65,16,14,0.96,101
2014-04-16,良,64,57,43,70,17,18,0.86,95
2014-04-17,良,65,59,41,67,20,24,0.89,58
2014-04-18,良,62,55,39,65,21,24,0.92,50
2014-04-19,优,48,38,30,49,16,17,0.81,51
2014-04-20,良,72,99,52,74,22,20,1.02,57
2014-04-21,优,49,30,28,45,10,12,0.91,86
2014-04-22,良,73,86,52,76,12,18,0.95,81
2014-04-23,优,49,15,31,49,7,15,0.86,86
2014-04-24,良,70,53,50,68,11,21,0.99,75
2014-04-25,良,56,45,37,55,16,20,1.06,74
2014-04-26,良,54,65,34,53,10,21,1.10,66
2014-04-27,良,87,139,63,99,20,25,1.39,71
2014-04-28,良,56,28,36,53,10,15,1.28,80
2014-04-29,良,67,33,48,62,9,15,1.06,92
2014-04-30,良,80,52,59,70,7,18,1.01,83
2014-05-01,优,41,9,27,32,4,17,1.08,59
2014-05-02,优,48,16,30,43,9,15,1.21,76
2014-05-03,良,65,53,44,63,12,17,1.03,81
2014-05-04,良,79,125,57,79,10,20,0.87,87
2014-05-05,良,65,87,43,65,8,22,0.91,65
2014-05-06,优,50,25,33,46,6,21,0.72,81
2014-05-07,良,59,45,42,50,10,33,1.01,51
2014-05-08,良,81,76,58,75,21,35,1.37,55
2014-05-09,优,44,30,29,35,7,21,0.96,64
2014-05-10,良,57,85,37,57,11,20,0.95,64
2014-05-11,优,45,50,19,46,9,24,0.99,36
2014-05-12,优,31,2,18,29,8,24,0.92,45
2014-05-13,优,32,4,15,31,7,17,0.72,41
2014-05-14,优,34,14,10,37,5,9,0.56,30
2014-05-15,良,56,43,16,64,7,15,0.74,38
2014-05-16,良,92,101,63,115,7,16,1.19,98
2014-05-17,轻度污染,102,124,62,153,7,20,1.12,69
2014-05-18,优,49,29,15,52,14,17,0.70,32
2014-05-19,优,35,11,13,35,13,18,0.72,27
2014-05-20,优,38,13,16,37,12,20,0.72,34
2014-05-21,优,42,17,23,40,11,21,0.83,54
2014-05-22,优,36,18,18,33,5,14,0.72,52
2014-05-23,优,24,2,13,21,9,20,0.84,45
2014-05-24,优,33,11,20,31,11,18,0.87,48
2014-05-25,优,39,19,21,38,9,18,0.86,44
2014-05-26,优,47,23,26,49,16,24,1.04,38
2014-05-27,良,59,27,38,66,22,26,1.11,61
2014-05-28,良,65,49,43,75,18,31,1.36,53
2014-05-29,良,51,20,32,52,13,14,0.90,56
2014-05-30,优,34,12,18,33,13,15,0.75,33
2014-05-31,优,34,12,19,33,16,13,0.82,39
2014-06-01,优,32,12,19,31,7,10,0.68,35
2014-06-02,优,30,12,15,28,9,9,0.68,44
2014-06-03,优,40,19,20,39,9,15,0.87,56
2014-06-04,优,47,26,29,46,12,19,0.96,74
2014-06-05,优,44,25,25,44,14,19,1.14,44
2014-06-06,优,36,16,18,34,15,22,0.92,34
2014-06-07,优,36,17,17,33,13,19,0.84,40
2014-06-08,优,37,12,21,34,13,20,0.96,50
2014-06-09,优,49,35,27,46,10,14,0.87,77
2014-06-10,良,59,83,31,57,16,14,0.82,84
2014-06-11,优,49,24,24,45,12,12,0.74,73
2014-06-12,良,63,44,26,64,11,16,0.76,105
2014-06-13,良,70,61,44,81,13,20,0.86,110
2014-06-14,良,82,70,52,85,11,15,1.02,115
2014-06-15,优,35,4,13,21,2,7,0.75,67
2014-06-16,优,39,5,18,30,4,10,0.90,70
2014-06-17,优,31,7,14,30,6,10,0.77,45
2014-06-18,优,38,21,15,37,9,11,0.77,41
2014-06-19,优,36,16,16,35,8,9,0.72,41
2014-06-20,优,30,7,13,29,6,7,0.69,43
2014-06-21,优,28,3,16,27,4,6,0.67,44
2014-06-22,优,28,8,12,27,6,9,0.75,44
2014-06-23,优,36,25,19,34,6,9,0.76,46
2014-06-24,优,39,32,17,38,8,13,0.80,33
2014-06-25,优,33,15,15,32,7,17,0.90,32
2014-06-26,优,32,11,16,31,7,12,0.76,37
2014-06-27,优,41,29,19,40,11,12,0.71,39
2014-06-28,优,41,27,21,41,18,15,0.83,41
2014-06-29,优,24,4,13,23,6,10,0.72,30
2014-06-30,优,28,12,12,27,6,10,0.72,32
2014-07-01,优,28,13,12,27,6,8,0.66,37
2014-07-02,优,34,9,15,33,8,9,0.63,38
2014-07-03,优,42,28,18,42,11,10,0.72,43
2014-07-04,优,43,22,21,43,12,10,0.70,49
2014-07-05,优,32,12,15,31,11,11,0.67,39
2014-07-06,良,54,73,31,57,19,18,0.91,42
2014-07-07,良,66,81,40,77,21,19,0.97,71
2014-07-08,良,69,90,46,78,23,17,0.89,74
2014-07-09,良,54,61,33,58,16,16,0.90,54
2014-07-10,优,26,4,10,24,9,8,0.64,36
2014-07-11,优,23,4,9,22,7,8,0.59,35
2014-07-12,优,26,10,9,25,12,9,0.65,31
2014-07-13,优,28,16,10,27,9,8,0.60,33
2014-07-14,优,33,22,14,32,10,9,0.67,37
2014-07-15,优,33,26,14,32,11,10,0.66,43
2014-07-16,优,34,29,17,33,10,11,0.77,40
2014-07-17,优,39,26,18,39,10,13,0.75,48
2014-07-18,优,29,20,10,28,5,9,0.74,39
2014-07-19,优,36,36,11,35,6,9,0.70,39
2014-07-20,优,46,55,20,42,30,13,1.02,53
2014-07-21,优,44,41,18,41,14,12,0.70,55
2014-07-22,良,60,84,31,64,19,16,0.80,86
2014-07-23,良,72,145,47,76,14,16,0.94,77
2014-07-24,优,31,8,11,26,11,11,0.66,44
2014-07-25,优,33,12,16,32,12,12,0.71,42
2014-07-26,优,24,4,9,20,22,14,0.95,29
2014-07-27,优,27,11,11,26,9,8,0.65,28
2014-07-28,良,51,36,26,53,21,15,0.87,47
2014-07-29,优,46,24,26,45,13,11,0.73,59
2014-07-30,优,45,33,21,45,16,13,0.82,47
2014-07-31,良,65,102,43,73,19,16,0.88,59
2014-08-01,良,56,108,35,59,14,12,0.87,77
2014-08-02,良,70,132,40,66,16,16,1.04,99
2014-08-03,良,58,55,35,54,14,13,0.82,89
2014-08-04,优,44,22,26,42,10,12,0.78,61
2014-08-05,优,29,8,10,27,9,10,0.74,39
2014-08-06,优,26,6,10,25,8,10,0.78,41
2014-08-07,优,46,41,24,46,15,13,0.84,47
2014-08-09,优,43,45,19,39,29,14,1.09,62
2014-08-10,优,38,20,18,36,12,9,0.81,56
2014-08-11,优,35,17,15,33,11,10,0.71,48
2014-08-12,优,41,35,19,39,12,12,0.80,48
2014-08-13,优,29,10,13,28,12,14,0.75,29
2014-08-14,优,27,14,11,26,9,11,0.69,38
2014-08-15,优,44,31,21,43,10,11,0.72,45
2014-08-16,良,60,66,37,65,17,17,0.89,67
2014-08-17,良,74,125,47,74,16,19,0.96,82
2014-08-18,优,38,29,20,36,10,14,0.71,38
2014-08-19,优,30,17,16,27,11,13,0.75,31
2014-08-20,优,29,23,14,28,13,12,0.79,32
2014-08-21,优,40,19,19,41,17,15,0.80,27
2014-08-23,优,38,20,19,35,26,14,0.92,38
2014-08-24,优,40,30,22,40,14,12,0.74,45
2014-08-25,优,42,25,25,40,14,12,0.77,43
2014-08-26,优,32,18,15,31,13,13,0.65,28
2014-08-27,优,32,14,14,31,10,13,0.62,37
2014-08-28,优,31,17,15,29,7,8,0.67,42
2014-08-29,优,50,45,28,52,18,16,0.80,56
2014-08-30,良,54,67,33,54,17,16,0.81,60
2014-08-31,优,38,21,19,35,8,9,0.68,51
2014-09-01,优,33,13,14,30,11,9,0.72,41
2014-09-02,优,42,43,23,43,19,13,0.84,42
2014-09-03,良,67,168,39,69,21,18,0.87,89
2014-09-04,良,76,135,41,68,12,15,0.90,113
2014-09-05,良,69,74,42,61,8,9,0.97,120
2014-09-06,良,57,35,33,56,25,15,1.16,76
2014-09-07,优,39,8,19,37,8,10,0.82,60
2014-09-08,优,29,14,14,28,6,8,0.81,33
2014-09-09,优,45,43,26,44,11,13,0.99,42
