日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,轻度污染,104,35,74,117,47,57,1.25,42
2013-10-29,轻度污染,119,59,87,130,61,60,1.43,34
2013-10-30,轻度污染,107,66,78,115,22,58,1.09,22
2013-10-31,良,72,37,52,80,17,48,0.75,28
2013-11-01,良,74,41,53,84,17,44,0.86,34
2013-11-02,轻度污染,120,66,89,137,19,62,1.12,11
2013-11-03,中度污染,177,107,135,178,19,66,1.71,3
2013-11-04,轻度污染,132,95,99,145,47,61,1.64,23
2013-11-05,良,99,57,70,119,34,59,1.02,27
2013-11-06,轻度污染,146,76,113,168,73,83,1.26,32
2013-11-07,中度污染,178,104,136,192,49,74,1.04,55
2013-11-08,中度污染,169,97,81,122,35,63,1.34,72
2013-11-09,轻度污染,116,64,93,132,33,67,1.63,29
2013-11-10,中度污染,164,100,92,136,35,60,1.85,11
2013-11-11,良,70,75,58,89,51,54,1.60,22
2013-11-12,良,81,71,62,82,42,68,1.15,7
2013-11-13,良,97,72,62,86,43,66,0.82,6
2013-11-14,良,89,53,76,107,43,60,1.05,1
2013-11-15,轻度污染,129,61,116,174,51,74,1.60,17
2013-11-16,中度污染,164,79,106,178,53,61,1.35,33
2013-11-17,轻度污染,120,77,70,176,51,66,1.13,20
2013-11-18,轻度污染,104,82,82,148,78,75,1.50,12
2013-11-19,轻度污染,127,94,103,167,78,84,1.75,16
2013-11-20,轻度污染,140,73,116,176,64,81,1.82,32
2013-11-21,中度污染,180,84,149,225,54,89,2.21,29
2013-11-22,严重污染,264,97,282,392,89,123,2.70,18
2013-11-23,严重污染,361,105,223,302,53,81,1.87,28
2013-11-24,轻度污染,141,63,58,91,42,58,1.38,18
2013-11-25,良,69,33,46,118,51,48,1.13,26
2013-11-26,轻度污染,108,84,74,185,57,61,1.37,15
2013-11-27,轻度污染,119,93,83,170,79,65,1.49,12
2013-11-28,良,76,79,37,78,55,48,1.22,23
2013-11-29,良,67,48,48,86,63,57,1.52,14
2013-11-30,良,76,40,70,111,61,67,1.82,13
2013-12-01,轻度污染,118,72,100,157,99,82,2.31,12
2013-12-02,中度污染,162,72,123,182,73,80,2.29,15
2013-12-03,轻度污染,141,52,126,170,57,92,1.79,21
2013-12-04,严重污染,254,80,291,376,82,129,2.95,16
2013-12-05,严重污染,386,108,329,426,51,106,3.31,4
2013-12-06,严重污染,352,107,303,389,92,104,3.24,7
2013-12-07,严重污染,440,113,404,465,55,90,4.11,16
2013-12-08,严重污染,447,111,303,367,70,97,3.93,13
2013-12-09,严重污染,360,111,232,295,57,86,3.85,9
2013-12-10,中度污染,170,102,83,131,62,76,2.33,11
2013-12-11,轻度污染,146,91,120,164,81,79,1.97,8
2013-12-12,中度污染,165,111,152,198,64,88,1.53,5
2013-12-13,重度污染,234,113,177,231,72,106,2.12,5
2013-12-14,重度污染,245,109,185,228,50,86,2.21,4
2013-12-15,重度污染,225,88,147,202,32,57,1.97,16
2013-12-16,中度污染,159,83,60,68,22,46,1.51,17
2013-12-17,良,96,63,14,61,52,39,1.37,8
2013-12-18,良,64,50,12,29,50,38,0.82,30
2013-12-19,轻度污染,125,68,20,132,66,54,1.04,13
2013-12-20,中度污染,178,64,114,250,98,74,1.67,28
2013-12-21,中度污染,198,88,89,172,98,77,1.44,16
2013-12-22,中度污染,173,79,96,190,105,84,1.51,11
2013-12-23,重度污染,209,79,115,204,93,84,1.53,7
2013-12-24,重度污染,220,71,126,221,84,82,1.92,13
2013-12-25,严重污染,260,76,157,298,134,102,2.40,4
2013-12-26,严重污染,308,93,217,351,131,101,2.47,4
2013-12-27,重度污染,216,112,43,107,54,50,1.09,12
2013-12-28,良,99,54,57,129,78,66,1.49,10
2013-12-29,轻度污染,106,58,65,137,89,72,1.67,10
2013-12-30,轻度污染,123,69,65,141,70,73,1.65,14
2013-12-31,轻度污染,120,81,87,132,62,75,1.15,27
2014-01-01,轻度污染,116,76,60,130,58,78,1.09,36
2014-01-02,轻度污染,142,93,94,198,82,114,1.46,16
2014-01-03,重度污染,227,157,174,264,96,117,1.72,10
2014-01-04,严重污染,274,187,223,350,83,99,1.86,6
2014-01-05,严重污染,273,177,223,326,39,66,1.86,8
2014-01-06,中度污染,178,106,134,210,39,68,1.55,17
2014-01-07,轻度污染,109,85,77,115,41,68,1.55,14
2014-01-08,良,86,118,63,72,44,52,1.38,16
2014-01-09,良,63,41,45,66,36,44,0.70,36
2014-01-10,良,88,61,65,100,38,55,0.78,28
2014-01-11,良,85,53,63,91,29,66,0.84,14
2014-01-12,良,97,89,72,88,41,64,1.13,16
2014-01-13,中度污染,159,161,123,156,61,66,1.35,20
2014-01-14,良,85,57,63,91,54,60,0.91,26
2014-01-15,中度污染,161,113,130,135,55,69,1.09,27
2014-01-16,良,96,35,71,110,46,63,1.02,31
2014-01-17,中度污染,197,125,150,220,89,99,1.65,13
2014-01-18,严重污染,287,169,236,322,69,81,1.59,31
2014-01-19,严重污染,257,147,207,273,52,70,1.67,38
2014-01-20,中度污染,173,134,130,204,67,77,1.19,31
2014-01-21,良,87,90,54,124,54,59,0.55,30
2014-01-22,良,88,59,64,115,46,61,0.88,36
2014-01-24,良,66,28,45,68,23,53,0.82,41
2014-01-25,中度污染,177,135,145,192,37,61,1.05,47
2014-01-26,良,82,91,57,82,18,30,0.73,56
2014-01-27,良,51,28,31,57,18,41,0.78,40
2014-01-28,轻度污染,101,105,75,112,29,58,1.08,32
2014-01-29,轻度污染,103,96,74,117,20,40,0.69,41
2014-01-30,重度污染,238,146,194,246,30,51,1.36,50
2014-01-31,中度污染,198,83,153,191,16,38,1.34,52
2014-02-01,良,85,60,63,71,12,37,0.85,84
2014-02-02,中度污染,198,120,157,199,16,43,1.83,32
2014-02-03,良,67,77,45,72,16,29,1.46,39
2014-02-04,优,35,7,18,33,15,17,0.75,61
2014-02-05,优,44,76,22,43,11,27,0.93,46
2014-02-06,优,46,91,30,48,9,36,1.17,21
2014-02-07,优,25,11,14,17,9,25,1.11,42
2014-02-08,良,74,105,54,60,19,22,1.27,47
2014-02-09,良,85,155,63,77,31,34,1.59,39
2014-02-10,优,48,68,33,42,25,21,1.11,49
2014-02-11,良,66,64,47,60,28,27,0.91,44
2014-02-12,轻度污染,105,113,79,107,50,66,1.44,15
2014-02-13,良,80,72,58,76,32,60,1.46,24
2014-02-14,良,99,79,74,100,37,44,1.51,52
2014-02-15,轻度污染,138,105,103,139,49,55,2.03,53
2014-02-16,良,56,38,39,56,17,55,1.40,25
2014-02-17,良,55,55,39,50,52,67,1.66,4
2014-02-18,优,46,47,32,40,36,65,1.24,20
2014-02-19,良,78,75,57,70,37,60,1.07,19
2014-02-20,良,98,92,73,94,54,53,0.96,29
2014-02-21,中度污染,175,137,132,170,61,67,1.16,68
2014-02-22,中度污染,153,119,116,157,57,69,1.22,38
2014-02-23,轻度污染,111,70,83,123,46,59,1.07,46
2014-02-24,轻度污染,147,100,111,157,42,70,1.21,26
2014-02-25,良,80,76,58,83,41,68,0.96,22
2014-02-26,良,71,52,51,70,48,70,1.13,20
2014-02-27,轻度污染,115,137,87,116,48,65,1.20,30
2014-02-28,轻度污染,112,173,84,118,37,67,0.96,35
2014-03-01,良,54,57,38,49,35,64,0.79,26
2014-03-02,良,94,108,69,104,61,57,1.09,49
2014-03-03,良,55,34,33,61,23,37,0.81,69
2014-03-04,良,75,95,53,83,37,60,0.90,37
2014-03-05,良,78,102,57,80,34,49,0.84,58
2014-03-06,优,43,16,26,43,25,43,0.59,49
2014-03-07,优,43,34,23,42,25,43,0.44,45
2014-03-08,良,53,42,35,58,23,49,0.64,51
2014-03-09,良,82,90,60,87,57,64,0.87,25
2014-03-10,轻度污染,111,114,83,118,46,56,0.87,54
2014-03-11,良,98,84,73,100,28,30,0.72,82
2014-03-12,良,67,60,47,69,42,66,0.98,26
2014-03-13,良,68,72,46,74,33,45,0.77,49
2014-03-14,良,77,54,54,92,63,66,0.93,39
2014-03-15,良,84,37,61,103,51,67,1.11,59
2014-03-16,良,85,41,62,106,42,67,1.16,68
2014-03-17,良,82,32,60,100,36,61,1.28,68
2014-03-18,轻度污染,112,80,84,132,53,63,1.26,79
2014-03-19,中度污染,153,173,116,184,39,55,1.09,43
2014-03-20,良,94,149,70,112,42,57,1.02,49
2014-03-21,良,63,45,42,74,45,55,0.80,57
2014-03-22,良,66,36,44,77,34,54,0.84,62
2014-03-23,良,63,28,41,70,28,49,0.87,75
2014-03-25,良,85,58,61,109,37,75,1.01,27
2014-03-26,轻度污染,132,123,100,152,63,71,1.28,59
2014-03-27,轻度污染,122,111,90,148,36,64,1.12,59
2014-03-28,良,56,32,37,58,10,35,0.75,73
2014-03-29,良,72,73,48,77,20,60,1.07,32
2014-03-30,轻度污染,150,171,113,177,46,47,1.13,86
2014-03-31,良,95,125,70,102,29,41,0.98,74
