日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,63,93,32,74,38,39,1.18,48
2015-01-02,良,73,206,52,92,55,60,1.10,27
2015-01-03,良,95,134,70,110,58,78,0.86,27
2015-01-04,轻度污染,140,175,105,149,68,77,1.01,46
2015-01-05,中度污染,164,234,122,179,53,78,1.40,28
2015-01-06,良,94,256,69,111,41,43,1.20,42
2015-01-07,良,84,213,61,91,29,47,1.06,34
2015-01-08,良,71,111,51,76,36,41,0.79,27
2015-01-09,良,60,49,40,61,25,29,0.54,35
2015-01-10,良,63,60,44,69,31,34,0.61,31
2015-01-11,良,66,86,45,73,32,34,0.56,38
2015-01-12,严重污染,253,362,206,265,75,47,1.43,44
2015-01-13,轻度污染,132,274,99,133,30,36,0.70,42
2015-01-14,轻度污染,144,275,109,144,43,64,0.70,27
2015-01-15,中度污染,179,291,135,191,42,78,0.78,14
2015-01-16,轻度污染,117,205,87,128,33,48,0.80,34
2015-01-17,轻度污染,145,289,108,152,57,64,0.92,47
2015-01-18,轻度污染,107,190,78,113,35,26,0.88,50
2015-01-19,良,73,93,50,88,37,60,0.92,29
2015-01-20,良,82,113,58,98,39,54,0.72,32
2015-01-21,良,67,73,32,81,31,42,0.58,42
2015-01-22,良,76,82,51,92,41,50,0.64,37
2015-01-23,轻度污染,105,129,78,121,46,51,0.72,34
2015-01-24,中度污染,159,238,119,180,62,78,1.00,22
2015-01-25,中度污染,156,217,118,146,45,41,0.83,25
2015-01-26,中度污染,173,240,131,166,51,71,1.11,20
2015-01-27,中度污染,152,337,114,148,43,54,1.20,36
2015-01-28,良,68,236,47,68,36,39,0.75,35
2015-01-29,良,76,240,55,76,38,52,0.72,29
2015-01-30,良,76,208,55,76,35,46,0.68,37
2015-01-31,轻度污染,116,316,87,118,43,31,0.79,54
2015-02-01,轻度污染,115,273,86,106,38,35,0.64,55
2015-02-02,轻度污染,123,251,93,119,33,61,0.74,32
2015-02-03,轻度污染,129,236,97,128,40,60,0.79,35
2015-02-04,良,98,180,71,110,25,55,0.86,42
2015-02-05,良,68,128,45,77,27,47,0.65,41
2015-02-06,良,72,82,50,86,40,51,0.79,32
2015-02-07,良,78,111,55,91,34,37,0.61,42
2015-02-08,良,80,206,58,96,34,32,0.72,51
2015-02-09,良,67,117,46,75,25,34,0.72,47
2015-02-10,良,95,172,70,102,46,51,0.78,37
