日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,51,53,35,52,19,21,0.50,42
2015-01-02,良,80,261,58,78,25,22,0.61,40
2015-01-03,良,84,99,61,88,26,23,0.84,35
2015-01-04,重度污染,235,307,186,250,42,36,2.32,23
2015-01-05,中度污染,154,215,117,174,33,27,1.45,33
2015-01-06,优,50,79,34,48,14,15,0.36,49
2015-01-07,优,34,7,21,33,15,14,0.60,46
2015-01-08,良,58,61,40,59,21,21,0.66,43
2015-01-09,良,98,165,73,101,29,24,0.94,33
2015-01-10,轻度污染,109,177,82,106,24,26,1.18,32
2015-01-11,良,80,116,58,80,19,21,0.96,36
2015-01-12,良,82,171,60,81,24,24,0.72,39
2015-01-13,良,63,130,44,62,22,22,0.58,46
2015-01-14,良,85,162,61,88,22,22,0.97,32
2015-01-15,良,61,75,43,63,22,22,0.77,31
2015-01-16,良,62,66,44,57,17,20,0.68,40
2015-01-17,优,33,8,19,31,14,12,0.37,50
2015-01-18,优,50,33,35,47,18,19,0.61,41
2015-01-19,良,83,131,59,82,19,18,1.00,35
2015-01-20,良,66,62,47,66,23,22,0.97,42
2015-01-21,轻度污染,136,255,103,158,31,34,1.28,28
2015-01-22,轻度污染,112,209,83,114,28,24,0.97,50
2015-01-23,中度污染,177,304,135,191,36,36,1.60,29
2015-01-24,重度污染,207,302,161,217,36,35,1.99,27
2015-01-25,严重污染,251,342,200,268,44,40,2.21,25
2015-01-26,严重污染,261,333,213,270,47,38,2.62,16
2015-01-27,优,37,28,23,35,21,16,0.49,42
2015-01-28,良,52,159,35,51,28,19,0.67,42
2015-01-29,良,67,205,47,71,34,19,0.82,46
2015-01-30,良,89,245,65,91,27,20,1.03,42
2015-01-31,良,91,257,66,89,22,19,1.07,38
2015-02-01,轻度污染,101,239,75,105,31,22,0.96,48
2015-02-02,轻度污染,113,235,84,116,34,30,1.24,45
2015-02-03,中度污染,171,287,131,195,36,43,2.19,24
2015-02-04,重度污染,220,349,173,249,44,53,2.48,22
2015-02-05,中度污染,171,344,131,177,24,33,1.84,42
2015-02-06,轻度污染,123,283,92,97,23,28,1.08,50
2015-02-07,良,99,187,68,108,20,23,0.97,36
2015-02-08,优,32,6,19,31,18,9,0.45,45
2015-02-09,优,35,8,18,34,21,12,0.50,48
2015-02-10,优,37,9,21,36,20,12,0.43,52
2015-02-11,良,60,46,41,63,23,21,0.69,44
2015-02-12,轻度污染,119,211,89,139,30,32,1.30,31
2015-02-13,良,76,107,55,81,22,18,0.70,56
2015-02-14,优,48,33,30,47,25,18,0.62,57
2015-02-15,良,85,144,59,93,27,29,1.15,38
2015-02-16,轻度污染,103,189,76,115,26,30,1.23,41
2015-02-17,良,93,187,68,100,21,29,0.99,38
2015-02-18,良,89,184,63,95,24,22,1.02,41
2015-02-19,优,48,18,30,48,21,13,0.55,55
2015-02-20,良,74,229,51,82,22,22,0.89,53
2015-02-21,良,83,234,60,90,23,24,0.96,39
2015-02-22,中度污染,167,317,51,270,16,17,0.54,45
2015-02-23,严重污染,255,363,77,368,15,12,0.48,49
2015-02-24,良,51,91,33,54,16,17,0.61,52
2015-02-25,轻度污染,138,323,105,171,24,30,1.30,45
2015-02-26,中度污染,152,350,116,181,31,35,1.50,34
2015-02-27,良,58,214,38,61,23,17,0.66,59
2015-02-28,良,64,238,43,66,19,16,0.62,72
2015-03-01,良,57,147,36,58,18,14,0.72,61
2015-03-02,良,79,206,57,83,18,21,0.77,63
2015-03-03,良,82,217,58,93,17,21,0.85,58
2015-03-04,良,61,210,42,64,19,17,0.53,67
2015-03-05,优,46,106,27,46,18,15,0.50,61
2015-03-06,优,50,103,29,51,16,17,0.63,62
2015-03-07,良,61,122,39,67,19,15,0.64,54
2015-03-08,优,42,49,21,42,15,10,0.45,52
2015-03-09,优,42,42,23,42,16,11,0.45,46
2015-03-10,优,38,25,16,37,17,11,0.33,46
2015-03-11,优,47,69,15,48,16,12,0.35,49
2015-03-12,优,39,38,23,38,19,18,0.60,54
2015-03-13,良,62,120,43,62,24,22,0.66,49
2015-03-14,良,58,70,38,55,26,22,0.55,65
2015-03-15,良,61,62,38,68,27,25,0.75,59
2015-03-16,轻度污染,129,280,57,206,29,25,0.75,58
2015-03-17,良,65,134,43,76,23,28,0.61,76
2015-03-18,良,60,149,37,65,23,24,0.75,66
2015-03-19,轻度污染,110,292,73,150,28,34,0.99,67
2015-03-20,良,52,81,26,53,21,21,0.51,71
2015-03-21,良,51,45,26,54,22,22,0.56,71
2015-03-22,优,48,25,22,48,20,18,0.40,61
2015-03-23,优,41,18,20,40,26,19,0.37,61
2015-03-24,优,42,40,23,43,24,21,0.62,64
2015-03-25,良,65,170,44,74,26,22,0.61,91
2015-03-26,良,100,296,70,145,33,26,0.89,123
2015-03-27,轻度污染,115,306,70,177,27,26,0.84,101
2015-03-28,良,52,50,29,50,21,32,0.71,45
2015-03-29,良,58,69,36,66,25,40,0.83,51
2015-03-30,良,76,184,52,91,26,31,0.85,80
2015-03-31,优,50,73,29,48,13,21,0.67,61
2015-04-01,良,62,168,40,71,18,19,0.81,68
2015-04-02,良,84,308,61,93,15,24,0.73,89
2015-04-03,优,41,47,23,39,11,15,0.46,69
2015-04-04,优,43,43,21,40,12,16,0.42,62
2015-04-05,优,42,58,27,38,13,17,0.63,49
2015-04-06,优,40,78,21,35,13,12,0.41,69
2015-04-07,优,36,52,14,25,14,10,0.43,68
2015-04-08,优,46,101,21,46,18,17,0.70,57
2015-04-09,良,76,257,52,75,18,21,0.98,65
2015-04-10,良,75,220,53,72,16,22,0.99,52
2015-04-11,优,46,55,27,47,17,19,0.79,55
2015-04-12,良,57,91,35,63,17,20,1.07,56
2015-04-13,良,57,97,31,62,19,17,0.63,73
2015-04-14,良,85,246,46,116,22,23,0.76,73
2015-04-15,轻度污染,102,250,65,150,15,23,1.28,57
2015-04-16,良,65,48,37,74,13,16,0.70,63
2015-04-17,良,71,85,51,68,13,21,0.94,30
2015-04-18,优,45,29,29,43,12,17,0.85,27
2015-04-19,良,53,110,33,55,10,17,0.63,60
