日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,42,26,27,38,22,22,0.62,20
2015-01-02,优,41,23,27,40,18,21,0.60,23
2015-01-03,良,66,48,45,73,53,38,1.21,19
2015-01-04,中度污染,167,218,127,186,61,50,1.37,22
2015-01-05,良,82,83,55,92,50,30,0.68,31
2015-01-06,优,43,54,20,46,16,26,0.66,32
2015-01-07,良,58,80,38,66,28,34,0.85,22
2015-01-08,良,56,52,36,64,25,39,0.84,24
2015-01-09,良,83,111,60,100,29,43,1.12,20
2015-01-10,轻度污染,121,199,90,143,92,60,1.23,19
2015-01-11,良,78,110,56,90,24,39,0.91,22
2015-01-12,良,61,109,39,66,45,40,0.87,26
2015-01-13,良,92,187,68,115,70,52,1.42,20
2015-01-14,中度污染,153,285,115,183,45,57,1.61,21
2015-01-15,轻度污染,104,186,76,118,41,42,1.15,33
2015-01-16,良,76,108,53,87,35,41,0.92,26
2015-01-17,优,46,25,25,48,22,29,0.61,29
2015-01-18,良,96,153,70,114,79,54,1.50,18
2015-01-19,良,72,89,51,79,35,39,1.11,32
2015-01-20,轻度污染,116,259,86,137,132,61,1.39,30
2015-01-21,中度污染,200,359,155,235,53,75,2.16,24
2015-01-22,中度污染,169,329,131,195,91,67,1.39,28
2015-01-23,中度污染,166,280,126,183,160,70,1.69,28
2015-01-24,中度污染,172,257,130,186,33,48,1.55,31
2015-01-25,中度污染,181,257,137,207,109,60,1.54,34
2015-01-26,良,93,114,65,101,26,29,0.87,34
2015-01-27,优,44,51,26,46,19,27,0.83,25
2015-01-28,良,69,251,47,78,43,36,0.89,18
2015-01-29,良,70,219,49,81,51,36,0.89,27
2015-01-30,良,55,112,36,59,18,28,0.78,30
2015-01-31,良,52,82,33,57,31,31,0.81,27
2015-02-01,良,89,209,65,106,51,38,0.94,30
2015-02-02,轻度污染,141,284,107,172,75,60,1.63,36
2015-02-03,严重污染,299,359,241,366,70,84,2.81,37
2015-02-04,轻度污染,141,253,107,167,30,44,1.50,37
2015-02-05,良,58,87,34,62,27,28,1.01,35
2015-02-06,良,52,29,32,56,18,23,0.97,38
2015-02-07,优,46,29,12,49,6,10,0.78,48
2015-02-08,优,35,9,16,34,21,16,0.94,38
2015-02-09,优,49,32,28,55,23,28,1.50,30
2015-02-10,良,76,110,50,93,67,38,1.21,33
2015-02-11,良,68,71,45,82,18,27,1.05,34
2015-02-12,优,35,5,19,36,14,22,1.04,38
2015-02-13,良,62,52,39,74,29,38,1.35,26
2015-02-14,良,97,136,71,116,52,35,1.49,44
2015-02-15,轻度污染,115,218,85,134,43,44,1.99,43
2015-02-16,轻度污染,112,210,84,128,31,35,1.51,43
2015-02-17,优,44,25,29,43,15,18,0.92,44
2015-02-18,优,48,38,29,50,40,20,1.13,42
2015-02-19,中度污染,169,290,175,293,79,26,0.94,42
2015-02-20,良,75,232,51,89,63,27,1.30,46
2015-02-21,良,59,160,26,65,25,17,0.99,48
2015-02-22,轻度污染,113,228,74,67,9,8,0.73,53
2015-02-23,良,59,121,19,66,12,12,0.84,57
2015-02-24,良,64,141,31,71,12,18,1.06,50
2015-02-25,轻度污染,104,284,74,123,26,34,1.44,52
2015-02-26,良,97,287,72,107,20,33,1.14,53
2015-02-27,良,53,190,35,54,21,25,1.04,49
2015-02-28,良,60,225,37,68,41,31,1.08,44
2015-03-01,良,57,146,39,60,19,26,1.31,43
2015-03-02,良,53,80,36,58,22,38,1.47,36
2015-03-03,良,77,195,54,84,21,32,1.27,62
2015-03-04,优,49,112,30,48,12,24,1.19,59
2015-03-05,良,66,214,43,75,41,30,1.12,51
2015-03-06,良,97,270,54,139,46,35,1.76,46
2015-03-07,良,76,185,43,104,19,27,1.09,49
2015-03-08,良,51,96,27,54,25,27,0.91,41
2015-03-09,优,49,82,15,53,8,16,0.80,48
2015-03-10,优,44,49,25,43,8,30,0.99,38
2015-03-11,优,38,38,17,38,8,20,0.84,43
2015-03-12,优,31,20,14,29,8,13,0.59,48
2015-03-13,优,41,32,22,42,10,23,0.58,41
2015-03-14,良,56,57,26,64,29,21,0.70,46
2015-03-15,轻度污染,106,208,46,159,33,30,0.89,39
2015-03-16,良,92,193,44,133,31,34,0.90,39
2015-03-17,良,55,82,27,64,17,24,0.74,38
2015-03-18,良,63,166,33,79,25,25,0.89,55
2015-03-19,良,53,73,27,59,11,27,0.72,52
2015-03-20,优,44,53,18,44,17,37,0.76,49
