日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,104,274,74,143,20,38,2.52,31
2015-01-02,轻度污染,130,543,98,169,67,53,2.86,12
2015-01-03,中度污染,156,273,118,199,42,52,3.10,21
2015-01-04,中度污染,189,245,145,221,69,66,3.45,47
2015-01-05,严重污染,252,324,201,302,37,60,3.52,9
2015-01-06,中度污染,200,392,158,245,53,48,3.78,24
2015-01-07,轻度污染,143,341,108,168,20,34,3.40,29
2015-01-08,中度污染,155,310,117,183,20,43,3.48,28
2015-01-09,中度污染,185,297,141,213,22,48,3.56,22
2015-01-10,中度污染,189,291,144,217,35,41,3.55,31
2015-01-11,重度污染,214,344,166,245,25,51,3.39,35
2015-01-12,重度污染,237,359,189,268,27,43,3.88,31
2015-01-13,轻度污染,110,231,81,129,16,30,3.24,31
2015-01-14,中度污染,173,305,132,192,12,40,3.54,17
2015-01-15,中度污染,181,293,137,200,12,43,3.70,14
2015-01-16,中度污染,172,290,129,187,17,32,3.53,34
2015-01-17,轻度污染,145,288,109,180,31,41,3.69,35
2015-01-18,轻度污染,120,233,89,150,21,32,3.40,47
2015-01-19,中度污染,159,339,121,194,40,32,3.77,40
2015-01-20,中度污染,181,339,138,215,87,51,4.10,34
2015-01-21,轻度污染,137,261,91,173,23,35,3.64,37
2015-01-22,轻度污染,114,219,84,148,43,34,3.84,35
2015-01-23,中度污染,157,261,119,189,46,51,4.01,22
2015-01-24,重度污染,228,325,177,264,45,72,3.82,9
2015-01-25,重度污染,218,308,172,211,38,44,3.64,41
2015-01-26,严重污染,293,350,242,306,36,46,4.23,36
2015-01-27,中度污染,169,350,131,189,26,29,3.34,34
2015-01-28,良,69,250,49,70,16,18,2.38,35
2015-01-29,轻度污染,108,307,80,104,23,22,2.81,41
2015-01-30,中度污染,160,345,121,159,23,28,3.09,41
2015-01-31,中度污染,179,357,136,177,35,28,3.35,55
2015-02-01,轻度污染,144,326,109,153,29,37,3.18,21
2015-02-02,中度污染,194,343,150,233,16,42,3.67,8
2015-02-03,中度污染,199,316,151,201,19,28,3.38,31
2015-02-04,中度污染,186,316,141,199,33,36,2.94,41
2015-02-05,轻度污染,122,287,91,146,29,33,1.65,30
2015-02-06,轻度污染,128,292,96,151,29,25,1.60,41
2015-02-07,中度污染,151,317,114,172,35,35,1.60,45
2015-02-08,良,97,267,67,125,23,18,1.59,47
2015-02-09,良,88,211,63,110,18,28,1.42,43
2015-02-10,中度污染,158,320,120,192,24,47,2.04,34
