日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,234,93,183,265,94,119,2.87,43
2013-10-29,重度污染,230,96,185,256,88,81,2.76,37
2013-10-30,轻度污染,110,68,80,127,52,59,1.90,30
2013-10-31,轻度污染,135,82,103,168,71,66,2.34,16
2013-11-01,轻度污染,137,78,94,134,43,62,2.37,16
2013-11-02,轻度污染,146,79,106,171,42,75,2.69,11
2013-11-03,轻度污染,108,58,78,136,20,54,2.79,23
2013-11-04,良,95,61,57,139,47,71,1.99,18
2013-11-05,轻度污染,135,94,100,177,81,77,1.73,27
2013-11-06,中度污染,191,102,161,242,67,83,1.95,29
2013-11-07,轻度污染,146,86,56,130,44,61,1.12,23
2013-11-08,轻度污染,105,54,77,141,76,57,1.78,21
2013-11-09,轻度污染,121,69,91,140,46,63,2.45,27
2013-11-10,轻度污染,102,73,53,77,35,47,1.42,22
2013-11-11,良,73,81,52,120,72,68,1.77,14
2013-11-12,良,99,91,73,146,81,73,2.09,10
2013-11-13,轻度污染,142,92,138,226,139,95,2.48,8
2013-11-14,重度污染,201,101,138,220,102,85,2.02,14
2013-11-15,中度污染,168,92,134,287,113,91,2.31,11
2013-11-16,中度污染,182,89,110,252,71,60,1.36,23
2013-11-17,良,93,53,37,71,41,42,1.00,18
2013-11-18,良,74,35,38,88,66,47,1.17,14
2013-11-19,良,92,54,79,156,135,68,1.77,13
2013-11-20,中度污染,160,86,155,247,191,98,2.63,10
2013-11-21,重度污染,236,102,212,311,168,109,3.24,8
2013-11-22,严重污染,309,108,263,379,106,120,3.99,10
2013-11-23,严重污染,292,94,207,288,82,91,2.52,14
2013-11-24,中度污染,193,84,108,104,53,63,1.69,10
2013-11-25,轻度污染,119,96,72,116,52,46,1.43,17
2013-11-26,良,98,77,93,192,114,70,2.39,7
2013-11-27,轻度污染,104,79,41,78,34,35,0.94,24
2013-11-28,良,66,54,40,104,88,59,1.33,11
2013-11-29,良,97,93,94,175,123,78,1.76,9
2013-11-30,中度污染,152,108,147,247,141,96,1.75,6
2013-12-01,重度污染,233,112,190,276,125,99,1.68,9
2013-12-02,严重污染,261,105,250,348,185,122,1.54,8
2013-12-03,严重污染,333,104,279,410,190,115,1.44,5
2013-12-04,严重污染,288,91,219,301,159,100,1.86,5
2013-12-05,严重污染,320,98,280,225,127,83,1.85,8
2013-12-06,重度污染,203,82,144,178,119,70,1.27,7
2013-12-07,严重污染,279,92,290,370,133,98,0.13,11
2013-12-08,严重污染,345,100,248,304,80,64,0.25,11
2013-12-09,重度污染,223,78,63,77,36,37,1.26,19
2013-12-10,轻度污染,102,48,111,201,104,78,1.77,14
2013-12-11,轻度污染,109,56,45,85,59,38,1.24,22
2013-12-12,良,95,40,80,144,90,61,1.68,6
2013-12-13,良,85,33,68,114,112,54,1.81,7
2013-12-14,中度污染,160,83,179,253,128,84,1.81,4
2013-12-15,严重污染,278,104,258,355,207,103,0.26,4
2013-12-16,严重污染,292,106,198,293,147,93,0.74,4
2013-12-17,重度污染,234,98,219,307,146,95,0.58,4
2013-12-18,重度污染,226,102,90,120,93,49,1.38,9
2013-12-19,轻度污染,124,66,140,224,161,72,2.34,4
2013-12-20,重度污染,205,80,126,195,162,79,2.67,6
2013-12-21,轻度污染,117,51,77,127,118,66,2.31,7
2013-12-22,轻度污染,134,61,131,211,148,74,3.18,5
2013-12-23,重度污染,221,82,220,323,158,80,3.99,4
2013-12-24,严重污染,313,92,300,403,199,94,4.92,4
2013-12-25,严重污染,373,97,323,414,118,89,4.72,4
2013-12-26,严重污染,272,82,84,125,31,35,1.62,11
2013-12-27,良,64,21,43,97,92,53,2.16,6
2013-12-28,轻度污染,104,59,82,163,80,61,3.07,7
2013-12-29,良,100,52,78,154,100,67,2.72,5
2013-12-30,轻度污染,122,65,108,202,101,84,3.40,4
2013-12-31,中度污染,151,141,106,200,105,72,3.83,5
2014-01-01,轻度污染,142,125,126,224,102,69,4.53,4
2014-01-02,中度污染,188,155,134,219,126,67,4.42,5
2014-01-03,中度污染,198,137,149,241,122,75,4.45,5
2014-01-04,良,75,28,55,77,58,36,1.92,9
2014-01-05,中度污染,177,123,137,185,72,55,2.90,5
2014-01-06,重度污染,207,141,161,197,105,58,3.38,9
2014-01-07,中度污染,155,123,120,153,101,47,2.86,8
2014-01-08,良,100,133,71,104,92,44,1.74,14
