日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,184,81,138,270,117,62,2.46,23
2013-10-29,良,98,47,66,137,84,56,1.86,23
2013-10-30,中度污染,190,105,146,242,104,75,2.11,18
2013-10-31,重度污染,205,106,158,251,127,74,2.50,8
2013-11-01,中度污染,175,93,132,185,113,58,2.56,5
2013-11-02,轻度污染,144,77,109,160,157,50,2.64,13
2013-11-03,良,99,51,71,130,104,41,1.96,14
2013-11-04,良,98,65,70,131,158,52,2.05,10
2013-11-05,轻度污染,110,73,81,128,153,47,1.97,19
2013-11-06,轻度污染,107,46,58,118,107,36,1.88,24
2013-11-07,良,78,24,67,147,153,52,1.66,14
2013-11-08,轻度污染,124,71,100,195,192,63,2.35,15
2013-11-09,轻度污染,124,71,68,126,118,46,2.14,10
2013-11-10,良,63,41,24,57,91,33,1.77,14
2013-11-11,良,63,60,55,119,143,47,2.12,12
2013-11-12,轻度污染,114,100,87,182,138,51,2.35,10
2013-11-13,轻度污染,125,87,87,176,97,46,2.22,15
2013-11-14,良,90,55,35,118,35,25,1.59,35
2013-11-15,轻度污染,118,58,93,229,103,47,2.37,16
2013-11-16,轻度污染,116,45,37,109,43,22,1.61,32
2013-11-17,良,71,24,42,99,68,34,2.00,16
2013-11-18,良,82,50,52,118,107,38,2.28,14
2013-11-19,良,98,64,94,193,150,52,2.60,9
2013-11-20,中度污染,152,85,115,244,188,55,2.83,8
2013-11-21,轻度污染,141,68,96,203,146,49,2.66,9
2013-11-22,轻度污染,128,54,130,257,194,61,2.88,7
2013-11-23,重度污染,218,80,164,304,269,69,2.77,7
2013-11-24,轻度污染,127,54,34,129,38,17,1.90,28
2013-11-25,良,79,51,20,66,46,21,2.09,28
2013-11-26,良,75,49,49,114,111,30,2.75,19
2013-11-27,良,58,15,10,45,35,13,1.96,37
2013-11-28,优,46,9,19,49,50,23,2.18,28
2013-11-29,良,81,73,97,180,196,52,2.74,10
2013-11-30,中度污染,152,107,111,203,204,53,3.13,10
2013-12-01,轻度污染,116,69,89,170,208,52,4.24,8
2013-12-02,中度污染,154,69,140,256,332,70,6.13,6
2013-12-03,中度污染,178,64,111,198,182,59,4.25,8
2013-12-04,中度污染,154,54,135,234,218,64,4.89,10
2013-12-05,中度污染,176,64,127,223,184,55,3.99,12
2013-12-06,中度污染,157,73,123,211,202,61,1.99,13
2013-12-07,中度污染,159,51,147,248,204,72,0.47,12
2013-12-08,重度污染,211,56,109,197,155,49,0.16,15
2013-12-09,良,79,19,33,77,77,28,2.22,21
2013-12-10,良,84,25,65,129,107,36,2.03,22
2013-12-11,良,70,17,30,79,55,28,1.62,27
2013-12-12,良,85,30,61,110,83,27,1.28,23
2013-12-13,良,84,32,92,114,76,24,1.43,18
2013-12-14,中度污染,168,85,87,130,85,22,1.51,25
2013-12-15,良,82,32,78,114,75,31,1.52,16
2013-12-16,轻度污染,127,72,105,148,99,38,1.77,13
2013-12-17,轻度污染,122,74,82,111,50,36,1.50,14
2013-12-18,良,82,66,50,73,50,30,1.34,16
2013-12-19,良,98,52,86,118,83,33,1.77,12
2013-12-20,轻度污染,124,56,104,135,101,31,1.89,13
2013-12-21,轻度污染,146,62,132,160,114,31,2.19,9
2013-12-22,重度污染,215,91,165,195,130,33,2.27,10
2013-12-23,重度污染,223,83,124,179,120,39,2.08,8
2013-12-24,中度污染,193,60,141,232,175,41,2.61,8
2013-12-25,重度污染,202,57,129,215,129,34,2.33,19
2013-12-26,良,71,9,16,46,34,22,1.36,25
2013-12-27,良,63,18,42,85,78,26,1.78,17
2013-12-28,良,67,17,19,47,40,30,1.45,56
2013-12-29,良,61,11,42,88,91,37,1.69,29
2013-12-30,良,69,7,37,79,60,27,1.66,26
2013-12-31,良,74,9,28,95,42,23,1.77,30
2014-01-01,良,88,34,68,149,99,33,2.81,17
2014-01-02,轻度污染,104,49,86,156,155,38,3.63,13
2014-01-03,良,80,28,55,102,90,32,2.38,19
2014-01-04,轻度污染,103,63,76,129,132,37,2.84,14
2014-01-05,良,93,24,66,119,109,36,2.83,10
2014-01-06,轻度污染,126,60,95,162,128,44,3.16,6
2014-01-07,轻度污染,145,119,109,171,121,41,2.98,8
2014-01-08,良,56,46,23,61,41,20,1.90,30
2014-01-09,良,77,105,50,98,96,34,2.59,13
2014-01-10,轻度污染,105,88,78,131,128,39,3.07,7
2014-01-11,轻度污染,104,77,75,128,145,35,3.07,15
2014-01-12,良,59,27,33,68,65,27,2.37,22
2014-01-13,良,85,72,61,109,117,37,3.05,9
2014-01-14,轻度污染,112,89,84,136,128,41,3.33,9
2014-01-15,轻度污染,147,103,112,171,181,43,3.84,8
2014-01-16,中度污染,173,116,132,186,179,46,3.92,11
2014-01-17,轻度污染,109,43,79,125,125,33,3.35,13
2014-01-18,轻度污染,113,56,84,140,157,40,3.56,9
2014-01-19,轻度污染,111,42,69,133,104,26,3.04,23
2014-01-20,良,53,12,21,57,45,20,2.41,29
2014-01-21,良,89,98,64,106,110,41,3.34,13
2014-01-22,中度污染,152,165,116,168,175,51,4.23,13
2014-01-24,中度污染,165,128,128,176,164,54,3.71,16
2014-01-25,轻度污染,111,80,83,122,125,53,2.99,13
2014-01-26,中度污染,153,152,117,169,138,56,3.32,12
2014-01-27,中度污染,200,161,154,203,159,55,3.41,12
2014-01-28,良,74,73,50,86,83,34,1.73,20
2014-01-29,轻度污染,142,141,108,166,130,59,2.22,19
2014-01-30,良,96,52,71,115,108,49,1.94,26
2014-01-31,中度污染,190,75,146,215,111,45,2.48,18
2014-02-01,重度污染,245,163,195,270,186,63,3.51,16
2014-02-02,中度污染,192,115,151,221,158,55,3.24,22
2014-02-03,良,53,51,21,57,31,18,1.30,30
2014-02-04,优,48,54,20,49,39,20,1.37,21
2014-02-05,良,71,134,49,73,44,24,1.74,15
2014-02-06,轻度污染,102,160,76,96,57,28,1.91,12
2014-02-07,轻度污染,131,168,98,124,94,35,2.10,12
2014-02-08,良,91,139,66,92,65,26,1.80,20
2014-02-09,优,24,17,13,24,36,18,1.12,27
2014-02-10,良,65,125,46,69,80,30,1.72,15
2014-02-11,轻度污染,110,138,82,117,125,40,2.28,13
2014-02-12,良,70,48,48,80,91,26,1.88,13
2014-02-13,轻度污染,114,120,85,127,96,23,1.83,17
2014-02-14,中度污染,193,156,149,209,108,25,2.15,20
2014-02-15,严重污染,252,168,202,279,136,30,2.60,16
2014-02-16,中度污染,179,151,138,197,84,22,2.42,24
2014-02-17,轻度污染,120,141,90,127,44,17,1.72,36
2014-02-18,轻度污染,134,179,101,142,85,24,1.74,21
2014-02-19,良,80,86,56,94,50,16,1.42,22
2014-02-20,良,84,74,61,100,68,18,1.63,18
2014-02-21,重度污染,217,169,169,219,113,30,2.10,29
2014-02-22,严重污染,253,177,203,280,165,32,2.54,15
2014-02-23,重度污染,218,156,173,239,135,31,2.63,13
2014-02-24,中度污染,180,136,136,206,99,29,1.99,19
2014-02-25,中度污染,193,140,148,228,109,31,2.20,24
2014-02-26,中度污染,180,151,137,220,136,35,2.46,13
2014-02-27,良,61,45,25,71,50,20,1.30,27
2014-02-28,轻度污染,125,181,92,149,90,31,2.05,13
2014-03-01,中度污染,164,180,125,188,147,35,2.43,23
2014-03-02,轻度污染,104,120,76,144,136,32,2.26,28
2014-03-03,轻度污染,104,119,72,154,120,30,2.22,21
2014-03-04,良,58,47,25,66,45,19,1.47,28
2014-03-05,良,68,77,36,84,56,25,1.70,24
2014-03-06,良,52,55,21,57,39,19,1.39,28
2014-03-07,轻度污染,109,153,75,149,89,31,2.20,15
2014-03-08,轻度污染,115,142,81,128,73,25,2.04,33
2014-03-09,良,96,112,63,135,83,29,2.25,28
2014-03-10,中度污染,154,149,117,201,79,39,2.53,34
2014-03-11,轻度污染,122,120,91,165,79,33,2.34,33
2014-03-12,良,65,54,32,80,36,17,1.64,33
2014-03-13,良,64,57,24,77,44,18,1.68,31
2014-03-14,良,82,65,38,114,63,24,1.99,29
2014-03-15,轻度污染,106,114,68,158,86,28,2.37,28
2014-03-16,轻度污染,118,116,70,184,88,30,2.40,35
2014-03-17,中度污染,172,146,71,268,48,26,1.81,27
2014-03-18,轻度污染,101,69,43,150,37,22,1.67,27
2014-03-19,轻度污染,128,146,56,202,37,23,1.88,30
2014-03-20,良,63,48,26,76,30,17,1.62,37
2014-03-21,良,90,146,49,129,60,26,2.16,25
2014-03-22,良,93,115,54,136,66,28,2.34,25
2014-03-23,良,89,84,52,126,47,28,2.18,36
2014-03-25,良,100,85,64,148,64,38,2.47,41
2014-03-26,轻度污染,105,87,60,158,53,35,2.34,34
2014-03-27,轻度污染,123,115,78,194,53,29,2.36,44
2014-03-28,良,92,107,41,134,24,13,1.84,42
2014-03-29,良,87,96,37,122,33,22,2.05,31
2014-03-30,轻度污染,101,113,46,152,36,22,2.23,42
2014-03-31,良,86,101,61,98,26,19,2.27,35
2014-04-01,轻度污染,106,139,77,125,33,22,2.28,34
2014-04-02,轻度污染,112,157,75,172,36,26,2.34,27
2014-04-03,良,68,67,35,83,20,16,1.82,37
2014-04-04,良,93,123,41,134,34,25,2.02,29
2014-04-05,良,95,129,29,139,19,17,1.84,40
2014-04-06,轻度污染,105,160,51,159,33,29,2.19,32
2014-04-07,轻度污染,120,170,71,188,40,33,2.39,39
2014-04-08,轻度污染,125,121,70,200,34,33,2.35,39
2014-04-09,轻度污染,140,146,90,228,42,37,2.45,46
