»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2013/10/28,—œ÷ÿŒ€»æ,253,97,203,311,76,89,2.29,26
2013/10/29,÷–∂»Œ€»æ,159,74,119,187,41,56,3.07,21
2013/10/30,«·∂»Œ€»æ,111,69,83,119,33,61,1.61,30
2013/10/31,÷–∂»Œ€»æ,151,89,115,173,76,77,1.66,21
2013/11/1,÷–∂»Œ€»æ,189,96,145,207,55,89,2.27,14
2013/11/2,—œ÷ÿŒ€»æ,260,105,210,253,62,69,2.59,10
2013/11/3,«·∂»Œ€»æ,131,71,95,126,23,47,1.9,19
2013/11/4,¡º,82,44,56,102,33,65,1.41,17
2013/11/5,«·∂»Œ€»æ,131,90,98,163,85,75,1.88,19
2013/11/6,÷ÿ∂»Œ€»æ,233,111,135,215,59,70,1.94,22
2013/11/7,«·∂»Œ€»æ,105,61,28,71,31,41,0.45,24
2013/11/8,¡º,90,40,95,188,147,85,1.72,16
2013/11/9,÷–∂»Œ€»æ,190,98,161,261,84,89,2.61,7
2013/11/10,«·∂»Œ€»æ,112,77,24,61,29,33,0.59,37
2013/11/11,¡º,71,78,51,103,60,55,1.14,17
2013/11/12,¡º,85,78,68,127,79,64,1.72,19
2013/11/13,«·∂»Œ€»æ,111,79,111,176,130,82,2.28,10
2013/11/14,÷–∂»Œ€»æ,166,89,113,198,81,72,1.72,19
2013/11/15,«·∂»Œ€»æ,141,69,125,290,108,73,2.09,14
2013/11/16,÷–∂»Œ€»æ,165,81,69,188,54,38,1.1,24
2013/11/17,¡º,71,23,22,54,37,30,0.87,23
2013/11/18,”≈,47,13,17,40,28,28,0.76,24
2013/11/19,”≈,43,7,26,71,39,32,0.95,25
2013/11/20,«·∂»Œ€»æ,113,48,128,222,118,81,2.41,13
2013/11/21,÷ÿ∂»Œ€»æ,212,98,190,288,154,101,3.22,14
2013/11/22,—œ÷ÿŒ€»æ,268,98,232,341,194,99,3.21,16
2013/11/23,—œ÷ÿŒ€»æ,313,99,318,463,149,100,3.68,10
2013/11/24,—œ÷ÿŒ€»æ,325,107,192,272,96,68,2.93,12
2013/11/25,«·∂»Œ€»æ,101,79,33,49,46,34,1.1,20
2013/11/26,¡º,68,31,38,110,48,34,1.23,25
2013/11/27,¡º,77,44,29,59,30,21,0.93,37
2013/11/28,¡º,79,85,46,68,64,42,1.24,24
2013/11/29,«·∂»Œ€»æ,104,100,104,192,130,76,2.6,15
2013/11/30,«·∂»Œ€»æ,127,100,77,142,107,64,1.84,13
2013/12/1,¡º,99,52,105,172,118,77,2,12
2013/12/2,÷ÿ∂»Œ€»æ,206,90,222,356,190,115,3.23,10
2013/12/3,—œ÷ÿŒ€»æ,283,94,175,271,142,111,3.23,15
2013/12/4,÷ÿ∂»Œ€»æ,207,72,224,359,196,129,3.84,10
2013/12/5,÷ÿ∂»Œ€»æ,219,74,91,176,99,68,2.21,10
2013/12/6,¡º,84,25,85,154,114,67,1.56,10
2013/12/7,÷ÿ∂»Œ€»æ,202,66,244,397,142,108,3,8
2013/12/8,—œ÷ÿŒ€»æ,309,85,202,334,89,87,4.03,6
2013/12/9,÷–∂»Œ€»æ,163,46,23,41,39,34,1.02,25
2013/12/10,¡º,94,38,75,172,89,56,1.93,20
2013/12/11,¡º,81,32,38,90,76,50,1.4,20
2013/12/12,¡º,95,42,42,112,63,41,1.31,27
2013/12/13,¡º,65,19,49,106,90,53,1.56,17
2013/12/14,¡º,96,33,77,152,113,67,2.24,18
2013/12/15,«·∂»Œ€»æ,128,62,120,223,178,102,3.28,9
2013/12/16,÷ÿ∂»Œ€»æ,201,93,153,270,177,120,4.38,7
2013/12/17,«·∂»Œ€»æ,148,82,93,131,122,57,3.03,6
2013/12/18,«·∂»Œ€»æ,114,79,64,101,112,52,2.72,15
2013/12/19,¡º,98,53,75,124,119,62,2.41,15
2013/12/20,«·∂»Œ€»æ,108,47,82,137,132,67,2.56,16
2013/12/21,¡º,98,40,86,144,136,72,2.15,12
2013/12/22,÷–∂»Œ€»æ,193,83,189,268,184,88,3.09,10
2013/12/23,—œ÷ÿŒ€»æ,261,95,268,414,261,129,5.57,8
2013/12/24,—œ÷ÿŒ€»æ,292,85,173,250,164,94,4.3,11
2013/12/25,—œ÷ÿŒ€»æ,277,79,330,476,218,112,4.31,10
2013/12/26,—œ÷ÿŒ€»æ,264,80,16,31,46,33,1.13,31
2013/12/27,”≈,43,4,26,44,66,49,1.24,19
2013/12/28,¡º,61,11,40,71,74,53,1.38,21
2013/12/29,¡º,96,45,99,174,146,69,2.65,11
2013/12/30,«·∂»Œ€»æ,129,74,98,194,141,77,3.01,14
2013/12/31,«·∂»Œ€»æ,133,112,91,241,117,71,2.55,16
2014/1/1,«·∂»Œ€»æ,141,121,89,210,121,75,2.28,13
2014/1/2,«·∂»Œ€»æ,142,92,112,220,139,96,3.03,7
2014/1/3,«·∂»Œ€»æ,115,65,82,148,107,71,2.32,12
2014/1/4,¡º,69,25,50,73,121,64,1.36,12
2014/1/5,«·∂»Œ€»æ,121,52,91,141,107,67,2.52,13
2014/1/6,«·∂»Œ€»æ,139,71,105,142,86,69,2.22,10
2014/1/7,«·∂»Œ€»æ,137,111,103,143,105,67,2.25,9
2014/1/8,¡º,55,44,33,59,60,44,1.2,23
2014/1/9,¡º,73,92,46,90,79,57,1.42,18
2014/1/10,÷–∂»Œ€»æ,198,165,152,241,150,86,2.5,10
2014/1/11,—œ÷ÿŒ€»æ,361,184,309,434,144,113,4.33,8
2014/1/12,«·∂»Œ€»æ,124,117,88,142,76,57,1.78,24
2014/1/13,«·∂»Œ€»æ,113,119,85,136,132,74,2.3,9
2014/1/14,«·∂»Œ€»æ,150,124,113,193,137,86,3.26,7
2014/1/15,—œ÷ÿŒ€»æ,324,177,269,387,164,110,4.49,8
2014/1/16,—œ÷ÿŒ€»æ,286,164,235,309,108,86,3.92,6
2014/1/17,«·∂»Œ€»æ,127,55,95,120,111,62,2.3,12
2014/1/18,÷ÿ∂»Œ€»æ,237,138,192,264,140,88,4.31,12
2014/1/19,÷ÿ∂»Œ€»æ,244,139,196,267,163,93,3.59,9
