日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,52,54,32,54,17,18,0.71,50
2015-01-02,优,50,50,30,52,19,20,0.79,59
2015-01-03,轻度污染,105,162,77,137,59,43,1.52,46
2015-01-04,轻度污染,121,140,90,141,37,35,0.96,62
2015-01-05,轻度污染,108,146,49,155,25,20,0.70,76
2015-01-06,良,61,130,23,66,17,14,0.63,94
2015-01-07,良,61,92,38,63,22,30,0.87,58
2015-01-08,良,89,166,64,94,53,36,1.06,33
2015-01-09,良,83,113,57,93,35,34,1.03,31
2015-01-10,良,71,75,46,83,23,24,0.74,37
2015-01-11,良,60,75,40,62,21,23,0.58,46
2015-01-12,轻度污染,117,254,86,126,37,38,1.08,29
2015-01-13,轻度污染,134,281,101,147,45,38,1.14,26
2015-01-14,轻度污染,124,248,93,129,26,26,0.86,46
2015-01-15,轻度污染,142,255,106,136,27,29,0.88,48
2015-01-16,良,76,109,54,74,16,21,0.52,54
2015-01-17,良,53,37,32,56,19,25,0.54,54
2015-01-18,轻度污染,102,173,76,108,39,34,0.89,32
2015-01-19,良,53,45,36,52,17,25,0.50,48
2015-01-20,轻度污染,110,237,82,113,47,35,0.78,45
2015-01-21,良,76,104,53,80,20,29,0.92,44
2015-01-22,良,96,164,70,106,35,40,1.09,38
2015-01-23,轻度污染,147,238,110,153,43,42,1.09,41
2015-01-24,良,88,95,62,92,14,28,0.71,51
2015-01-25,轻度污染,116,152,86,123,36,38,0.94,49
2015-01-26,良,85,93,38,101,10,15,0.39,61
2015-01-27,良,55,89,33,58,17,25,0.54,49
2015-01-28,良,62,213,40,70,18,33,0.88,45
2015-01-29,良,77,242,48,90,38,30,0.55,52
2015-01-30,优,47,76,25,48,10,20,0.54,59
2015-01-31,优,49,68,30,53,17,29,0.60,43
2015-02-01,良,71,158,47,85,31,40,0.89,39
2015-02-02,轻度污染,120,248,89,147,61,63,1.48,38
2015-02-03,重度污染,204,317,156,221,35,51,1.55,44
2015-02-04,良,62,100,37,68,16,26,0.66,57
2015-02-05,良,68,126,42,81,22,34,0.84,43
2015-02-06,良,61,55,23,72,13,18,0.45,61
2015-02-07,中度污染,168,340,26,248,3,8,0.19,72
2015-02-08,良,51,59,26,54,12,18,0.46,59
2015-02-09,良,57,74,34,63,20,25,0.68,47
2015-02-10,良,77,112,50,88,21,34,0.87,37
2015-02-11,良,55,37,33,59,14,18,0.51,60
2015-02-12,优,43,22,22,42,11,17,0.37,62
2015-02-13,良,56,37,33,64,20,32,0.58,52
2015-02-14,轻度污染,132,227,97,146,28,34,1.08,58
