日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,48,43,23,47,50,47,1.06,46
2015-01-02,良,56,91,38,59,73,59,1.87,57
2015-01-03,良,59,32,38,59,61,55,1.92,48
2015-01-04,轻度污染,128,151,96,137,83,81,2.27,50
2015-01-05,中度污染,178,254,136,175,63,68,2.49,50
2015-01-06,中度污染,172,383,135,132,51,39,2.13,56
2015-01-07,良,72,153,52,74,49,34,1.22,60
2015-01-08,轻度污染,123,260,93,127,81,51,2.24,59
2015-01-09,中度污染,160,273,121,164,59,62,2.19,53
2015-01-10,重度污染,205,309,157,207,75,72,2.66,56
2015-01-11,中度污染,162,286,123,165,85,66,2.28,64
2015-01-12,中度污染,170,331,132,160,36,35,1.88,51
2015-01-13,良,77,165,56,72,24,34,1.15,45
2015-01-14,良,85,166,62,75,25,45,1.31,45
2015-01-15,良,99,171,73,92,21,37,1.23,38
2015-01-16,中度污染,177,297,137,178,47,40,1.80,48
2015-01-17,重度污染,233,365,183,223,42,39,1.82,56
2015-01-18,中度污染,162,338,123,155,70,54,2.34,53
2015-01-19,良,95,185,70,96,81,59,2.15,49
2015-01-20,良,70,81,49,78,86,51,1.81,46
2015-01-21,良,83,126,60,85,92,46,2.22,54
2015-01-22,良,91,145,67,86,74,43,1.96,54
2015-01-23,轻度污染,111,147,83,115,72,67,2.72,44
2015-01-24,轻度污染,125,177,94,124,82,73,3.37,52
2015-01-25,中度污染,182,259,137,156,42,56,3.00,67
2015-01-26,中度污染,164,229,124,142,48,51,3.41,57
2015-01-27,良,78,163,56,67,45,37,1.99,57
2015-01-28,优,37,65,25,32,29,26,1.32,54
2015-01-29,优,36,47,23,30,47,41,1.30,58
2015-01-30,良,62,140,44,51,22,26,1.31,50
2015-01-31,良,73,195,52,65,50,33,1.55,42
2015-02-01,良,51,63,34,48,45,33,1.52,35
2015-02-02,良,57,49,39,50,22,28,1.39,34
2015-02-03,良,84,137,61,74,46,38,1.69,30
2015-02-04,中度污染,168,287,130,148,70,27,1.79,45
2015-02-05,中度污染,170,343,132,166,53,38,1.78,38
2015-02-06,良,92,186,67,112,64,46,1.59,33
2015-02-07,轻度污染,121,252,91,133,66,53,1.81,39
2015-02-08,轻度污染,124,316,92,138,48,36,1.87,34
2015-02-09,良,74,147,53,81,32,25,1.35,41
2015-02-10,良,90,154,66,102,43,45,1.54,35
2015-02-11,轻度污染,125,232,94,136,56,34,1.80,43
2015-02-12,中度污染,155,275,117,165,63,52,2.25,35
2015-02-13,中度污染,176,314,133,177,66,63,2.59,32
2015-02-14,中度污染,165,277,124,156,82,55,2.56,34
2015-02-15,良,85,143,62,80,40,43,2.02,31
2015-02-16,中度污染,172,317,130,153,46,23,2.49,43
2015-02-17,中度污染,172,328,129,165,32,24,2.70,48
2015-02-18,轻度污染,113,267,83,117,26,9,1.99,49
2015-02-19,良,75,93,54,71,26,7,1.53,40
2015-02-20,优,47,95,32,44,24,16,1.47,34
2015-02-21,优,47,89,32,41,17,11,1.45,26
2015-02-22,轻度污染,103,214,76,94,74,23,1.81,34
2015-02-23,良,97,264,72,86,42,17,2.03,28
2015-02-24,良,74,186,54,75,46,20,1.79,27
2015-02-25,优,45,94,30,45,42,24,1.73,27
2015-02-26,良,88,268,65,84,36,21,1.87,30
2015-02-27,优,44,130,28,41,16,8,1.49,43
2015-02-28,优,27,40,15,25,40,21,1.52,33
2015-03-01,良,59,159,41,55,40,25,1.73,29
2015-03-02,良,65,131,46,66,28,33,1.99,27
2015-03-03,良,64,132,41,75,30,20,1.73,29
2015-03-04,良,67,248,40,68,38,13,1.38,31
2015-03-05,优,45,103,29,44,58,17,1.39,34
2015-03-06,良,55,120,38,49,66,25,1.33,38
2015-03-07,良,54,99,37,54,24,22,1.47,36
2015-03-08,良,91,250,67,82,52,31,1.79,28
2015-03-09,良,87,256,64,81,29,26,1.45,33
2015-03-10,良,57,142,35,55,27,12,1.24,40
2015-03-11,良,72,191,51,78,114,35,1.83,43
2015-03-12,良,81,196,59,88,51,22,2.19,57
2015-03-13,良,70,150,50,75,45,40,1.94,35
2015-03-14,轻度污染,123,261,92,119,43,38,1.67,26
2015-03-15,良,95,174,70,86,50,26,1.29,31
2015-03-16,良,69,120,48,76,31,31,1.28,26
2015-03-17,良,77,190,55,83,58,37,1.52,24
2015-03-18,优,29,15,17,27,29,19,0.66,30
2015-03-19,优,46,58,31,45,25,23,0.78,26
2015-03-20,良,78,187,56,70,31,24,0.96,35
2015-03-21,良,89,225,66,86,51,31,1.25,40
2015-03-22,良,77,144,55,88,39,27,1.13,41
2015-03-23,良,70,185,44,83,39,21,0.69,37
2015-03-24,优,48,69,24,49,37,19,0.59,31
2015-03-25,优,41,30,21,41,29,18,0.51,37
2015-03-26,良,52,89,33,52,48,28,0.55,34
2015-03-27,良,84,220,62,78,56,25,0.66,35
2015-03-28,良,76,154,55,79,39,36,1.27,34
2015-03-29,良,71,119,50,77,36,35,1.02,33
2015-03-30,优,47,44,28,46,25,30,1.05,26
2015-03-31,良,57,113,35,61,29,30,1.28,26
2015-04-01,良,79,259,53,90,25,27,1.14,29
2015-04-02,良,62,197,42,69,34,25,1.13,21
2015-04-03,良,64,170,45,57,31,24,1.08,25
2015-04-04,良,75,221,53,68,41,28,1.49,33
2015-04-05,良,52,117,35,46,51,27,1.21,35
2015-04-06,良,55,174,38,47,45,23,1.01,41
2015-04-07,优,43,112,27,41,40,21,0.57,35
2015-04-08,优,38,55,23,36,27,15,0.49,49
2015-04-09,良,70,224,50,72,52,23,0.88,38
2015-04-10,良,86,264,63,91,44,30,1.25,39
2015-04-11,良,90,270,66,94,42,33,1.04,55
2015-04-12,良,74,214,52,82,48,35,1.26,38
2015-04-13,优,50,38,28,51,29,16,0.67,40
2015-04-14,良,51,21,33,50,28,21,0.97,48
2015-04-15,良,59,35,37,64,74,38,2.03,40
2015-04-16,良,72,77,46,89,47,32,1.32,38
