日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,191,86,147,255,81,67,1.52,90
2013-10-29,中度污染,162,76,127,183,33,47,1.23,52
2013-10-30,良,74,36,48,93,35,42,0.85,47
2013-10-31,轻度污染,118,70,87,171,38,60,1.14,36
2013-11-01,中度污染,167,89,119,197,71,60,1.39,32
2013-11-02,重度污染,238,103,178,239,133,68,1.60,33
2013-11-03,重度污染,209,111,167,262,128,72,1.81,39
2013-11-04,轻度污染,124,88,90,179,124,81,1.78,37
2013-11-05,轻度污染,111,74,76,162,60,49,1.11,57
2013-11-06,轻度污染,141,74,100,178,58,52,1.03,62
2013-11-07,轻度污染,104,60,48,131,76,49,0.57,41
2013-11-08,良,96,45,53,114,39,44,0.79,37
2013-11-09,良,74,30,46,70,23,31,0.81,57
2013-11-10,良,55,23,29,69,58,32,0.59,42
2013-11-11,良,79,91,46,98,83,66,1.44,35
2013-11-12,轻度污染,109,95,77,146,65,55,1.29,24
2013-11-13,轻度污染,147,93,120,216,87,68,1.66,38
2013-11-14,中度污染,175,93,136,245,128,69,1.75,32
2013-11-15,中度污染,153,80,106,252,111,68,1.36,34
2013-11-16,中度污染,172,87,100,289,99,56,1.18,35
2013-11-17,轻度污染,110,67,32,78,81,37,0.87,30
2013-11-18,良,75,36,34,91,77,38,0.76,29
2013-11-19,良,83,43,62,121,124,56,1.13,36
2013-11-20,轻度污染,101,42,92,169,122,68,1.67,34
2013-11-21,轻度污染,139,64,116,188,79,71,1.88,31
2013-11-22,重度污染,229,89,250,387,204,112,3.24,29
2013-11-23,严重污染,258,91,143,234,90,63,1.61,38
2013-11-24,中度污染,170,76,93,128,47,54,1.38,32
2013-11-25,良,98,75,69,128,64,46,1.30,38
2013-11-26,良,93,73,86,131,90,56,1.31,30
2013-11-27,良,93,66,23,90,59,25,0.78,53
2013-11-28,良,80,86,56,123,92,50,1.15,32
2013-11-29,良,98,94,76,163,149,62,1.45,29
2013-11-30,轻度污染,110,81,87,156,104,62,1.36,27
2013-12-01,轻度污染,119,73,92,159,124,61,1.71,31
2013-12-02,轻度污染,148,66,149,248,131,79,2.04,29
2013-12-03,严重污染,275,93,278,418,237,128,3.64,28
2013-12-04,严重污染,314,98,213,337,306,108,2.93,28
2013-12-05,重度污染,236,78,164,253,130,77,2.00,26
2013-12-06,轻度污染,116,49,72,136,58,44,1.33,34
2013-12-07,中度污染,166,54,209,317,113,73,2.31,29
2013-12-08,严重污染,312,86,257,355,76,57,2.21,31
2013-12-09,严重污染,264,94,88,154,82,37,1.27,32
2013-12-10,良,89,33,82,163,174,53,1.49,32
2013-12-11,良,97,39,54,130,111,45,1.24,33
2013-12-12,良,100,49,62,142,96,41,1.19,37
2013-12-13,良,83,31,61,124,120,49,1.27,32
2013-12-14,轻度污染,138,64,161,266,209,84,2.50,23
2013-12-15,重度污染,245,95,163,246,151,75,2.64,28
2013-12-16,中度污染,163,84,115,185,102,56,1.98,24
2013-12-17,轻度污染,121,73,69,117,68,42,1.33,31
2013-12-18,良,74,60,46,72,62,25,1.00,41
2013-12-19,轻度污染,109,58,100,152,161,48,1.74,32
2013-12-20,轻度污染,119,53,77,125,141,47,1.74,36
2013-12-21,良,97,38,73,115,128,50,1.76,36
2013-12-22,中度污染,159,75,157,223,191,75,2.67,30
2013-12-23,重度污染,245,90,252,350,313,100,3.71,26
2013-12-24,严重污染,325,95,210,283,172,70,2.53,36
2013-12-25,中度污染,198,54,204,297,247,92,1.54,25
2013-12-26,重度污染,246,75,112,214,109,41,0.24,36
2013-12-27,良,83,35,56,110,135,45,0.31,37
2013-12-28,轻度污染,122,73,98,171,179,56,0.41,34
2013-12-29,轻度污染,106,59,78,149,169,57,0.28,34
2013-12-30,轻度污染,113,51,95,210,206,68,0.51,29
2013-12-31,轻度污染,145,132,105,283,165,62,1.49,31
2014-01-01,中度污染,162,156,95,238,175,57,2.16,31
2014-01-02,中度污染,169,133,142,280,154,60,2.73,28
2014-01-03,中度污染,171,110,126,236,135,55,2.11,30
2014-01-04,良,84,38,56,106,77,37,1.42,29
2014-01-05,中度污染,155,100,120,192,116,56,2.04,19
2014-01-06,重度污染,214,143,171,236,89,52,2.10,19
2014-01-07,严重污染,290,179,242,317,94,74,2.90,17
2014-01-08,良,58,56,30,60,28,11,0.57,53
2014-01-09,轻度污染,103,140,76,126,107,46,1.37,29
2014-01-10,重度污染,224,173,174,265,142,59,2.46,26
2014-01-11,严重污染,280,171,230,342,173,69,2.61,28
2014-01-12,轻度污染,150,142,110,172,81,34,1.28,49
2014-01-13,良,92,82,64,119,67,40,1.17,39
2014-01-14,重度污染,217,163,175,251,169,77,2.19,23
2014-01-15,严重污染,314,172,264,361,191,84,2.69,27
2014-01-16,重度污染,237,147,189,269,121,74,1.90,34
2014-01-17,重度污染,236,149,189,245,86,53,1.77,26
2014-01-18,重度污染,244,143,195,263,195,70,2.44,29
2014-01-19,严重污染,289,162,239,336,165,77,2.39,27
2014-01-20,重度污染,211,169,142,287,116,49,1.53,39
2014-01-21,良,85,83,58,111,111,48,1.39,34
2014-01-22,轻度污染,115,126,84,157,89,52,1.43,37
2014-01-24,中度污染,196,148,149,217,88,69,1.71,26
2014-01-25,良,80,51,47,91,29,21,0.60,58
2014-01-26,良,65,51,30,79,56,30,0.73,53
2014-01-27,良,93,96,61,122,72,39,1.11,47
2014-01-28,良,84,87,48,105,45,29,0.91,56
2014-01-29,轻度污染,101,93,67,124,50,24,1.08,57
2014-01-30,重度污染,212,121,165,236,69,38,1.97,48
2014-01-31,重度污染,240,118,190,261,58,25,1.80,65
2014-02-01,中度污染,176,129,139,212,98,30,2.44,24
2014-02-02,重度污染,205,124,158,241,132,35,2.51,31
2014-02-03,良,64,74,19,75,42,12,0.89,69
2014-02-04,良,53,81,25,58,52,18,1.06,63
2014-02-05,优,46,83,23,46,31,13,0.76,66
2014-02-06,优,47,92,28,42,28,16,0.75,74
2014-02-07,优,49,87,27,48,30,16,0.72,69
2014-02-08,良,73,103,51,81,68,28,1.39,53
2014-02-09,优,43,63,13,39,17,8,0.65,78
2014-02-10,优,50,83,27,50,47,22,0.85,62
2014-02-11,良,86,102,63,92,98,48,1.40,48
2014-02-12,中度污染,181,166,138,182,129,62,2.25,51
2014-02-13,轻度污染,109,115,81,114,61,36,1.20,67
2014-02-14,轻度污染,139,128,106,153,108,58,1.47,51
2014-02-15,重度污染,230,162,183,249,80,50,1.78,66
2014-02-16,中度污染,181,153,137,195,83,50,1.62,68
2014-02-17,良,83,109,52,86,36,22,0.97,74
2014-02-18,良,59,74,38,65,24,21,0.94,83
2014-02-19,轻度污染,109,132,81,115,52,47,1.46,56
2014-02-20,轻度污染,150,136,113,157,66,52,1.64,51
2014-02-21,中度污染,197,159,150,225,74,46,1.80,94
2014-02-22,轻度污染,136,93,102,160,61,41,1.39,81
2014-02-23,轻度污染,113,76,84,132,53,36,1.27,84
2014-02-24,中度污染,155,116,118,177,64,40,1.37,76
2014-02-25,中度污染,189,137,143,201,50,38,1.46,83
2014-02-26,中度污染,176,147,135,204,52,47,1.52,71
2014-02-27,轻度污染,119,143,85,125,38,28,1.36,58
2014-02-28,良,58,71,27,65,54,29,0.95,56
2014-03-01,良,100,147,72,128,111,44,1.41,69
2014-03-02,轻度污染,135,149,98,174,92,49,1.68,56
2014-03-03,轻度污染,130,147,88,179,72,41,1.43,70
2014-03-04,轻度污染,107,150,78,134,53,34,1.31,93
2014-03-05,轻度污染,126,171,94,136,80,43,1.32,64
2014-03-06,轻度污染,129,173,94,160,81,46,1.54,56
2014-03-07,轻度污染,124,163,91,159,83,48,1.32,56
2014-03-08,中度污染,180,172,138,214,97,51,1.61,71
2014-03-09,重度污染,222,181,181,264,104,55,1.95,49
2014-03-10,中度污染,161,154,122,208,72,44,1.59,70
2014-03-11,中度污染,154,156,116,208,60,35,1.34,102
2014-03-12,良,90,111,48,114,35,20,0.91,73
2014-03-13,良,84,122,53,115,106,48,1.40,52
2014-03-14,轻度污染,116,168,63,179,91,53,1.45,51
2014-03-15,轻度污染,116,138,62,182,62,43,1.08,71
2014-03-16,轻度污染,112,104,67,174,52,36,1.06,98
2014-03-17,重度污染,205,164,111,327,75,37,1.32,102
2014-03-18,重度污染,202,145,72,261,43,27,1.14,88
2014-03-19,良,77,43,51,97,40,26,0.89,93
2014-03-20,良,83,109,45,107,41,33,1.08,59
2014-03-21,良,95,159,54,140,90,56,1.13,57
2014-03-22,轻度污染,104,147,69,156,65,47,0.93,91
2014-03-23,中度污染,197,184,152,284,96,60,1.37,88
2014-03-25,中度污染,189,161,145,253,68,48,1.49,64
2014-03-26,重度污染,211,168,166,262,64,47,1.74,86
2014-03-27,中度污染,191,161,143,249,51,39,1.39,85
2014-03-28,良,81,91,46,111,37,27,0.87,91
2014-03-29,良,90,102,64,118,32,27,0.76,78
2014-03-30,轻度污染,126,148,88,178,70,54,1.40,94
2014-03-31,轻度污染,132,165,89,199,49,49,1.24,103
2014-04-01,轻度污染,112,145,72,171,73,46,1.41,106
2014-04-02,轻度污染,107,152,70,152,53,34,1.24,101
2014-04-03,良,83,115,41,114,34,21,0.73,76
2014-04-04,轻度污染,105,146,34,158,46,33,0.81,84
2014-04-05,良,74,67,22,96,31,20,0.63,81
2014-04-06,良,94,135,43,137,50,41,0.87,79
2014-04-07,良,90,110,51,127,47,33,0.83,102
2014-04-08,轻度污染,123,119,87,179,81,52,1.21,109
2014-04-09,轻度污染,119,115,79,175,56,36,1.10,119
2014-04-10,轻度污染,107,117,80,151,45,27,0.74,91
2014-04-11,轻度污染,135,176,102,190,42,40,1.07,82
2014-04-12,轻度污染,130,156,98,170,50,32,0.91,80
2014-04-13,中度污染,163,165,124,209,104,44,0.93,92
2014-04-14,重度污染,245,188,189,333,143,44,1.41,176
2014-04-15,重度污染,212,189,164,300,80,48,1.51,75
2014-04-16,良,83,123,31,94,22,25,0.55,109
2014-04-17,优,43,11,20,41,18,19,0.55,70
2014-04-18,良,55,32,33,63,21,18,0.50,86
2014-04-19,良,69,116,35,87,30,29,0.60,94
2014-04-20,轻度污染,105,164,72,157,51,52,1.12,84
2014-04-21,轻度污染,118,164,76,156,35,52,1.23,89
2014-04-22,中度污染,158,180,117,222,105,55,1.52,101
2014-04-23,轻度污染,121,152,76,150,44,26,0.99,116
2014-04-24,良,90,117,39,113,34,24,0.66,126
2014-04-25,良,84,123,42,107,23,14,0.48,116
2014-04-26,良,56,72,23,47,14,15,0.44,93
2014-04-27,优,48,38,22,41,12,10,0.37,92
2014-04-28,良,73,107,34,85,30,18,0.65,97
2014-04-29,轻度污染,115,165,67,162,67,52,1.11,90
2014-04-30,轻度污染,137,173,80,196,69,58,1.11,112
2014-05-01,轻度污染,120,133,69,168,46,29,1.01,158
2014-05-02,轻度污染,106,132,48,152,45,24,0.69,89
2014-05-03,良,87,120,35,120,33,24,0.62,110
2014-05-04,良,78,123,30,103,30,18,0.53,95
2014-05-05,良,83,149,39,113,54,40,0.82,71
2014-05-06,良,98,152,40,132,48,29,0.87,125
2014-05-07,轻度污染,102,152,48,130,43,29,0.80,152
2014-05-08,良,91,95,43,86,27,23,0.65,125
2014-05-09,良,82,108,23,68,15,13,0.52,136
2014-05-10,良,83,162,25,66,15,15,0.47,135
2014-05-11,良,65,143,24,53,32,28,0.78,94
2014-05-12,良,79,114,42,95,53,39,0.90,99
2014-05-13,良,97,138,42,117,45,25,0.73,147
2014-05-14,轻度污染,124,176,71,194,52,48,0.95,94
2014-05-15,轻度污染,115,175,60,180,103,53,0.92,84
2014-05-16,轻度污染,121,156,61,166,64,32,0.81,163
2014-05-17,轻度污染,111,145,57,136,44,33,0.76,120
2014-05-18,良,90,118,30,91,29,26,0.67,135
2014-05-19,轻度污染,115,144,83,166,26,32,1.15,90
2014-05-20,轻度污染,119,140,80,171,38,36,1.42,115
2014-05-21,轻度污染,140,151,91,187,31,42,1.19,102
2014-05-22,中度污染,152,170,82,196,46,43,1.15,150
2014-05-23,轻度污染,119,170,52,153,36,33,0.75,126
2014-05-24,良,53,69,22,53,16,24,0.58,70
2014-05-25,轻度污染,136,152,88,201,53,44,0.98,80
2014-05-26,轻度污染,147,153,67,225,135,60,1.05,104
2014-05-27,中度污染,156,157,54,231,60,33,0.74,129
2014-05-28,良,93,99,30,90,56,35,0.67,121
2014-05-29,轻度污染,147,158,64,199,56,43,0.99,180
2014-05-30,中度污染,174,163,104,254,63,54,1.13,204
2014-05-31,中度污染,183,180,111,268,49,33,1.28,201
2014-06-01,良,71,96,31,74,12,13,0.55,109
2014-06-02,良,71,130,18,41,11,9,0.49,126
2014-06-03,良,80,144,23,53,22,12,0.59,138
2014-06-04,良,71,92,41,83,25,26,0.62,95
2014-06-05,轻度污染,110,144,70,135,35,32,0.89,108
2014-06-06,轻度污染,148,171,87,179,34,40,1.19,117
2014-06-07,轻度污染,102,151,57,99,43,22,0.87,127
2014-06-08,轻度污染,110,148,57,121,37,27,0.99,155
2014-06-09,良,72,111,38,66,21,17,0.59,113
2014-06-10,良,83,129,48,88,24,18,0.61,101
2014-06-11,良,80,120,55,95,27,18,0.54,84
2014-06-12,轻度污染,134,178,63,117,47,32,0.95,136
2014-06-13,良,81,78,36,79,34,37,0.51,83
2014-06-14,轻度污染,112,121,57,119,39,38,0.77,127
2014-06-15,轻度污染,129,142,83,162,37,45,1.08,129
2014-06-16,轻度污染,128,144,95,144,27,23,1.25,140
2014-06-17,良,69,89,27,56,13,17,0.54,117
