日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,63,11,42,71,12,20,1.36,87
2013-10-29,良,67,27,47,66,18,21,1.46,76
2013-10-30,优,36,1,15,30,12,18,1.15,71
2013-10-31,良,68,32,42,70,29,33,1.54,103
2013-11-01,良,81,43,55,87,22,38,1.53,82
2013-11-02,良,95,43,68,90,28,35,1.71,77
2013-11-03,轻度污染,113,60,84,114,72,32,1.69,78
2013-11-04,优,38,2,11,36,14,19,0.71,60
2013-11-05,优,40,1,15,37,10,20,0.70,72
2013-11-06,良,57,5,57,87,24,21,1.01,80
2013-11-07,良,72,14,17,48,19,21,0.21,62
2013-11-08,优,41,2,17,44,16,33,0.74,66
2013-11-09,良,52,8,23,39,43,24,0.99,75
2013-11-10,优,34,1,11,32,16,11,0.69,54
2013-11-11,优,34,3,8,28,8,9,0.75,57
2013-11-12,优,32,12,11,30,21,18,0.77,55
2013-11-13,优,36,19,15,32,23,23,1.17,65
2013-11-14,良,54,29,57,101,59,38,1.50,83
2013-11-15,良,84,37,50,120,48,37,1.44,90
2013-11-16,轻度污染,114,42,84,226,69,38,1.53,94
2013-11-17,良,87,47,13,28,21,7,0.68,47
2013-11-18,优,32,5,15,33,11,5,0.39,42
2013-11-19,优,47,10,9,39,10,7,0.58,47
2013-11-20,优,32,1,12,33,22,23,0.84,62
2013-11-21,优,33,1,13,29,20,25,0.85,63
2013-11-22,优,46,2,42,74,47,47,1.27,83
2013-11-23,良,100,33,93,150,45,42,1.46,92
2013-11-24,轻度污染,102,40,51,67,20,32,1.15,85
2013-11-25,优,49,3,22,25,8,13,0.64,56
2013-11-26,优,40,4,25,58,48,30,0.96,69
2013-11-27,良,60,17,48,42,45,15,0.89,53
2013-11-28,良,51,14,17,36,25,14,0.73,50
2013-11-29,良,51,9,39,73,36,42,0.59,49
2013-11-30,良,68,30,51,92,72,49,0.50,47
2013-12-01,良,57,9,18,46,38,28,0.38,55
2013-12-02,良,63,9,54,96,71,49,0.74,51
2013-12-03,轻度污染,138,49,166,246,80,100,1.87,50
2013-12-04,重度污染,238,76,124,181,94,103,2.27,42
2013-12-05,轻度污染,145,56,75,115,44,60,1.15,51
2013-12-06,优,46,1,14,35,18,28,0.40,54
2013-12-07,优,50,3,59,94,55,58,0.94,49
2013-12-08,轻度污染,128,25,83,112,24,33,0.91,65
2013-12-09,轻度污染,135,39,90,110,32,29,0.93,61
2013-12-10,良,57,8,24,55,38,30,0.56,56
2013-12-11,良,52,5,29,36,16,21,0.43,56
2013-12-12,优,43,4,25,54,47,32,0.43,50
2013-12-13,优,42,6,23,31,22,21,0.47,55
2013-12-14,良,54,4,35,75,59,38,0.87,54
2013-12-15,优,50,9,17,36,31,30,0.76,53
2013-12-16,优,33,16,13,27,24,24,0.62,59
2013-12-17,优,39,30,24,46,28,21,0.80,60
2013-12-18,良,51,37,19,35,19,20,0.81,54
2013-12-19,优,32,9,13,19,11,9,0.72,55
2013-12-20,优,33,1,13,22,8,9,0.50,61
