日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,78,19,53,104,19,61,0.91,42
2013-10-29,良,74,34,46,96,20,55,0.95,49
2013-10-30,良,73,34,47,95,15,48,1.11,41
2013-10-31,良,55,12,31,60,9,35,1.15,55
2013-11-01,良,61,18,41,71,6,36,0.95,53
2013-11-02,优,47,9,28,48,9,46,0.77,25
2013-11-03,优,43,7,27,42,9,45,0.90,12
2013-11-04,良,74,28,53,73,15,41,1.17,45
2013-11-05,良,65,22,42,75,15,44,0.87,70
2013-11-06,良,70,17,46,90,16,63,1.14,35
2013-11-07,良,79,27,57,113,24,49,0.98,77
2013-11-08,轻度污染,107,59,76,143,24,70,1.63,69
2013-11-09,轻度污染,103,54,78,133,19,74,1.72,26
2013-11-10,良,78,58,43,90,16,53,1.64,38
2013-11-11,良,57,46,21,45,6,49,1.46,25
2013-11-12,优,46,25,29,39,3,55,1.28,15
2013-11-13,优,36,20,20,31,3,58,1.48,12
2013-11-14,优,50,26,40,74,15,68,1.25,9
2013-11-15,良,64,27,51,101,30,57,1.16,36
2013-11-16,良,91,29,76,143,22,71,1.64,46
2013-11-17,良,100,58,69,148,21,69,1.57,38
2013-11-18,轻度污染,105,86,62,156,25,70,1.58,39
2013-11-19,良,95,57,64,134,29,78,1.65,38
2013-11-20,良,96,38,68,137,25,81,2.00,42
2013-11-21,良,93,29,65,137,23,91,2.12,30
2013-11-22,良,87,25,61,132,23,96,2.26,32
2013-11-23,良,99,31,69,159,25,107,2.50,12
2013-11-24,轻度污染,110,42,83,151,17,86,3.01,2
2013-11-25,良,71,39,33,74,13,50,2.41,43
2013-11-26,良,82,55,58,137,24,74,2.27,27
2013-11-27,良,98,73,57,138,18,69,2.06,19
2013-11-28,良,82,91,55,118,27,58,2.12,24
2013-11-29,良,84,78,55,118,27,73,2.38,23
2013-11-30,良,86,55,60,130,25,87,1.82,19
2013-12-01,良,91,44,61,121,17,85,0.95,35
2013-12-02,良,89,32,83,156,30,97,1.14,33
2013-12-03,轻度污染,114,33,106,183,30,99,1.48,38
2013-12-04,轻度污染,120,39,106,182,31,97,1.65,22
2013-12-05,轻度污染,115,44,102,179,29,86,1.47,23
2013-12-06,轻度污染,106,42,122,209,35,74,1.44,58
2013-12-07,中度污染,184,59,192,277,43,88,1.88,53
2013-12-08,重度污染,234,64,150,222,25,83,1.80,20
2013-12-09,中度污染,180,54,128,180,20,56,2.02,41
2013-12-10,轻度污染,120,64,80,122,30,44,1.76,48
2013-12-11,轻度污染,102,46,74,134,35,66,1.89,20
2013-12-12,良,99,48,89,169,51,69,2.23,19
2013-12-13,轻度污染,109,49,97,165,40,69,2.42,29
2013-12-14,轻度污染,115,42,107,179,39,82,2.65,12
2013-12-15,良,97,47,55,93,11,50,2.23,28
2013-12-16,良,52,27,22,31,6,37,2.17,31
2013-12-17,优,23,17,12,18,7,34,2.01,10
2013-12-18,优,23,6,22,35,15,39,1.38,21
2013-12-19,良,65,30,67,104,23,49,1.55,38
2013-12-20,轻度污染,103,44,93,147,32,71,1.57,34
2013-12-21,轻度污染,114,49,111,165,37,68,1.25,33
2013-12-22,轻度污染,108,29,72,116,30,66,0.97,28
2013-12-23,良,92,16,66,113,26,65,0.93,26
2013-12-24,良,94,18,79,123,28,61,1.04,40
2013-12-25,轻度污染,114,21,101,154,32,79,1.36,20
2013-12-26,轻度污染,118,31,109,161,39,58,1.40,47
2013-12-27,轻度污染,143,81,126,181,46,63,1.51,29
2013-12-28,轻度污染,102,57,64,123,33,71,1.38,22
2013-12-29,良,93,41,72,135,36,78,1.50,21
2013-12-30,轻度污染,102,34,97,182,44,100,1.83,19
2013-12-31,轻度污染,114,72,94,167,41,102,1.55,22
2014-01-01,轻度污染,106,60,80,147,35,92,1.24,26
2014-01-02,轻度污染,104,48,80,155,31,100,1.54,18
2014-01-03,轻度污染,117,67,88,163,29,105,1.35,28
2014-01-04,中度污染,169,144,130,216,42,105,1.54,20
2014-01-05,重度污染,227,155,177,273,51,94,1.70,22
2014-01-06,中度污染,168,95,130,196,27,77,1.59,23
2014-01-07,良,90,59,65,124,27,83,1.53,2
2014-01-08,良,74,89,51,91,16,56,1.52,11
2014-01-09,优,49,15,32,50,19,32,0.87,48
2014-01-10,良,61,18,42,71,18,44,0.86,39
2014-01-11,良,67,27,42,83,16,68,0.97,13
2014-01-12,优,47,13,28,50,10,52,1.04,7
2014-01-13,良,86,73,63,87,16,47,1.10,31
2014-01-14,轻度污染,118,96,89,112,19,46,1.26,37
2014-01-15,良,80,35,58,83,19,52,1.04,40
2014-01-16,良,67,15,46,80,16,62,1.14,23
2014-01-17,良,77,15,55,96,24,66,1.34,19
2014-01-18,轻度污染,144,77,109,171,26,71,1.71,41
2014-01-19,中度污染,195,118,148,206,24,82,2.05,30
2014-01-20,轻度污染,133,100,101,144,19,70,1.80,40
2014-01-21,良,98,122,70,119,31,53,1.63,36
2014-01-22,良,65,12,44,76,19,49,1.58,38
2014-01-24,优,50,9,32,51,9,54,1.58,24
2014-01-25,良,52,12,35,55,9,50,1.39,34
2014-01-26,轻度污染,138,148,103,134,13,43,1.71,53
2014-01-27,优,43,12,25,44,6,38,1.25,36
2014-01-28,优,48,18,29,49,8,46,1.35,30
2014-01-29,良,65,38,46,68,8,49,1.50,36
2014-01-30,良,89,41,66,88,10,46,1.61,43
2014-01-31,严重污染,256,128,218,260,18,39,1.48,41
2014-02-01,良,73,47,53,66,7,35,1.17,42
2014-02-02,良,75,39,55,67,6,36,1.19,54
2014-02-03,良,71,86,51,64,5,29,1.27,48
2014-02-04,优,40,29,21,39,5,14,0.94,62
2014-02-05,优,47,89,29,48,5,21,1.00,48
2014-02-06,优,38,67,26,35,4,26,1.04,30
2014-02-07,优,30,23,19,24,4,34,1.20,12
2014-02-08,优,30,14,19,24,5,21,1.01,37
2014-02-09,优,46,74,32,36,4,21,1.14,40
2014-02-10,优,33,15,23,26,6,14,0.96,57
2014-02-11,良,58,38,41,48,8,19,1.11,59
2014-02-12,良,59,21,41,49,8,30,1.23,37
2014-02-13,优,36,16,25,28,9,36,1.47,18
2014-02-14,优,49,11,34,41,9,29,1.43,39
2014-02-15,良,56,14,38,50,12,38,1.34,48
2014-02-16,优,40,12,27,37,8,63,1.42,14
2014-02-17,优,37,10,25,33,14,58,1.25,16
2014-02-18,优,21,5,10,16,7,41,1.09,14
2014-02-19,优,25,22,14,19,7,28,0.82,36
2014-02-20,优,47,26,33,44,12,34,0.86,47
2014-02-21,良,63,21,45,68,23,52,0.87,71
2014-02-22,良,82,37,60,90,48,61,1.09,40
2014-02-23,良,74,30,54,85,20,55,1.03,49
2014-02-24,良,97,48,72,105,15,74,1.34,14
2014-02-25,良,71,67,51,68,17,91,1.65,4
2014-02-26,良,80,66,58,75,19,82,1.74,21
2014-02-27,良,85,85,62,94,31,72,1.40,20
2014-02-28,良,65,95,45,74,24,71,1.16,31
2014-03-01,良,51,51,36,49,15,64,1.43,21
2014-03-02,优,34,10,22,30,11,36,1.11,41
2014-03-03,良,55,33,35,54,18,42,1.10,51
2014-03-04,良,53,30,36,57,12,54,1.19,23
2014-03-05,良,66,72,46,69,15,46,1.15,54
2014-03-06,优,36,4,21,34,7,34,1.20,53
2014-03-07,优,37,19,23,36,13,39,1.35,38
2014-03-08,优,39,14,27,35,8,55,1.62,40
2014-03-09,良,52,39,36,50,17,52,1.56,35
2014-03-10,良,90,82,67,102,21,61,1.75,56
2014-03-11,轻度污染,128,130,97,152,30,82,2.21,25
2014-03-12,良,87,107,64,83,13,91,2.84,4
2014-03-13,良,66,62,47,60,13,48,2.18,41
2014-03-14,良,98,134,73,107,25,59,2.19,50
2014-03-15,良,90,65,63,112,30,73,2.25,49
2014-03-16,良,95,74,68,132,28,85,2.43,33
2014-03-17,轻度污染,113,92,85,158,31,86,2.45,43
2014-03-18,轻度污染,149,111,113,181,34,104,2.45,45
2014-03-19,轻度污染,139,157,105,173,46,98,1.68,25
2014-03-20,良,61,46,41,72,12,44,1.31,36
2014-03-21,良,67,67,41,76,16,46,1.49,66
2014-03-22,良,65,30,35,78,16,54,1.18,56
2014-03-23,良,63,27,35,75,21,57,1.28,43
2014-03-25,良,76,40,48,99,28,71,1.21,31
