日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,轻度污染,134,326,99,187,222,61,2.17,24
2015-01-02,中度污染,178,624,134,262,275,68,2.94,22
2015-01-03,中度污染,169,294,125,230,214,63,1.92,38
2015-01-04,轻度污染,102,103,65,151,53,36,0.90,50
2015-01-05,良,93,108,42,135,26,29,0.66,56
2015-01-06,轻度污染,118,297,76,184,166,53,1.37,19
2015-01-07,轻度污染,113,299,54,174,50,33,0.90,43
2015-01-08,良,96,189,38,140,25,25,0.68,67
2015-01-09,良,95,150,64,127,80,47,1.70,42
2015-01-10,重度污染,215,322,165,296,295,77,3.07,22
2015-01-11,重度污染,232,354,174,327,253,72,3.48,23
2015-01-12,重度污染,234,358,183,304,157,75,2.86,17
2015-01-13,轻度污染,133,280,89,172,39,38,1.18,42
2015-01-14,良,75,151,45,94,82,43,1.53,37
2015-01-15,良,65,89,32,75,24,27,0.95,59
2015-01-16,轻度污染,106,185,78,139,117,49,1.73,33
2015-01-17,轻度污染,102,190,71,134,89,38,1.35,44
2015-01-18,良,65,66,26,77,36,24,0.80,67
2015-01-19,轻度污染,129,292,94,194,194,55,2.28,32
2015-01-20,良,59,41,25,67,10,15,0.57,73
2015-01-21,良,95,158,56,135,161,43,1.59,37
2015-01-22,良,98,171,55,141,157,38,1.12,44
2015-01-23,轻度污染,105,130,73,155,112,50,1.81,31
2015-01-24,良,70,50,41,88,32,30,1.03,48
2015-01-25,轻度污染,119,162,77,174,137,49,1.85,41
2015-01-26,良,74,71,28,97,40,17,0.55,63
2015-01-27,良,89,215,51,125,100,39,1.19,28
2015-01-28,良,76,278,42,99,43,19,0.60,46
2015-01-29,良,56,154,21,60,18,17,0.70,56
2015-01-30,轻度污染,109,291,70,163,147,41,1.76,34
2015-01-31,良,88,250,48,123,135,30,1.21,59
2015-02-01,轻度污染,116,275,85,130,110,37,1.34,40
2015-02-02,中度污染,168,317,127,163,73,33,1.46,42
2015-02-03,轻度污染,132,243,98,123,30,30,1.05,53
2015-02-04,优,50,58,29,53,26,27,0.80,54
2015-02-05,良,93,216,63,119,145,50,1.50,32
2015-02-06,良,87,157,61,112,103,38,1.25,43
2015-02-07,良,59,53,30,69,19,18,0.72,67
2015-02-08,良,81,208,46,107,144,38,1.29,49
2015-02-09,轻度污染,126,313,90,172,149,56,2.25,37
2015-02-10,轻度污染,126,256,71,180,52,32,1.24,66
2015-02-11,中度污染,167,298,52,245,12,19,0.63,70
2015-02-12,良,66,91,27,81,17,20,0.75,63
2015-02-13,轻度污染,120,239,61,185,285,53,2.02,43
2015-02-14,中度污染,170,283,95,253,166,41,1.70,51
2015-02-15,中度污染,168,292,47,254,4,8,0.50,84
2015-02-16,轻度污染,103,188,66,144,111,39,1.66,51
2015-02-17,良,89,175,61,107,55,33,1.71,47
2015-02-18,轻度污染,104,243,59,151,72,23,1.13,70
2015-02-19,中度污染,199,324,150,272,99,25,1.48,79
2015-02-20,轻度污染,111,310,71,141,7,12,0.82,74
2015-02-21,重度污染,234,359,54,348,4,5,0.49,78
2015-02-22,良,96,202,38,141,95,18,0.98,56
2015-02-23,良,93,249,41,134,25,14,0.80,65
2015-02-24,中度污染,179,351,52,268,8,10,0.61,75
2015-02-25,良,69,199,28,86,12,12,0.52,63
2015-02-26,良,52,137,18,56,18,7,0.40,73
2015-02-27,良,63,245,31,75,28,15,0.60,54
2015-02-28,良,93,323,28,135,2,5,0.24,74
2015-03-01,良,72,226,40,94,57,17,0.76,67
2015-03-02,中度污染,190,354,56,275,7,10,0.53,75
2015-03-03,良,84,222,33,116,62,14,0.89,62
2015-03-04,良,67,247,33,84,84,20,0.92,65
2015-03-05,轻度污染,104,333,70,144,109,28,1.47,62
2015-03-06,轻度污染,141,343,93,202,143,36,1.79,57
2015-03-07,轻度污染,121,321,72,185,125,32,1.67,58
