日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,183,80,140,220,88,109,2.02,63
2013-10-29,重度污染,240,100,190,297,74,122,2.06,48
2013-10-30,严重污染,325,112,281,286,36,58,2.01,50
2013-10-31,轻度污染,133,79,100,82,26,45,1.26,28
2013-11-01,良,61,22,42,47,24,36,1.31,11
2013-11-02,良,55,16,37,34,20,33,1.15,16
2013-11-03,良,75,27,55,68,28,40,1.16,56
2013-11-04,轻度污染,130,92,98,127,47,65,1.64,68
2013-11-05,中度污染,161,107,122,164,52,91,1.60,50
2013-11-06,轻度污染,139,71,104,145,39,75,1.21,49
2013-11-07,中度污染,157,91,115,175,47,88,1.29,45
2013-11-08,中度污染,155,90,143,230,86,94,1.81,57
2013-11-09,重度污染,233,111,190,237,42,62,1.92,35
2013-11-10,中度污染,155,96,60,38,34,38,1.38,33
2013-11-11,良,85,94,80,84,31,40,1.20,40
2013-11-12,轻度污染,113,99,72,70,33,47,1.16,26
2013-11-13,良,97,71,87,111,42,55,1.27,22
2013-11-14,轻度污染,112,69,74,111,37,50,1.05,42
2013-11-15,轻度污染,115,54,96,190,42,81,1.34,37
2013-11-16,轻度污染,144,65,112,241,46,96,1.57,40
2013-11-17,轻度污染,130,90,66,203,52,77,1.30,36
2013-11-18,轻度污染,111,92,69,159,57,80,1.29,35
2013-11-19,轻度污染,123,89,98,190,84,97,1.63,31
2013-11-20,轻度污染,136,71,116,245,106,117,1.92,27
2013-11-21,中度污染,187,87,178,262,75,101,1.91,39
2013-11-22,严重污染,299,107,298,355,60,87,2.17,42
2013-11-23,严重污染,342,103,295,364,51,90,2.39,14
2013-11-24,重度污染,238,95,78,81,31,40,1.21,35
2013-11-25,良,83,56,55,127,43,68,1.21,28
2013-11-26,轻度污染,104,81,88,189,82,84,1.75,16
2013-11-27,轻度污染,113,89,65,130,51,56,1.03,28
2013-11-28,良,75,75,46,88,45,58,0.84,31
2013-11-29,良,71,54,54,111,53,66,1.05,34
2013-11-30,轻度污染,106,75,105,185,67,96,1.69,21
2013-12-01,中度污染,165,98,131,207,71,104,1.86,19
2013-12-02,中度污染,173,74,127,206,83,101,1.95,29
2013-12-03,中度污染,185,65,169,228,99,103,1.96,26
2013-12-04,严重污染,276,86,279,339,108,128,2.60,28
2013-12-05,严重污染,335,100,253,302,112,117,2.50,24
2013-12-06,严重污染,266,96,237,289,97,116,2.58,37
2013-12-07,严重污染,337,98,298,374,89,132,3.12,33
2013-12-08,严重污染,353,101,258,306,92,104,2.54,34
2013-12-09,重度污染,238,83,111,146,74,58,1.58,37
2013-12-10,中度污染,169,100,140,175,77,83,1.81,26
2013-12-11,中度污染,161,98,111,163,79,78,1.56,22
2013-12-12,中度污染,168,113,149,230,96,99,1.97,16
2013-12-13,重度污染,230,111,191,274,78,113,2.19,23
2013-12-14,重度污染,221,105,170,233,85,116,1.89,21
2013-12-15,重度污染,231,90,188,216,71,82,1.57,40
2013-12-16,重度污染,249,102,175,166,50,65,1.50,28
2013-12-17,轻度污染,135,77,56,44,34,43,1.01,26
2013-12-18,轻度污染,145,86,200,208,29,64,1.74,25
2013-12-19,严重污染,282,107,249,285,95,98,2.58,10
2013-12-20,严重污染,309,104,254,239,94,81,2.27,42
2013-12-21,严重污染,290,103,208,172,75,71,1.84,33
2013-12-22,重度污染,235,94,185,215,92,89,1.89,21
2013-12-23,重度污染,240,88,190,238,94,105,2.33,16
2013-12-24,重度污染,210,67,147,186,64,95,2.01,21
2013-12-25,重度污染,224,66,195,229,76,109,2.00,23
2013-12-26,重度污染,241,72,186,223,73,79,1.74,31
2013-12-27,中度污染,164,95,68,101,44,52,0.99,31
2013-12-28,轻度污染,114,67,110,149,64,82,1.49,30
2013-12-29,中度污染,167,101,135,176,68,90,1.69,25
2013-12-30,中度污染,192,110,154,204,61,104,1.69,30
2013-12-31,重度污染,210,182,164,212,62,100,1.75,32
2014-01-01,重度污染,208,179,150,207,69,106,2.01,28
2014-01-02,重度污染,221,179,179,252,88,110,2.37,19
2014-01-03,重度污染,217,153,174,226,63,83,1.72,30
2014-01-04,轻度污染,146,117,110,181,71,86,1.60,21
2014-01-05,中度污染,191,133,146,211,88,91,2.15,27
2014-01-06,重度污染,238,156,192,236,77,87,2.07,20
2014-01-07,严重污染,317,182,267,139,28,63,2.32,12
2014-01-08,重度污染,249,190,199,74,60,61,2.10,29
2014-01-09,严重污染,258,189,208,168,78,76,2.48,23
2014-01-10,中度污染,167,148,128,122,63,66,1.73,21
2014-01-11,轻度污染,120,100,91,73,32,53,1.33,25
2014-01-12,重度污染,205,178,160,181,63,68,1.68,22
2014-01-13,严重污染,316,189,265,288,75,87,2.36,21
2014-01-14,严重污染,274,183,223,260,69,87,2.51,19
2014-01-15,重度污染,202,126,158,196,65,70,1.86,29
2014-01-16,中度污染,160,107,122,162,79,95,1.77,27
2014-01-17,严重污染,285,169,235,272,73,100,1.97,35
2014-01-18,严重污染,283,166,232,269,96,95,2.25,33
2014-01-19,严重污染,271,156,220,264,90,102,2.21,28
2014-01-20,中度污染,184,145,140,199,56,81,1.59,35
2014-01-21,良,95,119,68,128,61,73,1.42,28
2014-01-22,轻度污染,127,138,96,139,65,73,1.46,33
