日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,中度污染,151,140,118,206,85,65,1.25,46
2014-01-01,中度污染,158,150,132,207,104,65,1.55,40
2014-01-02,中度污染,185,149,130,196,37,53,1.20,42
2014-01-03,中度污染,195,132,150,248,32,52,1.15,39
2014-01-04,重度污染,230,176,180,296,41,53,1.57,35
2014-01-05,重度污染,241,161,191,269,44,63,1.93,40
2014-01-06,重度污染,205,139,160,233,37,41,1.16,41
2014-01-07,轻度污染,101,79,76,111,46,28,0.63,42
2014-01-08,良,81,103,59,77,55,32,0.68,44
2014-01-09,良,65,54,46,68,52,30,0.44,44
2014-01-10,轻度污染,109,102,82,122,43,31,0.63,46
2014-01-11,轻度污染,113,89,85,123,40,27,0.68,46
2014-01-12,轻度污染,120,111,91,122,43,38,0.92,53
2014-01-13,中度污染,188,175,147,206,36,27,0.99,43
2014-01-14,轻度污染,127,105,95,137,40,40,0.76,50
2014-01-15,轻度污染,145,99,109,144,41,38,0.79,44
2014-01-16,轻度污染,136,85,102,141,42,43,1.01,35
2014-01-17,重度污染,216,139,167,223,42,52,1.44,33
2014-01-18,严重污染,352,183,302,367,45,50,1.92,32
2014-01-19,严重污染,298,165,247,308,48,49,1.83,42
2014-01-20,中度污染,170,130,121,216,40,36,0.74,46
2014-01-21,良,92,111,67,125,42,43,0.83,31
2014-01-22,良,86,51,63,90,43,37,0.61,35
2014-01-24,轻度污染,133,103,100,136,44,51,1.38,29
2014-01-25,严重污染,305,189,255,307,37,51,2.25,28
2014-01-26,轻度污染,104,119,76,100,37,30,0.56,37
2014-01-27,良,88,88,61,89,39,32,0.81,30
2014-01-28,中度污染,160,150,122,147,56,32,1.20,32
2014-01-29,轻度污染,138,139,104,129,76,29,1.11,30
2014-01-30,中度污染,197,116,152,182,70,73,1.95,40
2014-01-31,重度污染,238,115,189,234,61,89,1.68,36
2014-02-01,重度污染,243,160,194,234,69,27,1.56,26
2014-02-02,重度污染,219,132,171,234,68,35,2.03,28
2014-02-03,轻度污染,129,158,98,136,69,37,1.30,30
2014-02-04,优,43,38,28,42,60,36,0.24,41
2014-02-05,优,38,52,24,33,49,36,0.32,37
2014-02-06,优,25,17,15,21,52,39,0.42,38
2014-02-07,优,43,66,29,36,51,34,0.51,38
2014-02-08,良,98,148,73,83,57,33,0.64,37
2014-02-09,良,88,164,65,76,36,32,0.69,36
2014-02-10,良,61,117,43,53,38,36,0.42,36
2014-02-11,良,87,103,64,82,35,37,0.75,40
