日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,重度污染,202,87,158,246,86,103,2.09,59
2013-10-29,严重污染,373,113,393,466,74,93,3.06,75
2013-10-30,严重污染,342,114,288,409,46,48,2.55,40
2013-10-31,重度污染,214,108,168,267,19,38,1.85,39
2013-11-01,轻度污染,113,68,83,153,13,32,1.34,13
2013-11-02,优,42,2,25,42,10,29,1.16,10
2013-11-03,良,66,18,46,79,17,31,1.12,34
2013-11-04,良,87,55,63,111,28,37,1.19,50
2013-11-05,轻度污染,145,102,110,180,57,49,1.33,58
2013-11-06,中度污染,194,103,132,213,58,71,1.47,50
2013-11-07,中度污染,162,94,118,196,50,89,1.06,45
2013-11-08,轻度污染,144,83,110,185,59,63,1.49,73
2013-11-09,中度污染,155,86,158,245,60,58,1.49,64
2013-11-10,中度污染,200,110,94,159,27,35,1.08,37
2013-11-11,良,68,70,24,43,15,30,1.07,25
2013-11-12,优,33,13,15,29,12,24,0.76,45
2013-11-13,优,44,32,40,68,24,28,0.84,33
2013-11-14,良,74,44,58,101,33,37,0.92,46
2013-11-15,良,89,41,81,145,61,65,1.45,31
2013-11-16,轻度污染,127,53,100,177,66,68,1.78,35
2013-11-17,轻度污染,133,95,112,193,58,81,1.47,37
2013-11-18,轻度污染,132,103,90,182,52,63,0.99,44
2013-11-19,轻度污染,118,84,99,209,73,84,1.39,32
2013-11-20,轻度污染,137,72,105,195,70,68,1.37,47
2013-11-21,轻度污染,142,69,105,189,60,77,1.24,41
2013-11-22,重度污染,211,85,263,340,47,62,1.63,32
2013-11-23,严重污染,375,110,339,442,62,70,2.13,37
2013-11-24,严重污染,257,100,70,103,21,37,0.96,30
2013-11-25,良,59,17,41,83,45,54,1.21,30
2013-11-26,良,84,62,69,145,57,70,1.39,19
2013-11-27,轻度污染,103,77,77,156,48,56,0.95,20
2013-11-28,良,94,105,51,108,39,49,0.71,30
2013-11-29,良,76,65,59,120,55,64,1.04,26
2013-11-30,良,90,61,74,149,82,74,1.49,23
2013-12-01,轻度污染,125,79,110,187,56,74,1.42,38
2013-12-02,轻度污染,144,64,101,181,68,77,1.54,35
2013-12-03,轻度污染,129,41,110,170,88,66,1.56,47
2013-12-04,中度污染,178,62,132,202,65,68,1.20,51
2013-12-05,中度污染,158,57,133,208,70,79,1.48,31
2013-12-06,重度污染,205,83,159,239,88,64,1.64,48
2013-12-07,重度污染,217,70,181,278,78,94,4.92,36
2013-12-08,严重污染,251,69,185,271,80,85,2.14,39
2013-12-09,重度污染,221,77,105,167,40,38,1.00,60
2013-12-10,轻度污染,101,47,96,167,68,64,1.38,34
2013-12-11,轻度污染,136,83,99,150,63,54,1.22,36
2013-12-12,轻度污染,129,73,106,162,81,75,3.18,15
2013-12-13,轻度污染,148,74,117,175,67,80,1.71,26
2013-12-14,中度污染,200,102,193,267,92,76,1.65,30
2013-12-15,严重污染,251,97,184,236,45,65,1.52,24
2013-12-16,中度污染,181,88,101,138,25,47,1.16,40
2013-12-17,良,95,62,39,54,20,35,1.15,27
2013-12-18,良,52,38,56,81,29,36,1.07,36
2013-12-19,轻度污染,139,77,139,191,45,51,1.53,46
2013-12-20,重度污染,206,82,170,226,60,62,1.89,43
2013-12-21,重度污染,248,98,218,274,63,49,2.95,52
2013-12-22,严重污染,253,100,174,231,62,66,3.40,35
2013-12-23,中度污染,186,68,129,182,72,77,1.68,25
2013-12-24,中度污染,187,55,147,203,73,72,1.72,33
2013-12-25,中度污染,198,52,148,209,72,77,1.67,38
2013-12-26,中度污染,197,58,144,210,65,67,1.48,33
2013-12-27,中度污染,160,92,91,149,42,48,1.23,32
2013-12-28,良,95,52,69,116,52,54,1.22,29
2013-12-29,轻度污染,113,62,98,156,70,79,1.40,27
2013-12-30,轻度污染,134,81,106,168,61,91,1.89,30
2013-12-31,中度污染,159,153,126,207,75,90,2.43,29
2014-01-01,中度污染,164,158,131,197,72,89,2.67,34
2014-01-02,中度污染,188,154,150,232,90,101,2.37,31
2014-01-03,严重污染,260,175,210,276,90,70,2.01,33
2014-01-04,中度污染,158,135,120,199,64,68,1.55,41
2014-01-05,中度污染,170,116,129,210,72,77,3.57,32
2014-01-06,中度污染,192,121,147,218,79,81,1.74,25
