日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,96,252,67,135,14,31,0.00,39
2015-01-06,良,78,208,57,71,17,19,0.83,35
2015-01-07,良,92,248,68,89,23,22,0.86,25
2015-01-08,良,79,135,57,82,40,28,0.84,16
2015-01-09,良,86,119,63,96,122,34,0.78,10
2015-01-10,良,88,116,65,94,85,28,0.52,17
2015-01-11,良,91,142,67,99,24,31,0.56,15
2015-01-12,轻度污染,101,214,75,107,20,31,0.76,21
2015-01-13,轻度污染,128,266,97,133,8,21,0.89,34
2015-01-14,轻度污染,109,219,81,117,13,16,1.03,33
2015-01-15,轻度污染,107,196,80,118,12,24,1.16,29
2015-01-16,轻度污染,118,206,89,121,9,20,0.90,27
2015-01-17,轻度污染,123,237,92,130,11,17,0.84,41
2015-01-18,轻度污染,133,275,101,151,36,32,0.76,44
2015-01-19,轻度污染,135,301,102,160,28,40,0.81,24
2015-01-20,轻度污染,121,269,91,150,47,46,0.79,11
2015-01-21,轻度污染,125,228,94,140,23,29,0.77,24
2015-01-22,良,94,155,70,110,12,23,0.61,34
2015-01-23,轻度污染,118,170,88,146,28,39,0.88,20
2015-01-24,中度污染,176,264,135,210,25,47,1.26,7
2015-01-25,轻度污染,135,195,101,133,17,26,0.93,15
2015-01-26,轻度污染,116,163,87,118,5,23,0.89,15
2015-01-27,良,88,210,64,83,26,20,1.23,30
2015-01-28,优,28,21,18,26,8,19,1.01,18
2015-01-29,优,36,43,24,31,8,14,0.59,23
2015-01-30,良,73,197,52,66,22,15,0.71,30
2015-01-31,良,95,272,70,88,24,16,0.75,43
2015-02-01,良,92,218,67,83,17,16,0.64,41
2015-02-02,良,91,177,67,83,12,19,0.69,27
2015-02-03,良,96,161,71,90,11,17,0.66,27
2015-02-04,轻度污染,125,225,94,127,22,26,1.03,22
2015-02-05,轻度污染,111,263,83,115,33,23,1.02,35
2015-02-06,良,99,215,73,105,42,23,0.98,41
2015-02-07,轻度污染,102,198,75,110,31,30,1.09,24
2015-02-08,轻度污染,103,276,76,109,39,23,0.72,43
2015-02-09,轻度污染,132,321,99,141,35,28,0.86,46
2015-02-10,中度污染,157,318,119,173,27,37,1.01,20
2015-02-11,轻度污染,146,274,110,153,21,29,0.89,32
2015-02-12,轻度污染,116,202,87,122,23,23,0.73,39
2015-02-13,轻度污染,122,244,92,129,23,25,0.84,36
2015-02-14,轻度污染,139,239,105,131,9,27,1.06,37
2015-02-15,良,94,163,69,91,23,21,1.09,17
2015-02-16,良,89,142,65,90,18,14,0.78,23
2015-02-17,轻度污染,106,219,79,109,15,11,0.74,32
2015-02-18,轻度污染,132,304,99,136,15,12,0.78,39
2015-02-19,良,86,133,63,81,27,7,0.72,53
2015-02-20,优,43,62,30,41,29,6,0.56,42
2015-02-21,优,34,21,23,30,11,6,0.35,41
2015-02-22,良,61,119,42,55,1,9,0.38,38
2015-02-23,良,64,136,45,65,1,9,0.31,35
2015-02-24,良,68,160,48,74,2,9,0.46,28
2015-02-25,良,51,124,35,47,1,9,0.55,24
2015-02-26,优,46,96,31,42,3,13,0.61,21
2015-02-27,优,20,9,11,16,3,11,0.58,34
2015-02-28,优,28,48,17,22,1,8,0.64,38
2015-03-01,良,53,123,36,48,3,13,0.70,24
2015-03-02,良,55,89,37,54,5,14,0.67,18
2015-03-03,良,72,172,48,82,25,12,0.65,35
2015-03-04,轻度污染,101,339,48,149,17,9,0.53,64
2015-03-05,良,63,201,43,66,8,10,0.60,45
2015-03-06,良,71,182,50,71,8,12,0.54,38
2015-03-07,良,67,152,48,66,5,12,0.54,28
2015-03-08,良,68,167,48,62,15,13,0.47,35
2015-03-09,良,76,223,55,76,19,15,0.63,41
2015-03-10,轻度污染,143,338,107,143,65,19,0.77,58
2015-03-11,轻度污染,129,345,97,126,36,22,0.66,38
2015-03-12,良,88,215,65,84,30,24,0.56,39
2015-03-13,良,85,200,62,87,23,24,0.64,24
2015-03-14,良,82,156,60,86,12,24,0.61,13
2015-03-15,良,83,149,61,83,13,24,0.82,22
2015-03-16,良,78,151,56,78,16,23,0.76,18
2015-03-17,良,79,203,58,83,17,25,0.73,16
2015-03-18,优,36,37,22,36,13,18,0.73,25
2015-03-19,优,40,39,26,39,13,18,0.64,42
2015-03-20,优,35,14,20,33,11,16,0.65,38
2015-03-21,优,50,43,33,49,14,18,0.82,33
2015-03-22,良,61,77,40,70,15,24,0.75,35
2015-03-23,良,69,178,48,79,10,20,0.67,50
2015-03-24,良,74,220,52,93,9,19,0.65,57
2015-03-25,良,69,188,49,79,9,22,0.54,38
2015-03-26,良,76,216,55,81,9,23,0.69,35
2015-03-27,良,61,136,43,59,9,17,0.67,49
2015-03-28,良,58,75,40,55,9,23,0.94,17
2015-03-29,优,50,38,33,48,11,22,1.39,8
2015-03-30,优,40,21,24,40,13,19,1.13,19
2015-03-31,良,59,123,39,62,17,17,0.81,27
2015-04-01,良,69,214,48,80,11,20,0.83,30
2015-04-02,良,68,247,48,64,5,14,0.65,29
2015-04-03,优,41,52,27,41,7,10,0.65,45
2015-04-04,优,43,46,26,43,4,11,0.70,45
2015-04-05,优,38,41,24,35,2,11,0.79,54
2015-04-06,优,46,122,31,43,5,14,0.84,48
2015-04-07,优,40,76,28,36,6,12,0.78,57
2015-04-08,良,55,168,38,54,6,13,0.58,47
2015-04-09,良,63,181,45,61,16,19,0.66,37
2015-04-10,良,61,144,42,63,17,19,0.62,27
2015-04-11,良,56,98,38,58,11,23,0.57,25
2015-04-12,良,60,109,36,69,18,20,0.54,38
2015-04-13,良,61,141,28,70,8,14,0.43,60
2015-04-14,良,58,57,30,66,12,15,0.40,61
2015-04-15,良,69,76,48,77,7,19,0.39,39
2015-04-16,良,73,82,52,87,15,19,0.52,52
2015-04-17,良,99,202,73,114,8,16,0.55,47
2015-04-18,轻度污染,109,286,81,125,10,12,0.50,46
2015-04-19,优,32,10,18,31,3,9,0.51,45
2015-04-20,优,35,23,23,34,4,10,0.44,53
2015-04-21,优,48,80,29,48,4,12,0.56,42
2015-04-22,良,56,89,34,62,5,17,0.73,29
2015-04-23,良,54,56,34,56,18,19,0.51,36
2015-04-24,良,61,98,41,63,14,22,0.60,18
2015-04-25,良,69,106,49,76,4,19,0.51,27
2015-04-26,良,72,106,51,78,10,17,0.44,31
2015-04-27,良,65,92,46,65,8,16,0.46,24
2015-04-28,良,61,97,41,66,5,15,0.43,27
2015-04-29,良,63,113,43,69,3,11,0.48,39
2015-04-30,良,91,224,67,102,4,11,0.46,45
2015-05-01,良,65,165,46,66,2,7,0.43,36
2015-05-02,优,36,31,17,32,1,6,0.28,41
2015-05-03,优,42,29,23,41,2,7,0.39,30
2015-05-04,优,46,47,28,44,3,7,0.37,36
2015-05-05,良,54,71,35,55,4,9,0.43,31
2015-05-06,良,54,69,36,57,4,10,0.33,43
2015-05-07,良,56,74,34,60,7,13,0.29,25
2015-05-08,优,38,38,20,35,2,8,0.35,43
2015-05-09,优,41,49,21,39,1,8,0.29,36
2015-05-10,良,54,113,33,57,6,13,0.32,24
2015-05-11,优,46,101,23,46,3,9,0.24,44
2015-05-12,良,63,196,32,77,6,12,0.23,30
2015-05-13,良,68,145,44,83,14,16,0.35,15
2015-05-14,良,73,186,52,86,8,14,0.53,20
2015-05-15,优,40,54,24,40,1,9,0.50,36
2015-05-16,良,68,173,45,78,11,9,0.65,47
2015-05-17,良,96,271,71,110,7,16,0.74,23
2015-05-18,良,61,130,40,62,10,15,0.71,33
2015-05-19,良,51,115,29,54,15,12,0.63,33
2015-05-20,良,66,190,41,69,12,12,0.55,72
2015-05-21,良,93,344,58,95,14,13,0.60,127
2015-05-22,良,77,226,56,81,9,15,0.57,94
2015-05-23,良,59,138,41,61,10,12,0.45,79
2015-05-24,优,49,69,26,52,15,17,0.36,39
2015-05-25,良,56,98,35,60,18,15,0.37,52
2015-05-26,良,77,191,55,79,10,18,0.54,21
2015-05-27,良,56,111,37,59,9,14,0.64,31
2015-05-28,良,63,162,41,69,8,16,0.80,15
2015-05-29,良,56,158,34,55,10,12,0.56,42
2015-05-30,优,50,117,31,52,19,18,0.44,51
2015-05-31,良,64,150,43,67,14,12,0.38,51
2015-06-01,良,76,201,55,77,11,13,0.41,31
2015-06-02,优,34,27,20,33,6,13,0.45,35
2015-06-03,优,30,23,14,23,8,12,0.43,55
2015-06-04,优,38,56,24,35,8,12,0.37,59
2015-06-05,优,38,47,19,37,14,13,0.27,56
2015-06-06,优,47,89,22,47,9,9,0.15,44
2015-06-07,优,28,16,14,24,14,13,0.09,37
2015-06-08,优,32,39,18,31,21,17,0.27,15
2015-06-09,优,49,129,28,50,18,13,0.41,35
2015-06-10,良,60,185,39,64,16,16,0.51,14
2015-06-11,良,70,231,48,80,24,12,0.58,34
2015-06-12,良,63,180,38,74,14,12,0.38,47
2015-06-13,良,58,183,35,64,10,12,0.30,20
2015-06-14,优,27,21,14,26,6,10,0.35,32
2015-06-15,优,43,86,24,43,8,12,0.47,30
2015-06-16,优,48,117,23,48,7,10,0.59,26
2015-06-17,优,45,110,24,46,9,11,0.69,28
2015-06-18,优,48,132,28,49,13,13,0.84,42
2015-06-19,良,62,204,43,66,12,12,0.58,52
2015-06-20,良,61,217,42,64,11,12,0.52,27
2015-06-21,优,49,112,24,27,9,7,0.52,92
2015-06-22,优,39,64,22,23,10,10,0.41,64
2015-06-23,优,42,91,25,40,10,9,0.49,45
2015-06-24,优,38,114,20,37,8,9,0.51,36
2015-06-25,优,37,103,13,33,8,9,0.81,26
2015-06-26,优,34,62,15,33,9,8,0.56,25
2015-06-27,优,43,145,20,42,12,9,0.66,32
2015-06-28,优,46,152,23,46,6,11,0.53,36
2015-06-29,优,48,166,24,48,6,11,0.53,38
2015-06-30,优,47,163,25,47,8,9,0.50,39
2015-07-01,优,24,6,9,19,5,14,0.40,33
2015-07-02,优,37,63,15,36,6,13,0.66,9
2015-07-03,优,49,163,28,50,4,13,0.78,34
2015-07-04,优,32,27,16,28,5,7,1.18,55
2015-07-05,优,29,20,14,26,4,9,0.38,47
2015-07-06,优,39,58,18,34,17,9,0.32,50
2015-07-07,良,51,131,25,45,51,9,0.40,64
2015-07-08,良,56,139,36,57,7,9,0.52,62
2015-07-09,良,75,245,54,82,6,12,0.55,60
2015-07-10,良,68,241,46,75,5,11,0.59,41
2015-07-11,优,46,119,25,47,5,10,0.53,31
2015-07-12,优,43,88,24,43,6,14,1.51,29
2015-07-13,优,48,50,26,49,7,11,0.77,54
2015-07-14,良,56,89,34,60,6,9,0.82,42
2015-07-15,优,37,46,21,36,5,10,0.77,19
2015-07-16,优,44,71,9,23,7,7,0.86,67
2015-07-17,优,47,103,29,47,7,9,0.92,59
2015-07-18,良,66,244,47,70,7,8,0.95,54
2015-07-19,良,57,179,39,61,7,8,0.90,41
2015-07-20,良,60,169,40,60,8,9,0.91,50
2015-07-21,良,76,276,54,82,7,7,1.00,80
2015-07-22,良,69,251,49,76,7,10,0.98,20
2015-07-23,优,33,70,12,28,7,7,1.11,42
2015-07-24,优,37,82,15,33,7,9,0.99,45
2015-07-25,良,52,157,27,51,9,11,0.88,46
2015-07-26,良,57,162,35,62,9,12,0.96,42
2015-07-27,优,41,71,24,42,6,10,0.89,36
2015-07-28,优,29,31,11,28,8,9,0.79,16
2015-07-29,优,31,40,12,30,10,8,0.87,22
2015-07-30,优,36,68,17,36,8,10,0.87,19
2015-07-31,优,35,57,15,32,8,9,0.64,27
2015-08-01,优,35,59,15,33,8,9,0.37,27
2015-08-02,优,35,52,15,33,10,9,0.33,28
2015-08-03,优,35,50,13,32,8,9,0.31,30
2015-08-04,优,38,73,14,36,6,8,0.47,28
2015-08-05,优,37,54,14,35,6,7,0.47,30
2015-08-06,优,40,69,17,38,6,8,0.49,38
2015-08-07,优,41,88,20,40,13,8,0.46,26
2015-08-08,良,51,195,28,49,6,8,0.63,55
2015-08-09,优,44,166,25,44,5,7,0.52,42
2015-08-10,优,35,109,13,31,10,8,0.58,31
2015-08-11,优,41,122,19,40,11,10,0.71,33
2015-08-12,优,36,50,21,35,9,8,0.63,25
2015-08-13,优,40,56,20,39,10,9,0.68,34
2015-08-14,优,43,84,21,42,7,9,0.78,32
2015-08-15,优,42,106,21,42,5,8,0.69,19
2015-08-16,优,44,104,24,43,7,9,0.72,33
2015-08-17,良,53,138,33,52,8,9,0.83,20
2015-08-18,良,60,165,40,67,5,8,0.68,31
2015-08-19,优,32,31,9,20,10,6,0.66,60
2015-08-20,优,30,17,9,26,6,8,0.57,38
2015-08-21,优,40,48,16,37,7,8,0.63,43
2015-08-22,良,52,127,27,54,8,9,0.57,42
2015-08-23,良,63,204,36,65,9,10,0.53,64
