日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-07,中度污染,197,362,147,183,36,56,1.61,27
2015-01-08,重度污染,211,350,161,193,49,52,1.75,28
2015-01-09,重度污染,211,320,166,208,51,63,1.83,21
2015-01-10,重度污染,208,315,162,192,29,51,1.34,34
2015-01-11,重度污染,249,362,200,232,36,60,1.63,33
2015-01-12,严重污染,325,367,282,279,42,68,2.30,21
2015-01-13,轻度污染,132,275,99,127,17,43,1.18,26
2015-01-14,重度污染,219,336,168,193,17,56,1.20,20
2015-01-15,重度污染,217,318,167,186,13,51,1.27,9
2015-01-16,中度污染,197,318,152,189,24,60,1.51,20
2015-01-17,中度污染,179,339,137,190,29,59,1.31,36
2015-01-18,中度污染,151,326,112,152,58,42,1.08,58
2015-01-19,重度污染,248,364,198,236,50,46,1.48,60
2015-01-20,重度污染,221,360,172,221,74,60,1.54,53
2015-01-21,轻度污染,119,217,63,140,20,44,0.94,43
2015-01-22,良,99,174,69,125,32,47,1.07,36
2015-01-23,中度污染,177,307,134,192,45,68,1.49,21
2015-01-24,重度污染,239,338,188,165,29,65,1.61,5
2015-01-25,重度污染,248,336,197,6,49,57,1.84,22
2015-01-26,严重污染,302,355,251,160,41,61,2.22,14
2015-01-27,严重污染,251,361,204,237,25,46,2.13,14
2015-01-28,良,92,322,67,83,26,34,1.00,24
2015-01-29,中度污染,152,347,115,100,47,43,1.32,30
2015-01-30,重度污染,211,358,161,98,42,61,1.71,16
2015-01-31,重度污染,245,363,197,63,33,45,1.68,37
2015-02-01,中度污染,161,344,121,141,35,46,1.52,28
2015-02-02,重度污染,230,356,181,203,36,56,1.89,8
2015-02-03,重度污染,247,344,196,176,44,57,1.90,22
2015-02-04,重度污染,213,345,164,190,31,62,2.15,29
2015-02-05,轻度污染,127,299,93,143,30,60,1.61,30
2015-02-06,轻度污染,147,329,110,135,46,44,1.28,56
2015-02-07,轻度污染,144,299,106,137,32,46,1.12,46
2015-02-08,轻度污染,113,299,83,134,24,37,1.10,44
2015-02-09,良,85,190,57,99,32,48,0.95,31
2015-02-10,中度污染,155,317,117,151,42,49,1.31,38
2015-02-11,中度污染,180,320,136,152,38,40,1.39,56
2015-02-12,中度污染,169,300,129,175,33,51,1.26,51
2015-02-13,重度污染,220,357,170,223,28,57,1.63,47
2015-02-14,严重污染,273,359,222,256,21,60,1.86,19
2015-02-15,重度污染,215,335,158,228,28,51,1.86,33
2015-02-16,轻度污染,125,237,84,171,27,42,1.51,40
2015-02-17,中度污染,153,303,115,170,29,34,1.54,58
2015-02-18,中度污染,189,361,143,199,19,24,1.66,58
2015-02-19,轻度污染,145,251,110,107,14,16,1.19,56
2015-02-20,轻度污染,123,327,93,25,3,15,1.27,42
2015-02-21,轻度污染,122,304,91,91,17,24,1.54,25
2015-02-22,中度污染,157,302,119,150,9,26,1.93,15
2015-02-23,中度污染,181,355,137,226,14,28,1.98,29
2015-02-24,中度污染,168,345,126,190,21,29,1.91,27
2015-02-25,中度污染,179,343,135,201,31,52,2.29,9
2015-02-26,中度污染,198,360,151,232,25,44,1.94,26
2015-02-27,良,99,336,72,97,8,22,0.95,53
2015-02-28,轻度污染,105,344,78,68,12,28,0.81,39
2015-03-01,轻度污染,105,321,78,98,30,30,1.02,39
2015-03-02,轻度污染,109,302,81,97,34,27,0.96,50
2015-03-03,重度污染,218,353,64,290,14,29,0.79,45
2015-03-04,良,73,276,41,94,13,24,0.75,53
2015-03-05,良,65,210,38,76,13,25,0.73,52
2015-03-06,轻度污染,104,289,77,102,30,38,0.89,47
