日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,82,198,40,112,27,29,1.05,34
2015-01-02,良,84,287,54,111,34,41,1.24,23
2015-01-03,轻度污染,115,186,83,158,29,52,1.70,25
2015-01-04,轻度污染,118,134,88,156,27,49,1.82,62
2015-01-05,轻度污染,143,203,107,170,32,52,2.03,32
2015-01-06,重度污染,227,404,179,231,40,65,3.27,8
2015-01-07,中度污染,170,356,128,191,29,53,2.88,23
2015-01-08,轻度污染,135,282,102,158,21,37,2.41,38
2015-01-09,轻度污染,148,256,112,171,21,46,2.16,40
2015-01-10,轻度污染,145,249,110,172,19,43,1.98,45
2015-01-11,轻度污染,128,233,97,153,23,40,1.67,49
2015-01-12,轻度污染,132,283,100,149,43,39,1.87,48
2015-01-13,轻度污染,107,223,79,116,23,35,1.72,31
2015-01-14,轻度污染,120,243,90,137,10,38,2.05,30
2015-01-15,轻度污染,117,215,88,134,12,37,2.20,32
2015-01-16,轻度污染,150,266,113,171,15,49,2.29,26
2015-01-17,轻度污染,130,255,97,155,20,33,1.96,42
2015-01-18,轻度污染,120,232,90,151,20,38,2.10,43
2015-01-19,轻度污染,128,284,96,157,14,42,1.87,36
2015-01-20,轻度污染,134,294,101,166,18,50,1.94,38
2015-01-21,轻度污染,114,204,82,149,18,37,1.51,38
2015-01-22,良,90,137,62,120,20,35,1.49,41
2015-01-23,良,96,100,71,119,19,33,1.50,47
2015-01-24,轻度污染,110,149,82,141,13,34,1.45,48
2015-01-25,重度污染,209,301,164,260,16,64,3.12,3
2015-01-26,重度污染,225,301,175,247,17,49,3.16,5
2015-01-27,轻度污染,127,306,95,141,7,28,2.40,21
2015-01-28,优,41,90,25,39,2,20,1.38,20
2015-01-29,良,63,186,45,63,7,29,1.49,14
2015-01-30,轻度污染,104,274,77,103,16,32,1.52,18
2015-01-31,轻度污染,104,297,77,106,13,22,1.21,36
2015-02-01,轻度污染,106,256,79,98,10,29,1.45,19
2015-02-02,良,94,187,70,86,16,30,1.48,15
2015-02-03,轻度污染,125,226,94,126,27,45,1.45,12
2015-02-04,中度污染,164,283,125,170,37,36,1.53,36
2015-02-05,重度污染,217,358,169,223,45,45,2.01,35
2015-02-06,中度污染,171,352,130,181,33,38,1.69,51
2015-02-07,轻度污染,140,290,106,161,20,46,1.64,31
2015-02-08,轻度污染,137,327,103,158,26,33,1.53,42
2015-02-09,良,67,119,42,79,17,28,0.97,52
2015-02-10,良,88,142,62,110,24,40,1.30,44
2015-02-11,轻度污染,123,225,92,143,18,38,1.60,48
2015-02-12,轻度污染,118,209,89,143,15,38,1.67,58
2015-02-13,轻度污染,114,223,85,133,14,30,1.60,64
2015-02-14,轻度污染,121,200,91,138,12,24,1.73,60
2015-02-15,良,99,173,73,117,6,22,2.02,28
2015-02-16,良,92,153,64,118,17,24,1.85,46
2015-02-17,轻度污染,129,267,97,179,19,20,1.47,73
2015-02-18,中度污染,158,343,120,190,24,16,1.65,85
2015-02-19,轻度污染,136,237,102,162,24,17,1.23,58
2015-02-20,良,63,188,43,63,6,17,1.27,30
2015-02-21,良,74,201,52,73,9,16,1.28,43
2015-02-22,轻度污染,112,226,84,115,20,21,1.68,36
2015-02-23,轻度污染,108,300,80,118,8,13,1.41,42
2015-02-24,良,93,259,69,96,9,15,1.58,28
2015-02-25,良,76,227,55,78,8,20,1.79,21
2015-02-26,优,50,128,33,50,7,14,1.35,34
2015-02-27,优,42,112,26,41,5,14,1.32,41
2015-02-28,优,32,76,19,30,6,15,0.94,42
2015-03-01,良,61,171,42,62,11,14,1.00,50
2015-03-02,良,85,236,62,90,15,17,1.27,46
2015-03-03,良,97,264,53,133,12,12,1.03,44
2015-03-04,良,83,313,53,111,13,11,1.09,65
2015-03-05,良,61,192,38,67,10,14,1.02,44
2015-03-06,良,81,222,59,90,10,17,0.95,33
2015-03-07,良,89,242,65,99,9,20,1.01,39
2015-03-08,良,94,261,69,106,9,23,1.02,44
2015-03-09,良,99,285,73,109,19,21,1.20,51
2015-03-10,轻度污染,144,339,109,159,18,20,1.02,61
2015-03-11,良,68,173,45,80,16,28,0.84,52
2015-03-12,良,78,186,57,96,11,25,0.79,87
2015-03-13,良,72,162,50,90,10,25,0.94,54
2015-03-14,良,78,142,57,91,15,32,1.25,36
2015-03-15,良,81,142,59,87,9,36,1.49,21
2015-03-16,良,57,72,38,58,12,24,1.40,32
2015-03-17,良,59,107,37,64,14,18,1.36,24
2015-03-18,优,35,36,20,34,9,32,1.43,8
2015-03-19,良,53,76,34,55,14,24,1.23,20
2015-03-20,良,55,93,35,56,7,37,1.22,13
2015-03-21,良,66,129,45,74,8,23,0.88,50
2015-03-22,良,64,97,40,76,9,16,0.74,62
2015-03-23,良,90,296,61,125,35,23,0.91,87
2015-03-24,良,82,249,49,113,19,22,0.74,62
2015-03-25,良,70,198,42,87,19,18,0.67,87
2015-03-26,良,62,159,39,72,12,22,0.82,55
2015-03-27,良,60,134,40,65,12,18,0.84,54
2015-03-28,良,65,105,44,75,7,21,1.01,62
2015-03-29,良,76,138,54,92,7,20,1.21,38
2015-03-30,优,39,20,19,38,10,13,1.29,49
2015-03-31,优,50,71,30,51,7,8,1.09,64
2015-04-01,良,56,138,36,61,9,5,0.84,82
2015-04-02,良,52,121,32,55,6,24,1.27,16
2015-04-03,良,51,91,30,55,14,15,1.24,55
2015-04-04,优,44,48,27,42,5,22,1.42,33
2015-04-05,优,50,109,33,49,11,20,1.42,50
2015-04-06,良,53,164,34,49,11,12,1.04,69
2015-04-07,良,64,261,43,67,9,12,0.83,62
2015-04-08,优,49,122,27,50,7,11,0.54,70
2015-04-09,良,54,119,32,56,9,15,0.63,56
2015-04-10,良,58,128,36,63,10,20,0.70,64
2015-04-11,良,76,201,47,85,16,22,0.82,92
2015-04-12,良,73,207,38,93,11,14,0.61,97
2015-04-13,良,64,170,22,72,19,17,0.54,90
2015-04-14,良,69,141,27,74,11,16,0.61,93
2015-04-15,良,69,77,37,84,8,30,0.90,55
2015-04-16,良,88,153,64,100,16,22,1.05,80
2015-04-17,良,87,144,61,107,24,14,0.92,116
2015-04-18,轻度污染,102,266,76,124,13,22,1.06,97
2015-04-19,优,49,90,32,51,4,18,1.22,55
2015-04-20,优,45,69,26,45,9,18,0.88,61
2015-04-21,良,58,144,36,62,12,15,0.78,62
2015-04-22,良,68,178,43,74,9,16,0.71,78
2015-04-23,良,75,181,47,91,19,20,0.81,83
2015-04-24,良,82,214,60,100,14,16,0.84,79
2015-04-25,良,93,231,68,110,14,17,1.01,83
2015-04-26,良,86,198,57,102,20,17,0.88,96
2015-04-27,良,82,187,60,96,13,12,0.94,96
2015-04-28,良,67,152,41,74,8,12,0.92,76
2015-04-29,良,96,283,66,121,16,14,0.99,108
2015-04-30,良,91,225,62,111,19,12,0.99,130
2015-05-01,良,88,257,65,106,18,16,1.19,87
2015-05-02,优,42,59,23,43,8,11,0.96,57
2015-05-03,良,67,180,40,64,11,12,1.07,89
2015-05-04,良,79,252,57,88,27,17,1.22,83
2015-05-05,良,86,254,62,95,18,14,1.17,87
2015-05-06,良,96,259,71,107,11,16,1.14,84
2015-05-07,良,89,220,65,94,9,10,1.07,76
2015-05-08,良,58,135,37,61,7,10,1.10,69
2015-05-09,良,68,237,42,69,18,7,1.02,90
2015-05-10,良,72,238,50,85,14,9,1.07,85
2015-05-11,良,66,283,32,79,6,8,0.65,80
2015-05-12,良,77,290,33,102,8,12,0.66,63
2015-05-13,良,63,127,30,73,12,9,0.77,73
2015-05-14,优,46,59,22,46,10,9,0.83,61
2015-05-15,优,50,109,31,53,14,15,0.99,51
2015-05-16,良,65,154,38,64,14,9,0.92,96
2015-05-17,良,64,137,45,70,13,12,1.06,79
2015-05-18,良,74,191,53,78,11,13,1.25,53
2015-05-19,良,76,214,53,86,14,11,1.22,66
2015-05-20,轻度污染,105,336,78,126,25,12,1.07,93
2015-05-21,良,94,346,44,100,28,16,0.71,150
2015-05-22,轻度污染,113,351,76,127,21,19,0.91,135
2015-05-23,轻度污染,139,350,105,160,17,24,1.21,80
2015-05-24,轻度污染,130,333,98,146,11,19,1.18,108
2015-05-25,轻度污染,135,324,102,155,17,21,1.32,82
2015-05-26,中度污染,154,341,116,171,19,15,1.48,88
2015-05-27,轻度污染,120,284,90,139,10,16,1.31,42
2015-05-28,轻度污染,134,324,101,145,16,15,1.59,50
