日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,83,206,49,112,23,29,1.27,41
2015-01-02,轻度污染,124,518,93,162,43,57,1.75,11
2015-01-03,轻度污染,147,255,112,185,47,56,2.12,24
2015-01-04,中度污染,191,248,147,235,64,85,3.07,36
2015-01-05,中度污染,184,266,125,213,46,48,2.25,17
2015-01-06,严重污染,262,408,213,302,55,51,2.84,11
2015-01-07,中度污染,186,361,140,208,37,43,2.94,23
2015-01-08,重度污染,240,356,190,287,36,49,3.15,32
2015-01-09,严重污染,268,350,215,317,42,51,2.84,30
2015-01-10,重度污染,235,340,185,257,50,54,2.70,37
2015-01-11,重度污染,215,345,167,242,37,64,2.68,44
2015-01-12,重度污染,201,347,156,231,19,34,1.93,37
2015-01-13,良,93,193,68,112,15,28,1.52,35
2015-01-14,轻度污染,131,259,99,136,18,35,1.84,34
2015-01-15,中度污染,171,285,131,198,20,42,2.02,24
2015-01-16,中度污染,155,269,117,176,20,29,1.82,44
2015-01-17,中度污染,152,300,115,188,38,53,2.21,42
2015-01-18,轻度污染,131,264,98,169,33,29,1.92,63
2015-01-19,中度污染,195,359,147,239,42,60,2.34,36
2015-01-20,中度污染,155,318,117,191,39,60,2.49,34
2015-01-21,中度污染,160,318,116,203,30,39,2.04,43
2015-01-22,轻度污染,114,218,86,144,33,38,2.05,52
2015-01-23,轻度污染,122,185,92,159,45,56,2.24,31
2015-01-24,中度污染,172,256,114,237,42,55,2.33,32
2015-01-25,重度污染,244,332,193,283,27,40,1.82,30
2015-01-26,严重污染,294,352,243,316,32,37,2.13,28
2015-01-27,中度污染,151,336,115,164,15,20,1.36,34
2015-01-28,良,52,166,34,51,6,17,0.67,33
2015-01-29,良,89,271,65,89,17,17,0.96,37
2015-01-30,轻度污染,117,305,88,123,25,19,1.05,42
2015-01-31,中度污染,164,351,124,168,27,16,1.17,46
2015-02-01,中度污染,152,335,115,159,20,12,1.42,22
2015-02-02,轻度污染,140,282,106,152,18,21,1.43,20
2015-02-03,中度污染,168,283,127,172,13,18,1.42,37
2015-02-04,重度污染,207,340,158,217,41,41,1.80,38
2015-02-05,中度污染,195,351,150,214,54,44,2.09,37
2015-02-06,中度污染,160,344,120,178,39,57,1.95,41
2015-02-07,重度污染,207,360,158,235,47,74,2.07,19
2015-02-08,中度污染,154,343,116,180,38,33,1.50,43
2015-02-09,良,81,172,54,98,18,38,1.28,41
2015-02-10,轻度污染,116,233,87,133,29,47,1.42,40
2015-02-11,重度污染,201,350,152,222,30,29,1.68,55
2015-02-12,重度污染,215,347,167,243,29,55,2.41,46
2015-02-13,中度污染,171,304,129,216,46,51,2.25,55
2015-02-14,中度污染,179,294,133,259,25,48,2.17,45
2015-02-15,中度污染,171,294,130,183,12,31,2.16,41
2015-02-16,重度污染,240,363,191,270,20,39,2.79,25
2015-02-17,重度污染,210,359,165,253,30,33,2.33,70
2015-02-18,中度污染,175,358,132,210,20,17,1.72,70
2015-02-19,轻度污染,137,238,103,152,23,12,1.23,53
2015-02-20,良,67,201,48,65,1,11,1.33,40
2015-02-21,轻度污染,111,290,83,108,10,15,1.46,47
2015-02-22,中度污染,165,314,126,180,5,17,1.83,31
2015-02-23,中度污染,189,356,143,214,6,16,1.92,36
2015-02-24,轻度污染,130,321,98,154,8,20,1.88,35
2015-02-25,轻度污染,125,310,93,150,5,20,1.89,26
2015-02-26,良,94,281,69,109,8,22,1.90,24
2015-02-27,良,85,318,62,98,1,12,1.59,46
2015-02-28,优,46,167,29,46,1,11,1.28,54
2015-03-01,良,76,245,55,84,11,19,1.57,55
2015-03-02,轻度污染,101,283,75,113,17,29,1.89,47
2015-03-03,轻度污染,120,316,67,162,16,16,1.59,59
2015-03-04,良,70,261,41,88,10,17,1.48,57
2015-03-05,良,67,218,47,54,7,13,1.24,58
2015-03-06,轻度污染,112,299,84,124,8,15,1.40,63
2015-03-07,轻度污染,120,318,90,137,18,30,1.93,48
2015-03-08,轻度污染,112,303,84,139,19,32,2.08,40
