日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,93,248,60,132,38,39,0.91,31
2015-01-02,轻度污染,107,439,78,155,48,52,1.21,25
2015-01-03,轻度污染,129,212,96,173,45,50,1.25,35
2015-01-04,中度污染,176,228,134,243,71,70,3.21,62
2015-01-05,严重污染,257,326,209,287,52,72,2.21,7
2015-01-06,严重污染,263,409,219,263,61,70,2.17,10
2015-01-07,轻度污染,143,339,108,166,29,49,1.48,28
2015-01-08,轻度污染,121,255,91,129,16,36,1.11,44
2015-01-09,轻度污染,123,215,92,133,19,45,1.32,48
2015-01-10,轻度污染,122,200,91,132,17,35,1.05,52
2015-01-11,中度污染,168,290,126,167,29,41,1.05,67
2015-01-12,重度污染,228,355,185,253,22,51,1.49,23
2015-01-13,轻度污染,101,214,75,106,12,32,0.59,26
2015-01-14,轻度污染,115,234,87,120,16,37,0.69,31
2015-01-15,轻度污染,129,235,97,147,13,36,0.92,20
2015-01-16,轻度污染,139,242,104,161,21,34,1.07,33
2015-01-17,中度污染,172,331,130,202,41,47,1.17,39
2015-01-18,轻度污染,117,223,85,139,20,34,1.03,49
2015-01-19,良,96,190,70,118,23,34,0.90,55
2015-01-20,轻度污染,109,234,81,124,36,41,1.19,59
2015-01-21,轻度污染,116,211,81,149,42,39,0.90,42
2015-01-22,轻度污染,121,235,89,165,46,63,1.10,37
2015-01-23,轻度污染,116,161,87,139,30,93,1.28,46
2015-01-24,重度污染,207,303,162,250,34,119,1.65,11
2015-01-25,严重污染,258,350,207,262,38,108,2.01,23
2015-01-26,严重污染,273,341,222,304,37,97,2.08,30
2015-01-27,中度污染,160,343,122,191,23,56,1.07,33
2015-01-28,良,70,257,50,72,13,25,0.54,41
2015-01-29,轻度污染,115,322,86,116,23,37,0.87,41
2015-01-30,轻度污染,141,335,106,140,21,43,1.07,46
2015-01-31,中度污染,153,346,115,160,32,57,0.96,34
2015-02-01,轻度污染,115,274,86,128,35,56,0.94,20
2015-02-02,轻度污染,119,247,88,160,44,58,1.26,27
2015-02-03,中度污染,166,281,127,197,55,52,1.39,51
2015-02-04,中度污染,180,304,138,209,56,54,1.69,35
2015-02-05,中度污染,153,333,116,187,37,48,1.50,33
2015-02-06,轻度污染,107,237,80,122,29,48,0.88,61
2015-02-07,轻度污染,127,267,96,152,54,66,1.08,52
2015-02-08,良,90,248,54,120,25,37,0.60,49
2015-02-09,良,86,198,54,115,23,57,0.70,40
2015-02-10,轻度污染,104,202,78,122,29,53,0.89,63
2015-02-11,中度污染,161,290,114,200,49,45,0.96,77
2015-02-12,轻度污染,121,214,81,170,23,49,0.95,72
2015-02-13,中度污染,184,333,140,246,30,81,1.48,62
2015-02-14,中度污染,162,272,122,204,25,66,1.43,44
2015-02-15,轻度污染,134,254,102,153,25,38,1.21,61
2015-02-16,中度污染,191,339,144,246,23,37,1.52,57
2015-02-17,轻度污染,111,233,76,165,22,32,0.95,67
2015-02-18,中度污染,154,335,117,217,31,18,0.86,71
2015-02-19,良,89,137,65,103,27,8,0.38,69
2015-02-20,良,70,220,48,79,10,13,0.62,34
2015-02-21,轻度污染,104,276,78,125,17,25,0.83,32
2015-02-22,中度污染,162,306,121,212,13,25,1.17,23
2015-02-23,轻度污染,141,340,107,201,12,23,1.10,47
2015-02-24,良,84,229,59,106,12,17,0.72,60
2015-02-25,良,92,262,66,125,23,27,0.90,38
2015-02-26,轻度污染,121,331,91,166,20,24,0.90,53
2015-02-27,良,73,287,52,82,16,18,0.36,75
2015-02-28,良,76,283,55,69,10,19,0.45,55
2015-03-01,良,71,224,48,75,11,18,0.46,58
2015-03-02,良,76,193,53,84,18,18,0.38,88
2015-03-03,轻度污染,117,313,58,155,24,19,0.51,70
2015-03-04,良,71,262,37,89,18,23,0.52,57
2015-03-05,良,81,277,52,101,25,24,0.50,51
2015-03-06,轻度污染,103,288,74,128,23,31,0.66,64
2015-03-07,良,85,224,61,110,21,27,0.67,86
2015-03-08,良,89,245,63,124,22,44,0.87,62
2015-03-09,轻度污染,145,342,109,205,24,47,1.12,37
2015-03-10,良,86,270,55,113,24,28,0.66,56
2015-03-11,良,85,247,55,105,17,33,0.67,69
2015-03-12,轻度污染,115,295,86,121,25,19,0.63,110
2015-03-13,良,92,221,68,94,17,29,0.69,85
2015-03-14,重度污染,241,358,190,265,22,53,1.35,39
2015-03-15,重度污染,220,349,170,242,15,44,1.39,22
2015-03-16,中度污染,153,309,115,158,13,30,1.06,57
2015-03-17,轻度污染,114,289,85,113,15,42,1.25,22
2015-03-18,良,91,282,67,81,10,29,1.05,42
2015-03-19,轻度污染,103,280,76,103,17,29,0.95,41
2015-03-20,良,92,233,68,90,11,26,0.84,56
2015-03-21,良,78,182,51,97,18,33,0.89,63
2015-03-22,良,94,216,63,131,24,34,0.93,76
2015-03-23,轻度污染,109,327,65,165,21,26,0.67,53
2015-03-24,良,87,271,59,121,25,35,0.71,50
2015-03-25,良,78,236,46,105,26,37,0.58,67
2015-03-26,良,78,227,54,87,16,30,0.58,59
2015-03-27,良,94,259,69,99,20,29,0.71,76
2015-03-28,良,93,217,66,95,18,18,0.60,111
2015-03-29,轻度污染,117,253,86,142,24,32,0.95,75
2015-03-30,良,79,189,57,80,21,25,0.88,58
2015-03-31,良,79,206,56,91,19,22,0.92,53
2015-04-01,良,67,202,48,59,12,22,0.84,21
2015-04-02,良,55,143,39,54,19,32,0.93,43
2015-04-03,良,99,316,72,110,19,34,0.93,59
2015-04-04,轻度污染,120,315,90,111,12,26,1.01,55
2015-04-05,轻度污染,135,315,102,124,14,28,0.92,62
2015-04-06,中度污染,154,344,117,148,18,28,0.89,58
2015-04-07,良,86,320,63,97,18,27,0.57,41
2015-04-08,良,63,217,39,71,18,25,0.43,65
2015-04-09,良,65,197,42,67,17,31,0.56,66
2015-04-10,良,81,243,58,91,25,31,0.65,75
