日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,优,30,4,10,27,45,20,0.77,35
2015-01-02,优,36,15,17,34,71,32,0.82,24
2015-01-03,良,65,46,43,73,104,50,1.11,25
2015-01-04,良,95,85,70,110,89,50,1.44,59
2015-01-05,轻度污染,104,140,78,136,84,70,1.61,17
2015-01-06,良,100,269,74,108,35,39,1.42,24
2015-01-07,良,59,87,41,62,37,51,1.95,20
2015-01-08,良,76,127,54,96,40,35,1.55,25
2015-01-09,良,98,163,72,132,60,45,1.54,25
2015-01-10,轻度污染,119,195,89,150,61,48,1.42,29
2015-01-11,轻度污染,105,180,78,141,82,61,1.38,19
2015-01-12,良,95,202,70,125,48,44,1.06,17
2015-01-13,良,64,132,45,72,27,29,1.01,19
2015-01-14,良,59,104,38,64,44,32,0.77,22
2015-01-15,良,58,65,37,64,44,36,0.96,25
2015-01-16,良,58,47,35,64,43,38,1.30,26
2015-01-17,良,78,112,54,99,53,34,1.31,51
2015-01-18,良,94,150,67,135,76,58,1.51,21
2015-01-19,良,89,157,62,122,48,40,1.33,37
2015-01-20,良,98,182,69,141,97,65,1.66,12
2015-01-21,良,80,117,58,96,55,43,1.38,30
2015-01-22,良,69,61,44,86,63,35,0.99,44
2015-01-23,良,78,54,55,103,71,52,1.32,33
2015-01-24,轻度污染,109,148,81,154,98,70,1.91,13
2015-01-25,轻度污染,113,147,84,132,53,58,1.46,10
2015-01-26,轻度污染,129,184,97,151,48,52,1.83,18
2015-01-27,良,87,209,64,90,23,46,1.80,9
2015-01-28,优,21,4,12,20,15,27,0.94,11
2015-01-29,优,19,5,9,17,10,27,0.87,12
2015-01-30,优,31,15,17,30,23,29,0.93,12
2015-01-31,良,59,120,39,63,27,27,1.23,22
2015-02-01,良,70,155,50,85,30,33,0.94,16
2015-02-02,良,51,37,33,54,28,42,1.08,9
2015-02-03,优,37,14,22,36,26,31,0.98,12
2015-02-04,良,65,108,44,77,32,34,1.17,14
2015-02-05,良,65,119,43,70,46,32,1.58,35
2015-02-06,良,57,40,38,62,40,38,1.05,44
2015-02-07,良,70,88,47,88,52,52,1.32,24
2015-02-08,良,76,184,53,92,40,39,1.33,38
2015-02-09,良,53,48,27,56,36,26,0.81,48
2015-02-10,良,67,78,40,79,62,53,1.62,33
2015-02-11,良,73,83,50,91,54,41,1.35,48
2015-02-12,良,78,122,55,92,53,43,1.49,49
2015-02-13,良,81,135,52,109,35,48,1.60,41
2015-02-14,良,94,122,64,128,36,54,1.60,21
2015-02-15,良,61,58,40,70,31,32,1.33,40
2015-02-16,良,74,92,53,83,33,25,1.17,61
2015-02-17,良,92,184,67,114,42,29,1.41,70
2015-02-18,轻度污染,101,235,75,114,35,22,1.29,66
2015-02-19,良,94,154,69,113,42,18,1.02,52
2015-02-20,良,74,230,52,88,22,15,0.83,31
2015-02-21,优,29,10,19,25,15,15,1.26,18
2015-02-22,优,41,46,26,40,20,17,0.90,34
2015-02-23,良,51,94,33,52,17,15,1.11,46
2015-02-24,良,54,106,35,56,25,22,1.27,29
2015-02-25,优,44,88,26,44,18,17,1.25,28
2015-02-26,优,25,8,14,22,21,16,1.00,23
2015-02-27,优,19,3,10,17,17,11,0.86,28
2015-02-28,优,22,13,8,17,19,11,0.67,34
2015-03-01,优,31,40,16,30,16,11,0.57,33
2015-03-02,良,51,71,31,51,25,13,0.72,25
2015-03-03,优,39,27,24,39,15,15,0.81,23
2015-03-04,良,73,275,46,94,22,17,0.86,39
2015-03-05,优,41,77,25,42,15,15,0.76,28
2015-03-06,优,42,75,25,41,20,15,0.58,31
2015-03-07,良,57,108,38,60,32,21,0.78,15
2015-03-08,优,42,50,26,41,17,21,0.87,12
2015-03-09,良,57,119,38,64,26,27,1.11,26
2015-03-10,良,72,231,49,91,23,24,0.70,40
2015-03-11,良,70,181,49,86,26,27,0.87,32
2015-03-12,良,65,123,41,77,37,22,1.18,60
2015-03-13,良,64,127,39,76,30,32,1.08,27
2015-03-14,良,58,69,39,58,16,31,1.00,24
2015-03-15,优,50,40,32,52,20,29,1.23,16
2015-03-16,良,66,110,44,69,23,31,1.37,17
2015-03-17,良,80,204,52,100,64,33,1.43,24
2015-03-18,优,48,87,29,50,49,27,1.18,23
2015-03-19,优,35,18,19,34,22,24,1.16,17
2015-03-20,优,44,48,24,43,28,24,1.15,18
2015-03-21,优,37,8,22,36,16,25,1.08,18
2015-03-22,良,57,53,35,59,37,29,1.14,27
2015-03-23,优,50,55,33,53,23,24,0.75,56
2015-03-24,良,71,209,46,88,52,30,0.82,53
2015-03-25,良,65,168,38,77,54,30,0.65,62
2015-03-26,良,67,181,44,83,61,37,0.69,33
2015-03-27,良,53,84,33,55,31,26,0.62,51
2015-03-28,良,62,93,42,70,38,32,1.08,37
2015-03-29,良,77,139,56,97,49,35,1.03,28
2015-03-30,良,60,101,41,66,35,25,1.09,48
2015-03-31,良,59,124,36,63,46,22,1.25,50
2015-04-01,良,52,105,31,52,52,20,1.13,56
2015-04-02,良,58,162,34,63,57,21,1.42,59
2015-04-03,良,61,143,39,69,63,27,1.26,45
2015-04-04,良,64,157,40,78,43,27,0.89,35
2015-04-05,良,58,143,34,65,28,19,0.96,36
2015-04-06,优,43,91,26,43,24,18,0.89,44
2015-04-07,优,29,15,12,21,11,13,0.61,55
2015-04-08,优,42,77,24,41,30,17,0.45,50
2015-04-09,优,49,88,30,49,37,24,0.62,34
2015-04-10,良,51,86,33,52,28,23,0.81,43
