日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,中度污染,164,72,122,192,127,65,6.62,16
2013-10-29,中度污染,200,87,154,207,67,105,6.84,14
2013-10-30,轻度污染,141,86,38,62,14,47,2.43,4
2013-10-31,轻度污染,132,75,0,110,87,24,1.72,16
2013-11-01,轻度污染,129,75,46,98,62,54,2.57,15
2013-11-02,良,83,29,43,89,66,28,1.95,39
2013-11-03,良,53,11,15,53,82,23,0.71,50
2013-11-04,良,83,46,23,91,157,31,1.25,36
2013-11-05,良,75,33,33,87,66,28,0.99,43
2013-11-06,良,94,37,41,99,77,22,5.51,24
2013-11-07,轻度污染,102,58,24,69,97,35,13.55,20
2013-11-08,良,98,48,54,148,121,63,8.58,18
2013-11-09,轻度污染,107,58,68,147,112,68,2.02,17
2013-11-10,良,65,46,13,41,61,28,0.55,24
2013-11-11,优,43,11,21,59,99,44,0.97,22
2013-11-12,良,80,70,50,133,128,52,1.67,20
2013-11-13,良,92,66,64,146,129,45,1.63,20
2013-11-14,良,83,50,28,106,51,12,0.40,31
2013-11-15,良,86,38,51,141,141,22,0.88,25
2013-11-16,良,88,27,29,97,63,11,0.50,30
2013-11-17,良,53,6,16,47,58,22,0.70,20
2013-11-18,良,52,18,27,63,135,34,1.00,21
2013-11-19,良,80,35,62,171,175,47,1.85,18
2013-11-20,轻度污染,114,49,101,223,203,56,2.34,15
2013-11-21,轻度污染,131,54,99,195,178,67,2.21,14
2013-11-22,轻度污染,116,48,83,168,191,59,2.10,19
2013-11-23,轻度污染,145,61,143,227,314,76,2.48,14
2013-11-24,轻度污染,132,57,39,123,44,20,0.61,22
2013-11-25,良,74,42,15,57,40,20,0.51,24
2013-11-26,良,55,12,24,65,97,26,0.83,21
2013-11-27,优,48,8,6,44,19,11,0.27,27
2013-11-28,优,50,13,11,51,45,17,0.38,25
2013-11-29,良,58,30,28,60,183,35,0.85,20
2013-11-30,良,67,27,40,86,220,45,1.34,13
2013-12-01,良,67,19,34,80,228,45,1.20,13
2013-12-02,良,84,28,52,119,249,54,1.68,15
2013-12-03,良,86,18,62,119,212,54,1.76,22
2013-12-04,良,84,13,62,122,227,50,1.71,29
2013-12-05,良,97,34,86,165,234,62,2.23,23
2013-12-06,良,89,28,50,93,192,44,1.42,32
2013-12-07,良,81,12,69,133,253,60,2.20,25
2013-12-08,轻度污染,109,16,81,145,213,50,2.06,21
2013-12-09,良,74,13,11,49,66,17,0.50,40
2013-12-10,良,66,13,25,71,165,18,0.88,29
2013-12-11,良,59,10,11,58,61,16,0.52,36
2013-12-12,良,57,11,31,61,103,28,1.07,34
2013-12-13,良,64,18,44,77,109,36,1.38,30
2013-12-14,良,62,8,44,80,127,38,1.27,29
2013-12-15,良,63,19,44,87,114,37,1.40,30
2013-12-16,良,98,49,116,180,136,49,2.68,22
2013-12-17,中度污染,181,87,175,210,95,60,3.44,18
2013-12-18,轻度污染,143,85,68,87,80,34,1.91,26
2013-12-19,严重污染,274,106,356,97,128,33,1.43,26
2013-12-20,中度污染,200,78,77,116,118,38,1.51,28
2013-12-21,轻度污染,114,48,101,168,160,59,2.40,25
2013-12-22,轻度污染,146,69,119,215,185,64,4.90,23
2013-12-23,中度污染,160,55,117,169,143,53,2.92,28
2013-12-24,轻度污染,133,41,99,175,172,59,3.33,21
2013-12-25,严重污染,322,93,633,181,167,46,3.12,29
2013-12-26,严重污染,334,102,52,37,27,9,0.39,38
2013-12-27,中度污染,183,106,171,49,97,18,0.96,24
2013-12-28,重度污染,207,112,149,47,77,17,0.74,29
2013-12-29,重度污染,201,113,100,60,71,13,0.88,28
2013-12-30,轻度污染,135,82,31,88,36,13,0.74,38
2013-12-31,良,78,11,33,98,23,12,0.61,51
2014-01-01,良,66,7,36,69,54,22,0.97,42
2014-01-02,良,66,9,53,97,123,37,2.13,30
2014-01-03,良,81,31,54,85,98,38,1.17,32
2014-01-04,轻度污染,101,61,74,106,120,32,1.55,21
2014-01-05,良,82,16,54,105,156,46,1.40,19
2014-01-06,中度污染,165,92,110,245,194,72,2.31,16
2014-01-07,重度污染,242,162,123,354,258,68,2.81,16
2014-01-08,轻度污染,135,161,75,195,92,33,2.07,22
2014-01-09,良,86,123,28,122,141,35,1.38,18
2014-01-10,轻度污染,109,101,44,166,208,42,1.59,16
2014-01-11,轻度污染,103,75,53,148,207,45,1.50,16
2014-01-12,良,74,52,27,98,95,33,1.13,19
2014-01-13,轻度污染,105,101,36,159,189,44,1.62,16
2014-01-14,轻度污染,131,109,53,209,178,47,2.35,15
2014-01-15,轻度污染,146,101,71,241,258,59,2.85,12
2014-01-16,中度污染,172,115,127,215,227,58,2.40,15
2014-01-17,轻度污染,127,56,79,191,200,34,2.08,18
2014-01-18,良,94,32,40,135,182,48,1.92,17
2014-01-19,中度污染,182,104,126,245,103,33,2.31,27
2014-01-20,良,64,21,13,78,31,14,1.39,31
2014-01-21,良,72,52,23,90,117,37,1.38,19
2014-01-22,良,96,81,60,136,168,46,1.96,19
2014-01-24,重度污染,204,151,153,222,175,53,2.83,19
2014-01-25,良,98,67,52,137,119,43,1.51,21
2014-01-26,轻度污染,139,149,89,226,186,64,2.63,16
2014-01-27,轻度污染,141,141,96,221,155,45,1.95,17
2014-01-28,轻度污染,117,117,66,182,150,51,1.81,16
2014-01-29,轻度污染,130,130,77,210,134,38,1.83,23
2014-01-30,轻度污染,114,67,80,168,123,37,1.47,22
