日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,87,28,65,107,26,48,0.98,69
2013-10-29,良,67,26,47,63,16,23,0.86,76
2013-10-30,优,40,5,22,39,15,27,0.67,52
2013-10-31,良,66,29,46,78,22,45,1.10,49
2013-11-01,良,84,46,57,83,26,44,1.02,49
2013-11-02,良,96,45,68,89,18,41,1.02,52
2013-11-03,轻度污染,110,59,82,107,34,34,1.35,65
2013-11-04,优,43,6,19,40,15,27,0.53,55
2013-11-05,良,54,10,28,60,23,43,0.62,41
2013-11-06,良,66,11,66,94,31,46,0.84,63
2013-11-07,良,72,15,22,41,21,32,0.13,38
2013-11-08,良,53,10,26,53,17,42,0.59,32
2013-11-09,优,49,4,24,37,9,31,0.59,61
2013-11-10,优,35,2,15,35,24,27,0.42,44
2013-11-11,优,37,4,16,38,19,31,0.48,50
2013-11-12,良,52,36,26,57,29,45,0.67,27
2013-11-13,良,60,39,34,66,23,52,0.83,22
2013-11-14,良,68,38,64,108,44,59,0.99,32
2013-11-15,良,92,44,67,130,48,66,1.00,30
2013-11-16,轻度污染,114,44,97,197,58,64,1.15,31
2013-11-17,良,83,42,18,38,18,15,0.38,46
2013-11-18,优,39,10,13,28,16,16,0.34,46
2013-11-19,优,34,6,15,34,21,21,0.46,42
2013-11-20,优,42,3,31,62,40,56,1.05,20
2013-11-21,良,61,12,39,77,34,56,1.18,20
2013-11-22,良,74,19,76,130,53,76,1.59,20
2013-11-23,轻度污染,146,64,122,172,46,71,1.57,33
2013-11-24,中度污染,152,66,74,94,28,48,1.32,39
2013-11-25,优,49,4,18,36,23,25,0.60,38
2013-11-26,优,49,8,35,71,53,52,1.01,20
2013-11-27,良,60,18,17,54,41,26,0.64,45
2013-11-28,优,44,8,18,43,45,31,0.68,35
2013-11-29,良,55,22,41,76,50,57,1.06,24
2013-11-30,良,82,48,65,114,73,61,1.30,25
2013-12-01,良,67,20,32,65,44,45,0.85,44
2013-12-02,良,82,26,100,139,82,73,1.47,28
2013-12-03,重度污染,226,78,306,298,98,127,1.85,14
2013-12-04,严重污染,363,109,261,228,99,146,1.51,13
2013-12-05,严重污染,270,87,126,157,59,80,1.32,22
2013-12-06,良,76,20,39,62,46,76,0.87,18
2013-12-07,良,95,19,133,153,73,95,1.49,22
2013-12-08,重度污染,236,67,158,159,35,68,1.43,35
2013-12-09,中度污染,167,50,85,113,44,41,0.81,35
2013-12-10,良,51,5,33,60,48,55,0.70,39
2013-12-11,良,52,6,23,38,29,36,0.58,38
2013-12-12,良,54,10,41,71,54,53,0.79,30
2013-12-13,良,52,10,20,48,38,49,0.57,42
2013-12-14,良,64,10,57,97,92,90,1.15,18
2013-12-15,良,78,28,53,80,43,75,1.27,23
2013-12-16,良,78,34,64,91,42,69,1.44,15
2013-12-17,良,91,57,63,89,42,62,1.32,24
2013-12-18,良,61,45,26,35,28,27,0.52,41
2013-12-19,优,31,6,20,27,25,25,0.49,44
2013-12-20,优,44,6,37,31,19,20,0.44,49
2013-12-21,优,39,2,15,27,27,28,0.50,45
2013-12-22,优,43,2,44,66,39,57,1.06,31
2013-12-23,轻度污染,119,30,115,138,99,88,1.29,26
2013-12-24,轻度污染,105,25,61,50,35,43,0.23,37
2013-12-25,良,91,13,75,91,59,67,0.54,15
2013-12-26,中度污染,151,44,96,110,50,44,0.74,37
2013-12-27,优,40,3,19,32,26,31,0.56,45
2013-12-28,优,44,4,34,49,51,51,0.77,33
2013-12-29,良,58,8,54,87,83,66,0.99,27
2013-12-30,轻度污染,106,37,78,127,99,76,1.31,20
2013-12-31,轻度污染,106,60,82,162,107,77,1.46,18
2014-01-01,轻度污染,108,62,68,152,79,64,1.28,25
2014-01-02,轻度污染,107,52,79,124,51,59,1.59,26
2014-01-03,良,90,43,65,94,38,46,1.15,28
2014-01-04,优,34,3,22,30,27,33,0.71,36
2014-01-05,轻度污染,121,53,90,113,63,66,1.51,12
2014-01-06,中度污染,200,132,153,169,59,72,2.02,12
2014-01-07,重度污染,203,147,157,163,52,67,2.13,15
2014-01-08,优,38,7,25,31,20,19,0.57,53
2014-01-09,优,49,13,30,50,38,41,0.77,41
2014-01-10,良,97,81,72,93,78,59,1.32,22
2014-01-11,中度污染,197,147,153,178,93,70,1.86,18
2014-01-12,轻度污染,117,106,93,115,57,53,1.08,42
2014-01-13,良,64,41,43,66,46,61,1.01,30
2014-01-14,轻度污染,125,103,94,111,59,73,1.67,16
2014-01-15,严重污染,251,147,202,233,97,82,2.19,16
2014-01-16,严重污染,253,156,204,241,108,80,1.87,23
2014-01-17,重度污染,219,140,173,182,65,63,1.80,14
2014-01-18,轻度污染,120,64,90,100,56,51,1.15,23
2014-01-19,轻度污染,106,34,79,93,46,53,1.18,19
2014-01-20,轻度污染,114,70,86,111,44,38,0.86,35
2014-01-21,优,37,5,23,34,30,31,0.46,45
2014-01-22,良,74,26,54,70,69,58,1.23,27
2014-01-24,良,93,61,69,55,44,54,0.99,29
2014-01-25,良,66,32,42,40,23,27,0.67,49
2014-01-26,优,39,3,18,38,29,28,0.59,49
2014-01-27,优,45,16,23,45,26,30,0.69,46
2014-01-28,优,43,9,23,40,22,26,0.62,52
2014-01-29,优,44,9,26,42,24,23,0.63,64
2014-01-30,轻度污染,138,80,104,141,48,35,1.19,42
2014-01-31,良,94,23,69,86,30,18,0.70,52
2014-02-01,良,52,16,36,45,14,33,0.76,28
2014-02-02,良,83,46,58,72,32,34,1.21,37
2014-02-03,优,38,9,14,34,18,13,0.52,61
2014-02-04,优,37,10,19,31,24,21,0.65,51
2014-02-05,优,30,7,15,24,28,20,0.58,57
2014-02-06,优,37,59,22,32,28,19,0.64,65
2014-02-07,良,52,90,37,47,32,26,0.77,52
2014-02-08,优,41,31,25,38,26,21,0.58,64
