日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,中度污染,183,172,112,161,78,51,2.56,28
2014-01-01,中度污染,156,148,132,172,60,39,2.80,26
2014-01-02,重度污染,241,185,209,275,74,51,2.86,15
2014-01-03,严重污染,259,174,213,272,58,40,1.91,23
2014-01-04,严重污染,291,190,241,314,87,51,1.61,22
2014-01-05,严重污染,287,182,237,313,60,57,1.74,19
2014-01-06,严重污染,280,176,230,300,71,57,1.76,11
2014-01-07,严重污染,281,175,231,257,57,35,1.67,9
2014-01-08,重度污染,230,188,181,209,55,28,1.80,12
2014-01-09,重度污染,201,184,155,198,67,33,1.89,16
2014-01-10,重度污染,216,168,166,202,74,38,1.96,16
2014-01-11,轻度污染,130,111,98,116,36,28,1.93,24
2014-01-12,轻度污染,136,130,102,141,33,28,1.88,20
2014-01-13,中度污染,161,163,122,179,60,35,2.02,14
2014-01-14,重度污染,248,178,199,254,48,36,2.03,21
2014-01-15,严重污染,332,180,283,344,56,37,1.99,28
2014-01-16,严重污染,319,178,271,339,110,43,2.11,18
2014-01-17,严重污染,318,176,268,339,75,39,2.28,19
2014-01-18,严重污染,305,176,255,324,81,41,2.27,19
2014-01-19,严重污染,313,174,263,342,81,44,2.40,16
2014-01-20,重度污染,213,170,170,245,67,37,2.06,21
2014-01-21,轻度污染,136,170,101,170,53,33,1.68,23
2014-01-22,中度污染,189,179,146,213,67,38,1.68,24
2014-01-24,严重污染,291,183,241,297,87,48,2.64,22
2014-01-25,严重污染,303,188,253,317,131,49,2.45,25
2014-01-26,严重污染,278,182,227,284,119,44,2.39,26
2014-01-27,严重污染,331,183,285,334,95,40,2.33,29
2014-01-28,严重污染,387,189,341,377,74,37,2.41,19
2014-01-29,严重污染,282,178,234,272,109,26,2.03,30
2014-01-30,严重污染,286,171,245,324,100,22,2.17,26
2014-01-31,严重污染,411,182,374,465,126,25,2.31,22
2014-02-01,严重污染,291,176,240,302,73,18,2.19,30
2014-02-02,严重污染,301,177,251,312,78,21,2.37,31
2014-02-03,重度污染,231,186,180,235,48,17,2.38,30
2014-02-04,轻度污染,128,173,96,125,45,12,2.09,42
2014-02-05,良,57,112,41,47,37,10,1.77,34
2014-02-06,良,94,149,70,75,65,14,1.85,24
2014-02-07,优,41,60,28,34,48,12,1.79,38
2014-02-08,良,97,147,72,78,61,16,1.84,38
2014-02-09,轻度污染,125,186,94,101,61,15,2.09,64
2014-02-10,轻度污染,130,184,98,108,59,15,1.95,56
2014-02-11,中度污染,184,183,139,152,90,21,2.03,46
2014-02-12,中度污染,177,164,134,146,59,19,1.94,55
2014-02-13,中度污染,173,167,131,150,70,19,1.86,65
2014-02-14,重度污染,246,176,195,218,81,26,1.99,52
2014-02-15,严重污染,273,176,223,245,99,32,2.07,31
2014-02-16,严重污染,275,177,224,259,88,33,2.11,18
2014-02-17,严重污染,257,186,206,241,83,30,2.00,19
2014-02-18,轻度污染,123,172,92,101,52,20,1.75,38
2014-02-19,轻度污染,133,157,101,118,90,26,1.70,42
2014-02-20,中度污染,179,156,138,165,45,28,1.83,28
2014-02-21,中度污染,168,130,127,177,114,36,1.79,50
2014-02-22,中度污染,183,148,140,202,116,41,1.89,23
2014-02-23,重度污染,234,162,184,256,138,47,2.00,17
2014-02-24,中度污染,190,142,144,163,47,32,1.95,17
2014-02-25,轻度污染,140,102,106,129,79,28,1.92,21
2014-02-26,中度污染,176,149,134,176,88,31,1.79,23
2014-02-27,中度污染,172,182,131,162,47,27,1.69,13
2014-02-28,良,72,113,52,62,60,21,1.64,14
2014-03-01,轻度污染,119,161,90,109,91,26,1.60,19
2014-03-02,中度污染,180,163,139,179,143,30,1.68,14
2014-03-03,严重污染,258,186,208,264,126,30,1.67,16
2014-03-04,中度污染,195,186,149,201,74,31,1.54,24
2014-03-05,重度污染,201,190,154,220,75,45,1.73,17
2014-03-06,轻度污染,136,176,102,124,40,34,1.84,23
2014-03-07,轻度污染,109,152,82,107,61,29,2.03,25
2014-03-08,轻度污染,115,141,86,122,69,27,1.95,49
2014-03-09,轻度污染,128,147,97,143,58,31,1.99,41
2014-03-10,轻度污染,138,134,104,153,75,33,2.06,43
2014-03-11,中度污染,192,177,149,205,62,38,2.10,27
2014-03-12,重度污染,211,189,161,239,55,37,1.91,26
2014-03-13,轻度污染,141,185,107,171,68,34,1.52,37
2014-03-14,轻度污染,132,178,95,165,55,36,1.09,37
2014-03-15,良,98,86,71,139,59,33,0.90,39
2014-03-16,轻度污染,127,140,96,167,82,37,0.97,34
2014-03-17,轻度污染,139,116,105,166,58,36,0.99,48
2014-03-18,中度污染,173,128,131,201,67,49,1.17,26
2014-03-19,重度污染,218,187,156,307,106,48,1.20,25
2014-03-20,轻度污染,119,185,81,182,40,35,0.99,43
2014-03-21,良,92,152,67,123,65,44,0.99,44
2014-03-22,轻度污染,131,173,99,157,82,51,1.14,47
2014-03-23,中度污染,156,173,118,167,74,45,1.22,46
