日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,69,136,42,86,33,30,0.49,47
2015-01-02,良,89,330,65,94,50,35,0.79,37
2015-01-03,轻度污染,113,181,85,118,62,45,0.83,43
2015-01-04,轻度污染,108,114,80,124,69,44,1.10,81
2015-01-05,轻度污染,137,188,103,143,128,61,1.11,32
2015-01-06,轻度污染,142,343,107,43,26,43,1.35,21
2015-01-07,良,52,56,36,39,22,31,0.92,30
2015-01-08,良,75,122,54,79,37,33,1.03,26
2015-01-09,轻度污染,103,178,77,106,58,38,1.08,37
2015-01-10,轻度污染,145,250,109,143,53,53,1.35,40
2015-01-11,中度污染,156,276,118,159,79,56,1.33,35
2015-01-12,轻度污染,132,281,99,110,43,55,0.97,23
2015-01-13,良,56,105,40,15,30,31,0.64,34
2015-01-14,优,48,74,33,40,15,28,0.71,28
2015-01-15,良,51,39,31,50,18,29,0.66,32
2015-01-16,良,69,89,48,66,29,30,0.77,35
2015-01-17,良,97,180,71,104,41,37,1.04,55
2015-01-18,中度污染,197,360,149,166,72,54,1.32,42
2015-01-19,轻度污染,123,275,90,131,57,45,1.08,53
2015-01-20,良,90,148,66,99,39,45,0.80,39
2015-01-21,良,90,147,66,93,29,41,0.92,52
2015-01-22,良,75,79,49,98,31,37,0.84,49
2015-01-23,良,96,99,70,110,77,48,0.75,41
2015-01-24,良,99,123,68,114,75,49,1.17,59
2015-01-25,轻度污染,103,131,77,110,66,62,1.00,17
2015-01-26,重度污染,210,287,160,179,15,53,1.42,12
2015-01-27,良,90,218,65,75,15,57,1.84,7
2015-01-28,优,33,45,18,27,25,36,0.83,15
2015-01-29,优,20,8,10,15,14,27,0.78,12
2015-01-30,优,31,16,20,27,12,25,0.65,11
2015-01-31,良,90,256,66,79,33,33,0.84,25
2015-02-01,轻度污染,104,246,77,95,43,38,1.03,18
2015-02-02,良,70,97,50,63,37,41,1.10,8
2015-02-03,优,47,28,33,43,16,31,1.00,14
2015-02-04,良,92,166,68,101,22,45,1.07,31
2015-02-05,良,83,189,57,96,38,42,0.69,50
2015-02-06,良,81,123,57,96,35,45,0.95,54
2015-02-07,良,84,127,61,102,41,42,0.94,55
2015-02-08,良,95,264,68,105,33,39,0.70,74
2015-02-09,良,67,116,37,75,37,28,0.47,85
2015-02-10,良,69,83,45,85,42,41,0.68,54
2015-02-11,良,76,89,55,90,31,37,1.05,71
2015-02-12,良,82,135,57,99,23,36,1.09,79
2015-02-13,良,80,125,51,104,37,31,0.69,76
2015-02-14,良,87,107,62,116,33,33,0.67,66
2015-02-15,良,59,54,37,65,24,24,0.69,61
2015-02-16,良,94,160,68,116,22,23,1.65,77
2015-02-17,轻度污染,119,252,89,151,24,27,1.48,84
2015-02-18,轻度污染,107,249,79,136,28,19,1.23,102
2015-02-19,轻度污染,119,212,87,157,33,15,0.93,114
2015-02-20,良,66,200,45,68,22,14,1.00,62
2015-02-21,优,27,8,16,23,14,14,0.86,30
2015-02-22,优,45,65,27,42,13,11,0.91,52
2015-02-23,良,56,113,38,51,14,15,1.15,51
2015-02-24,优,42,55,26,41,16,11,1.07,37
2015-02-25,优,36,43,22,34,19,20,1.15,16
2015-02-26,优,18,1,5,9,12,16,0.74,38
2015-02-27,优,30,34,7,13,16,10,0.83,61
2015-02-28,优,28,47,5,10,16,11,0.50,52
2015-03-01,优,33,45,10,20,12,8,0.50,64
2015-03-02,优,31,8,17,30,13,15,0.65,35
2015-03-03,优,35,20,20,32,13,17,0.67,48
2015-03-04,良,66,237,39,73,18,22,0.74,54
2015-03-05,优,29,25,13,24,15,19,0.59,49
2015-03-06,优,30,38,18,28,12,15,0.72,30
2015-03-07,优,44,52,25,43,20,22,0.86,21
2015-03-08,优,22,2,12,21,15,27,0.82,12
2015-03-09,优,43,49,24,44,16,17,0.81,57
2015-03-10,良,58,152,38,64,27,19,0.66,75
2015-03-11,良,66,156,44,78,55,26,0.96,61
2015-03-12,良,68,133,34,84,25,28,0.73,88
2015-03-13,良,56,94,25,61,20,27,0.64,51
2015-03-14,良,57,67,38,60,36,35,0.84,43
2015-03-15,良,53,48,34,52,48,38,1.21,35
2015-03-16,良,52,57,33,57,47,39,1.40,20
2015-03-17,良,58,106,33,65,43,26,1.20,56
2015-03-18,优,43,65,16,39,17,16,0.72,64
2015-03-19,优,24,3,7,19,14,17,0.86,45
2015-03-20,优,44,46,24,44,15,23,1.25,40
2015-03-21,优,44,22,22,41,14,19,1.03,70
2015-03-22,良,62,84,33,71,40,27,1.14,67
2015-03-23,良,70,180,40,83,41,21,0.91,100
2015-03-24,良,64,174,23,75,41,20,0.67,90
2015-03-25,良,66,176,23,70,49,19,0.67,106
2015-03-26,良,56,121,25,57,42,20,0.59,79
2015-03-27,良,56,118,30,55,26,23,0.57,73
2015-03-28,良,63,94,30,72,23,26,0.63,74
2015-03-29,良,76,137,46,100,55,33,0.86,69
2015-03-30,良,66,133,43,79,33,25,0.84,46
2015-03-31,良,63,147,34,74,47,22,0.66,55
2015-04-01,良,57,141,21,61,29,18,0.51,68
2015-04-02,良,52,120,14,48,12,6,0.49,93
2015-04-03,优,45,68,18,45,28,15,0.62,64
2015-04-04,良,55,109,21,42,31,15,0.70,73
2015-04-05,良,53,124,29,56,32,19,0.95,56
2015-04-06,优,28,10,13,23,11,16,0.89,50
2015-04-07,优,33,34,6,12,19,15,0.59,70
2015-04-08,优,40,64,15,27,25,12,0.39,75
2015-04-09,优,47,78,31,47,34,23,0.62,53
2015-04-10,良,55,102,32,61,25,22,0.64,67
2015-04-11,良,97,300,50,94,52,31,0.69,106
2015-04-12,良,89,314,40,86,22,24,0.61,127
2015-04-13,良,68,217,18,71,16,12,0.39,114
2015-04-14,良,71,152,23,67,21,17,0.51,115
2015-04-15,良,83,168,50,110,68,41,0.77,74
2015-04-16,良,89,164,53,112,30,36,0.80,82
2015-04-17,良,88,153,56,118,49,33,0.82,103
2015-04-18,良,65,108,33,78,23,25,0.58,81
2015-04-19,良,63,190,40,77,31,34,0.98,17
2015-04-20,优,27,2,9,22,11,13,0.76,58
2015-04-21,良,52,104,24,54,31,19,0.68,72
2015-04-22,良,67,164,34,76,20,25,0.75,74
2015-04-23,良,81,213,46,110,28,36,0.82,73
2015-04-24,良,81,209,55,101,57,34,0.88,62
2015-04-25,良,74,141,44,88,49,31,0.78,66
2015-04-26,良,76,128,48,99,51,32,0.83,55
2015-04-27,良,69,111,45,86,54,26,0.83,44
2015-04-28,优,47,38,21,45,22,16,0.60,55
2015-04-29,良,64,127,33,79,18,19,0.70,67
2015-04-30,良,98,257,53,124,37,23,0.78,103
2015-05-01,良,86,250,58,104,44,25,0.90,79
2015-05-02,优,41,56,22,40,25,13,0.87,51
2015-05-03,良,56,96,21,45,15,10,0.63,98
2015-05-04,良,68,196,41,74,31,19,0.77,89
2015-05-05,良,74,175,36,65,31,15,0.79,112
2015-05-06,良,61,100,38,68,53,22,0.95,47
2015-05-07,优,48,48,30,53,36,12,0.89,68
2015-05-08,优,46,68,21,38,22,16,0.75,59
2015-05-09,优,44,64,18,35,16,14,0.72,78
2015-05-10,良,72,239,47,73,31,18,0.90,81
2015-05-11,优,41,59,14,23,19,15,0.66,68
2015-05-12,优,50,102,16,47,15,15,0.39,79
2015-05-13,良,57,94,24,63,31,20,0.50,62
2015-05-14,优,50,79,30,51,28,22,0.77,57
2015-05-15,优,41,60,17,30,29,19,0.66,57
2015-05-16,优,37,45,14,22,29,16,0.65,69
2015-05-17,良,51,86,32,49,47,15,0.97,63
2015-05-18,优,50,92,29,42,36,19,0.86,49
2015-05-19,优,49,101,29,52,25,19,0.79,64
2015-05-20,良,79,261,50,93,30,22,0.87,87
2015-05-21,良,95,348,45,83,30,17,0.71,138
2015-05-22,良,58,135,26,52,27,15,0.56,87
2015-05-23,良,61,160,43,59,21,18,0.72,67
2015-05-24,良,84,229,56,80,25,18,0.76,115
2015-05-25,轻度污染,114,286,78,122,50,21,0.88,128
2015-05-26,良,75,185,50,79,34,17,0.84,54
2015-05-27,优,37,22,17,37,25,18,0.75,33
2015-05-28,优,39,26,20,35,17,12,0.64,47
2015-05-29,良,57,160,34,61,28,16,0.69,45
2015-05-30,优,36,31,20,25,13,12,0.92,55
2015-05-31,良,57,117,30,62,20,11,0.85,78
2015-06-01,良,56,121,29,61,29,13,0.79,52
2015-06-02,优,37,43,14,35,19,7,0.48,55
2015-06-03,优,33,36,16,26,24,10,0.61,55
2015-06-04,优,36,38,16,20,29,13,0.65,70
2015-06-05,良,52,125,29,51,17,15,0.63,77
2015-06-06,良,71,210,44,79,31,17,0.69,72
2015-06-07,良,54,151,34,57,52,17,0.89,56
2015-06-08,优,47,154,26,40,31,18,0.87,41
2015-06-09,优,31,25,10,15,16,16,0.76,61
2015-06-10,优,46,92,27,34,40,18,0.93,50
2015-06-11,优,29,10,15,23,21,10,0.65,50
2015-06-12,优,40,55,18,36,17,8,0.59,48
2015-06-13,优,42,83,22,31,39,10,0.63,54
2015-06-14,优,43,100,27,40,60,12,0.83,43
2015-06-15,优,45,95,26,43,65,15,0.85,46
2015-06-16,优,45,95,24,44,52,10,0.79,51
2015-06-17,优,43,94,21,42,18,8,0.51,77
2015-06-18,优,35,46,11,15,14,9,0.88,75
2015-06-19,优,43,91,21,34,52,9,0.88,80
2015-06-20,良,60,202,42,64,56,12,1.07,51
2015-06-21,良,67,191,47,65,83,11,0.91,74
2015-06-22,良,53,133,34,49,68,12,0.99,57
2015-06-23,良,72,249,44,72,95,15,1.01,54
2015-06-24,优,29,39,9,28,16,9,0.47,32
2015-06-25,优,29,36,9,27,14,6,0.44,40
2015-06-26,优,33,51,11,30,12,5,0.43,58
2015-06-27,优,38,98,13,36,13,4,0.46,63
2015-06-28,优,42,121,17,40,13,5,0.47,73
2015-06-29,优,45,144,20,44,17,8,0.52,73
2015-06-30,良,51,193,23,47,14,6,0.47,91
2015-07-01,优,38,80,18,31,18,10,0.71,60
2015-07-02,优,44,98,18,34,31,7,0.77,73
2015-07-03,良,55,197,36,48,26,10,0.76,81
2015-07-04,良,59,200,27,33,25,9,0.71,107
2015-07-05,优,47,137,8,13,31,8,0.61,92
2015-07-06,优,48,125,8,16,33,7,0.47,95
2015-07-07,优,44,76,13,30,37,10,0.54,79
2015-07-08,优,39,34,19,33,39,11,0.69,80
2015-07-09,优,45,76,19,42,47,13,0.76,71
2015-07-10,优,44,99,22,43,19,12,0.66,60
2015-07-11,优,50,144,25,50,14,8,0.51,56
2015-07-12,优,40,77,18,41,16,7,0.46,64
2015-07-13,良,56,87,32,62,14,9,0.63,70
2015-07-14,良,63,122,39,71,28,8,0.64,72
2015-07-15,良,61,172,36,67,24,9,0.59,52
2015-07-16,良,56,170,35,58,14,8,0.60,75
2015-07-17,良,51,142,30,48,17,11,0.92,69
2015-07-18,优,49,122,29,50,15,10,0.90,75
2015-07-19,良,68,254,44,74,23,16,0.89,63
2015-07-20,良,58,159,37,64,27,12,0.73,56
2015-07-21,优,27,36,11,23,13,5,0.51,41
2015-07-22,优,37,70,21,36,20,7,0.57,43
2015-07-23,优,30,48,12,28,12,6,0.52,47
2015-07-24,优,28,34,8,23,12,4,0.39,47
2015-07-25,优,37,70,15,36,46,9,0.48,32
2015-07-26,优,35,45,14,34,23,8,0.43,41
2015-07-27,优,33,33,10,32,12,6,0.42,50
2015-07-28,优,38,67,14,38,13,7,0.41,53
2015-07-29,优,41,90,15,39,13,5,0.39,61
2015-07-30,优,34,56,10,30,32,6,0.39,45
2015-07-31,优,37,74,13,37,19,7,0.40,40
2015-08-01,优,34,58,15,32,19,7,0.54,42
2015-08-02,优,34,51,14,33,18,8,0.48,47
2015-08-03,优,39,73,15,36,15,10,0.41,57
2015-08-04,优,50,155,20,50,15,11,0.44,75
2015-08-05,良,59,197,27,55,16,11,0.49,86
2015-08-06,良,57,207,30,59,30,11,0.55,80
2015-08-07,良,56,178,29,55,41,14,0.58,72
2015-08-08,优,34,76,15,32,29,10,0.47,47
2015-08-09,优,20,6,8,15,18,7,0.44,37
2015-08-10,优,19,3,6,13,13,6,0.56,38
2015-08-11,优,26,17,10,21,13,9,0.54,43
2015-08-12,优,48,119,27,48,22,12,0.61,56
2015-08-13,良,59,150,42,55,31,11,0.71,67
2015-08-14,优,35,47,17,29,16,8,0.50,62
2015-08-15,优,32,37,14,29,16,9,0.54,42
2015-08-16,优,35,44,17,29,14,8,0.62,63
2015-08-17,良,52,137,27,53,17,10,0.66,70
2015-08-18,良,59,164,37,64,32,10,0.73,76
2015-08-19,优,44,102,23,42,22,9,0.61,52
2015-08-20,优,41,81,23,38,16,11,0.72,52
2015-08-21,优,49,129,28,48,15,11,0.77,70
2015-08-22,优,43,76,22,41,48,16,0.81,58
2015-08-23,优,44,88,22,42,36,13,0.64,68
2015-08-24,良,52,149,28,51,18,12,0.61,87
2015-08-25,良,59,182,35,58,16,11,0.66,85
2015-08-26,良,60,163,34,64,18,16,0.65,75
2015-08-27,良,71,218,45,74,32,15,0.69,82
2015-08-28,良,89,304,66,88,19,18,0.81,58
2015-08-29,良,81,295,59,82,44,13,0.72,80
2015-08-30,良,75,250,54,78,29,14,0.72,83
2015-08-31,良,80,293,58,84,31,13,0.73,90
2015-09-01,良,80,298,58,85,29,13,0.76,95
2015-09-02,优,45,126,27,42,16,10,0.61,69
2015-09-03,优,41,115,20,35,27,9,0.60,60
2015-09-04,优,27,19,11,25,22,9,0.48,33
2015-09-05,优,43,126,23,46,19,13,0.57,38
2015-09-06,优,35,62,22,33,17,10,0.67,53
2015-09-07,良,72,316,51,76,31,14,0.82,85
2015-09-08,良,75,283,44,67,40,17,0.69,105
2015-09-09,良,80,316,47,73,50,20,0.67,114
2015-09-10,良,79,306,47,77,39,19,0.63,111
2015-09-11,良,74,298,53,80,23,19,0.64,68
2015-09-12,良,85,353,62,77,30,21,0.77,65
2015-09-13,良,68,287,47,67,43,17,0.70,74
2015-09-14,良,76,298,54,61,29,19,0.84,64
2015-09-15,良,54,132,36,44,44,19,0.83,39
2015-09-16,良,57,132,37,59,45,21,0.65,42
2015-09-17,良,57,126,35,61,32,22,0.61,53
2015-09-18,良,67,176,46,76,32,21,0.61,63
2015-09-19,良,69,229,49,51,24,17,0.59,49
2015-09-20,优,40,71,26,38,33,19,0.64,57
2015-09-21,优,47,107,30,45,42,14,0.64,48
2015-09-22,良,59,204,35,57,44,20,0.80,34
2015-09-23,优,39,79,26,34,14,19,0.77,25
2015-09-24,良,55,204,36,60,24,18,0.80,38
2015-09-25,良,61,238,43,53,51,20,0.89,44
2015-09-26,良,59,200,40,60,51,20,0.72,51
2015-09-27,良,89,318,62,85,85,22,0.76,73
2015-09-28,良,75,295,52,76,48,17,0.67,83
2015-09-29,良,54,185,36,50,61,20,0.69,38
2015-09-30,优,23,5,15,21,20,14,0.72,25
2015-10-01,优,40,71,25,42,12,11,0.68,45
2015-10-02,良,64,170,37,77,29,16,0.61,54
2015-10-03,良,72,203,48,88,47,23,0.75,51
2015-10-04,良,83,256,59,90,49,19,0.89,67
2015-10-05,良,72,219,52,57,16,18,0.85,31
2015-10-06,良,53,142,37,49,39,20,0.92,27
2015-10-07,良,52,188,36,45,35,16,0.85,26
2015-10-08,优,28,19,16,20,14,11,0.69,42
2015-10-09,优,38,66,23,35,16,14,0.57,40
2015-10-10,良,68,259,42,69,21,19,0.62,45
2015-10-11,良,58,189,30,64,19,20,0.46,50
2015-10-12,良,68,198,45,81,41,20,0.57,61
2015-10-13,良,82,205,58,96,61,22,0.60,82
2015-10-14,良,98,212,73,112,50,31,0.72,63
2015-10-15,轻度污染,105,222,78,117,40,27,0.77,62
2015-10-16,良,98,195,72,115,50,34,0.73,62
2015-10-17,轻度污染,108,240,78,116,89,34,0.80,87
2015-10-18,良,75,187,48,89,83,34,0.60,80
2015-10-19,良,71,123,45,85,53,28,0.58,75
2015-10-20,良,74,132,46,93,54,30,0.61,60
2015-10-21,良,73,154,45,86,40,28,0.64,81
2015-10-22,良,77,172,49,80,44,26,0.56,117
2015-10-23,良,94,221,65,94,43,30,0.62,95
2015-10-24,轻度污染,102,270,75,109,49,26,0.67,89
2015-10-25,良,97,277,69,104,41,25,0.71,75
2015-10-26,良,90,276,66,95,53,20,0.74,83
2015-10-27,良,65,228,46,36,15,18,0.93,75
2015-10-28,良,74,226,52,75,39,30,1.02,41
2015-10-29,轻度污染,106,341,79,81,67,38,1.18,24
2015-10-30,优,38,57,26,26,29,28,0.88,36
2015-10-31,优,38,84,24,31,35,24,0.52,55
2015-11-01,优,42,99,25,39,22,24,0.60,46
2015-11-02,良,65,136,44,68,36,24,0.69,46
2015-11-03,良,87,185,64,87,54,27,0.76,48
2015-11-04,良,99,226,73,86,67,30,0.92,48
