日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,中度污染,165,158,104,169,47,116,1.13,34
2014-01-01,中度污染,168,161,132,208,48,96,1.75,36
2014-01-02,中度污染,179,143,124,195,41,109,1.62,34
2014-01-03,重度污染,209,145,161,244,83,113,1.72,16
2014-01-04,严重污染,252,184,201,293,41,103,1.75,16
2014-01-05,严重污染,251,170,206,287,25,91,1.73,27
2014-01-06,中度污染,182,107,140,194,23,75,1.10,41
2014-01-07,良,86,51,62,83,7,54,0.68,28
2014-01-08,良,59,58,42,51,13,54,0.82,17
2014-01-09,良,67,68,48,67,42,37,0.41,41
2014-01-10,良,94,73,69,114,49,64,0.67,23
2014-01-11,轻度污染,101,73,76,107,45,70,0.82,5
2014-01-12,良,61,33,44,51,36,50,0.76,17
2014-01-13,中度污染,163,164,125,159,63,64,1.11,18
2014-01-14,轻度污染,106,81,79,115,59,59,0.78,30
2014-01-15,轻度污染,122,72,92,132,65,66,0.92,29
2014-01-16,轻度污染,127,76,95,147,67,78,1.11,30
2014-01-17,中度污染,168,92,127,205,76,101,1.54,11
2014-01-18,重度污染,244,142,194,274,72,81,1.61,35
2014-01-19,重度污染,223,127,174,238,71,87,1.57,30
2014-01-20,重度污染,203,165,159,235,93,90,1.68,21
2014-01-21,良,81,70,47,110,49,49,0.88,37
2014-01-22,良,90,65,64,113,44,58,1.00,29
2014-01-24,轻度污染,116,83,86,125,59,69,1.37,29
2014-01-25,中度污染,174,133,139,198,51,63,1.53,44
2014-01-26,轻度污染,115,129,86,117,10,26,1.07,66
2014-01-27,良,59,37,38,62,14,38,0.98,40
2014-01-28,轻度污染,119,122,89,119,36,43,1.37,44
2014-01-29,轻度污染,118,119,88,115,28,37,1.31,66
2014-01-30,重度污染,226,130,176,215,51,40,1.89,75
2014-01-31,严重污染,291,151,281,328,36,30,1.50,71
2014-02-01,轻度污染,102,79,76,92,21,26,1.22,89
2014-02-02,轻度污染,144,97,108,129,23,30,1.38,78
2014-02-03,轻度污染,122,155,95,120,16,26,1.56,37
2014-02-04,优,46,45,25,43,9,11,0.95,64
2014-02-05,优,42,69,25,38,7,12,1.05,60
2014-02-06,优,50,100,35,42,8,19,1.18,33
2014-02-07,优,17,3,6,7,8,21,1.27,36
2014-02-08,良,60,72,43,35,10,17,1.40,45
2014-02-09,良,83,151,61,65,20,21,1.63,51
2014-02-10,优,42,47,29,35,13,13,1.31,60
2014-02-11,良,64,55,46,57,14,17,1.22,60
2014-02-12,良,96,97,72,88,30,41,1.61,26
2014-02-13,良,62,49,45,44,14,44,1.49,30
2014-02-14,良,85,53,63,81,12,44,0.91,34
2014-02-15,轻度污染,129,96,96,123,13,39,0.78,46
2014-02-16,良,84,81,62,73,10,47,0.58,27
2014-02-17,优,40,17,28,33,16,48,0.87,10
2014-02-18,优,22,6,8,9,9,39,0.74,31
2014-02-19,良,52,45,37,27,18,50,0.97,15
2014-02-20,良,64,43,46,59,12,33,0.72,37
2014-02-21,轻度污染,105,58,79,101,17,63,1.09,61
2014-02-22,轻度污染,122,77,93,123,29,47,0.93,65
2014-02-23,轻度污染,121,92,91,128,37,46,0.78,49
2014-02-24,轻度污染,143,91,108,140,33,52,1.10,31
2014-02-25,良,51,29,35,40,10,56,1.10,13
2014-02-26,优,49,10,34,42,17,56,1.17,10
2014-02-27,良,89,91,65,90,30,53,1.20,22
2014-02-28,轻度污染,108,170,81,106,24,49,1.10,26
2014-03-01,优,31,9,21,24,7,43,0.95,32
2014-03-02,良,82,83,60,76,25,35,1.01,56
2014-03-03,良,78,80,55,82,27,35,0.94,61
2014-03-04,良,76,98,55,80,18,45,0.86,31
2014-03-05,良,89,129,66,96,27,38,0.69,61
2014-03-06,优,46,34,29,42,11,36,0.54,60
2014-03-07,优,46,39,28,47,17,38,0.59,41
2014-03-08,良,52,40,36,43,8,43,0.75,49
2014-03-09,良,71,73,51,64,13,40,0.86,43
2014-03-10,良,84,69,61,93,24,47,0.85,63
2014-03-11,良,93,70,67,97,17,37,0.79,88
2014-03-12,良,77,86,56,77,31,63,1.24,21
2014-03-13,良,78,106,57,80,6,36,0.85,60
2014-03-14,良,89,102,65,107,40,67,1.11,40
2014-03-15,轻度污染,105,110,78,142,31,91,1.34,55
2014-03-16,轻度污染,107,97,78,149,33,88,1.22,50
2014-03-17,轻度污染,140,118,103,182,86,86,1.46,42
2014-03-18,轻度污染,114,82,85,148,56,76,1.33,63
2014-03-19,轻度污染,132,149,100,148,37,66,1.08,48
2014-03-20,良,66,60,47,71,14,43,0.78,57
2014-03-21,良,69,79,47,76,22,47,0.76,60
2014-03-22,良,72,53,49,86,26,60,0.76,72
2014-03-23,良,65,33,43,76,19,47,0.72,82
2014-03-25,轻度污染,113,107,84,146,74,106,1.72,39
2014-03-26,轻度污染,144,134,109,170,58,72,1.48,76
2014-03-27,轻度污染,147,138,108,151,24,51,1.11,90
2014-03-28,良,63,48,45,60,27,49,1.03,47
2014-03-29,良,54,30,38,49,36,51,1.07,34
2014-03-30,轻度污染,103,118,76,114,23,40,1.07,80
2014-03-31,良,69,57,44,68,8,36,0.81,81
2014-04-01,良,53,22,36,52,9,42,0.80,47
2014-04-02,良,62,40,44,64,17,42,0.98,41
2014-04-03,良,98,150,72,108,31,55,1.09,39
2014-04-04,良,81,96,56,99,32,56,1.03,80
2014-04-05,良,100,146,71,127,41,56,1.14,88
2014-04-06,良,57,27,24,61,17,32,0.76,74
2014-04-07,良,82,89,56,96,24,53,1.15,45
2014-04-08,轻度污染,137,140,104,150,52,71,1.69,43
2014-04-09,轻度污染,121,119,88,134,35,62,1.65,77
2014-04-10,轻度污染,102,108,71,107,30,64,1.42,97
2014-04-11,轻度污染,106,141,75,119,35,57,1.41,112
2014-04-12,轻度污染,113,146,84,125,37,65,1.57,55
2014-04-13,优,50,31,33,50,13,26,1.40,63
2014-04-14,良,71,52,39,60,16,30,1.15,126
2014-04-15,良,76,71,47,75,24,43,1.33,101
2014-04-16,良,80,113,54,98,36,57,1.51,78
2014-04-17,中度污染,169,175,129,193,80,84,1.94,61
2014-04-18,轻度污染,136,166,103,137,44,41,1.78,57
2014-04-19,良,62,94,45,63,20,42,1.58,37
2014-04-20,良,58,61,41,52,16,32,1.52,60
2014-04-21,良,62,72,44,63,19,43,1.33,42
2014-04-22,优,39,14,23,34,18,37,1.13,61
2014-04-23,良,60,37,41,65,30,44,1.16,53
2014-04-24,良,62,38,41,67,29,50,1.20,53
2014-04-25,优,50,34,33,49,23,47,1.35,29
2014-04-26,良,59,84,40,62,29,54,1.45,30
2014-04-27,优,36,9,22,36,25,45,1.71,16
2014-04-28,良,60,54,39,63,37,34,1.36,57
2014-04-29,良,85,94,54,92,35,59,1.32,86
2014-04-30,轻度污染,117,157,84,144,51,60,1.57,105
2014-05-01,良,93,69,60,109,36,47,1.41,95
2014-05-02,良,92,106,59,116,41,56,1.32,98
2014-05-03,轻度污染,102,153,53,153,30,33,1.22,116
2014-05-04,良,82,140,51,114,24,41,1.40,76
2014-05-05,良,69,99,41,70,26,33,1.40,89
2014-05-06,良,62,50,31,61,21,35,1.27,97
2014-05-07,良,77,82,51,91,36,51,1.61,89
2014-05-08,轻度污染,121,164,87,154,70,55,2.05,108
2014-05-09,轻度污染,117,164,85,141,40,44,1.64,111
2014-05-10,优,42,30,21,40,17,32,0.90,65
2014-05-11,优,42,42,22,43,23,38,0.84,40
2014-05-12,良,68,81,39,58,25,33,0.91,85
2014-05-13,良,63,43,41,68,30,43,0.82,79
2014-05-14,良,54,46,37,56,16,40,0.95,52
2014-05-15,良,100,150,75,113,23,39,1.04,95
2014-05-16,轻度污染,121,155,91,134,22,43,1.17,90
2014-05-17,良,68,49,49,60,13,36,1.08,54
2014-05-18,良,58,51,41,51,12,28,0.66,49
2014-05-19,良,67,62,49,55,10,38,0.76,42
2014-05-20,良,61,43,36,49,14,44,0.93,66
2014-05-21,良,98,94,68,105,24,46,0.87,90
2014-05-22,良,65,51,40,56,9,30,0.55,76
2014-05-23,优,44,28,23,43,14,42,0.64,42
2014-05-24,优,37,18,17,34,7,26,0.83,54
2014-05-25,良,56,48,35,59,13,31,1.14,43
2014-05-26,良,75,63,51,93,14,35,1.28,83
2014-05-27,轻度污染,112,99,81,168,41,48,1.34,90
2014-05-28,轻度污染,130,147,98,195,53,51,1.59,89
2014-05-29,轻度污染,131,138,99,186,39,72,1.58,73
2014-05-30,良,77,55,51,100,20,53,1.21,48
2014-05-31,优,38,16,23,37,10,24,1.07,52
2014-06-01,优,43,29,25,43,13,33,1.27,65
2014-06-02,良,55,65,34,51,13,15,1.21,75
2014-06-03,良,63,91,42,61,11,17,0.90,98
2014-06-04,良,82,121,55,82,16,32,0.99,100
2014-06-05,轻度污染,110,145,76,114,26,44,0.92,119
2014-06-06,轻度污染,115,143,78,116,21,34,0.77,128
2014-06-07,良,94,138,65,98,20,34,0.93,115
2014-06-08,轻度污染,121,156,85,121,18,27,0.91,142
2014-06-09,良,63,86,44,68,15,21,0.64,81
2014-06-10,良,59,84,38,64,14,22,0.60,65
2014-06-11,良,69,92,43,68,17,25,0.57,91
2014-06-12,轻度污染,106,140,67,108,29,44,0.80,137
2014-06-13,轻度污染,134,161,85,122,27,37,0.92,143
2014-06-14,良,94,93,57,95,20,29,0.79,137
2014-06-15,良,91,82,52,92,15,28,0.78,130
2014-06-16,良,61,45,38,62,15,29,0.87,48
2014-06-17,良,56,56,38,58,18,48,1.27,25
2014-06-18,良,70,94,50,67,29,42,1.48,57
2014-06-19,优,48,55,18,27,19,23,1.14,81
2014-06-20,优,33,19,22,30,18,38,1.02,19
2014-06-21,优,42,46,27,37,19,35,0.97,27
2014-06-22,优,33,15,16,18,8,30,0.63,54
2014-06-23,优,44,35,28,30,9,36,0.76,44
2014-06-24,优,42,41,25,33,20,38,0.84,43
2014-06-25,优,47,49,27,35,10,41,0.89,67
2014-06-26,良,75,126,51,78,19,48,1.27,53
2014-06-27,优,50,67,35,43,11,53,1.29,14
2014-06-28,优,43,33,29,40,10,37,1.04,41
2014-06-29,良,51,51,35,50,22,51,1.19,41
2014-06-30,良,80,105,58,78,19,47,1.30,26
2014-07-01,良,73,88,53,72,23,46,1.43,49
2014-07-02,良,62,78,41,59,25,47,1.36,41
2014-07-03,良,63,70,43,59,15,33,1.18,74
2014-07-04,良,89,138,65,97,16,35,1.20,69
