日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,84,209,37,116,35,17,0.54,64
2015-01-02,轻度污染,116,484,80,174,82,39,0.91,29
2015-01-03,中度污染,160,278,120,220,71,45,1.28,41
2015-01-04,轻度污染,134,168,100,196,54,25,0.97,129
2015-01-05,重度污染,201,285,158,264,68,31,1.26,50
2015-01-06,中度污染,186,389,141,217,52,23,1.29,39
2015-01-07,中度污染,167,354,127,214,52,27,1.70,61
2015-01-08,中度污染,191,340,146,230,63,36,2.19,60
2015-01-09,轻度污染,148,257,107,190,79,36,2.12,58
2015-01-10,轻度污染,112,182,72,170,72,46,2.27,49
2015-01-11,良,92,145,57,130,63,45,2.35,45
2015-01-12,良,77,161,53,96,60,29,1.95,46
2015-01-13,良,93,194,69,109,38,26,2.14,26
2015-01-14,良,98,190,69,109,42,32,2.46,32
2015-01-15,轻度污染,110,201,82,116,49,32,2.64,41
2015-01-16,轻度污染,135,232,102,137,50,22,1.69,59
2015-01-17,轻度污染,119,230,89,132,48,35,1.31,61
2015-01-18,轻度污染,114,214,85,128,53,32,1.46,64
2015-01-19,轻度污染,103,222,77,116,58,35,1.73,54
2015-01-20,良,88,137,64,105,68,39,1.67,46
2015-01-21,轻度污染,105,188,75,122,50,32,1.50,55
2015-01-22,良,80,102,56,104,53,29,1.47,50
2015-01-23,轻度污染,115,158,86,139,72,36,2.10,42
2015-01-24,轻度污染,116,162,86,124,66,32,1.81,48
2015-01-25,中度污染,159,226,121,146,36,27,2.04,16
2015-01-26,中度污染,184,260,138,166,44,19,2.17,36
2015-01-27,轻度污染,105,267,75,101,22,16,2.19,45
2015-01-28,优,34,46,7,33,15,9,1.47,36
2015-01-29,优,50,111,27,51,25,13,1.72,32
2015-01-30,良,77,217,55,86,39,14,1.88,43
2015-01-31,良,82,228,58,96,25,12,1.96,48
2015-02-01,良,80,185,58,84,29,11,2.01,52
2015-02-02,良,62,67,42,65,27,15,2.13,34
2015-02-03,良,99,165,71,106,33,19,2.35,35
2015-02-04,良,98,181,70,133,54,26,2.55,68
2015-02-05,良,94,220,59,137,50,30,2.31,72
2015-02-06,良,87,161,48,122,48,40,2.47,73
2015-02-07,良,95,166,57,138,47,56,2.80,30
2015-02-08,良,95,263,60,137,44,37,2.61,62
2015-02-09,良,94,234,59,135,34,31,2.42,75
2015-02-10,良,97,176,70,131,43,55,2.62,45
2015-02-11,良,93,147,60,135,45,48,2.90,61
2015-02-12,良,87,143,57,120,40,44,2.71,82
2015-02-13,良,84,146,50,114,38,45,2.59,80
2015-02-14,轻度污染,102,148,72,132,30,42,2.59,59
2015-02-15,良,69,83,39,86,18,22,2.26,68
2015-02-16,良,82,120,48,110,21,23,2.42,84
2015-02-17,良,77,135,44,95,24,27,2.49,90
2015-02-18,轻度污染,125,289,94,137,25,24,2.72,58
2015-02-19,轻度污染,109,188,81,120,21,13,2.67,49
2015-02-20,优,47,87,25,48,12,9,2.38,43
2015-02-21,优,50,108,27,51,16,11,2.50,55
2015-02-22,良,60,117,41,65,18,13,2.68,49
2015-02-23,良,69,154,44,83,15,10,2.79,49
2015-02-24,良,81,215,49,109,22,13,2.92,36
2015-02-25,良,65,188,35,78,15,12,2.98,32
2015-02-26,良,60,182,33,69,15,16,2.91,24
2015-02-27,优,42,111,16,41,13,12,2.80,35
2015-02-28,优,47,168,20,46,12,11,2.91,48
2015-03-01,良,55,139,31,58,22,12,3.08,58
2015-03-02,良,61,113,34,70,22,22,3.39,32
2015-03-03,良,69,148,31,85,25,23,3.07,42
2015-03-04,良,79,300,29,105,19,14,2.06,65
2015-03-05,良,57,166,32,61,20,12,1.44,56
2015-03-06,良,67,166,38,79,24,14,0.67,57
2015-03-07,良,71,165,47,89,35,31,0.65,34
2015-03-08,良,64,144,37,73,25,32,0.53,42
2015-03-09,良,76,224,48,97,28,40,0.96,31
2015-03-10,中度污染,152,346,114,180,26,29,0.98,46
2015-03-11,轻度污染,111,318,83,134,35,30,0.96,45
2015-03-12,良,70,146,47,84,29,23,0.78,88
2015-03-13,良,59,103,29,66,30,30,0.85,46
2015-03-14,良,80,147,53,99,32,36,1.06,29
2015-03-15,良,94,173,69,110,28,34,1.15,24
2015-03-16,轻度污染,110,247,82,135,41,32,1.28,41
2015-03-17,良,73,168,48,90,36,32,1.32,29
2015-03-18,良,55,119,19,58,19,22,1.08,33
2015-03-19,良,66,140,42,81,23,18,0.95,49
2015-03-20,良,59,118,33,67,22,26,1.14,32
2015-03-21,良,62,100,35,67,32,23,1.06,72
2015-03-22,良,73,129,46,93,40,44,1.34,50
2015-03-23,良,76,224,45,100,32,23,1.09,90
2015-03-24,良,89,278,52,125,30,25,1.09,51
2015-03-25,良,91,288,58,124,38,35,1.41,74
2015-03-26,良,68,183,44,79,36,37,1.17,56
2015-03-27,良,67,161,33,82,29,20,1.09,80
2015-03-28,良,61,84,34,69,31,28,1.32,52
2015-03-29,良,62,86,39,70,38,37,1.66,19
2015-03-30,良,54,78,20,58,25,15,1.39,67
2015-03-31,良,64,148,25,76,26,15,1.09,71
2015-04-01,良,62,178,22,72,22,10,1.00,84
2015-04-02,良,59,164,25,66,20,16,1.29,37
2015-04-03,良,65,179,32,77,15,18,1.57,36
2015-04-04,良,63,155,22,74,12,14,1.48,61
2015-04-05,良,53,122,24,59,11,13,1.59,80
2015-04-06,良,68,237,39,82,10,13,1.59,86
2015-04-07,良,68,274,36,83,17,14,1.42,63
2015-04-08,良,61,197,34,70,29,18,1.25,69
2015-04-09,良,69,220,41,85,33,30,1.42,47
2015-04-10,良,68,189,40,83,31,33,1.65,52
2015-04-11,良,80,229,52,99,38,37,1.64,66
2015-04-12,良,80,265,42,100,33,23,1.35,86
2015-04-13,良,68,212,20,65,27,18,0.80,106
2015-04-14,良,74,169,26,77,43,33,1.02,103
2015-04-15,良,81,160,50,99,61,49,1.49,66
2015-04-16,良,97,198,65,130,64,37,1.41,88
2015-04-17,轻度污染,114,266,78,165,47,24,1.34,107
2015-04-18,轻度污染,101,258,68,147,44,24,1.47,50
2015-04-19,良,59,163,27,59,20,14,1.69,80
2015-04-20,良,67,231,32,80,23,14,1.53,88
2015-04-21,良,72,222,32,83,29,26,1.66,74
2015-04-22,良,81,258,35,104,41,42,1.97,67
2015-04-23,良,88,249,46,115,49,31,1.93,90
2015-04-24,良,81,211,46,108,48,31,1.95,64
2015-04-25,良,89,215,44,112,42,37,2.03,79
2015-04-26,良,89,209,42,109,39,31,2.00,101
2015-04-27,良,74,146,32,91,41,16,1.93,95
2015-04-28,良,75,196,29,95,29,14,1.88,75
2015-04-29,良,87,249,38,118,44,15,1.60,93
2015-04-30,良,96,248,53,135,37,23,1.05,109
2015-05-01,良,62,138,29,72,21,14,0.69,77
2015-05-02,良,54,133,24,54,17,10,0.64,88
2015-05-03,良,69,193,31,79,23,18,0.78,90
2015-05-04,良,70,212,37,88,21,16,0.83,88
2015-05-05,良,91,276,57,128,33,19,1.00,80
2015-05-06,良,90,235,55,121,39,22,1.07,91
2015-05-07,良,85,205,56,108,48,27,0.96,94
2015-05-08,良,69,206,42,79,26,20,0.81,82
2015-05-09,良,69,239,34,80,42,24,0.98,86
2015-05-10,良,76,256,47,98,39,20,1.09,99
2015-05-11,良,61,245,27,71,22,12,0.81,85
2015-05-12,良,83,313,33,114,34,24,0.88,74
2015-05-13,良,71,176,37,91,34,33,0.93,61
2015-05-14,良,81,226,45,110,39,30,1.19,44
2015-05-15,良,67,227,33,81,26,12,0.79,67
2015-05-16,良,90,289,58,126,19,18,1.01,92
2015-05-17,良,70,167,36,88,27,19,1.00,65
2015-05-18,良,82,236,57,108,16,18,1.19,68
2015-05-19,良,76,215,46,94,21,23,1.29,55
2015-05-20,良,96,319,55,116,23,18,1.27,107
2015-05-21,轻度污染,107,360,48,108,20,16,0.91,160
2015-05-22,良,98,312,62,109,22,20,0.73,131
2015-05-23,良,70,206,47,83,16,12,0.67,85
2015-05-24,良,70,178,40,76,18,14,0.67,101
2015-05-25,良,86,216,58,111,44,25,0.83,105
2015-05-26,轻度污染,141,328,106,187,19,13,0.90,104
2015-05-27,轻度污染,120,285,89,157,23,13,1.08,60
2015-05-28,轻度污染,107,291,80,141,28,19,1.13,57
2015-05-29,良,66,238,39,74,22,12,0.77,69
2015-05-30,良,67,240,41,72,28,12,0.73,102
2015-05-31,良,77,218,52,86,38,24,0.93,98
2015-06-01,良,72,186,45,82,39,14,0.85,78
2015-06-02,良,54,157,25,57,36,13,0.82,55
2015-06-03,良,56,207,27,59,53,9,0.66,83
2015-06-04,良,60,217,35,66,63,11,0.63,83
2015-06-05,良,61,182,23,63,64,16,0.68,97
2015-06-06,良,70,202,25,65,60,23,0.84,105
2015-06-07,良,66,236,39,79,54,19,0.80,70
2015-06-08,优,43,121,21,42,50,10,0.71,69
2015-06-09,良,63,193,20,68,60,17,0.66,85
2015-06-10,良,61,187,28,71,67,26,0.88,39
2015-06-11,良,66,214,29,80,58,23,0.86,61
2015-06-12,良,69,234,30,74,61,23,0.68,75
2015-06-13,优,49,128,25,48,52,15,0.57,64
2015-06-14,良,52,143,29,55,56,15,0.68,38
2015-06-15,良,62,178,39,67,37,14,0.73,62
2015-06-16,良,52,133,31,49,22,11,0.71,57
2015-06-17,良,88,282,55,112,14,11,1.16,51
2015-06-18,良,70,262,38,86,22,13,1.17,70
2015-06-19,良,76,273,51,99,33,19,1.18,72
2015-06-20,良,83,308,55,104,29,19,1.29,102
2015-06-21,良,86,283,43,90,13,8,1.14,140
2015-06-22,良,87,290,42,75,16,12,1.09,138
2015-06-23,良,65,226,39,68,28,24,1.24,94
2015-06-24,优,46,161,20,47,21,10,0.92,63
2015-06-25,优,45,175,18,43,21,6,0.99,75
2015-06-26,优,47,150,24,47,18,11,1.02,56
2015-06-27,优,49,191,18,49,22,5,1.08,74
2015-06-28,良,55,220,23,58,23,10,1.15,68
2015-06-29,良,58,244,22,55,21,8,0.95,84
2015-06-30,良,53,210,30,53,25,12,0.55,60
2015-07-01,优,43,120,23,36,19,10,0.39,80
2015-07-02,良,59,225,31,51,26,20,0.47,81
2015-07-03,良,56,199,32,52,17,13,0.37,91
2015-07-04,良,51,149,24,47,15,11,0.26,93
2015-07-05,良,51,165,29,47,18,10,0.27,90
2015-07-06,良,60,219,23,45,17,10,0.36,113
2015-07-07,优,49,114,21,40,19,15,0.31,93
2015-07-08,良,58,162,31,53,25,13,0.32,100
2015-07-09,良,80,260,57,78,24,13,0.40,102
2015-07-10,良,54,159,29,56,25,10,0.31,72
2015-07-11,良,57,189,36,58,25,9,0.38,75
2015-07-12,良,67,207,40,71,22,12,0.37,81
2015-07-13,良,59,100,29,63,16,23,0.61,72
2015-07-14,良,66,141,44,73,23,22,0.56,45
2015-07-15,良,64,190,42,64,24,15,0.64,51
2015-07-16,优,50,113,29,48,28,10,0.73,80
2015-07-17,良,72,283,52,70,28,15,0.70,47
2015-07-18,良,78,298,56,77,37,20,0.66,51
2015-07-19,良,95,347,70,94,38,23,0.79,43
2015-07-20,轻度污染,113,356,84,113,26,22,0.85,36
