日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,91,239,61,123,56,36,0.70,68
2015-01-02,轻度污染,107,441,79,134,69,47,0.94,56
2015-01-03,中度污染,162,283,123,181,127,64,1.25,40
2015-01-04,轻度污染,143,184,108,150,76,56,1.00,83
2015-01-05,中度污染,181,261,141,185,86,82,1.63,28
2015-01-06,中度污染,168,379,127,155,50,41,1.14,42
2015-01-07,轻度污染,103,279,77,91,38,31,1.29,27
2015-01-08,轻度污染,124,264,93,124,59,41,1.32,38
2015-01-09,轻度污染,144,251,110,140,68,44,1.45,41
2015-01-10,良,78,91,57,69,39,26,0.77,54
2015-01-11,良,81,121,59,73,49,32,0.78,29
2015-01-12,良,99,212,73,86,42,31,0.84,39
2015-01-13,轻度污染,126,262,95,117,30,30,0.96,39
2015-01-14,轻度污染,142,272,106,133,48,35,1.10,37
2015-01-15,轻度污染,101,179,75,94,88,39,0.86,41
2015-01-16,轻度污染,129,224,97,125,95,46,1.03,38
2015-01-17,中度污染,169,327,127,163,75,51,1.15,49
2015-01-18,中度污染,155,336,117,146,58,44,1.06,60
2015-01-19,轻度污染,133,298,100,129,78,50,1.03,59
2015-01-20,中度污染,160,323,121,156,124,62,1.21,31
2015-01-21,中度污染,154,300,116,152,108,58,1.25,42
2015-01-22,轻度污染,131,264,99,134,97,57,1.00,59
2015-01-23,中度污染,165,278,123,164,129,71,1.24,55
2015-01-24,轻度污染,105,138,77,102,62,48,0.69,79
2015-01-25,中度污染,178,251,135,155,71,60,1.03,21
2015-01-26,重度污染,204,284,155,180,82,47,1.51,20
2015-01-27,轻度污染,148,328,113,140,40,36,1.56,27
2015-01-28,优,47,132,33,36,23,28,1.14,14
2015-01-29,优,44,78,30,30,22,22,0.78,20
2015-01-30,良,67,163,48,58,29,21,0.66,39
2015-01-31,良,84,241,61,73,24,23,0.86,34
2015-02-01,良,85,201,62,72,23,22,0.94,29
2015-02-02,轻度污染,105,216,78,97,39,28,1.14,18
2015-02-03,良,66,76,47,54,25,29,1.15,15
2015-02-04,轻度污染,113,211,85,106,38,35,1.13,43
2015-02-05,中度污染,154,334,116,149,56,43,1.26,66
2015-02-06,轻度污染,122,282,92,121,52,42,1.10,67
2015-02-07,轻度污染,146,305,110,145,59,51,1.18,61
2015-02-08,轻度污染,126,318,95,127,60,46,0.96,91
2015-02-09,中度污染,155,343,118,165,50,49,1.12,68
2015-02-10,中度污染,194,350,146,200,74,61,1.43,22
2015-02-11,中度污染,176,314,133,191,57,62,1.44,50
2015-02-12,轻度污染,117,203,88,118,41,49,0.94,71
2015-02-13,良,94,185,69,90,27,48,0.83,76
2015-02-14,轻度污染,106,155,79,93,14,43,0.74,94
2015-02-15,良,67,76,47,54,14,40,0.69,70
2015-02-16,良,99,173,73,92,17,44,0.82,81
2015-02-17,轻度污染,110,232,83,117,17,46,0.89,73
2015-02-18,轻度污染,122,286,91,114,24,45,0.89,46
2015-02-19,中度污染,168,289,128,147,14,31,0.93,36
2015-02-20,轻度污染,105,302,78,89,5,26,0.97,24
2015-02-21,优,49,103,33,37,6,18,0.60,46
2015-02-22,良,74,158,53,62,7,21,0.78,52
2015-02-23,良,88,221,65,75,7,20,0.77,52
2015-02-24,良,70,173,50,54,6,22,0.92,45
2015-02-25,良,67,194,48,55,6,23,1.08,26
2015-02-26,良,62,187,43,47,5,23,1.02,31
2015-02-27,优,50,181,35,38,6,23,1.03,15
2015-02-28,优,39,122,27,26,6,15,0.54,44
2015-03-01,良,58,153,41,46,11,16,0.52,71
2015-03-02,良,75,186,54,63,11,21,0.66,56
2015-03-03,良,70,161,50,58,15,23,0.75,47
2015-03-04,良,77,290,55,82,17,26,0.74,40
2015-03-05,良,60,184,42,56,8,17,0.61,53
2015-03-06,良,53,112,37,44,8,15,0.55,56
2015-03-07,良,62,126,43,54,12,19,0.71,42
2015-03-08,良,51,97,35,40,15,23,0.82,25
2015-03-09,良,58,127,41,49,19,27,0.98,30
2015-03-10,良,98,305,73,95,16,29,0.88,40
2015-03-11,良,85,245,62,86,12,26,0.91,37
2015-03-12,良,58,109,41,51,21,31,0.81,75
2015-03-13,良,73,163,53,69,31,41,1.06,29
2015-03-14,良,74,131,53,65,22,41,1.19,15
2015-03-15,良,68,93,48,59,22,31,0.92,38
2015-03-16,良,63,98,45,60,31,39,1.21,26
2015-03-17,良,82,212,60,86,55,45,1.38,28
2015-03-18,良,76,231,55,73,34,39,0.88,31
2015-03-19,良,57,96,40,52,21,35,1.09,43
2015-03-20,良,70,161,50,69,19,30,0.82,42
2015-03-21,良,63,103,45,58,25,33,0.92,42
2015-03-22,良,83,179,60,79,45,42,0.80,21
2015-03-23,良,63,129,45,58,28,39,0.96,47
2015-03-24,轻度污染,109,326,81,119,41,38,0.86,52
2015-03-25,轻度污染,111,326,83,119,37,39,0.82,47
2015-03-26,轻度污染,111,313,83,104,49,47,1.02,29
2015-03-27,良,54,98,38,42,19,31,0.58,40
2015-03-28,良,70,129,50,64,42,42,0.95,36
2015-03-29,良,94,193,69,81,35,46,1.06,29
2015-03-30,良,76,181,55,68,28,38,0.70,36
2015-03-31,良,53,93,36,46,17,29,0.48,56
2015-04-01,良,57,140,39,49,17,26,0.47,60
2015-04-02,良,66,231,46,61,19,29,0.55,89
2015-04-03,良,79,263,58,78,37,34,0.61,93
2015-04-04,良,88,273,65,79,34,31,0.90,56
2015-04-05,良,72,211,52,63,26,29,0.97,41
2015-04-06,良,76,271,55,66,22,26,0.85,75
2015-04-07,优,39,74,27,31,12,24,0.78,51
2015-04-08,良,60,196,42,56,19,19,0.44,62
2015-04-09,良,53,115,37,43,29,20,0.58,51
2015-04-10,良,58,127,41,48,37,24,0.59,51
2015-04-11,良,79,219,57,77,45,33,0.77,56
2015-04-12,良,81,270,57,84,47,39,0.75,67
2015-04-13,良,68,211,36,69,37,28,0.29,97
2015-04-14,良,70,144,46,79,56,33,0.44,94
2015-04-15,良,96,227,71,108,43,40,0.59,101
2015-04-16,良,94,185,67,95,43,35,0.64,113
2015-04-17,良,86,141,61,92,33,32,0.59,113
2015-04-18,良,75,154,54,72,15,28,0.60,84
2015-04-19,轻度污染,103,335,76,101,22,43,0.86,69
2015-04-20,良,62,188,43,48,25,28,0.74,85
2015-04-21,良,69,207,48,60,36,26,0.56,79
2015-04-22,良,82,259,60,77,42,36,0.72,71
2015-04-23,良,100,288,74,97,43,37,0.75,61
2015-04-24,良,82,212,60,75,40,33,0.57,68
2015-04-25,良,99,249,73,101,40,40,0.70,52
2015-04-26,轻度污染,112,305,84,118,53,42,0.80,65
2015-04-27,轻度污染,113,323,85,110,45,42,0.80,44
2015-04-28,良,81,226,59,77,31,35,0.69,43
2015-04-29,良,78,200,56,74,57,36,0.63,42
2015-04-30,良,72,130,52,67,58,31,0.54,42
2015-05-01,良,57,108,39,53,31,33,0.51,51
2015-05-02,良,55,148,38,46,23,27,0.47,82
2015-05-03,良,68,192,48,66,38,32,0.49,90
2015-05-04,良,72,227,52,64,18,31,0.56,96
2015-05-05,良,88,261,65,89,56,35,0.63,61
2015-05-06,良,91,237,67,90,48,30,0.73,59
2015-05-07,良,85,207,62,84,41,36,0.90,45
2015-05-08,良,64,172,46,60,25,37,0.85,63
2015-05-09,良,67,223,48,60,29,30,0.60,78
2015-05-10,良,87,291,64,84,43,35,0.64,66
2015-05-11,良,57,207,37,59,26,27,0.45,76
2015-05-12,良,69,229,41,85,49,28,0.36,69
2015-05-13,良,68,144,48,76,48,30,0.57,67
2015-05-14,良,54,98,37,49,18,27,0.46,49
2015-05-15,良,51,117,35,45,20,25,0.45,57
2015-05-16,良,79,243,56,79,35,28,0.78,80
2015-05-17,良,68,157,48,75,28,27,0.83,65
2015-05-18,良,59,118,41,56,25,33,0.74,43
2015-05-19,良,65,174,46,59,31,32,0.79,41
2015-05-20,良,86,287,63,82,27,32,0.84,44
2015-05-21,良,93,345,69,90,21,26,0.72,102
