日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2020-02-01,良,55,122,39,47,2,11,0.63,29
2020-02-02,良,56,188,40,47,1,7,0.63,31
2020-02-03,良,59,220,42,49,2,7,0.68,39
2020-02-04,良,57,222,41,49,2,8,0.60,33
2020-02-05,良,58,241,41,47,2,10,0.51,41
2020-02-06,优,44,209,31,34,2,9,0.58,59
2020-02-07,优,29,100,20,23,2,7,0.35,40
2020-02-08,优,38,113,26,32,2,8,0.42,39
2020-02-09,优,39,111,26,33,2,11,0.48,35
2020-02-10,优,34,64,23,30,2,11,0.46,29
2020-02-11,优,32,57,22,27,2,10,0.57,25
2020-02-12,优,34,65,23,29,2,11,0.54,22
2020-02-13,优,43,132,30,40,2,15,0.61,22
2020-02-14,良,56,240,39,48,2,12,0.69,26
2020-02-15,优,27,143,13,24,2,6,0.32,49
2020-02-16,优,14,20,8,11,2,6,0.34,34
2020-02-17,优,18,7,9,17,2,8,0.39,31
2020-02-18,优,31,75,19,30,2,15,0.42,35
2020-02-19,优,37,71,24,34,2,15,0.45,33
2020-02-20,优,43,85,28,43,2,14,0.43,34
2020-02-21,良,59,165,42,53,2,12,0.55,48
2020-02-22,良,56,159,39,53,2,18,0.60,14
2020-02-23,良,63,166,44,62,2,19,0.69,21
2020-02-24,良,75,227,55,84,2,28,0.97,10
2020-02-25,良,96,277,71,88,3,21,1.09,10
2020-02-26,良,68,234,49,57,2,15,0.74,33
2020-02-27,优,21,15,14,18,2,10,0.55,42
2020-02-28,优,10,5,6,7,1,9,0.56,23
2020-02-29,优,15,10,9,13,2,13,0.79,23
日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-12-31,轻度污染,130,100,105,162,26,37,1.77,76
2014-01-01,轻度污染,146,134,99,131,23,25,1.06,77
2014-01-02,中度污染,182,147,144,187,44,32,1.42,89
2014-01-03,重度污染,210,148,163,211,53,35,1.37,127
2014-01-04,中度污染,166,141,121,167,30,28,1.02,155
2014-01-05,中度污染,193,137,150,205,35,38,1.18,252
2014-01-06,重度污染,242,160,191,249,61,44,1.36,239
2014-01-07,中度污染,164,133,124,136,22,26,1.25,159
2014-01-08,中度污染,178,176,134,144,41,23,1.25,58
2014-01-09,中度污染,165,174,125,160,48,26,1.14,35
2014-01-10,中度污染,151,136,115,150,36,33,1.22,24
2014-01-11,轻度污染,107,83,80,96,20,18,0.97,35
2014-01-12,轻度污染,112,102,84,106,22,18,0.91,41
2014-01-13,轻度污染,118,127,89,125,31,25,0.96,39
2014-01-14,轻度污染,110,86,82,112,25,21,1.19,52
2014-01-15,中度污染,199,123,152,192,32,25,1.47,75
2014-01-16,重度污染,208,133,158,199,35,32,1.41,61
2014-01-17,中度污染,160,85,121,154,22,25,1.16,49
2014-01-18,中度污染,200,116,156,202,35,30,1.33,66
2014-01-19,重度污染,210,124,161,208,38,31,1.37,82
2014-01-20,中度污染,158,123,119,163,36,26,1.12,79
2014-01-21,轻度污染,120,151,90,141,31,22,0.86,73
2014-01-22,轻度污染,135,149,102,150,31,28,0.98,78
2014-01-24,轻度污染,134,104,101,141,23,31,1.28,82
2014-01-25,中度污染,187,148,144,195,50,29,1.54,95
2014-01-26,重度污染,236,174,185,243,67,39,1.86,66
2014-01-27,重度污染,223,164,172,216,42,39,1.81,73
2014-01-28,严重污染,259,173,208,238,29,34,2.08,57
2014-01-29,重度污染,210,164,165,187,20,19,1.76,62
2014-01-30,重度污染,225,129,187,220,32,14,1.69,61
2014-01-31,严重污染,271,140,228,278,52,12,1.54,42
2014-02-01,轻度污染,113,90,85,104,26,10,1.51,47
2014-02-02,轻度污染,111,71,83,104,12,10,1.58,49
2014-02-03,中度污染,157,168,119,161,21,12,2.02,52
2014-02-04,轻度污染,111,166,81,112,25,10,2.05,64
2014-02-05,优,33,22,19,29,5,7,1.24,40
2014-02-06,优,46,90,29,43,5,6,1.18,35
2014-02-07,优,45,74,26,41,13,7,1.26,36
2014-02-08,良,56,64,40,49,10,8,0.83,51
2014-02-09,轻度污染,109,181,81,91,45,6,0.70,81
2014-02-10,轻度污染,118,179,89,100,30,7,0.58,80
2014-02-11,轻度污染,130,164,99,117,27,9,0.85,74
2014-02-12,轻度污染,134,140,101,119,36,12,0.75,79
2014-02-13,轻度污染,136,143,102,122,25,13,0.95,80
2014-02-14,轻度污染,144,130,109,127,27,15,1.08,65
2014-02-15,轻度污染,133,102,100,115,17,16,0.77,59
2014-02-16,轻度污染,113,123,85,107,22,20,0.93,38
2014-02-17,轻度污染,127,146,95,110,25,20,1.13,36
2014-02-18,良,97,155,72,78,22,19,1.57,40
2014-02-19,良,75,72,54,65,13,11,1.12,43
2014-02-20,良,74,58,53,64,11,9,1.03,41
2014-02-21,轻度污染,143,102,108,145,29,33,1.55,46
2014-02-22,轻度污染,134,91,101,129,36,21,1.38,45
