日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,82,22,48,113,38,36,1.02,40
2013-10-29,优,43,7,23,46,29,24,0.66,37
2013-10-30,良,80,41,37,111,50,39,0.88,34
2013-10-31,中度污染,159,93,79,226,117,62,1.40,22
2013-11-01,中度污染,164,87,119,247,138,87,2.07,20
2013-11-02,中度污染,172,87,131,230,69,65,1.70,31
2013-11-03,优,43,8,19,44,42,25,0.46,48
2013-11-04,良,68,23,30,88,60,39,0.77,33
2013-11-05,良,95,52,48,139,81,51,1.12,28
2013-11-06,轻度污染,101,41,31,142,38,25,0.62,43
2013-11-07,良,76,22,35,101,59,36,0.41,26
2013-11-08,良,90,39,79,93,63,63,1.87,15
2013-11-09,轻度污染,106,57,39,109,44,21,0.66,44
2013-11-10,良,62,37,17,47,29,14,0.41,58
2013-11-11,良,54,30,25,68,41,33,0.72,35
2013-11-12,良,64,45,38,90,39,37,0.85,33
2013-11-13,良,77,58,53,135,45,48,0.99,29
2013-11-14,良,93,58,31,120,29,20,0.61,52
2013-11-15,轻度污染,112,53,64,247,39,41,0.94,35
2013-11-16,轻度污染,129,56,30,104,34,10,0.35,48
2013-11-17,良,59,11,20,53,31,13,0.47,41
2013-11-18,优,50,15,20,48,41,20,0.47,41
2013-11-19,优,48,11,27,58,53,33,0.65,36
2013-11-20,良,59,17,27,74,55,33,0.59,40
2013-11-21,良,64,15,34,82,57,37,0.68,36
2013-11-22,良,73,17,57,128,82,55,1.07,28
2013-11-23,良,96,29,52,141,82,52,0.97,26
2013-11-24,轻度污染,118,49,48,204,53,30,0.59,36
2013-11-25,良,84,57,23,51,55,26,0.55,37
2013-11-26,良,60,16,27,81,39,19,0.50,46
2013-11-27,良,70,33,20,83,8,4,0.37,40
2013-11-28,良,60,39,28,51,60,17,0.86,28
2013-11-29,良,53,13,31,53,105,35,1.14,32
2013-11-30,良,63,23,43,83,86,24,0.93,43
2013-12-01,良,61,13,34,67,93,31,0.98,43
2013-12-02,良,71,17,62,135,103,48,1.37,31
2013-12-03,良,83,13,44,116,86,47,1.15,39
2013-12-04,良,83,12,52,141,120,54,1.26,30
2013-12-05,良,74,11,32,73,84,31,0.73,44
2013-12-06,良,69,13,49,114,90,42,1.08,32
2013-12-07,良,86,15,69,152,138,56,1.37,26
2013-12-08,良,91,10,29,83,79,20,0.60,40
2013-12-09,良,52,4,18,39,77,18,0.50,60
2013-12-10,良,63,11,21,150,52,16,0.44,63
2013-12-11,良,79,30,26,58,95,33,0.76,53
2013-12-12,良,53,8,19,43,49,20,0.49,62
2013-12-13,良,59,15,30,86,94,35,0.88,47
2013-12-14,良,62,9,32,77,72,25,0.74,52
2013-12-15,良,70,24,39,97,92,33,0.94,41
2013-12-16,良,77,33,49,106,93,33,1.01,42
2013-12-17,良,64,41,23,46,55,13,0.51,64
2013-12-18,优,48,33,25,54,76,21,0.71,58
2013-12-19,良,53,25,24,53,76,22,0.71,55
2013-12-20,良,53,13,30,58,72,22,0.73,54
2013-12-21,良,53,5,32,70,84,31,0.87,50
2013-12-22,良,67,7,47,100,95,38,1.12,41
2013-12-23,良,82,11,49,108,61,24,0.91,44
2013-12-24,良,86,12,78,152,123,49,1.38,45
2013-12-25,轻度污染,119,26,59,167,68,26,1.06,43
2013-12-26,良,76,12,23,48,50,17,0.59,49
2013-12-27,良,58,14,38,73,74,28,0.92,37
2013-12-28,良,54,7,32,52,71,22,0.77,51
2013-12-29,良,68,15,49,112,93,36,1.18,34
2013-12-30,良,92,26,51,158,82,28,1.13,41
2013-12-31,轻度污染,139,122,39,242,67,18,0.82,53
2014-01-01,轻度污染,118,80,40,159,92,29,1.06,42
2014-01-02,轻度污染,103,47,50,130,110,34,1.29,33
2014-01-03,轻度污染,122,74,53,190,88,28,1.12,40
2014-01-04,良,92,49,57,123,102,35,1.31,27
2014-01-05,良,76,9,45,100,93,32,1.15,35
2014-01-06,中度污染,174,102,135,219,173,54,2.53,19
2014-01-07,轻度污染,102,81,69,105,91,26,1.15,44
2014-01-08,良,59,59,32,66,65,18,0.81,44
2014-01-09,良,74,93,38,94,71,25,1.01,39
2014-01-10,良,79,44,39,106,78,28,1.11,38
2014-01-11,良,81,47,40,110,76,23,0.97,45
2014-01-12,良,66,42,40,70,80,26,1.05,45
2014-01-13,良,77,57,46,98,92,28,1.19,40
2014-01-14,良,73,45,42,90,80,28,1.15,41
2014-01-15,良,83,37,50,107,124,47,1.41,30
2014-01-16,良,82,25,47,111,117,49,1.38,32
2014-01-17,良,62,8,27,72,64,25,0.87,48
2014-01-18,良,76,11,37,102,103,44,1.36,33
2014-01-19,中度污染,180,102,56,267,98,36,1.40,42
2014-01-20,良,53,11,18,59,52,17,0.67,60
2014-01-21,良,65,29,39,75,80,33,1.10,39
2014-01-22,良,95,80,62,133,123,51,1.68,26
2014-01-24,良,77,48,36,103,103,35,1.17,47
2014-01-25,优,47,9,19,49,77,19,0.81,54
2014-01-26,良,97,110,57,142,131,41,1.57,28
2014-01-27,轻度污染,119,124,71,183,104,35,1.41,37
2014-01-28,良,72,71,41,87,113,33,1.22,43
2014-01-29,轻度污染,121,124,78,177,139,42,1.72,40
2014-01-30,良,79,28,46,93,106,28,1.11,51
2014-01-31,重度污染,233,110,183,282,206,52,2.21,37
2014-02-01,重度污染,242,159,191,317,194,56,2.63,40
2014-02-02,轻度污染,129,88,76,179,74,16,1.00,66
2014-02-03,良,63,70,20,76,49,9,0.59,71
2014-02-04,良,61,108,38,69,74,17,0.84,56
2014-02-05,良,93,168,58,122,141,32,1.62,41
2014-02-06,中度污染,154,184,115,194,138,36,1.98,37
2014-02-07,中度污染,192,188,145,220,107,46,2.21,35
2014-02-08,良,69,94,42,61,49,11,0.64,68
2014-02-09,优,40,53,20,30,47,10,0.66,69
2014-02-10,良,63,121,36,66,70,23,1.01,52
2014-02-11,良,80,91,52,97,95,28,1.23,42
2014-02-12,良,66,36,36,79,73,21,1.01,57
2014-02-13,中度污染,158,156,119,207,115,47,2.25,36
2014-02-14,严重污染,294,185,238,362,152,67,3.25,28
2014-02-15,良,100,55,71,139,98,33,1.39,51
2014-02-16,良,52,29,28,55,70,22,0.92,60
2014-02-17,轻度污染,119,139,86,153,101,33,1.62,60
2014-02-18,轻度污染,141,181,104,185,101,40,1.85,50
2014-02-19,良,52,44,31,53,66,27,0.94,58
2014-02-20,良,75,61,49,91,94,30,1.24,48
2014-02-21,严重污染,414,190,326,516,308,129,5.19,16
2014-02-22,严重污染,386,188,308,486,157,90,3.97,18
2014-02-23,严重污染,394,186,311,492,150,85,4.05,18
2014-02-24,严重污染,367,186,301,464,216,96,4.63,21
2014-02-25,严重污染,322,180,268,418,192,101,5.08,21
2014-02-26,重度污染,215,171,174,273,101,64,3.15,29
2014-02-27,优,38,5,22,28,47,22,0.78,52
2014-02-28,良,74,118,53,78,106,47,1.69,26
2014-03-01,优,40,18,16,37,75,31,0.95,46
2014-03-02,优,44,22,24,39,74,23,0.97,45
2014-03-03,良,86,93,59,101,117,43,1.60,34
2014-03-04,优,42,16,23,29,57,18,0.75,54
2014-03-05,良,52,35,21,56,58,18,0.80,58
2014-03-06,良,54,63,28,59,72,29,0.92,51
2014-03-07,优,48,45,23,51,64,23,0.83,56
2014-03-08,良,66,78,23,83,77,26,0.93,55
2014-03-09,良,60,52,29,71,71,37,1.02,50
2014-03-10,中度污染,157,151,118,230,125,76,2.05,46
2014-03-11,轻度污染,139,145,88,179,81,51,1.58,38
2014-03-12,优,34,3,16,21,60,42,0.72,53
2014-03-13,良,70,75,22,89,59,46,0.88,48
2014-03-14,良,57,7,25,60,75,48,1.17,44
2014-03-15,良,71,17,36,90,102,62,1.69,34
2014-03-16,良,96,76,46,140,107,66,1.65,48
2014-03-17,轻度污染,134,112,45,206,79,44,1.25,55
2014-03-18,良,81,43,32,111,88,57,1.17,59
2014-03-19,良,88,78,40,125,75,65,1.05,61
2014-03-20,优,39,5,15,28,56,40,0.83,65
2014-03-21,良,51,11,21,57,77,35,1.06,53
2014-03-22,良,54,11,23,57,59,23,1.00,63
2014-03-23,良,97,101,47,144,77,34,1.37,75
2014-03-25,良,79,45,26,107,78,41,1.28,50
2014-03-26,良,77,29,25,103,72,32,1.08,46
2014-03-27,良,91,58,45,132,98,37,1.72,68
2014-03-28,良,60,40,24,68,60,22,1.03,51
2014-03-29,优,34,7,11,27,47,19,0.65,58
2014-03-30,优,44,11,14,44,60,25,0.91,59
2014-03-31,良,56,36,25,59,76,37,1.18,51
2014-04-01,良,52,21,24,55,58,30,1.02,68
2014-04-02,优,50,19,20,49,40,15,0.80,74
