日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,96,254,71,102,26,36,0.99,56
2015-01-02,良,72,193,51,75,30,35,0.73,51
2015-01-03,良,74,76,54,72,31,41,0.78,45
2015-01-04,良,88,66,65,87,28,50,0.90,66
2015-01-05,轻度污染,137,189,103,133,41,72,1.45,32
2015-01-06,轻度污染,132,323,98,121,30,45,1.21,53
2015-01-07,良,78,183,57,77,22,39,0.96,32
2015-01-08,优,50,36,34,49,21,25,1.03,48
2015-01-09,良,76,93,55,77,34,41,0.78,53
2015-01-10,良,87,111,64,88,32,43,0.85,51
2015-01-11,良,94,151,69,95,43,55,1.11,39
2015-01-12,良,64,124,45,63,30,46,0.72,39
2015-01-13,优,27,18,14,21,10,22,0.47,40
2015-01-14,优,24,6,13,21,12,16,0.43,40
2015-01-15,优,36,10,24,30,16,24,0.49,50
2015-01-16,良,61,63,43,53,23,35,0.68,44
2015-01-17,良,78,111,57,71,22,40,0.85,41
2015-01-18,良,89,138,65,78,26,36,0.93,46
2015-01-19,良,90,164,66,88,27,38,0.95,55
2015-01-20,良,79,110,57,83,26,39,0.77,59
2015-01-21,良,82,122,59,85,24,46,0.97,46
2015-01-22,良,73,75,52,73,23,44,0.79,51
2015-01-23,良,85,75,62,85,26,42,0.87,58
2015-01-24,轻度污染,101,129,75,94,25,51,0.97,49
2015-01-25,良,70,60,50,59,18,40,0.77,41
2015-01-26,良,61,37,43,53,16,31,0.75,36
2015-01-27,良,98,248,72,88,19,44,0.99,38
2015-01-28,优,44,114,30,39,13,29,0.71,40
2015-01-29,良,51,121,34,47,15,33,0.56,47
2015-01-30,良,64,146,45,62,19,45,0.82,27
2015-01-31,良,52,85,35,48,16,39,0.74,25
2015-02-01,良,56,92,38,49,17,29,0.72,40
2015-02-02,良,63,68,44,57,21,34,0.77,43
2015-02-03,良,63,71,45,57,15,31,0.71,47
2015-02-04,良,58,88,41,56,16,41,0.70,27
2015-02-05,优,46,33,32,38,14,34,0.92,23
2015-02-06,良,72,85,52,60,19,25,0.74,68
2015-02-07,良,72,96,51,63,21,34,0.78,46
2015-02-08,良,79,202,57,79,20,34,0.80,50
2015-02-09,良,68,122,49,64,20,24,0.62,72
2015-02-10,良,64,69,45,63,19,32,0.64,54
2015-02-11,良,74,84,53,68,21,35,0.73,49
2015-02-12,良,75,112,51,76,16,34,0.80,55
2015-02-13,良,66,67,46,68,18,34,0.69,56
2015-02-14,良,67,55,47,67,16,31,0.72,68
2015-02-15,良,99,176,73,90,16,33,1.09,46
2015-02-16,良,77,102,56,71,9,20,0.95,40
2015-02-17,良,61,81,43,56,8,19,0.85,53
2015-02-18,良,64,86,45,63,10,13,0.75,79
2015-02-19,良,78,110,57,73,10,16,0.66,63
2015-02-20,良,58,162,31,43,8,16,0.49,71
2015-02-21,良,55,142,38,50,9,22,0.73,40
2015-02-22,优,46,66,31,35,6,14,0.56,42
2015-02-23,优,38,49,24,34,7,16,0.66,52
2015-02-24,优,38,41,26,33,7,17,0.81,42
2015-02-25,优,33,26,22,31,9,19,0.62,45
2015-02-26,优,49,118,34,45,8,19,0.71,40
2015-02-27,优,40,93,25,38,7,18,0.48,36
