日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,严重污染,259,98,209,314,124,79,4.29,34
2013-10-29,严重污染,286,104,235,298,75,61,4.30,50
2013-10-30,轻度污染,146,89,111,124,41,44,2.68,26
2013-10-31,轻度污染,103,62,77,95,25,47,1.79,22
2013-11-01,轻度污染,113,67,85,94,21,42,1.79,27
2013-11-02,轻度污染,127,69,95,150,40,54,2.42,26
2013-11-03,轻度污染,128,68,97,150,55,57,2.55,31
2013-11-04,轻度污染,134,98,97,182,33,63,2.50,31
2013-11-05,轻度污染,124,83,89,185,59,76,2.02,24
2013-11-06,中度污染,151,81,94,172,74,63,2.19,37
2013-11-07,良,85,36,41,94,48,62,1.39,31
2013-11-08,良,75,26,55,73,29,61,1.81,25
2013-11-09,良,89,46,77,105,39,56,2.39,21
2013-11-10,良,91,68,51,108,41,57,2.50,21
2013-11-11,轻度污染,104,106,58,150,55,56,2.59,24
2013-11-12,轻度污染,111,96,94,209,99,78,3.16,20
2013-11-13,轻度污染,139,91,118,197,103,78,3.20,19
2013-11-14,轻度污染,131,78,77,168,101,55,2.15,32
2013-11-15,轻度污染,115,55,90,209,119,62,1.96,31
2013-11-16,轻度污染,108,35,60,145,89,49,1.91,38
2013-11-17,良,68,19,37,76,87,53,2.21,30
2013-11-18,良,79,47,70,121,114,64,2.61,23
2013-11-19,轻度污染,106,70,95,156,126,76,3.52,20
2013-11-20,轻度污染,126,64,95,141,133,71,3.36,19
2013-11-21,轻度污染,126,50,96,139,185,74,3.94,17
2013-11-22,中度污染,174,78,174,254,142,88,4.75,18
2013-11-23,重度污染,233,83,155,206,68,76,4.73,16
2013-11-24,轻度污染,122,53,49,131,39,30,2.59,28
2013-11-25,轻度污染,114,95,70,175,70,43,2.77,26
2013-11-26,轻度污染,105,82,87,165,103,62,3.51,20
2013-11-27,良,85,56,31,60,40,29,2.61,33
2013-11-28,优,40,6,18,40,48,31,2.59,32
2013-11-29,优,42,3,32,57,79,49,2.59,25
2013-11-30,良,61,20,44,83,91,57,2.79,24
2013-12-01,良,85,37,75,135,104,63,3.58,20
2013-12-02,轻度污染,127,52,122,191,167,84,3.26,18
2013-12-03,中度污染,163,58,127,180,157,84,3.44,20
2013-12-04,中度污染,153,53,103,167,117,73,2.72,25
2013-12-05,轻度污染,111,41,81,127,111,67,2.54,23
2013-12-06,轻度污染,115,48,99,148,97,74,2.71,23
2013-12-07,中度污染,172,56,167,231,110,86,3.22,20
2013-12-08,重度污染,238,68,164,194,25,48,3.01,16
2013-12-09,中度污染,183,55,77,107,67,47,2.55,27
2013-12-10,良,94,39,77,131,124,55,2.34,22
2013-12-11,良,73,19,36,73,87,48,2.07,28
2013-12-12,良,68,21,52,101,120,59,2.33,23
2013-12-13,良,86,35,80,135,102,68,2.71,18
2013-12-14,中度污染,156,80,140,213,203,87,3.52,19
2013-12-15,重度污染,229,89,222,279,109,97,3.76,17
2013-12-16,严重污染,297,107,301,382,93,110,4.53,16
2013-12-17,严重污染,368,110,271,326,133,106,4.79,15
2013-12-18,中度污染,182,93,67,81,76,54,2.82,17
2013-12-19,轻度污染,144,81,146,279,122,84,3.46,16
2013-12-20,重度污染,224,90,213,330,122,112,4.28,15
2013-12-21,严重污染,276,101,195,247,89,95,3.50,17
2013-12-22,重度污染,241,97,218,315,142,104,3.75,17
2013-12-23,严重污染,336,101,358,461,145,138,4.91,16
2013-12-24,严重污染,428,106,418,506,71,141,4.47,16
2013-12-25,严重污染,427,101,316,391,149,121,2.68,16
2013-12-26,中度污染,193,57,75,107,59,58,1.55,21
2013-12-27,良,68,24,31,50,83,47,1.42,20
2013-12-28,良,55,8,35,62,72,50,1.63,28
2013-12-29,良,56,4,31,64,78,53,1.54,28
2013-12-30,良,69,8,41,112,82,56,1.66,28
2013-12-31,良,84,21,44,120,73,52,1.64,26
2014-01-01,良,83,23,48,122,96,59,1.92,24
2014-01-02,良,98,43,80,177,132,72,2.56,17
2014-01-03,良,83,33,46,114,91,53,1.89,29
2014-01-04,轻度污染,110,72,74,166,79,78,2.40,20
2014-01-05,轻度污染,137,74,103,182,118,83,2.79,21
2014-01-06,中度污染,186,114,141,190,96,82,3.11,18
2014-01-07,重度污染,228,157,177,242,145,92,3.47,14
2014-01-08,轻度污染,124,155,93,129,92,70,2.84,15
2014-01-09,轻度污染,113,147,84,116,63,58,2.52,19
2014-01-10,中度污染,184,156,142,224,89,70,3.05,13
2014-01-11,严重污染,264,169,214,300,91,74,3.62,13
2014-01-12,良,94,86,70,99,78,51,2.79,24
2014-01-13,轻度污染,121,131,91,152,79,66,3.16,16
2014-01-14,中度污染,190,148,143,200,35,53,3.01,17
2014-01-15,重度污染,219,135,169,226,55,63,3.38,14
2014-01-16,重度污染,240,150,192,265,115,78,3.65,17
2014-01-17,严重污染,308,173,257,338,119,88,4.51,15
2014-01-18,严重污染,279,161,229,301,84,73,3.91,23
2014-01-19,中度污染,184,110,133,204,78,48,2.88,26
2014-01-20,优,49,7,25,56,48,31,1.83,39
2014-01-21,良,75,57,47,99,55,46,1.02,25
2014-01-22,轻度污染,107,109,77,146,71,63,1.41,25
2014-01-24,严重污染,253,171,202,286,134,94,3.81,13
2014-01-25,中度污染,179,139,143,195,100,65,3.16,26
2014-01-26,良,73,68,53,79,50,42,1.31,28
2014-01-27,轻度污染,107,110,80,122,67,59,1.83,22
2014-01-28,轻度污染,137,135,103,150,72,54,2.28,32
2014-01-29,中度污染,186,156,140,189,68,52,2.47,38
2014-01-30,重度污染,246,156,196,262,89,57,3.05,35
2014-01-31,严重污染,281,145,230,302,26,43,3.28,15
2014-02-01,重度污染,228,157,177,217,103,58,4.00,14
2014-02-02,严重污染,271,170,221,278,71,50,3.80,20
2014-02-03,轻度污染,103,131,73,95,43,29,1.96,34
2014-02-04,良,62,114,44,51,26,25,1.40,29
2014-02-05,优,50,97,33,47,18,21,1.47,34
2014-02-06,良,73,131,51,93,40,30,1.88,27
2014-02-07,轻度污染,133,170,100,170,75,41,2.29,28
2014-02-08,轻度污染,137,170,104,138,51,31,1.77,44
2014-02-09,良,78,138,56,73,37,25,1.55,39
2014-02-10,优,38,25,17,37,37,30,1.32,37
2014-02-11,良,83,98,51,106,56,46,1.70,27
2014-02-12,轻度污染,124,129,94,114,44,36,1.84,51
2014-02-13,中度污染,184,170,139,175,124,54,2.48,31
2014-02-14,重度污染,220,170,170,224,117,58,2.56,33
2014-02-15,重度污染,219,157,171,219,72,49,2.19,33
2014-02-16,重度污染,201,163,159,193,45,54,2.63,23
2014-02-17,重度污染,231,185,186,207,42,48,3.04,22
2014-02-18,良,76,114,55,85,36,36,1.61,31
2014-02-19,中度污染,158,172,120,181,70,48,2.27,24
2014-02-20,重度污染,238,184,187,282,48,52,2.49,17
2014-02-21,轻度污染,108,60,81,122,44,47,1.86,37
2014-02-22,中度污染,151,117,114,184,41,53,2.13,25
2014-02-23,中度污染,175,131,132,178,37,49,1.82,28
2014-02-24,重度污染,249,167,199,265,37,48,2.29,28
2014-02-25,重度污染,244,162,196,253,39,51,2.14,27
2014-02-26,轻度污染,128,113,97,130,38,47,1.47,24
2014-02-27,轻度污染,133,161,96,143,43,38,1.67,33
2014-02-28,良,66,99,44,79,35,38,1.40,24
2014-03-01,轻度污染,139,172,106,194,50,48,1.79,23
2014-03-02,中度污染,185,166,139,267,55,47,1.88,25
2014-03-03,轻度污染,118,137,89,145,41,41,1.61,44
2014-03-04,中度污染,176,181,135,212,65,52,2.27,32
2014-03-05,良,70,82,50,77,30,45,1.52,21
2014-03-06,良,87,133,63,112,32,44,1.63,21
2014-03-07,良,89,139,66,103,37,42,1.76,35
2014-03-08,轻度污染,123,150,93,136,81,52,2.09,36
2014-03-09,轻度污染,124,143,93,146,82,51,1.99,39
2014-03-10,良,83,68,60,104,48,39,1.68,62
2014-03-11,良,89,64,66,101,52,48,1.96,49
2014-03-12,中度污染,171,180,99,215,38,48,2.36,27
2014-03-13,良,90,133,56,117,57,46,2.01,26
2014-03-14,良,91,109,53,131,60,51,1.84,33
2014-03-15,轻度污染,111,127,80,136,58,58,2.13,40
2014-03-16,轻度污染,119,120,88,147,63,61,2.17,45
