日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,良,98,32,73,94,9,40,1.04,68
2013-10-29,良,99,48,74,106,24,46,1.17,88
2013-10-30,良,79,40,57,69,12,37,0.87,57
2013-10-31,良,92,57,66,99,31,44,1.24,92
2013-11-01,良,95,52,66,95,19,48,1.11,77
2013-11-02,轻度污染,105,57,78,107,43,47,1.28,65
2013-11-03,良,96,48,71,91,22,29,1.12,68
2013-11-04,良,96,62,72,84,36,38,1.21,54
2013-11-05,轻度污染,104,64,78,78,22,44,1.00,27
2013-11-06,轻度污染,107,47,99,118,41,60,1.79,45
2013-11-07,轻度污染,145,85,88,106,17,50,0.77,43
2013-11-08,良,88,37,59,87,13,42,0.92,75
2013-11-09,良,86,40,57,86,15,46,0.90,67
2013-11-10,良,51,15,15,32,10,32,0.81,14
2013-11-11,优,41,9,26,36,11,28,0.64,36
2013-11-12,优,37,17,20,28,18,30,0.85,33
2013-11-13,优,33,15,25,24,12,42,1.13,2
2013-11-14,优,50,25,40,50,40,48,1.42,18
2013-11-15,良,57,22,41,62,22,45,0.96,42
2013-11-16,良,72,23,64,92,28,53,1.32,43
2013-11-17,良,86,46,58,97,32,62,0.80,43
2013-11-18,良,86,56,68,122,41,64,1.21,55
2013-11-19,良,99,65,81,145,29,76,0.90,36
2013-11-20,轻度污染,120,59,93,149,20,71,1.28,40
2013-11-21,轻度污染,123,47,98,144,19,73,1.23,57
2013-11-22,轻度污染,128,55,75,104,14,56,1.33,65
2013-11-23,良,69,16,23,49,12,42,0.79,27
2013-11-24,良,51,3,33,57,15,43,1.21,21
2013-11-25,良,56,11,31,64,21,45,0.92,27
2013-11-26,良,69,34,44,87,43,55,1.45,36
2013-11-27,良,72,37,48,87,21,58,1.10,17
2013-11-28,良,60,38,28,52,30,37,1.07,31
2013-11-29,良,53,14,23,49,25,46,0.55,28
2013-11-30,良,56,9,38,73,19,61,1.10,14
2013-12-01,良,68,22,42,83,17,67,0.99,24
2013-12-02,良,67,10,47,91,43,60,1.47,38
2013-12-03,良,79,9,61,109,14,67,1.33,50
2013-12-04,良,98,25,82,120,33,79,1.67,40
2013-12-05,良,96,31,66,92,21,65,0.93,31
2013-12-06,轻度污染,106,43,90,121,49,72,1.59,40
2013-12-07,轻度污染,131,33,109,140,31,82,1.61,32
2013-12-08,中度污染,169,43,117,145,44,69,1.56,42
2013-12-09,中度污染,158,44,122,174,29,78,1.50,44
2013-12-10,中度污染,167,99,134,189,62,54,1.76,68
2013-12-11,中度污染,180,107,123,170,47,64,1.38,32
2013-12-12,轻度污染,132,80,98,147,70,64,1.75,22
