日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,89,233,61,125,79,43,3.00,16
2015-01-02,轻度污染,121,508,89,172,54,52,3.23,13
2015-01-03,中度污染,169,296,128,223,48,52,3.35,18
2015-01-04,中度污染,187,242,142,250,70,56,3.70,32
2015-01-05,严重污染,333,347,294,379,50,66,4.10,17
2015-01-06,中度污染,167,378,128,222,57,51,4.02,12
2015-01-07,轻度污染,120,316,87,156,51,45,3.35,16
2015-01-08,中度污染,176,327,134,207,37,48,3.01,25
2015-01-09,中度污染,155,264,116,198,50,51,2.70,20
2015-01-10,中度污染,177,285,135,222,57,51,2.58,29
2015-01-11,重度污染,235,358,196,271,56,56,2.97,23
2015-01-12,轻度污染,144,303,112,174,21,31,2.88,20
2015-01-13,轻度污染,104,219,76,126,19,34,2.65,14
2015-01-14,轻度污染,120,241,90,134,15,31,2.62,18
2015-01-15,中度污染,180,292,137,202,24,35,2.28,28
2015-01-16,重度污染,201,319,156,243,48,44,2.62,29
2015-01-17,中度污染,154,304,116,191,46,46,2.33,32
2015-01-18,轻度污染,126,253,75,166,28,31,1.87,45
2015-01-19,良,99,207,71,144,44,38,2.03,43
2015-01-20,轻度污染,112,241,83,148,36,38,2.20,44
2015-01-21,中度污染,155,302,115,204,61,48,2.53,27
2015-01-22,轻度污染,119,231,89,143,40,39,2.15,31
2015-01-23,中度污染,160,269,120,178,45,43,2.31,35
2015-01-24,严重污染,254,349,203,274,36,58,2.83,18
2015-01-25,严重污染,267,355,216,223,24,52,3.50,25
2015-01-26,严重污染,273,340,222,313,32,48,3.86,30
2015-01-27,中度污染,155,340,118,185,37,38,2.77,17
2015-01-28,良,70,255,49,72,23,25,2.11,22
2015-01-29,中度污染,155,349,118,147,23,29,2.59,24
2015-01-30,重度污染,239,363,188,235,32,33,3.12,29
2015-01-31,轻度污染,116,314,86,135,49,37,2.48,23
2015-02-01,轻度污染,110,265,82,129,36,39,2.51,21
2015-02-02,轻度污染,145,291,110,155,18,36,2.54,23
2015-02-03,重度污染,218,323,169,226,45,45,2.94,24
2015-02-04,重度污染,248,359,199,268,72,54,3.39,29
2015-02-05,中度污染,197,353,151,230,57,48,3.56,36
2015-02-06,良,96,203,71,114,41,31,2.52,49
2015-02-07,轻度污染,140,291,105,157,67,44,3.01,29
2015-02-08,良,74,173,47,95,36,28,2.38,31
2015-02-09,良,82,177,58,103,41,36,2.49,37
2015-02-10,轻度污染,123,247,93,132,30,32,2.49,50
2015-02-11,轻度污染,148,278,92,170,30,29,2.10,50
2015-02-12,中度污染,156,277,119,198,61,47,2.50,41
2015-02-13,重度污染,242,361,191,260,46,40,2.82,55
2015-02-14,中度污染,185,300,141,216,31,34,2.54,53
2015-02-15,重度污染,205,323,164,205,10,27,2.93,40
2015-02-16,轻度污染,142,268,104,171,20,25,2.85,45
2015-02-17,中度污染,170,323,129,221,19,25,2.73,62
2015-02-18,轻度污染,133,307,100,177,23,18,2.29,52
2015-02-19,中度污染,157,276,120,165,36,16,2.15,47
2015-02-20,良,77,243,56,49,9,13,2.21,26
2015-02-21,中度污染,151,331,114,134,10,17,2.54,23
2015-02-22,轻度污染,140,281,100,180,19,16,2.57,42
2015-02-23,轻度污染,140,339,101,187,21,19,2.48,41
2015-02-24,轻度污染,139,328,104,169,17,21,2.65,35
2015-02-25,轻度污染,125,311,91,159,27,20,2.70,45
2015-02-26,轻度污染,107,307,78,139,41,20,2.52,53
2015-02-27,良,64,251,43,74,14,17,2.26,45
2015-02-28,良,69,256,47,75,13,17,2.33,38
2015-03-01,良,90,278,55,107,25,22,2.34,38
2015-03-02,良,74,185,52,93,17,27,2.54,32
2015-03-03,良,96,263,33,139,13,18,2.27,48
2015-03-04,良,55,155,22,59,16,18,2.32,43
2015-03-05,轻度污染,112,343,71,138,36,22,2.51,40
