日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2015-01-01,良,81,197,43,110,90,33,1.06,33
2015-01-02,轻度污染,107,440,78,151,53,41,1.25,29
2015-01-03,中度污染,151,266,113,207,67,52,1.59,28
2015-01-04,中度污染,178,230,135,225,69,60,2.31,39
2015-01-05,严重污染,267,330,215,310,148,66,1.89,12
2015-01-06,中度污染,196,391,149,233,69,53,1.75,18
2015-01-07,轻度污染,121,317,91,159,50,41,1.24,35
2015-01-08,轻度污染,132,278,99,165,38,41,1.47,50
2015-01-09,轻度污染,130,224,97,152,50,35,1.09,63
2015-01-10,轻度污染,123,202,92,154,32,42,1.14,52
2015-01-11,中度污染,178,307,138,202,70,49,1.36,51
2015-01-12,重度污染,221,353,183,260,58,50,1.60,27
2015-01-13,轻度污染,113,240,85,125,40,32,0.79,25
2015-01-14,轻度污染,121,245,91,140,19,36,0.94,20
2015-01-15,中度污染,168,278,127,187,21,34,1.11,28
2015-01-16,中度污染,174,293,129,197,65,35,0.90,44
2015-01-17,中度污染,165,320,125,180,45,42,1.13,47
2015-01-18,轻度污染,115,219,84,141,36,40,1.00,56
2015-01-19,轻度污染,105,232,69,154,60,53,2.22,34
2015-01-20,轻度污染,103,210,75,131,50,51,1.58,54
2015-01-21,轻度污染,111,198,80,134,57,55,1.14,46
2015-01-22,良,90,141,66,109,54,50,1.19,41
2015-01-23,轻度污染,102,121,75,133,61,63,2.54,36
2015-01-24,中度污染,189,280,146,195,70,77,1.83,5
2015-01-25,重度污染,232,323,182,216,56,85,2.36,10
2015-01-26,严重污染,261,332,210,270,41,68,2.68,22
2015-01-27,轻度污染,148,329,113,150,30,43,1.23,23
2015-01-28,良,64,225,45,55,16,25,0.53,31
2015-01-29,轻度污染,105,301,78,92,40,35,0.89,36
2015-01-30,中度污染,151,339,113,136,42,43,1.24,45
2015-01-31,轻度污染,138,334,103,134,41,53,1.29,24
2015-02-01,良,97,232,71,102,30,48,1.26,21
2015-02-02,轻度污染,144,287,108,144,20,51,1.85,15
2015-02-03,中度污染,166,282,126,163,72,48,1.86,31
2015-02-04,中度污染,160,281,120,163,101,60,1.43,35
2015-02-05,良,90,206,62,97,86,50,0.76,33
2015-02-06,良,92,188,68,103,46,42,0.88,59
2015-02-07,良,97,182,71,108,42,41,0.91,47
2015-02-08,良,66,136,40,80,18,30,0.62,32
2015-02-09,良,64,105,40,75,30,42,0.69,34
2015-02-10,良,92,163,67,108,34,38,0.97,54
2015-02-11,轻度污染,116,209,80,136,61,24,0.82,62
2015-02-12,良,97,172,53,142,62,40,1.25,52
2015-02-13,中度污染,158,290,119,190,66,45,1.49,63
2015-02-14,中度污染,155,264,117,176,51,45,1.71,71
2015-02-15,中度污染,176,296,138,176,57,31,1.74,59
2015-02-16,中度污染,182,331,139,201,47,31,1.75,53
2015-02-17,轻度污染,101,206,73,136,54,23,1.17,79
2015-02-18,轻度污染,127,291,95,144,54,15,1.07,72
2015-02-19,轻度污染,110,190,82,104,57,9,0.69,68
2015-02-20,良,100,298,74,92,90,14,0.85,29
2015-02-21,轻度污染,114,297,85,111,49,21,1.05,30
2015-02-22,轻度污染,116,234,82,146,41,15,1.06,54
2015-02-23,轻度污染,120,321,86,152,23,18,1.08,45
2015-02-24,轻度污染,104,281,78,129,28,24,1.18,38
2015-02-25,良,100,281,73,129,56,23,1.01,61
2015-02-26,轻度污染,115,321,86,151,63,19,1.02,70
2015-02-27,良,63,249,42,69,38,12,0.55,64
2015-02-28,良,72,268,51,69,18,10,0.54,51
2015-03-01,良,69,213,43,72,41,25,0.47,58
2015-03-02,良,58,103,36,64,51,26,0.46,66
2015-03-03,良,92,249,39,129,85,18,0.31,68
2015-03-04,良,59,187,31,67,38,16,0.32,59
2015-03-05,良,79,269,54,84,37,23,0.40,51
2015-03-06,良,79,212,55,90,38,29,0.53,60
2015-03-07,良,79,199,56,94,35,33,0.57,69
2015-03-08,轻度污染,104,287,77,114,61,40,0.77,50
2015-03-09,轻度污染,141,341,107,157,37,45,0.85,30
2015-03-10,良,69,204,45,82,32,29,0.44,53
2015-03-11,良,80,229,53,103,48,40,0.57,65
2015-03-12,良,84,203,59,97,61,33,0.53,83
2015-03-13,轻度污染,132,308,100,143,52,44,0.87,66
2015-03-14,中度污染,156,322,118,173,90,50,0.94,54
2015-03-15,中度污染,174,326,131,186,15,36,1.09,27
2015-03-16,轻度污染,115,262,86,121,17,28,0.82,62
2015-03-17,良,92,247,68,95,13,33,1.04,27
2015-03-18,良,83,255,60,79,47,29,0.74,50
2015-03-19,良,89,239,65,102,47,42,0.82,28
2015-03-20,轻度污染,105,266,77,120,55,37,0.80,39
2015-03-21,良,81,195,53,100,28,33,0.60,68
2015-03-22,良,98,227,66,141,25,42,1.12,70
2015-03-23,轻度污染,102,316,60,147,39,33,0.44,34
2015-03-24,良,95,292,67,134,35,34,0.64,50
2015-03-25,良,70,195,45,87,26,27,0.53,69
2015-03-26,良,86,257,63,94,18,28,0.56,59
2015-03-27,轻度污染,121,320,91,138,27,41,1.04,59
2015-03-28,轻度污染,106,255,77,133,40,40,0.91,80
2015-03-29,轻度污染,124,272,91,165,50,48,1.27,64
2015-03-30,轻度污染,125,300,92,147,47,35,1.32,64
2015-03-31,良,96,269,71,110,26,25,1.37,41
2015-04-01,良,62,179,44,55,24,19,0.58,36
2015-04-02,良,65,221,46,56,68,23,0.92,52
2015-04-03,轻度污染,107,325,80,99,29,24,1.32,67
2015-04-04,轻度污染,136,328,102,117,18,19,0.92,84
2015-04-05,中度污染,187,334,142,161,59,29,1.02,54
2015-04-06,中度污染,151,343,112,145,31,23,0.78,52
2015-04-07,良,92,331,68,98,37,24,0.52,46
2015-04-08,良,66,237,45,71,30,23,0.77,62
2015-04-09,良,86,299,62,107,45,37,1.61,63
2015-04-10,良,96,295,71,115,40,28,1.09,78
2015-04-11,轻度污染,109,314,81,141,61,38,2.12,79
2015-04-12,良,82,279,42,109,55,18,0.32,86
2015-04-13,良,73,256,46,93,45,28,0.41,64
2015-04-14,良,76,187,44,93,53,29,0.45,84
2015-04-15,良,77,135,51,93,76,31,0.66,81
2015-04-16,轻度污染,126,292,61,195,92,27,0.66,58
2015-04-17,轻度污染,142,332,84,219,70,33,0.93,65
2015-04-18,轻度污染,135,336,98,198,71,31,0.88,46
2015-04-19,良,84,289,62,85,87,21,0.63,88
2015-04-20,良,78,276,48,92,63,28,0.73,73
2015-04-21,良,96,316,63,133,43,36,0.93,84
2015-04-22,轻度污染,114,352,80,155,43,35,1.14,81
2015-04-23,轻度污染,119,341,73,157,60,40,1.25,86
2015-04-24,良,95,269,66,128,94,44,0.93,92
2015-04-25,轻度污染,119,302,70,150,50,43,0.95,103
2015-04-26,轻度污染,122,330,82,173,58,38,1.25,112
2015-04-27,轻度污染,115,327,82,153,65,32,1.65,107
2015-04-28,轻度污染,105,315,69,148,34,23,0.60,108
2015-04-29,轻度污染,144,341,105,161,110,24,0.82,118
2015-04-30,轻度污染,132,326,89,153,27,27,1.23,120
2015-05-01,轻度污染,104,306,76,138,49,28,1.14,88
2015-05-02,良,67,244,46,68,29,17,0.71,65
2015-05-03,良,96,302,64,116,53,24,1.05,84
2015-05-04,中度污染,167,364,127,198,92,25,1.22,74
2015-05-05,良,99,300,70,141,22,29,0.84,73
2015-05-06,轻度污染,103,285,76,133,28,22,1.02,105
2015-05-07,良,84,200,58,104,15,15,0.95,98
2015-05-08,良,71,226,44,90,21,19,0.71,92
2015-05-09,轻度污染,116,349,87,154,22,28,1.52,83
2015-05-10,轻度污染,145,347,110,191,54,17,0.88,41
2015-05-11,良,64,263,28,72,32,10,0.36,95
2015-05-12,良,69,232,24,84,15,12,0.32,107
2015-05-13,良,90,289,47,127,25,15,0.61,110
2015-05-14,轻度污染,127,343,93,167,32,19,0.81,100
2015-05-15,轻度污染,111,340,57,161,130,23,0.72,126
2015-05-16,良,99,316,56,134,20,19,0.76,130
2015-05-17,轻度污染,106,295,66,153,36,39,1.17,87
2015-05-18,轻度污染,111,326,74,143,24,27,0.82,111
2015-05-19,轻度污染,123,335,69,164,35,27,1.09,132
2015-05-20,轻度污染,101,329,56,136,46,19,0.71,124
2015-05-21,良,82,297,32,85,24,17,0.52,128
2015-05-22,轻度污染,114,352,81,149,173,28,0.71,80
2015-05-23,轻度污染,125,333,89,164,45,28,1.07,111
2015-05-24,轻度污染,132,335,81,138,34,22,0.90,147
2015-05-25,中度污染,164,354,119,214,44,29,1.48,135
2015-05-26,中度污染,165,349,125,192,29,23,1.20,106
2015-05-27,中度污染,173,348,131,196,33,19,1.16,110
2015-05-28,轻度污染,140,331,105,163,21,10,0.82,102
2015-05-29,良,93,306,64,117,59,16,0.53,85
2015-05-30,轻度污染,128,346,87,149,44,20,0.80,108
2015-05-31,轻度污染,148,347,103,192,41,40,1.14,113
2015-06-01,重度污染,205,362,165,258,40,35,1.59,71
2015-06-02,良,86,291,60,112,32,12,0.56,69
2015-06-03,良,78,314,46,101,42,17,0.54,66
2015-06-04,良,66,238,28,76,49,24,0.44,54
2015-06-05,良,59,168,15,68,43,11,0.20,101
2015-06-06,良,74,223,27,94,65,19,0.50,90
2015-06-07,良,98,322,44,110,63,23,0.74,108
2015-06-08,轻度污染,101,337,26,137,67,25,0.47,108
2015-06-09,轻度污染,116,323,58,153,67,24,1.04,149
